awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20377,国立研究開発法人海洋研究開発機構,布浦 拓郎,非レトロRNAウイルス網羅解析技術による新しいRNAウイルス学の創出,研究代表者と分担者は、本研究開始以前に、環境中に存在する非レトロRNAウイルスを網羅的にシーケンス解析により検出する手法(FLDS法：fragmented  and  loop  primer  ligated  dsRNA  sequencing）を開発した。本研究では、この手法を基盤とし、(1)高等動物への適用することでの疫学分野等への適応範囲の拡張、(2)多様な生物におけるRNAウイルス探索とデータベースの構築、(3)RNAウイルスを機能核酸として用いる細胞制御技術の開発、の3小課題に挑む。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,RNAウイルス,バイローム,dsRNA,シーケンシング,メタゲノム,メタトランスクリプトーム,多様性,機能核酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20376,東京大学,豊島 近,膜蛋白質結晶中の脂質二重膜の可視化技術の開発,本研究は、燐脂質と膜蛋白質との相互作用の詳細の解明を目指し、膜蛋白質結晶中の脂質二重膜を可視化する技術を開発しようというものである。そのためには、脂質二重膜からの寄与が大きくなる、分解能10Åよりも低角の反射点の位相を決定する必要があり、多重同型置換法と溶媒コントラスト変調法、その両者を組み合わせた技術を開発する。当面の材料としては、実績のあるカルシウムポンプ結晶を用いる。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,脂質二重膜,X線結晶解析,膜蛋白質,結晶,結晶解析,結晶大型化,構造生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20457,国立研究開発法人理化学研究所,林 哲太郎,１細胞解像度を有したプラナリア全RNAアトラスの創出,プラナリアは成体内に全能性幹細胞を恒常的に維持し、適切なタイミングで適切な場所に細胞分化や組織再生を促す機構をもつ。一方で、ヒトやマウスをはじめとする高等生物にはその様な機構はない。本研究では、新たに１細胞方向性全長トータルRNAシーケンス法を開発することで、プラナリア全RNAアトラスを構築し、全能性幹細胞の維持・分化制御機構に関与する非ポリA型RNAを含んだ遺伝子ネットワークの解明を目指す。本研究において創出されるプラナリア全RNAアトラスは、発生生物学の基礎分野だけでなく、再生医療や臨床研究においても非常に有用な資産となることが期待される。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,1細胞RNAシーケンス,プラナリア,全能性幹細胞,非ポリA型RNA,全RNAアトラス,トータルRNAシーケンス,rRNA除去,１細胞RNAシーケンス,非ポリＡ型RNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20582,国立研究開発法人理化学研究所,平谷 伊智朗,1細胞全ゲノム解析の第二世代化と多次元化への挑戦,最近、我々は1細胞全ゲノムDNA複製解析技術であるscRepli-seq法の開発に成功した。独自の基盤技術であるscRepli-seq法の解像度をさらに向上できれば、これまで我々の目に見えていなかったDNA複製制御様式の発見や、局所的な欠失や増幅等のゲノム変異同定の研究に大きなインパクトを及ぼす。また、scRepli-seqを起点とした多次元1細胞全ゲノム解析を実現すれば、DNA複製研究の枠を超えて、ゲノム・染色体研究全般に大きな波及効果をもたらすことが期待できる。そこで、本研究では、scRepli-seqの解像度の飛躍的向上と、これを起点とした多次元1細胞全ゲノム解析の実現を目指す。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,多次元1細胞全ゲノム解析,ゲノム増幅法,scRepli-seq,scHi-C,Dip-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20581,大阪大学,高木 淳一,「LassoGraft法」によるアデノ随伴ウイルスキャプシド改変と感染性の操作,アデノ随伴ウイルス（AAV）は遺伝子治療のベクターとしてもっとも期待されているが、望みの組織・細胞にだけ遺伝子を導入することが困難で、また導入効率自体も低いためウイルスの大量投与が必要である。本研究ではAAVのキャプシド蛋白質に特定の受容体に対する親和性を有する環状ペプチドの内部配列を埋め込むエンジニアリングを通して、遺伝子導入効率増大と細胞特異的なデリバリーを可能にすることを目指す。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,アデノ随伴ウイルス,環状ペプチド,ターゲッティング,遺伝子治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20580,東京大学,國枝 武和,極限環境耐性動物クマムシの持つ耐性メカニズムのダイナミズムと新規分子原理の解明,クマムシは様々な極限環境に耐性を示し、乾燥時にはほぼ完全に脱水した無代謝状態に移行して耐える。しかし、こうした耐性能力の分子メカニズムには不明な点が多い。研究代表者は一群のクマムシ固有の耐性タンパク質が脱水ストレスに応答してダイナミックに局在を変化させ特有の形態構造を形成することを見出した。この構造変化は、これまで広く受け容れられてきた乾燥耐性の分子原理とは相容れない現象であり、新たな分子原理の存在が提起された。本課題では、こうした構造変化をもたらす分子的基盤を明らかにするとともに、この構造変化がおよぼす物性の変化、および生物学的耐性への寄与を解明し、新たな耐性分子原理の検証と提唱を目指す。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,乾燥耐性,ゲル相転移,クマムシ,ストレス,細胞骨格,相分離,ソフトマター,弾性体,相転移,ゲル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20579,東京大学,西増 弘志,CRISPRを用いた新規ゲノム改変技術の開発,CRISPR-Cas獲得免疫機構に関与するRNA依存性DNA結合タンパク質Cas12kは、Tn7様トランスポゾン因子とCAST複合体を形成し、ドナーDNAをターゲットDNAの特定の位置に挿入する機能をもつ。本研究課題では、CAST-DNA超分子複合体の立体構造を決定し、DNA転移メカニズムを原子レベルで解明する。さらに、構造情報を利用することにより、効率的なノックイン技術の開発を目指す。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,CRISPR,クライオ電子顕微鏡,Cas12k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20458,国立研究開発法人理化学研究所,谷口 雄一,１分子スケール蛍光分析化学の創出,今日では、検体に含まれる分子の成分や含有量を調べるために、様々な蛍光検出を用いた分析化学の手法が開発されています。本研究では、１分子蛍光検出の原理を生体分子の検出・分析に適用することで、１分子粒度の分析化学の方法論を開拓することを目的とします。キャピラリ電気泳動などの様々な分析化学的手法への１分子蛍光検出系の導入を試み、その１分子感度化を目指します。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,１分子蛍光検出,超高感度顕微鏡,分析化学,医療分析,プロテオミクス,1分子蛍光検出,１分子,蛍光イメージング,生物物理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18234,広島大学,楯 真一,3次元電子顕微鏡像と粗視化モデルによる核内クロマチン立体構造決定法の開発,FIB-SEMを用いた核内クロマチン構造の3次元電子顕微鏡像観測，基準点となるスピンドル極体(SPB)と標的とする遺伝子座に蛍光タンパク質で標識導入した分裂酵母を対象に，核内での遺伝子座の動態計測を共焦点顕微鏡で行う．2つの計測データをもとに，粗視化モデルとして核内クロマチン構造・動態を表現する数理モデルを構築する．構築する数理モデルを用いて，核内クロマチン構造・動態をシミュレートすることにより，核内クロマチン高次構造の遺伝情報制御における役割を解明する．,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,核内クロマチン構造,電子顕微鏡,数理モデル,分裂酵母,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18233,東京大学,加藤 敬行,非アミド結合性ペプチドミメティック主鎖骨格の翻訳合成技術の開発,リボソームはアミノ酸をアミド結合で連結することでペプチド鎖を伸長する。天然では20種類のL-α-アミノ酸のみが基質となるが、人工的にそれ以外の非天然アミノ酸を用いることもでき、これまでに様々なアミノ酸の側鎖の誘導体が利用されている。一方、主鎖骨格の誘導体を導入した例は非常に少ない。そこで、本研究ではリボソームの触媒能力を拡張して様々な非アミド結合性主鎖骨格の導入を実現することを目指す。そのためには、A)非天然アミノアシルtRNAの合成、B) 非天然アミノアシルtRNAのリボソームへの導入、C)リボソーム上での結合形成、の３点を検討する。,挑戦的研究(開拓),中区分43:分子レベルから細胞レベルの生物学およびその関連分野,ペプチド医薬,ヒドラジノ酸,アミノキシ酸,ペプチドミメティック,翻訳合成,リボソーム,tRNA,翻訳,ペプチド創薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
