awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20379,国立研究開発法人理化学研究所,清末 優子,高速三次元計測と局所場光摂動による自在な細胞機能編集技術の開発,本研究課題では、従来技術では解明できていなかった発生や疾患の背景にある分子機構を解明するため、かつてない時空間分解能で細胞活動をイメージングし、機能制御する技術を開発する。細胞の活動を細胞全体にわたってくまなく3Dイメージングするために最新の高解像型ライトシート顕微鏡『格子光シート顕微鏡』を構築し、これに光刺激手法を導入する。構築したシステムを用いて、ヒトやマウス由来の疾患モデル細胞やオルガノイドのイメージング解析を行い、さらに生化学やゲノム解析などの多角的なアプローチも交えることで、新たな生命機構を発見する。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,高解像ライブイメージング,格子光シート顕微鏡,ベッセルビーム,ホログラフィ,ホログラフィー,3Dライブイメージング,細胞骨格,細胞形態,細胞動態,ホールセル,光刺激,超解像イメージング,ライブイメージング,ホログラム光刺激,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20378,広島大学,千原 崇裕,匂い感覚能の個性を生み出す分子基盤解明,本研究では、嗅覚に関連する分子、ニューロン、神経回路、そして個体行動について解析することで、「鼻が利くとは?」 という疑問に対する実験的な回答の取得を目指す。ショウジョウバエを用いた一個体ごとの嗅覚行動パターン測定、行動結果に基づいた個体選別と系統化、そしてそれぞれの個体における遺伝子発現と嗅覚神経回路の詳細な解析を行う。これら実験で得られる結果の相関関係・因果関係を調べることで「同じ遺伝子型をもっていても、匂いに対する感受性が違うのは何故か」、そのメカニズムに迫る。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,嗅覚,神経,ショウジョウバエ,個性,遺伝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20460,国立研究開発法人理化学研究所,林 茂生,細胞外基質ナノ構造の生物学的構築原理の解明,昆虫の嗅覚器官は表層の細胞外基質のクチクラ層に規則的に配列する口径50-200nmの穴( ナノポア)を通して匂い分子を感知する.ナノメートルレベルの細胞外基質構造が構築されるしくみを明らかにするために我々が同定した小胞体分子Gore-texを手がかりにしてナノポアの構築機構を明らかにする.ナノポア形成は最外層のenvelope層が嗅覚器官特異的に、周期的に湾曲することで作られる.そこでGore-texと共同してナノポア形成を促進させる分子を探索する.またイオンビーム連続切削型電子顕微鏡(FIB-SEM)を用いた三次元的解析により細胞膜動態を明らかにする.,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,昆虫,クチクラ,細胞外マトリックス,ナノ構造,嗅覚器官,FIB-SEM,ショウジョウバエ,クチクラナノ構造,小胞体,電子顕微鏡,生物模倣,細胞外基質,外骨格,細胞膜交通,嗅覚,形態学,発生生物学,バイオミメティクス,昆虫外骨格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20585,京都大学,高橋 和利,非標準的翻訳に着目した分化多能性メカニズムの拡張的理解,これまで翻訳されないと考えられてきた種類のRNAが実際は非標準的な機構で翻訳されていることに注目し、従来見過ごされてきた新規翻訳産物を同定することで現行タンパク質カタログを大幅に拡張する。これをもとに機能的スクリーニングを行い、ヒト分化多能性細胞をモデルとして、細胞の性質や運命決定機構を説明するにあたって「足りないもの」を探し出す。新しい分野の開拓により、真に細胞を理解することを目指す。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,翻訳,多能性幹細胞,非標準的翻訳,分化多能性,リボソーム,プロテオミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20584,東京医科歯科大学,石野 史敏,レトロトランスポゾン由来のヒト・霊長類特異的遺伝子の探索と機能解析,"ヒトゲノム中で遺伝子はわずか1.5 %で、推定遺伝子数は約20,000個とされている。これはショウジョウバエとほぼ変わらない。そのためヒト特有の性質を説明するために、遺伝子発現ネットワーク構造の変化、スプライシング多型、non-coding RNAの機能の研究や未同定のエンハンサーなどのシスエレメントの探索などの研究が推進されてきた。本研究では、ヒトゲノムの8 %を占めるLTRレトロトランスポゾン／内在性レトロウイルスのなかに新規獲得遺伝子として機能するものを同定する。これら哺乳類からヒトへの進化に伴ってヒト・霊長類固有となった遺伝子群は、実証されれば医学・生物学に大きな影響を与える。",挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,哺乳類進化,霊長類&#8226;ヒトの進化,胎盤,脳機能,ニューロン,ミクログリア,脳の自然免疫機能,霊長類特異的遺伝子,レトロウイルス,ERVPb1,遺伝子獲得,ヒトの進化,獲得遺伝子による進化,ヒト特異的遺伝子,ヒト個体発生,ヒト系統発生,レトロトランスポゾン,獲得遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20583,筑波大学,稲葉 一男,クシクラゲ櫛板の分子構造の解明と運動性フォトニック結晶開発に向けた基盤研究,本研究では、クシクラゲ類に存在する虹色に輝く巨大繊毛である櫛板の分子構築の解明と結晶構造の解明を目的とする。繊毛は、高速の波打ち運動を司る細胞小器官である。ヒトでは精子や気管支、脳室などにみられ、繊毛の異常は繊毛病などの疾患を引き起こす。繊毛の構造解明は、生物が形作る構造の理解につながるだけでなく、繊毛に由来する疾患の原因解明や治療にも重要である。本研究で対象とするクシクラゲの櫛板は、数万本の繊毛が束化しており、繊毛の構造を解明するのに適した材料である。本研究では、櫛板の分子構築と結晶構造を明らかにし、その応用として試験管内で巨大な繊毛を作り上げ、運動するフォトニック結晶作製の可能性も探る。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,クシクラゲ,櫛板,X線繊維回折,軸糸,ダイニン,フォトニック結晶,分子モーター,繊毛,微小管,cilia,ctenophore,axoneme,photonics crystal,X-ray fiber diffraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20459,名古屋大学,吉村 崇,1年の時を刻む概年時計の分子基盤の解明,温暖化や気候変動により、生態系、生物多様性、農業などに影響が生じている。そのため、生物の環境適応機構の解明は世界的に緊急に取り組むべき重要課題と位置付けられている。生物の体内には約1年周期のリズムを刻む「概年時計」が存在し、遺伝することも知られているが、1年という長い周期のリズムを刻む分子基盤の解明は進んでいない。洗練された季節応答を示すメダカを屋外の自然条件下で飼育し、得られた2年間の時系列試料についてRNA-seq解析を行い、様々な遺伝子が年周リズムを刻むことを見出した。本研究ではこの膨大なRNA-seqデータを基盤として、概年時計の分子基盤を解明する。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,概年時計,メダカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18238,公益財団法人東京都医学総合研究所,齊藤 実,ショウジョウバエで見出された情動伝染の表出とその発達機構の解明,我々は共感性の原初的形態である情動伝染がショウジョウバエでも起こること、情動伝染は集団飼育で発達する一方、ストレスの負荷で低下することを見出した。さらに情動伝染の表出が僅か一対の5-HT作動性神経細胞で制御可能なことも示唆された。本研究はショウジョウバエを新たなモデルとして導入することで、情動伝染回路を解剖学・分子生理学的に同定し、情動伝染の発達や障害機構を分子・シナプスレベルで明らかにする。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,情動伝染,セロトニン作動性神経,ショウジョウバエ,セロトニン作動性神経細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18237,自治医科大学,本多 新,ヒトの高齢出産で高い出生率を実現するための橋渡し研究,,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18236,広島大学,千原 崇裕,共食い分子遺伝学分野の開拓,共食いは無脊椎動物から脊椎動物まで様々な生物で観察され、進化の観点から理に適った行動と考えられています。多くの場合、種の繁栄に有利に働くとされており、共食いは生物がもつ生得的行動と捉えられています。しかし、共食いに関する研究の殆どは現象の観察・記載に留まっており、その分子機構については殆ど分かっていません。研究代表者はショウジョウバエを用いた神経遺伝学的研究を行う過程で、偶然にも、特定の化学受容変異体の幼虫が“共食い行動”を示すことを見出しました。本研究では、この“共食い変異体”を切り口に、共食い行動の分子基盤、特に化学受容による共食い行動制御の分子機構を解明します。,挑戦的研究(開拓),中区分44:細胞レベルから個体レベルの生物学およびその関連分野,共食い,感覚,ショウジョウバエ,嗅覚,味覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
