awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20382,東北大学,五十嵐 和彦,エピジェネティック機構による赤血球分化制御機構の解明と造血促進戦略への展開,赤血球は生体を構成する細胞の実に約70％をしめる。その異常で生じる貧血は世界で最も罹患者の多い疾患の一つであり、酸素の供給が低下し、臓器障害などをきたす。貧血の治療には鉄剤やエリスロポエチンが使われるが、鉄には毒性があること、エリスロポエチンは腎臓に原因があるものなど一部の貧血にしか有効でないことなど、貧血治療法にはさらなる改善が求められている。本研究では、赤血球分化の際に細胞で生じる遺伝子発現変化の仕組み、特にエピジェネティックな制御機構に着目し、この機構を人為的に操作することで赤血球産生を増大させることが可能であることを示す。さらに、得られた知見に基づいて斬新な貧血治療薬の開発を目指す。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,造血幹細胞,老化,転写因子,遺伝子発現,骨髄異形成症候群,造血管細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20593,慶應義塾大学,塗谷 睦生,組織内水のケミカルイメージングから迫る脳の生理学,脳の機能は、脳組織内における分子やイオンの伝達により支えられています。よって、これらの物質の脳組織内における動きの理解は、脳機能の理解に必要なものとなります。ここで、脳は他の組織同様、水に満ちた組織で、これらの分子の動きは、それを溶かしている水の動きにより制御されていると考えられます。つまり、脳機能の理解には、脳内の水の動きとその制御の理解が必要となります。しかし、水分子はサイズが小さいことから、可視化して研究することが困難でした。本研究では、このような技術的な困難を、新たな顕微鏡技術を応用することで乗り越え、脳の中の水の流れとその制御を明らかにし、脳機能の理解を促進することを目指します。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,組織内水,脳,ケミカルイメージング,分子動態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20592,東北大学,小椋 利彦,核内脂質代謝系は核内受容体のリガンドのin situ合成場として機能するか？,本研究では、以下の3つを行う。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,核内受容体,リガンド,核内脂質,核内脂質代謝系,エネルギー代謝,質量分析,Spermidine,核内代謝,脂質代謝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18251,名古屋大学,門松 健治,糖鎖シグナル伝達の新コンセプトがもたらす細胞制御,糖鎖はタンパク質と比べてゆらぎが大きく、X線やMRIの解析により平均的立体構造を得ることは難しい。最近糖鎖に対する受容体酵素が見つかったが、糖鎖によるその酵素活性の生物学的意義は不明であった。研究代表者の所属するグループはその糖鎖のリガンドとしてのコア構造を決定し、受容体酵素の基質を含む下流シグナル、そしてそれによる神経軸索再生制御を解明した。この発見は例外的な糖鎖のシグナル経路とは考えにくく、新しいコンセプトが隠されている可能性が高い。本研究の眼目は、多面的アプローチによって、糖鎖シグナル伝達という新コンセプトを樹立することにある。これによって糖鎖受容体の発掘が本格化すると期待される。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,ヘパラン硫酸,ALK,PTPRσ,LAR,糖鎖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18250,金沢大学,松本 邦夫,超機能バイオロジクスリガンドの創成と検証の研究,細胞増殖因子は他に置き換えられない顕著な薬効をもつものの、医薬として利用されている増殖因子は一部にとどまっている。汎用性のある手法で標的組織集積性、生体内安定性の顕著な向上、血中レベル制御など、医薬としての優れた化学特性・性能をもつ細胞増殖因子を創成することは難治性疾患の治療に革新的な進展をもたらす。本研究では、高機能・超機能細胞増殖因子を創成することを目的とする。HGF受容体METに結合する環状ペプチド配列を抗体Fc領域、トランスフェリン分子内にグラフト（内挿）し、それぞれ、高い血中安定性、血液脳関門通過能をもつ、MET活性化超機能細胞増殖因子を創成し、疾患モデル動物において、動態や薬効を検証する。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,環状ペプチド,Lasso-Graft,HGF,MET,細胞増殖因子,ネオバイオロジクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18377,国立研究開発法人理化学研究所,桃沢 幸秀,ヒトの未診断疾患から疾患概念を確立するためのイヌを活用したプラットフォームの構築,症状がありながら診断がつかず治療の手立てがない患者（未診断疾患患者）は日本だけで3万人以上存在する。遺伝性疾患が疑われるが症状を示す患者が極めて少ない病態は原因バリアントを確定できず、ヒトゲノムのみを用いた未診断疾患の原因遺伝子同定に限界がある。本研究では、研究代表者がこれまでに培った大規模ゲノム解析技術を“ヒトと共通の疾患に罹患し、ヒトで稀な遺伝性疾患の原因となる遺伝子機能阻害バリアントを高頻度で有する”という特徴を持つイヌに適用することでヒトの未診断疾患の原因遺伝子を明らかにし、ヒトゲノム研究の障壁を克服して新たな遺伝性疾患の概念を確立する。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,ゲノム医科学,獣医学,未診断疾患,希少遺伝性疾患,イヌ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18376,福井大学,清水 啓史,蛋白質の立体構造にタイムスタンプを付し構造遷移過程の全容を解明する手法の確立,X線1分子動態計測法、電子線単粒子解析法、計算機シミュレーションを融合して、蛋白質の立体構造に時刻の情報を付加し、構造変化過程の全体像を可視化する手法を確立する。単粒子解析法では生理的な条件下で複数の立体構造を分類して得られる。X線1分子動態計測法では立体構造変化を連続的に記録できる。情報を統合して計算機シミュレーションを行い、計算機上で立体構造情報と動態計測データを融合することに挑戦する。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,1分子計測,蛋白質,X線回折,単粒子構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17414,熊本大学,富澤 一仁,RNA修飾編集技術の開発とその疾患治療応用に向けた基礎研究,トランスファーRNA (tRNA) には100種類以上の化学修飾が存在し、その構造や機能に重要な働きをしている。我々は先行研究で、tRNA 修飾の欠失や異常が様々な疾患発症の原因となることを明らかに、すなわちこれら疾患では、RNA修飾を正常化することにより予防や治療に繋がることが期待できる。本研究では、修飾酵素の機能が欠失していても。自由自在にtRNAやmRNAの化学修飾を編集し、RNA機能を回復させるというゲノム編集に次ぐ新たな技術開発に挑む。本研究は、ゲノム編集技術に次ぐ医学・生命科学のブレイクスルーとなる技術であり、その技術開発に挑む本研究の意義は大きい。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,RNA修飾,FTSJ1,修飾編集,RNA modification,RNA editing,tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17413,広島大学,今泉 和則,核膜ストレスとその応答機構の分子基盤解明,細胞老化や細胞へのメカニカルストレスなどで核膜構成タンパク質が劣化・変性すると、重篤な核機能障害に陥り（核膜ストレス）、疾患発症の原因になる。しかし、核膜ストレスから核膜が破綻していく分子機構や、破綻後の修復機構の詳細はわかっていない。本研究課題では、核膜ストレス応答の仕組みをストレス感知、シグナル伝達、細胞・生体応答の各観点から解き明かすとともに、核膜病のモデル動物を用いて核膜ストレス応答機構の生体内での役割を解明し、疾患発症の分子機構に迫る。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,核膜ストレス,核膜修復,シグナル伝達,核膜病,プロジェリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21284,横浜市立大学,佐藤 卓也,ヒト多能性幹細胞からの精巣体細胞の分化誘導,男性不妊症の病因・病態のほとんどは未解明のままであり、有効な根本的治療法はほぼないと言って良い状況である。男性不妊症の研究が進展しない一因として、ヒト精子形成過程を研究する手段が、ほとんどないことが挙げられる。そこで本研究では、均一かつ安定的なソースであるヒト多能性幹細胞(iPS細胞)から精巣体細胞を分化誘導する培養法の開発を行う。そして誘導した細胞から精巣組織を再構成し、生体由来精巣の代替となる人工的なヒト精巣をつくり出す手法を開発する。これによって、ヒト精子形成を研究するための体外モデルの確立を目指す。,挑戦的研究(開拓),中区分48:生体の構造と機能およびその関連分野,精巣,オルガノイド,iPS細胞,セルトリ細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
