awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20387,国立研究開発法人情報通信研究機構,鈴木 隆文,超多点化と生体適合性の制御による神経電極の新展開,生体の神経系と直接の情報入出力を行うブレインマシンインタフェース（BMI）技術が近年注目を集めているが、BMIを真に実現するためには、神経系と外部機器との間で、超多点で（つまり非常に多数の電極電極によって）、長期間にわたって、安定かつ生体に対して安全に、情報入出力可能なデバイス（神経電極）が必要不可欠である。このために本研究では、生体と超多点神経電極との間の界面、つまり神経組織と神経電極が接触する部分に注目し、その両者の相互作用を時間的かつ空間的に制御可能な神経電極の実現を目的として、パリレンCを基板材料とした柔軟な神経電極をベースとして研究を行う。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,神経電極,BMI,生体適合性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20468,新潟大学,柿田 明美,デジタル3D神経病理学の創成,神経病理学的診断を行っていると、通常の組織標本、つまり２次元平面に薄切した標本の観察では、脳病変を正しく評価できないのではないか、と思うことがある。脳は、つくりが複雑で機能単位がことさら立体的だからである。本研究では、ヒト脳組織透明化・3Dイメージング技術を用いて、ヒト脳における神経細胞やグリア細胞の配列やネットワーク、更には微小血管の分布を３次元で鮮明に捉え、‘立体的機能ユニット’ における正常と異常を明らかにする。つまり定量的なデジタル3D神経病理学を創成し、ブレインサイエンスにおける形態学的イノベーションを開拓する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,ヒト脳組織,透明化,３次元イメージング,脳病変,神経病理学,デジタル画像,組織病理,デジタル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20601,東京大学,多賀 厳太郎,ヒト発達脳の多波長光イメージング,ヒトの脳の多波長光イメージングの新規な手法を開発し、血流・代謝のダイナミクスの解析を行い、その発達機構を解明する。小型の多波長近赤外光源を用いて、酸素化ヘモグロビン、脱酸素化ヘモグロビン、酸化型シトクロムcオキシダーゼを同時にイメージングする装置を開発する。血液製剤と酵母菌を用いたファントムにより、装置の評価を行う。新生児から成人まで、刺激時および安静時の脳のヘモグロビンとシトクロムの酸素化動態の同時計測を行い、時系列から抽出した位相ダイナミクスの解析により、神経活動・血流・代謝の連関の発達機構を明らかにする。新たな光脳機能イメージング手法の枠組みを開拓する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,シトクロム,グリンファティックシステム,NIRS,脳,代謝,酸素化,近赤外分光法,ヘモグロビン,乳児,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18267,高知工科大学,竹田 真己,非侵襲的かつ脳深部へ適応可能な新規刺激法を用いたヒト記憶脳回路の解明,経頭蓋集束超音波刺激を用いて、深部脳活動をコントロールした際の記憶パフォーマンスを検証することで、ヒトにおける記憶脳回路の因果的役割を解明する。（１）脳深部の内因性脳活動の位相にあわせた刺激が可能か、（２）刺激の効果範囲を十分に限定できるか、といった技術的課題をクリアするために、サルを対象に、経頭蓋集束超音波刺激の効果を経頭蓋と頭蓋内の両方の脳活動を同時計測して比較することにより検証する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,記憶,脳波,超音波,電気生理,fMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18265,北海道大学,和多 和宏,ソングバードを用いた「吃音」発症メカニズム解明に向けた神経回路機能学的研究,これまでに独自に発見したソングバードの大脳基底核内のGABAergic細胞選択的除去によって、なぜ吃音様の「音素時系列配列の繰り返し異常」が起こるのか?、『大脳基底核の機能異常』によって、異常繰り返し発声パターンの生成につながる神経動作原理を明らかにする。そのために、次に示す「細胞・分子、回路システム、個体発達」レベルの発症起因要因を検証する3つの実験を組み合わせた研究を進めていく。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,発話障害,動物モデル,大脳基底核,時系列制御,ドーパミン受容体,発声学習,鳴禽類ソングバード,吃音,シングルセル解析,発声学習行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18385,大阪公立大学,徳永 文稔,複合型ユビキチン鎖を標的とした筋萎縮性側索硬化症の病態解明と創薬シーズの開拓,筋萎縮性側索硬化症(ALS)は運動ニューロンが変性することで筋力低下を引き起こす神経変性疾患で、現在のところ有効な治療法はないため、ALS発症に至る細胞機構の基礎解明を基盤とした創薬シーズ探索への挑戦は急務である。我々は、ALS患者神経細胞内封入体に多様な連結からなる複合型ユビキチン鎖が含まれていることを見出しており、これがALS発症の細胞機構に関わる可能性を着想している。そこで本研究では複合型ユビキチン鎖を生成するユビキチンリガーゼ(E3)を同定するとともに、E3を標的とした抑制剤を探索し、細胞やALSモデルマウスを用いて薬効を解析する。これによってALS発症機構の基礎医学的解明に貢献する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,タンパク質,ユビキチン,酵素,神経変性疾患,筋萎縮性側索硬化症,疾患修飾薬,細胞質封入体,炎症,化合物探索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18384,京都大学,岡村 均,全スペクトル太陽光型LEDによる生体リズム発振の強化に関する研究,現今の新型コロナ感染の流行により、我々は、自然と隔絶した高度に人工的な生活を余儀なくされている。現在の人工照明は、省エネ効果の優れた従来型LEDであり、これに長期間暴露することによる、生体リズムの中枢のリズム発振を検索する。本研究では、従来型LEDの欠点を克服した太陽光LEDによる健康への影響を、昼行性霊長類マーモセット、ヒトおよび齧歯類を用い、生体リズム、運動、脳活動において検証する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,生体リズム,照明,脳機能,時差,LED,光,リズム中枢,霊長類,齧歯類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17422,富山大学,高雄 啓三,呼吸法によるこころの調節作用の神経メカニズム解明,本研究では、環境刺激フィードバックを利用した呼吸法の動物モデルを開発し、呼吸法の作用メカニズムを科学的な手法で研究できるものにする。さらに本モデルを活用して東洋の伝統的な精神訓練のコアとなる呼吸法による行動と脳機能制御の神経メカニズムの解明を目指す。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,呼吸,マウス,行動,自律神経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17421,新潟大学,松井 秀彰,APPとαシヌクレインの生理機能に立脚したアルツハイマーとパーキンソンのシン病態,本研究ではアミロイド前駆体タンパク質（APP）とα-シヌクレインの生理機能を明らかにする。そしてその生理機能に基づいてアルツハイマー病とパーキンソン病の真の病態解明に結びつける。より具体的にはこれまでの知見の蓄積や私達自身のデータを元に明らかにしつつある仮説を立証する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,パーキンソン病,SNCA,アルツハイマー病,APP,アミロイド前駆タンパク質,アルファシヌクレイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21292,九州大学,堅田 明子,脈絡叢分泌性miRNAを標的とした新規抗老化治療戦略の開拓,現在開発されている認知症治療薬の多くは、アミロイド&#61538;を標的としている。しかしながら、臨床試験において認知機能改善が得られず、開発中止となるものも多い。現在、老齢マウス脈絡叢では、miRNAの生合成や小胞分泌能が著しく機能低下する、という新規かつ独自の結果を得ている。実際に、加齢に伴い発現が顕著に減少する脈絡叢分泌性miRNAの一つ、miR30aは認知症患者の脳脊髄液では減少しており、老齢マウス脈絡叢での過剰発現が、記憶学習を改善することを見出した。本課題は、機能的miRNAをin vitroでの機能評価ではなく、行動スクリーニングで探索する。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,マイクロRNA,細胞外小胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24K21291,京都大学,篠原 美都,顕微受精が子孫の行動・神経発達に及ぼす影響の解明,本研究では顕微授精による行動異常の発症機序を探ると共に、その予防法を検討する。顕微受精のF1およびF2産仔の行動異常の発症機序が自閉症のそれと共通しているかを明らかにする。発生過程および成体の脳を用いた解析にて神経系の異常の原因遺伝子の同定を試みる。また、行動異常の症状を改善する治療法を検討する。さらにゲノムおよびエピゲノム解析にて親世代（F0）およびF1・F2世代の比較を行い、行動異常の次世代への遺伝や、F2世代で奇形が頻発する原因を明らかにする。母体の免疫活性化の有無とそれが胎児脳に及ぼす影響を明らかにする。これらを踏まえ、最終的に異常個体の発生の予防を目指す。,挑戦的研究(開拓),中区分51:ブレインサイエンスおよびその関連分野,顕微受精,生殖補助医療,自閉症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
