awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20395,北海道大学,玉腰 暁子,ウエアラブル端末を用いた高齢者の認知機能に影響する歩行パラメータと修飾要因の検討,自立した生活を営むためには、自身の力で思うところに動けること、すなわち歩けることが基本となる。北海道内6町在住の介護認定を受けていない70‐79歳を対象に、非侵襲、簡便かつ同時に複数のパラメータを測定できるウエアラブル端末を用いて歩行パラメータの把握を行い、その後の認知機能低下との関連を検討する。さらに、その関連を修飾する身体機能、冬季及び夏季の身体活動を含む生活習慣、屋内環境、近隣環境を探索し、認知機能低下に資する介入可能要因を明らかにする。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,歩行パラメータ,認知機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20477,早稲田大学,掛山 正心,トランスレーショナル研究戦略による社会性異常のバイオマーカー同定,社会性に関する問題（社会行動異常）は、自閉スペクトラム症（ASD）をはじめとした発達障害の主症状の一つである。我々は、化学物質曝露マウスや社会隔離経験を受けたマウスの中で「環境要因ASDモデルマウス」を見出した。本研究では、これらのモデルマウスを利用し、環境要因によって生じる社会行動異常のバイオマーカーを同定する。ヒトと実験動物双方でバイオマーカーを提示し、疾患モデル研究、実験系衛生学に資する。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,予防医学,バイオマーカー,衛生学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20618,聖隷クリストファー大学,森 雅紀,専門家レベルの緩和ケアAIプログラムの開発と検証～終末期の苦痛を一掃する,超高齢多死社会を迎えた日本では、緩和ケアを全国に普及させる画期的な手段の開発が求められる。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,AI,緩和ケア,終末期の苦痛,緩和ケアAIプログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20617,長崎大学,大山 要,健診コホートのプロテオミクスと人工知能を基盤とする関節リウマチ個別化予防の構築,関節リウマチ(RA)は自己抗原による慢性炎症で関節破壊がおき介助・介護が必要となる疾患である。RAには、高い効果が期待できる医薬品が登場したが、高額な費用が必要となる。その一方、こうした医薬品で効果が認められない患者もいる。つまり、治療薬の進歩は医療費の高騰と治療不応患者の孤立化という社会問題も生み出し、RAはこの問題が顕在化した疾患の一つである。本研究は未病期から発症にかけて増加し続ける疾患原因分子を特定し、疾患予備群を早期に抽出・予防治療する先制医療(個人ごとに設計された予防医療)を構築することで抜本的な問題解決に挑戦する。この成果は、RAにとどまらず多くの疾患の先制医療に波及する。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,健診コホート,免疫複合体,人工知能,関節リウマチ,先制医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20616,大阪大学,中村 昇太,病原微生物のその場メタゲノミックタイピング手法の研究開発,本研究課題では、ナノポアシークエンス技術を用いて、感染症発症の現場で網羅的な病原体同定結果が得られるメタゲノミックタイピング手法の研究開発を行う。これまでもナノポアシークエンス技術を用いたその場解析が強調されてきたが、それらの多くがその場でシークエンスだけを行っており、実際はデータを取得後、研究室に持ち帰り大型計算機で解析しているが、これではその場解析手法とは言えない。本研究課題では最新のネットワークコンピューティングモデルと遺伝情報解析手法を組み合わせて、真にその場で病原体のタイピング結果が得られるシステム開発を行う。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,感染症,メタゲノミクス,病原細菌,抗酸菌,微生物,病原体検出,次世代シークエンス,医療システム,クラウドコンピューティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20615,京都大学,川上 浩司,母子保健情報と学校健診情報の連接による、児の15年を紡ぐデジタルコホート疫学研究,数年で破棄されてきた妊婦健診情報、乳幼児健診情報、学校健診情報をデジタル化し保管閲覧を可能にすると共に、これまで繋げられることのなかった妊婦健診情報、乳幼児健診情報と学校健診情報を連接し、胎内から中学3年生までの15年間を追跡することができる匿名データベースを構築する。さらにスマートフォンを用いた保護者の個別同意のもと、子どもの健診情報に医療機関の電子カルテ情報を連接することで、病気が発症した例の詳細情報と発症前の継続的な健康情報を含む、より精緻なデータベースを構築する。構築したデータベースを用いて、胎児期や乳幼児期の環境や因子が、成長発達や発病などの健康状態に及ぼす影響を疫学的に解明する。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,母子保健,学校,乳幼児健診,疫学研究,公衆衛生,学校健診,学校保健,電子カルテ,PHR,ビッグデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20614,京都大学,高野 裕久,サイクロン装置で採取した公共的屋内空間中PM2.5の生体影響と影響決定成分の同定,新たに開発したサイクロン装置を用い、公共的屋内空間と屋外（一般大気中）でPM2.5を採取し、成分を分析する。また、粒子そのものを細胞等に曝露し、生体影響を評価し、ハザードを同定する。特に、屋内と屋外のPM2.5の成分と影響の異同を比較・検討する。また、両粒子について、生体影響と成分の相関解析を行い、生体影響を決定する要因や成分を同定するとともに、両粒子間の異同を明らかにする。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,サイクロン,PM2.5,公共的屋内空間,生体影響,影響成分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20613,北海道大学,山口 博之,建造環境の微生物叢の実態把握と応用:温度調節による新たな病原体制御理論の創成,人が触れる乾燥面や空間の温度を調節することで、その表面に固着したあるいは空気中に浮遊する薬剤耐性菌の生存性を制限し、その伝播拡散を阻止することで感染リストは低減できるはずである。しかし、建造環境の温度変化が微生物の動態に及ぼす影響に関わる実態把握の研究は、理論化や実装化には至っていない。本研究は、病院内の高頻度接触面と公共環境(地下歩行空間など)の微生物メタゲノム解析や微生物検査により、温度が微生物叢の動態に与える影響を、継続的に可視化し評価・解析すると供に数理モデル化することで、消毒剤や抗菌剤に頼らずに温度調節による新たな病原体制御理論の創成し、温度制御を介した感染防止策へと応用を目指す。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,人肌加温,高頻度接触面,病原細菌,院内感染,温度制御,公共環境,環境細菌,乾燥抵抗性,エアサンプラー,nhaA,メタゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18292,聖路加国際大学,林 直子,がん薬物療法を受ける患者の包括的がん悪液質アセスメントツールの開発と実装,本研究は、Ⅰがん薬物療法を受ける患者の包括的がん悪液質アセスメントツールの開発、Ⅱがん悪液質のアセスメント能力向上を目的とした看護教育プログラム開発と効果の検証、Ⅲ包括的がん悪液質アセスメントツールを用いた実装研究の3段階で実施する。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,がん悪液質,がん看護,アセスメントツール,実装研究,教育プログラム,e-learning,看護教育プログラム,集学的アプローチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18291,和歌山県立医科大学,牟礼 佳苗,生活習慣病としてのサルコペニアの早期予知及び診断マーカーの開発,本研究は、要介護の主要因であるフレイルの主軸をなす病態であるサルコペニアを生活習慣病と位置づけ、世界的にも例がないサルコペニアを10年以上追跡している大規模住民コホートROAD及びサブコホートであるWSSにおいて、筋・骨クロストーク及び筋タンパクターンオーバーを主眼として、網羅的探索研究から標的分子を絞り込む多面的機能解析を行うことでサルコペニアの実態を解明し、作用機序に基づく早期発症予知・重症化予測診断マーカーを開発することを目的とする。,挑戦的研究(開拓),中区分58:社会医学、看護学およびその関連分野,サルコペニア,生活習慣,マーカー,細胞外小胞,バイオマーカー,地域住民コホート,生活習慣病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
