awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20400,株式会社国際電気通信基礎技術研究所,小川 剛史,ひらめき脳状態の解明：脳内ネットワークの切り替え検出とその可視化,近年のAI技術の発達により、創造的な問題解決を必要とされる場面が増え、個人の創造性の向上が重要になると考えられる。そこで、脳内のマクロなネットワークの切り替えに着目し、多角的な高時間・高空間分解能の脳活動計測とAI技術を組み合わせ、ひらめきのメカニズムの解明することを目指す。高次で稀有な認知機能を、機械学習による脳活動パターンの識別により、ネットワークの切り替えを検出し、ひらめき脳状態の定量化を試みる。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,創造性,ひらめき,機械学習,脳活動計測,信号処理,fMRI,脳機能イメージング,状態遷移,脳機能,高次機能,データ駆動,脳内ネットワーク,脳波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20399,立命館大学,田中 弘美,視覚的質感解析に基づく触覚的質感特徴抽出　ー光沢から触り心地を推定するー,"CVやCG,心理物理学,脳科学の分野において,視覚的かつ触覚的な質感認知の研究が国際的に注目されている. 本研究は, 視覚的質感情報の解析から触覚的質感情報を推定することを目的とし, 表面微小構造における光沢等の変化を観測した超高解像度画像解析に基づき,視覚的質感特徴である光沢から触覚的質感特徴である触察時における摩擦を推定することを研究する．本研究課題が達成されれば,質感表現や質感再現技術を進展させ,触覚通信に応用されれば,遠隔医療や娯楽,通信販売など様々な分野で応用が大きく進展する.",挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,質感認知,質感再現,視触覚的質感,触覚的質感,高解像度画像解析,摩擦特徴抽出,VR触察体験,質感表現,視覚的質感,視覚的触覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20630,大阪市立大学,幸田 正典,脊椎動物の自己意識の起源の解明：魚類の鏡像自己認知、意図的騙し、メタ認知から,鏡像自己認知をはじめ論理的思考や共感性など硬骨魚類の社会的認知能力の高さが相次いで報告され、これら魚類の認知能力の発見が従来の動物行動学の常識を次々と覆している。本課題研究では、ヒトや霊長類、哺乳類などの持つ自己意識や共感性といった高次の社会的認知能力（賢さ）の起源が、古生代の硬骨魚類にまで遡るという仮説を検討する。魚類の認知研究は、世界的にはじまったばかりだが、その成果を考えればこれからの展開が大いに期待できる。またこの仮説は脳神経科学の最近の見地とも合致している。これら我々の研究計画は、ヒトが動物界の頂点とするキリスト教的世界観と対立する、東洋的な動物観に沿った研究とも言える。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,自己意識,自己概念,他者認識,他者概念,鏡像自己認知,写真自己認知,レムノンレム睡眠,洞察,顔認識,内面的自己意識,内省的自己意識,非言語的思考,メタ認識,メタ自己認識,自我,レム・ノンレム睡眠,認知進化生態学,共感性,同情,洞察力,ユーリカモーメント,ユーリカ効果,メタ認知,ホンソメワケベラ,知性の起源,脊椎動物,比較認知科学,意図的騙し,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20629,奈良先端科学技術大学院大学,向川 康博,光伝播の直接計測に基づくコンピュータビジョン,光源から発せられた光はシーン中で反射や散乱などの光学現象を繰り返す．本研究ではこの光伝播の様子を，数十ピコ秒の超短時間解像度で直接計測する単一光子検出器を利用したデバイスを開発する．さらに，物理モデルに従って光線を追跡し，光伝播の様子を解析するアルゴリズムを開発する．これらのハードウェアとソフトウェアの開発をベースに，コンピュータビジョンによるシーン理解能力を大幅に向上させる．,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,光伝播の直接観測,単一光子検出器,高時間分解撮影,非視線方向撮影,相互反射解析,時間分解インバースラジオシティ,光伝播,シーン解析,単一光子検出,SPAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20628,大阪大学,長原 一,暗号カメラと暗号画像認識によるセンサレベルビジュアルプライバシー保護,カメラで人を観測することでのプライバシー問題が社会問題化している。本研究ではセンサ上の光学像そのものをスクランブルする暗号カメラを提案する。センサでのサンプリング前にシーンを第三者に理解できない形へ光学的にスクランブル化し、符号化読み出しを行うことで、画像がデジタル化される前のセンサレベルでのビジュアルプライバシー保護を実現する。また、暗号カメラで撮影された暗号画像から復元を介さず、直接認識する新たな画像認識フレームワーク「暗号画像認識」を提案し、そのモデルや学習手法についての研究を行う。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,コンピュテーショナルフォトグラフィ,ディープオプティクス,プライバシー,プライバシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20627,電気通信大学,梶本 裕之,身体性の再構築を前提とした異部位触力覚提示の応用展開,本研究の目的は迫真的な触力覚提示の開発である．本研究は次の3つの着眼点を持つ．第一は「指先で触れる際の触力覚は指先に提示される必要はないのではないか」というものである．第二は「当初は不自然でも，必要十分な情報を提示することで後天的に自然と思える触力覚提示が実現できるのではないか」というものである．第三は「異部位提示が実は人の能力を超えた触覚情報提示を実現するのではないか」というものである．本研究は次の4つの段階を経る．第一に異部位触力覚提示の要素技術の確立である．第二に異部位に提示された触覚と力覚の融合方法の検討である．第三にVR環境内での有効性の検証，第四に実世界環境における実証である．,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,触覚,皮膚感覚,バーチャルリアリティ,ヒューマンインタフェース,力覚,ウェアラブル,ウエアラブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20626,群馬大学,奥 寛雅,飴を材料とした光MEMS技術が拓く飲食サービスVRの新展開,本研究は，食べられる素材である飴を利用して，レンズやプリズムに代表される光学素子を1mmから0.1mmといった大きさで作成する方法を開発することを目的としています．これらの素子は食べられるため，粉砂糖のようにケーキや料理などの上に直接のせて利用することができます．これにより料理を光や映像と組み合わせ，VR/ARを利用した演出方法を生み出して，食事のシーンをより豊かにする新しいサービスを創出することを目指します．,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,光MEMS,飴,光学素子,料理,サービスVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20483,東京工業大学,熊澤 逸夫,運動準備の潜在生体活動と3次元運動の高速計測による人の行動予測と事故回避,人の行動は、そのきっかけとなる刺激を感覚器が受けてから、脳内の情報処理や神経伝達に要する時間を経て、初めて筋肉が動き始めて開始する。開始後も、行動を完了するまでには、質量を持つ運動部位は、力学の法則に従い、限られた筋力で徐々に加速し、目標に到達するまでに相応の時間を要する。本課題では、こうして生じる数百ミリ秒の遅延の間に人の行動を予測し、事故が予知される場合にそれを未然に回避する方法を、高速生体信号認識、高速画像認識手法の開発を通じて研究する。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,高時間分解能光学的計測,フォトリフレクタアレイ,危険運動・行動検知,仮想現実,オンライン実験,人体揺動装置,テレビ放送コンテンツ,ディープラーニング,フォトリフレクタ,時空間信号認識,フォトトランジスタ,赤外線LED,時空間変調照明,潜在生体活動,感覚遅延,運動遅延,高速生体信号認識,高速画像認識,脳波,筋電,高時間分解能,高空間分解能,行動予測,危険察知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20482,東京大学,大澤 幸生,エントロピーに基づき対象の構造的変化のスケール横断的説明を支援する階層型可視化,対象システムにおける注目すべき構造的変化の要因や影響を説明する汎用的なデータ可視化手法を構築する。特に、局所の変化の特徴の間の関 係性を求めることにより、対象システムの変化について上下レベルのスケールを横断する説明を支援する階層型ネットワークの可視化を実現す る。新指標値Local Event’s Influence on the Global Entropy（LEIGE）を対象システムの大小さまざまなスケールの領域について計算し、 各領域のLEIGEが上下と近隣の領域のLEIGEに影響する度合いを計算する新手法を基礎とする。消費市場、世論の偏り、 地震現象の変化等の説明に適用してゆく。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,変化の説明,エントロピーによるモデル化と応用,可視化,マルチスケール,にぎわいの測定と創出,階層エントロピー,系のダイナミクス,感染拡大,金融市場,社会シミュレーション,特徴概念（Feature Concepts）,Data Leaf,マーケティング,特徴概念,COVID19,階層グラフ学習,構造的変化,スケール横断,エントロピー,画像の特徴抽出,地震データ,社会・経済データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18309,統計数理研究所,松井 知子,統計・機械学習による異分野相関を俯瞰する方法論の確立,COVID-19、SDGsの複雑に絡み合った課題に対しては、多くの異分野に跨がる学際的研究が 不可欠であり、異分野相関を俯瞰できる方法論が必要となる。従来の統合評価モデルによるアプローチには、1) 不確かさの所在が不明瞭、2) 多様なデータの十分な活用が困難、3) COVID-19のような突発事象への対応不可等の問題がある。本研究では、統計・機械学習により、この従来モデルをデータ駆動型の確率モデルに転換させて、上記の問題1)、2)を解決する方法論Iを確立する。さらにこの方法論Iを、突発事象を含め、様々な事象を包括できるモデル統合の方法論IIへと変革させ、問題3)を解決する。,挑戦的研究(開拓),中区分61:人間情報学およびその関連分野,異分野相関,統合評価モデル,データ駆動,確率モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
