awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20402,東京工業大学,佐藤 浩太郎,糖ケミカルコンバージョンによる革新的機能性高分子環境材料の創出,本研究では、天然の糖類の発酵や分解で豊富に得られるバイオマス資源に着目し、化学変換反応（ケミカルコンバージョン）により高分子原料であるビニル単量体構造（ビニルモノマー）へと誘導することで革新的機能性高分子材料群を創出することを目的とした。従来の石油化学品では入手困難な骨格をもつ天然由来物質に対して、有機合成や高分子合成反応で培ってきた技術を適応した。とくに、農業廃棄物など非可食のものから生産可能なグリセロールやフルフラールなどから実用性の高い機能性高分子環境材料を創生できることを明らかにしつつある。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,高分子合成,高分子環境材料,植物由来バイオマス,糖ケミカルコンバージョン,二酸化炭素固定化,バイオベースポリマー,化学変換反応,ビニルモノマー,精密重合,機能性高分子環境材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20486,北海道大学,岡部 聡,非生物・生物ハイブリッド人工光合成システムの構築：持続可能な酢酸生成拠点の創出,本研究では、エネルギー危機および地球温暖化の解決策として、無尽蔵の太陽光エネルギーと水および不要な二酸化炭素（CO2）から有用な化,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,光電気化学太陽電池(PEC),光水分解,複合金属ナノ酸化物半導体,ホモ酢酸生成細菌,酢酸生成,バイオ光電気化学太陽電池(Bio-PEC),ZnO/CuO,人工光合成,光電気化学太陽電池,半導体光触媒,バイオ燃料電池,CO2還元有価物合成,水の光分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20640,国立研究開発法人産業技術総合研究所,間世田 英明,環境での耐性菌出現機構に基づいた持続的公衆衛生インフラの実現,グローバル化した現在においては、人・モノの移動に伴い、抗生物質耐性菌もまた、各国へと広がっていく。自国の耐性菌を制御には、自国同様に近隣諸国での耐性菌制御が必須となっている。耐性菌に対応していくためには、耐性菌の出現と維持・残存に必要な要素、つまりは、抗生物質のような何らかの選択圧を与える物質を見つけ出し、取り除いていくことが早道である。そこで、本研究では、未だ明らかになっていない環境での抗生物質耐性菌の出現メカニズムと真の選択圧になっている物質を明らかにし、その原因物質と菌との接触機会を軽減することにより、市中への耐性菌の広がりを抑制し、本国への耐性菌の流入を軽減させることを目的としている。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,抗生物質耐性,消毒剤,界面活性剤,SDGs,公衆衛生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20639,秋田県立大学,川島 洋人,有機溶媒の利用を可能とする革新的2次元LC/IRMSの開発,近年開発された液体クロマトグラフ/安定同位体比質量分析計（LC/IRMS）は水溶性成分の炭素安定同位体比の高精度分析を可能にした。その結果，様々な食品偽装を見分ける応用研究等が現在，海外では報告され始めている。しかし，装置の制約として，対象物質は水溶性成分に限られることや，炭素安定同位体のみを対象としていることなど，未だに多くの課題がある。本研究では，LC/IRMSの用途拡大を目的として，2次元LC/IRMSを開発し，溶離液に有機溶媒を使用することで疎水性成分を対象にし，また炭素，窒素，硫黄の安定同位体比を対象元素にする等，革命的な装置開発を目指す。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,LC/IRMS,安定同位体,炭素安定同位体,有機溶媒,食品,安定同位体比,液体クロマトグラフ,二次元LC,マルチアイソトープ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20638,九州大学,野瀬 健,天然タンパク質資源の有効活用を目指した機能性マイクロ粒子捕集素材の開発,マイクロプラスチックの環境汚染が問題となる中、それらを捕集するための素材を、現在利用が進んでいない天然由来タンパク質を母体として調製することを目的とする。特に、タンパク質を高機能化するために感温性ペプチドで架橋することにより温度に依存して変化する網目構造を構築することを試みる。温度依存的に構造変化するタンパク質・エラスチンをモデルとして、エラスチン様ペプチドによる架橋反応をタンパク質に施しプラスチック粒子のサイズに対応した網目構造を構築することで、既存の石油化学製品とは異なる環境影響が非常に小さな、タンパク質性素材に結合する有害物質を除去可能で安全な吸着素材を開発することを目指す。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,天然タンパク質,ペプチド,循環型社会,環境調和型素材,未利用資源活用,エラスチンペプチド,タンパク質資源,マイクロプラスチック,疎水性芳香族化合物,有害物吸着,温度応答性,エラスチン様ペプチド,人工網モデル,天然由来タンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20637,山形大学,渡部 徹,ノロウイルスに汚染されない牡蠣養殖の実現,本研究では，ノロウイルスを蓄積しない性質を有する牡蠣を選んで養殖することで，絶対的に安心・安全な牡蠣を生産する新たな構想のもとで挑戦的研究を実施する。まず，胃腸炎患者由来のノロウイルス株による牡蠣の汚染実験を行い，「ウイルスを蓄積しない牡蠣」を選別する。ノロウイルスが牡蠣の消化組織に発現した糖鎖に特異的に結合する性質に着目し，汚染実験で選別された「ウイルスを蓄積しない牡蠣」に特有な糖鎖の発現様式や発現量を明らかにする。さらに，その糖鎖の発現に関わる遺伝子を特定する。将来的に，この遺伝子をマーカーに用いて「ウイルスを蓄積しない牡蠣」をあらかじめ判別することで，ウイルスフリーな牡蠣養殖を目指す。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,牡蠣,ノロウイルス,糖鎖,遺伝子マーカー,安心・安全な養殖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20487,愛知県立大学,吉岡 博貴,逆算アルゴリズム等価性による大規模衛星観測網の高精度化：新パラダイムの創成と実証,新しい時代を迎えつつある地球観測分野では，数千機の人工衛星を同時に使った地球観測網，いわゆる衛星コンステレーションが実現されつつある．そこでは，これまで生じなかった様々な問題が発生する．その１つが，“複数センサ間の差異を考慮し観測結果の一貫性をいかに保つか”という問題である．センサ間の観測結果を相互に比較する場合，各組み合わせごとに直接的に比較する方法がとられている．衛星の数がさらに増え，組み合わせの数が膨大になると，この方法では対応が困難となる．そこで，本研究ではセンサ間の比較を極力回避するための方法について研究し，そのための理論的基盤の構築を目指す．,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,衛星コンステレーション,逆算アルゴリズム,等価性,ひまわり８号,GEO,MODIS,LEO,リモートセンシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18318,近畿大学,早坂 大亮,生態系レジリエンスにもとづいた生態毒性評価,化学物質の生態毒性評価の課題のひとつに「生態系レベル評価の難しさ」が挙げられる。それは、生態系の複雑さや個別性に起因する。そこで本研究では、化学物質の生態系レベル評価の可能性を検討すべく、農薬の曝露拠点、かつ生物・生態系サービスのホットスポットである水田をモデルに、複合影響要因や地理的影響を操作・比較可能な野外・開放系実験を主軸として、（1）汎用的な生態系把握のためのコア機能群（共通の特性をもつ生物種や個体群の集合）や相互作用の特定と、（2）実用的な生態系機能の指標（生態系レジリエンス指標）の検討に取り組む。また、それを通じて化学物質による群集・生態系への実効性のある影響評価手法を検討する。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,生態リスク評価,化学物質汚染,温暖化,生態系レジリエンス,EDM,深層学習,メソコズム（実験生態系）,キーストーン指標,化学物質曝露,生物群集,生物（群）間相互作用,生物間相互作用,メソコズム,生態毒性学,群集生態学,環境影響評価,レジリエンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18317,静岡大学,福原 長寿,温室効果ガスからの固体Ｃ捕集でCOP21約束草案に貢献する革新触媒プロセスの開拓,本研究は、温室効果ガスとされるCO2を含んだ工業排ガスを触媒変換プロセスによって処理し、資源となるCH4や合成ガス、そして固体炭素の捕集を図るCCU型触媒プロセスを構築するものである。具体的には、産業設備からの排出CO2ガスをメタン化反応でCH4に変換し、そのCH4をドライ改質反応で合成ガス（CO+H2）へと変換する。さらに、この合成ガスから固体炭素を連続捕集する触媒プロセスの開拓を図るものである。COP21パリ協定で我国が宣言した、CO2ガス排出量の26％削減（2021年4月に46%に修正）に貢献する触媒プロセスの開拓である。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,CCU,温室効果ガス,メタネーション,ドライ改質反応,固体炭素捕集,構造体触媒システム,CO2削減,ドライ改質,CO2資源化,構造体触媒,低炭素化,オートメタネーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18316,長岡技術科学大学,河原 成元,ナノコンポジットのネットワークを有するゴム状ポリマーの創製とリサイクル,ナノ粒子のゴム状ナノコンポジットをマトリックスとするネットワークポリマーを創製するため，ナノ粒子のゴム状ナノコンポジットを一つの相（マトリックス）とし，ゴム状ポリマーをもう一つの相とするナノ構造を形成することを目指す。このとき，ゴム状ナノコンポジットにおけるナノ粒子間の距離は10 nm以下とし，ナノ粒子とゴム状ポリマーとの間に分子間引力を作用させることにより，ゴム状ポリマーがナノ粒子同士を強固に接着できるようにする。これにより，架橋ゴムと同程度かそれ以上の物性として破断応力30 MPa以上を実現し，リサイクルの際に破壊されるナノ構造を再構築することを目指す。,挑戦的研究(開拓),中区分64:環境保全対策およびその関連分野,天然ゴム,リサイクル,ネットワーク,ナノコンポジット,ナノ粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
