awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
20K20333,慶應義塾大学,中室 牧子,科学的根拠（エビデンス）に基づく教育政策の推進,厳密な政策評価の方法を用いた効果検証はほとんど行われて来なかった。そこで本研究では、政策評価の専門家で構成される研究者グループが、文部科学省・埼玉県教育委員会・埼玉県和光市・兵庫県尼崎市、アジア開発銀行と協力し、政策主体が実際に実施している下記の５つの教育政策の効果測定を実施し、「エビデンスに基づく教育政策」の先行事例をつくり、その定着に貢献することを目的とする。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,ランダム化比較試験,埼玉県学力・学習状況調査,禁煙外来,コミュニケーション能力,留学,回帰不連続デザイン,エビデンスに基づく政策形成,教育経済学,行政データ,クラスターランダム化比較試験,コンピュータ支援学習,保育の質,留学の効果,エビデンスに基づく政策形成（EBPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20417,筑波大学,大澤 義明,走行税課金による道路インフラ維持管理－ＥＶ化と車両認証のデジタル時代を迎えて－,EVシフトが進めば、大幅な税収減となり新たな財源の確保が必要となる。一方で、インフラ維持管理費用が深刻な問題となる。走行距離など移動経路に応じて課税する受益者負担の考え方はわかりやすく身の丈にあったインフラ量を誘導する。道路修繕更新費用の一部が走行税で賄われる受益者負担課金を想定し、地方自治体まちづくりに与える影響を分析し、社会最適化などの理論モデルを構築する。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,インフラ維持管理,モビリティ,電気自動車,予約システム,受益者負担,MaaS,交通課金,費用便益分析,均衡,シェアリング,課金,EV,ネットワーク流,オフグリッド,ドローン,電動自動車,移動革命,グラフ理論,交通ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20511,早稲田大学,齊藤 有希子,高齢化社会における企業の新陳代謝と企業間ネットワーク,高齢化の進む中、企業の新陳代謝において自主的な退出が趨勢となった。倒産による退出が減ったことは、企業のセレクションにおいて、銀行の果たす役割が限定的であることを意味する。本研究は、自主的な退出における新たな企業のセレクションの仕組みを検討することを目的とする。企業活動は複雑な企業間ネットワークの上になりたっており、退出の連鎖を引き起こす。退出の連鎖は企業間ネットワークという地域の無形資産の崩壊、マクロの生産性の低下につながる。自主的な退出を代表者の交代および高齢化、企業間ネットワークの観点から実証的に明らかにし、理論モデルの構築、複数のシナリオにおける政策評価を行う。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,高齢化,企業間ネットワーク,新陳代謝,企業退出,地位経済,高齢化社会,地域経済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20510,慶應義塾大学,寺西 勇生,個別製品レベルの大規模ミクロ・データに基づく新たな価格モデルの構築,本研究では、まず個別製品レベルの大規模ミクロ・データを用いて価格設定についての新たな観察事実を示す。ミクロ・データの特徴を生かし、ある製品・製品間関係の時間変化に着目した時系列方向と、ある時点の製品・製品間の状態・違いに着目した横断面方向の２方向から、製品価格の形成過程の特徴を解明する。その上で、ミクロ・レベルで観察された新たな事実に基づき、マクロ・レベルの精緻な価格モデルを構築する。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,価格モデル,製品レベルの大規模データ,個別製品レベルの大規模ミクロ・データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20418,早稲田大学,野口 晴子,科学的根拠に基づく健康政策の実現に向けて－文理融合によるビッグデータの利活用,本研究の主要な目的は、日本の健康政策研究を、大規模な医療・介護情報の整備という第1段階から、「文理融合」による「因果推論に裏付けられた科学的根拠」の創出と実装という第2段階へと推し進めることにある。第1に、大規模な行政管理データに自然実験を応用する定量分析と、AIや機械学習によるテキストマイニング等の定性分析とを組み合わせ、新たな健康政策の評価方法を開拓する。第2に、学際的な研究チームの編成・協働のあり方についてのベンチマークを形成する。第3に、団塊世代が全員後期高齢者になる2025年問題、団塊ジュニアが高齢化する2040年問題に対処するため、研究成果の実装についてのテンプレートを示す。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,健康政策研究,因果推論に裏付けられた科学的根拠,文理融合によるビッグデータの利活用,価格政策と数量政策,定量分析と定性分析との融合,文理融合によるビッグデータの利,文理融合によるビッグデータの利活用促進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K20332,東京大学,高崎 善人,空間データと開発プログラム評価の統合,途上国の開発プログラムの効果を厳密に検証することは、開発政策において極めて重要である。空間データとプログラム評価を統合する斬新なプログラム評価法（「空間プログラム評価」）を開発する。それを実際の評価プロジェクトに応用し、学術と政策の新しい発展的連携を図る。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,開発経済学,空間データ,プログラム評価,COVID-19,選好,犯罪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18129,慶應義塾大学,大垣 昌夫,信頼・応報性・利他性の通時および個人間変動に関する国際比較可能な個人追跡実験研究,本研究では国際的に比較可能なオンライン実験プラットフォームとアンケート調査を用いて、信頼・応報性・利他性がどのように変動し、その変動が互いに、また所得や就業などの他の経済変数の変動とどのように関係しているかを調べる。対象者は住民基本台帳に基づいて代表性のある個人追跡アンケート調査を行っている慶應義塾大学パネルデータ設計・解析センターの日本家計パネル調査（JHPS/KHPS）の調査協力者を対象に招待状を送って、協力してくださる方々とする。さらにJHPS/KHPSの本調査でもアンケート質問によって毎年、信頼・応報性・利他性を測る。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,社会関係資本,社会的選好,信頼,利他性,応報性,経済実験,社会的資本,経済実権,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K18128,東北大学,河野 達仁,生物と人の接触から生じるリスクと生物多様性の最適バランス：生態学と経済学の融合,本研究では，都市化や温暖化によってもたらされる都市住民と生物の接触が引き起こす様々なリスク（以下，生物リスクと略す）の適切な管理政策を検討するために，経済学と生態学の融合を行う．都市において生物リスクをもたらす生物種は，都市内に限れば害獣であるものの生態系の中では重要な働きを持つ．この生物リスクは，住民と生物の空間的相互作用とみなせる．そこで，本研究は，人類と生物の接触がもたらすリスクの管理政策を接触の空間相互依存作用を明示のうえ検討することを目的として都市経済学と生態学の統合モデルの構築を行う．,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,都市経済学,生態学,Lotka-Volterra,メタ個体群,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22K18257,一橋大学,中島 賢太郎,画像データで革新する経済学の実証研究,近年の深層学習の技術の進歩は、画像データから様々な情報を獲得することを可能にすることで、衛星画像データや、古地図などの歴史データの利用可能性を広げている。さらに近年のドローン技術の進歩は、可視光のみならず、熱や水分などの情報を超高解像度で取得することを可能にした。本研究課題は画像データを用いた経済学の実証研究の可能性を開拓、およびドローンを用いたランダム化比較対照実験(RCT)という未開拓領域に取り組むことで、経済学の実証研究における革新を求める。特に、即時のデータ収集が可能なドローンとRCTとの組み合わせは、即時の政策評価を可能とし、政策立案過程における革新をも引き起こす可能性を持つ。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,都市経済学,空間経済学,画像データ,深層学習,リモートセンシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23K17286,京都大学,渡辺 誠,雇用仲介の理論と実証,雇用仲介の役割が重要性を増す一方で仲介が低賃金労働を温床しているのではとの懸念が高まっている。それにもかかわらず政策的対応は殆ど講じられていないのは、そもそも学術的に雇用仲介を分析するツールが開発されていないことが主因の一つである。本研究ではこうした未開拓の領域に学術的な光を当てるべく、雇用仲介が低賃金労働を発生・温存させるメカニズムが解明し、雇用仲介、雇用政策一般についての論理を探求する。,挑戦的研究(開拓),中区分7:経済学、経営学およびその関連分野,雇用仲介,サーチ理論,オンライン・プラットフォーム,職業紹介・斡旋,賃金格差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
