awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H05553,奈良県立医科大学,栗本 一基,組織学的情報とリンクした単一細胞遺伝子発現プロファイル動態の解明,本研究では凍結組織切片から採取した単一細胞を強弱2種類の界面活性剤で溶解し、新鮮な細胞と同等の感度と定量性でRNA-seqする手法 DRaqL (direct RNA recovery and quenching for LCM)を開発した。下流のcDNA増幅法は独自手法（SC3-seq）に加え一般的な手法（Smart-seq2）や市販キット（Takara SMART-seq v4）も適合した。この手法はプロテアーゼ処理と組み合わせてホルマリンで強く固定した切片からも効率よく解析できた。これを用いて卵巣内の卵胞形成過程における組織学的情報にリンクしたトランスクリプトームの多様性を同定した。,新学術領域研究(研究領域提案型),生物系,シングルセルトランスクリプトーム,組織切片,RNA-seq,空間トランスクリプトーム,生殖細胞,配偶子形成,1細胞RNAseq,LCM,組織学的情報,レーザーマイクロダイセクション,1細胞解析,組織,卵,シングルセル,単一細胞,トランスクリプトーム,形態,gem cell,oocyte,histology,単一細胞解析,Single cell,1細胞,RNAseq,組織学,単一細胞トランスクリプトーム,配偶子,品質管理,卵子,位置情報,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05552,筑波大学,小林 悟,生殖細胞発生過程における選択機構の解明,本研究では、ショウジョウバエを用いて、以下の諸点を明らかにすることができた。1）生殖質中の母性因子により、始原生殖細胞（PGC）において体細胞性遺伝子の発現を抑制する機構の一端を明らかにした。2）PGCにおいて、細胞周期のG1/Sの進行を抑制する機構を明らかにした。3）トランスポゾンの人為的転移により、配偶子形成能の低下が引き起こされる機構を明らかにした。4）一部のPGCにおいて、トランスポゾンの転移抑制機構が破綻していることを示唆する結果を得た。,新学術領域研究(研究領域提案型),生物系,ショウジョウバエ,配偶子,始原生殖細胞,品質管理,選択機構,生殖系列,生殖質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05551,基礎生物学研究所,吉田 松生,個体発生における生殖細胞集団のレパートリー動態の解明,生殖細胞は、精子や卵子となって次世代を作る細胞である。本研究では、マウスの雄性生殖細胞が初期胚で生まれたのちに精子幹細胞次いで精子となって次世代に伝わる過程を解析した。胚発生の過程で生まれた始原生殖細胞に起こるクローンの削減、そののちに精子幹細胞ができる過程、精子幹細胞で起こるクローン競合、さらに次世代に伝わる時の生殖細胞の動態を明らかにした。さらに、ニワトリ始原生殖細胞の培養法の開発を進め、生殖細胞が成立するプロセスが哺乳類とは異なる鳥類の生殖細胞研究の基盤を固めた。,新学術領域研究(研究領域提案型),生物系,生殖細胞,細胞系譜,マウス,ニワトリ,クローン動態,バーコーディング,レパートリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05550,筑波大学,八幡 穣,非破壊的可視化による配偶子インテグリティの予見,１）マウス卵子の受精能予測：マウスの卵子集団は、生体由来の集団も、体外成熟由来の集団も、必ず受精・発生能力のないものが含まれている。本研究では自家蛍光の分析により、受精能の無い未成熟卵子を非破壊的に判別する技術が開発された。2)マウス精巣の構造可視化：精巣は、精原細胞とそれを補助する細胞により構成される。本研究では各細胞種が独特の自家蛍光の特徴をもっていることを明らかにし、手を加えない精巣組織構造の解析を可能とした。３）魚類生殖細胞の分取：代理新魚技術は、希少種の保全などへの活用が期待される技術である。本研究では生殖細胞のみを自家蛍光の特徴に基づいて分取する技術を開発した。,新学術領域研究(研究領域提案型),生物系,配偶子,自家蛍光,CRIF,共焦点顕微鏡,機械学習,一細胞解析,卵子,体外培養,自家蛍光解析,非破壊評価,in vitro gametogenesis,非破壊分析,内在性蛍光,可視化技術,インテグリティ,顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05549,国立研究開発法人理化学研究所,北島 智也,染色体イメージングによる卵子インテグリティの予見,卵子のインテグリティにとって最も重要な要素の一つとして、染色体数の正常性が挙げられる。in vitro gametogenesisで作られた卵子や、高齢の生体における卵子には高い頻度で染色体数に異常が見られ、そのインテグリティの低さを反映している。卵子の染色体数異常は流産やダウン症に代表される先天性疾患の主要な原因である。本研究では、卵子のインテグリティについて染色体イメージングを中心とした細胞生物学的な研究を行った。卵子のインテグリティに重要な要素として紡錘体の安定性を見出し、それに必要な分子機構の一端を解明した。また、高齢になるとともに減少する染色体因子を同定した。,新学術領域研究(研究領域提案型),生物系,卵子,イメージング,染色体,紡錘体,ライブイメージング,動原体,卵母細胞,染色体分配,in vitro gametogenesis,インテグリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05548,生理学研究所,小林 俊寛,種を越えた配偶子産生システムの in vitro 再構築,本研究では近年マウスを用いて急速に進んできた in vitro gametogenesis (試験管内での生殖細胞作製技術) を様々な動物種へ適応させ将来的な産業・医療への応用へ繋げることを目指し、マウスに次ぐ実験動物であるラットとウサギを用いた研究を進めてきた。主な成果として、ラットおよびウサギにおいて多能性幹細胞から精子・卵子のもとになる始原生殖細胞 (PGC) の分化誘導する方法を開発した。特にラットではマウス以外では初めて、精子形成およびその後の個体作出に貢献できる”機能的な” PGC の分化誘導に成功した。,新学術領域研究(研究領域提案型),生物系,多能性幹細胞,始原生殖細胞,ラット,ウサギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05547,東京農業大学,尾畑 やよい,高インテグリティを実現するin vitro卵子産生系の開発,本研究は、高インテグリティを実現するin vitro卵子産生系の開発を目指した。in vitroではエストロジェンシグナルの過度な活性化により、AMHの早期発現が生じ、卵胞形成不全になることがわかった。一方、胎仔肝臓より分泌されるAFPを培地に添加するとエストロジェンシグナルが抑制され、卵胞形成が正常に進むことが示された。さらに、卵胞培養時の酸素分圧を20から7%まで低下させることで、卵母細胞では脂質代謝異常の改善、ミトコンドリア活性の回復および発生能改善が認められた。改良したin vitro系と遺伝子導入法を併用した結果、卵子形成過程で働く遺伝子の機能解析ツールとして有効なことが示された。,新学術領域研究(研究領域提案型),生物系,卵子,卵子形成過程,卵胞形成過程,発生能,in vitro,卵子形成,卵胞形成,エピジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05546,横浜市立大学,小川 毅彦,高インテグリティを実現するin vitro精子産生系の開発,試験管内マウス精子形成の成功は、牛血清アルブミン製剤であるAlbuMAXを培養液に加えることで達成できたが、AlbuMAXに含まれる重要物質の詳細を本研究で明らかにした。特に抗酸化物質とリゾリン脂質は重要であり、それらを組み合わせることで培養液の改良を行った。さらにマイクロ流体デバイスの素材であるシリコーン樹脂（PDMS）を用いて小チップを作製し、これを精巣組織片に被せることで精子形成効率を向上させることを見出した。これらの成果を組み合わせることで世界初のラット試験管内精子形成に成功した。また領域代表の林らとの共同研究において、マウスES細胞から機能的なセルトリ細胞の分化誘導に成功した。,新学術領域研究(研究領域提案型),生物系,精子形成,器官培養,組織再構築,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05545,九州大学,林 克彦,多能性幹細胞による配偶子産生システムのin vitro再構築,生体内と体外培養系におけるマウス卵母細胞の形成過程を比較することにより、低酸素状態と物理的ストレス状態が原始卵胞の維持に必要であることを見出した。実際にそれらの環境を体外培養系で再現すると、これまでのin vitro gametogenesisでは不可能であった原始卵胞の静止状態が再構築された。また、マウスES細胞から卵巣の体細胞と同等の細胞を分化誘導し、ES細胞のみから誘導された卵巣オルガノイドから発生能をもつ卵子を作製した。このほか、マーモセット、ウシ、ミナミ/キタシロサイの多能性幹細胞からの始原生殖細胞を分化誘導する方法を確立した。,新学術領域研究(研究領域提案型),生物系,生殖細胞,配偶子,幹細胞,卵母細胞,卵巣組織,オルガノイド,生殖幹細胞,卵巣体細胞,卵胞,多能性幹細胞,支持細胞,精原幹細胞,原始卵胞,卵胞構造,in vitro gametogenesis,体外培養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05544,九州大学,林 克彦,配偶子インテグリティの構築,総括班活動において、おもに以下の研究成果を挙げた。(1)年に2回の領域会議を開催して、最新の情報交換を促した。このうち１回を若手自身が企画・進行を行う若手研究集会として若手研究者のネットワーキングの形成を促した。(2)大規模解析の実施、データサーバの共有、培養用マイクロデバイスの供給を研究支援として行なった。(3)若手研究者を海外研究集会へ積極的に派遣した。新型コロナウィルス感染拡大の影響により約3年間はこの活動に支障を生じたが、その間もオンラインの海外研究集会への参加を支援した。(4)国際シンポジウムを開催し国内外対面参加187名（6カ国）、オンライン参加239名（22カ国）の参加があった。,新学術領域研究(研究領域提案型),生物系,配偶子,生殖細胞,配偶子形成,体外培養,幹細胞,生殖細胞系列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
