awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18H05525,東京大学,池谷 裕二,時間処理およびその情動的価値の生成と崩壊,脳が感知する「こころの時間」は物理的時間とは異なり、注意や動機や文脈などの内部状態によって自在に伸縮し、分節化する。こうした心理的時間は、しばしば不適切に変容し、ときに疾患にも深く関与する。こころの時間がどのように崩壊し、疾患となるのかを神経科学、認知神経科学と臨床神経心理学の包括的なチーム体制によって解明する。脳時間機能の正常と病態の輪郭を、ヒト臨床試験および動物実験を通じてあぶり出す。,新学術領域研究(研究領域提案型),複合領域,時間,脳,疾患,記憶,時間判断,アルツハイマー型認知症,パーキンソン病,海馬,楔前部,神経,認知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05524,京都大学,平田 聡,時間の獲得の個体発生と系統発生,こころが時間を生み出すのはなぜ、どのような仕組みによるのか、その個体発生（ヒトの生後の発達）と系統発生（生物進化）を明らかにすることを目的とした。時間に関するラベルづけした文章データを大量に学習した人工神経回路に、様々な年代の人（幼児～大人）が作文した文章データを入力することにより、年代の違いを可視化することに成功した。また、ヒトを対象に設計された時間的特徴を組み込んだ強化学習モデルを用いてチンパンジーの認知課題の振る舞いを説明できる一方で、ヒト、チンパンジー、各種サル類、ウマにおいて聴覚誘発電位の潜時に顕著な違いが見られることも明らかとなった。,新学術領域研究(研究領域提案型),複合領域,比較認知科学,発達心理学,数理脳科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05523,北海道大学,田中 真樹,知覚や行動に伴う心的時間の脳内機構とその操作,知覚や行動を支える時間情報が脳内でどのように処理されているか、実験動物、健常者、神経疾患患者を対象に調べた。周期的な刺激に対するリズム知覚や同期運動を生成させる際に小脳や大脳基底核がもつ情報が明らかになるとともに、これらの変性を来す神経疾患の病型ごとの特性が詳しく調べられた。また、特定周期の脳波律動がヒトの様々な視知覚や時間的注意に関与することが示され、これを非侵襲的に操作する手法が開発された。これらの研究を通じて脳の時間情報処理メカニズムの一端が明らかになり、「時を生みだすこころの仕組み」の解明を目指す新学術領域「時間生成学」に貢献することができた。,新学術領域研究(研究領域提案型),複合領域,計時,リズム知覚,大脳小脳ループ,大脳基底核ループ,脳波律動,病態生理,機能介入,霊長類,時間知覚,周期現象,学習機構,脳機能計測,脳機能介入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05522,大阪大学,北澤 茂,時の流れの神経基盤,本研究は、「過去-現在-未来」の時間の流れの意識の神経基盤を探求した。日本語、中国語、英語を母語とする被験者に対し、言語刺激を用いて脳活動を計測した結果、楔前部が「現在感」を喚起する刺激に強く反応することが示された。また、楔前部を抑制すると過去の記憶が障害されることが明らかになった。これに基づき、楔前部の現在情報が海馬に送られ、過去の事象が保存されるモデルを提案した。さらに、時間の流れの方向には右大脳皮質―左小脳ループが関与することが示唆された。これらの研究から、楔前部と海馬のネットワーク、および右大脳と左小脳のループが時間の流れの神経基盤であることが示された。,新学術領域研究(研究領域提案型),複合領域,時間知覚,Time's arrow,楔前部,小脳,時間順序,認知神経科学,時間の矢,時の流れ,時間認知,fMRI,ECoG,時間の流れ,こころの時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05521,明海大学,嶋田 珠巳,言語による時間生成,(i)日本語BERTを構築した。BERTを用いて文書中の時間情報を識別する人工神経回路を構築した。時間関係に関する常識の応答英語課題(MC-TACO)を対象に時間識別を行う深層学習モデルを構築した。これらは世界トップ水準の性能を達成した。(ii)時間表現の基本的な語彙と文法機構、ヒトとヒト以外の動物の時間概念形成、エピソード記憶の成立などから、時間生成における言語の果たす役割を検討した。(iii)時間の流れの内観に関して分析哲学と時間の構造化の言語表現分析により考察を進めた。(iv)神経科学ほか様々な分野の研究者と全17回の「時間言語フォーラム」を実施するなど時間生成学のハブ的役割を果たした。,新学術領域研究(研究領域提案型),複合領域,時間と言語,こころの時間,時間生成学,人工神経回路,時間の流れ,時間言語フォーラム,時間,複合領域,時間の言語表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05520,大阪大学,北澤 茂,時間生成学―時を生み出すこころの仕組み,我々は過去と現在と未来を区別しながら生きている。ヒトで特に発達したこの時間の意識－こころの時間－はどこからどのように生まれるのか。本領域は、「こころの時間学」領域を継承して発展させ、以下の5つの成果を挙げた。1.「こころの時間」の機能を発揮する人工神経回路を構築した。2.様々な「時間地図」の機能と成因を明らかにした。3.「退屈な時間はなぜ苦痛なのか」などの日常の内観と神経活動の関係を明らかにして報告した。4.新たな「こころの時間」の操作法を開発した。5.ヒトとヒト以外の動物、成人と子供、の共通点と相違点を解明した。,新学術領域研究(研究領域提案型),複合領域,時間生成学,時間生成,こころの時間,時間の意識,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05511,北海道大学,長田 直樹,ヤポネシア人の人口推定を中心とした巨大データ解析,本研究計画は，ゲノム配列データを用いてヤポネシア（日本列島）人の歴史を高精度に推定する手法を開発し，それらを実際のデータに適用することにより，ヤポネシア人がどのようにして日本列島に到達し，混血し，発展していったのかを明らかにすることを目的とする．ハプロタイプ，希少変異，性染色体，非SNPマーカーという4つの面に着目し，領域内の他の研究計画から得られたゲノムデータを中心に，日本列島内における現代人の詳細な遺伝構造や，1000年前からの人口動態の推定，現代人と古代人の遺伝的関係性の評価など，さまざまな解析を行い，新たな知見が得られた．,新学術領域研究(研究領域提案型),複合領域,ゲノム,日本列島人,ヤポネシア,日本列島,ヒト,進化,遺伝的多様性,日本人,人口動態,集団遺伝学,ヤポネシア人,ゲノム配列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05510,青山学院大学,遠藤 光暁,日本語と関連言語の比較解析によるヤポネシア人の歴史の解明,全体としてはアジア・アフリカ(AA)諸言語の言語地図を編み，日本語の諸言語特徴を定位した。動植物については遺伝学・考古学とのコラボを行った。格標示については日本語方言で先行していた地理的研究とAA諸言語の比較を行った。遠藤は日本列島と朝鮮半島における7世紀以前の漢字音訳の音価と意味の解読を進めた。狩俣は琉球語の系統樹を検証し、語彙による集団遺伝学の有効性を確認した。木部は日本語諸方言の格標示体系やアクセント体系の地域差を調査し、古代日本語の再構築の研究を行った。風間は日本語類型論の集大成となる単行本を刊行し，アルタイ型言語の類型についても新知見を得た。,新学術領域研究(研究領域提案型),複合領域,集団遺伝学,アルタイ型言語,格標示形式の地域差,アジア・アフリカ諸言語,日本語方言,系統樹,言語類型論,歴史言語学,日本語方言学,地理言語学,日本語,琉球語,アルタイ諸言語,朝鮮半島,住民移動,三国史記,格表示,琉球祖語,類型論的特徴,動植物語彙,言語系統樹,方言学,方言コーパス,アイヌ語,ツングース語,日琉祖語,音韻対応,アルタイ型諸言語,日本語諸方言の言語システムの比較,類型論,言語地図,日本語の系統,方言,高句麗地名,基礎語彙,,,,,,,,,,,,,,,,,,,,,
18H05509,国立歴史民俗博物館,藤尾 慎一郎,考古学データによるヤポネシア人の歴史の解明,これまで渡来系弥生人は、在来（縄文）系弥生人と現代韓国人と同じ核ゲノムをもつ青銅器文化人との混血によって生まれると考えられてきたが、本研究の結果、青銅器文化人の核ゲノムは現代韓国人と同じではなく、むしろ、渡来系弥生人や中国北部の青銅器文化人に近いことが明らかになった。この成果は、現代日本人成立のメカニズムを説明する埴原和郎の二重構造論に再考を促すものである。,新学術領域研究(研究領域提案型),複合領域,核ゲノム,ミトコンドリアDNA,渡来系弥生人,在来（縄文）系弥生人,西遼河系,古代東アジア沿岸集団,炭素14年代測定,二重構造説,同位体比分析,西遼河,炭素14年代,縄文時代,出土人骨,年代測定,蝦島貝塚,矢作貝塚,弥生時代,古墳時代,炭素寄与率,縄文系弥生人,4親等,古人骨,数値年代,親族構造,貝交易,炭素１４年代測定,ＤＮＡ,海洋リザーバー効果,貝集積,貝塚後期時代,考古学,貝塚時代後期,,,,,,,,,,,,,,,,,,,,,,,,
18H05508,北海道大学,鈴木 仁,動植物ゲノム配列解析にもとづくヤポネシアへのヒトの移動の推定,ゲノム学的解析に基づきハツカネズミを中心に住家性小型哺乳類のヒトに帯同した時空間動態を解明するとともに、過去１万年間のアジア東部のイネとアワの先史農耕の地理的展開との関係性を示すことができた。イネの大規模なゲノムデータ解析に基づき、日本列島の集団構造と東アジア地域における類縁関係、さらには古代米のルーツを示すことができた。ヒョウタンのNGS解析データに基づく分子系統ネットワーク解析を行い、移動経路に関する仮説を提示した。北海道ヒグマの集団構造についてゲノム学的解析に基づく地理的構造を示すことができた。また、北海道とエトロフ島の個体群にホッキョクグマの遺伝子流入があることを示唆することができた。,新学術領域研究(研究領域提案型),複合領域,ハツカネズミ,クマネズミ,ジャコウネズミ,イネ,ヒグマ,ゲノム,先史時代,縄文・弥生時代,全ゲノム解析,ヒョウタン,ヒト随伴動植物,ヤポネシア,動植物,系統地理学,オーストロネシア語族,ヒト随伴動物,第四紀環境変動,縄文時代・弥生時代,第四紀後期環境変動,マウス,ヒト随伴野生生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
