awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J15273,京都大学,中山 慧輝,インド瑜伽行派の基本典籍『瑜伽師地論』における無常説の解明,インド仏教の中でも瞑想修行の実体験を重視する瑜伽行派の基本典籍である『瑜伽師地論』に着目し、仏教の根本教義である無常について、単なる理論に収まらない彼らの実体験に基づいた無常説を修行道の観点から明らかにすることである。『瑜伽師地論』は瑜伽行派の基本典籍でありながら、内部の複雑な相互引用や教理の発展から新古層に区分される特殊な論書であるため、各章に見られる無常説と比較、分析することで、瑜伽行派の学僧らが実体験した無常性をいかに説明し、いかに受け継いだかを突き止め、『瑜伽師地論』全体の無常説を解明する。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,瑜伽行派,無常,菩薩地,菩薩地解説,有為の四相,摂異門分,修行道,声聞地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15164,京都大学,成 高雅,江戸後期医学における考証学派の成立と展開：日中考証学の比較を中心に,本研究は江戸後期医学における考証学派の代表である多紀氏について研究を行う。日中の考証学の比較を中心に、医学考証学派の学問の特性を特定し、清朝の考証学から継承したものと相互の差異を確認し、思想史的視角から医学考証派の学問を明らかにすることを目的とする。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,医学考証学派,多紀家,考証学,江戸医学館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11898,東北大学,渡辺 亮,サンヴァラ系密教の儀礼に基づくインド密教史ー儀礼文献の原典研究ー,本研究は、インド密教において9世紀以降に登場するサンヴァラ系密教に関して、その実践的な儀礼の新たな側面を明らかにするために、儀礼文献の基軸となるサンスクリット写本を積極的に活用した批判的な検討によって、当時の社会的価値観や思想が多分に反映されていると考えられる同密教の儀礼がインド密教史の変遷と展開の中で重要な役割を担った可能性について言及するとともに、得られた結果を踏まえて錯綜したインド密教史を解明しようとするものである。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,インド密教,儀礼,チャクラサンヴァラタントラ,クリシュナアーチャーリヤ,究竟次第,グヒヤタットヴァプラカーシャ,オーリチャトゥシュタヤ,ターラナータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11458,東洋大学,通 然,中国初期禅思想史研究－６世紀から８世紀を中心として－,禅宗は仏教の中でも極めて特徴的な思想を持ち、また、今日の中国仏教の基盤となっているという点で極めて重要な意義を有している。従って、この禅宗がいかにして形成されたのかを明らかにするということは、中国仏教の本質を知る上で極めて重要な問題であると言えよう。そこで、本研究は最も代表的な「初期禅語録」五種、即ち、『修心要論』『観心論』『頓悟真宗要決』『壇語』『絶観論』を取りあげ、その思想の成立や変化の過程、後世への影響などを明らかにし、中国初期禅思想史の展開に一つの道筋をつけようとするものである。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,禅宗史,禅文献,禅思想,北宗,南宗,中国仏教,初期禅宗、禅宗文献（灯史・語録）,法如、元珪（法如派）,神秀、普寂（北宗・普寂派）,慧能、神会（南宗・荷沢宗）,法持（牛頭宗,無住（浄衆宗）,無相（保唐宗）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10765,広島大学,彭毛 才旦,チベット仏教中観思想の研究,本研究は最初にゲルク派の中観思想の構造と、その思想の独自点を明らかにした上で、ゲルク派が批判対象とするシャーキャ・チョクデンの中観思想の特色を明らかにし、その中観学がインド仏教にどのように組み込まれているかを探るものである。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,シャーキャ・チョクデン,ツォンカパ,チベット仏教,中観思想,比較研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10611,筑波大学,小坂 有弘,中観派の修行プロセスにおける伝統説の受容と超克,カマラシーラ(ca.745-790)に代表される後期中観派が多くの教説を包括した総合的な修習プロセスを確立したことはよく知られている。中期中観派の学匠チャンドラキールティ(ca. 600-650)は伝統説の受容と超克という二つの段階からなる修習プロセスを構想しているが、これは後期の包括的修習プロセスへと発展する萌芽を示している。本研究では修行体系の発展史の構築に寄与すべく、チャンドラキールティの修習プロセスの全容を解明する。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,インド学,仏教,大乗仏教,中観,空性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01490,東京学芸大学,田村 昌己,5-7世紀インド認識論の史的展開の再構築－バーヴィヴェーカを視座として－,インド大乗仏教中観派バーヴィヴェーカの認識論の全体像と特徴を解明した上で、彼の認識論をミーマーンサー学派クマーリラや仏教論理学派ダルマキールティのそれと比較考察することにより、現在考えられている「ディグナーガ→クマーリラ→ダルマキールティ」という思想展開において「バーヴィヴェーカの介入」がどのような影響を与えたのかを明らかにする。従来顧みられなかったバーヴィヴェーカを視座として、仏教認識論を中心とする5-7世紀インド認識論の展開を再構築することを目指す。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,バーヴィヴェーカ,ディグナーガ,クマーリラ,ダルマキールティ,認識論,一切智者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00262,関西大学,松川 雅信,近世日本における儒教儀礼の受容と展開―朱熹『家礼』を中心に,本研究は、これまで殆ど注目されてこなかった、近世日本における儒教儀礼の受容・展開の実態を、主に文献資料に基づいて明らかにしようとするものである。特に、東アジア＝漢字圏で強い影響力を有した朱熹『家礼』を主な素材とする。そうすることで、近世日本の諸文化を東アジア＝漢字圏のなかに位置づけるとともに、儒教に対する従前の理解の大幅な刷新を目指している。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,日本思想史,日本近世史,儒教,朱子学,『家礼』,葬祭儀礼,儒礼,闇斎学派,東アジア,近世日本,藩主,儒葬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19008,国際仏教学大学院大学,落合 俊典,日本古写経・敦煌文献と一切経音義との対照から見た漢訳仏典の用語に関する基礎的研究,本研究は日本に現存し、調査できた一切経音義（玄応音義25巻）の１２８巻を全文データ入力したデータベースに基づき仏典の用語・語彙の比較研究を行う。一切経音義に採録された用語・語彙と日本古写経および敦煌仏典に見られる用語・語彙の比較研究に依って唐代長安で使用されていた標準仏典のテキストの概要を研究するものである。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,一切経音義,日本古写経,敦煌文献,漢訳仏典,玄応,宮廷写経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J40059,立命館大学,草野 友子,戦国秦漢簡牘を用いた中国古代思想史の再構築,近年、中国では戦国時代から秦・漢代の簡牘（竹や木の札に書写されたもの）が多数発見されており、その中には従来の思想解釈に修正を迫る重要な文献も含まれている。本研究では、政治思想や教訓が見える「故事」類の文献を中心に取り上げる。簡牘資料には難読文字や排列・綴合の問題等が存在するため、まずはそれらを解決し、テキストを確定する。その上で、文献の著作意図・背景・思想的特質を検討し、現在まで伝わってきた既存の文献との比較を通して、中国古代思想史の再構築を試みる。,特別研究員奨励費,小区分01020:中国哲学、印度哲学および仏教学関連,中国古代思想史,戦国秦漢簡牘,北京大学蔵秦簡牘,安徽大学蔵戦国竹簡,中国,新出土文献,故事,教訓書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
