awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23417,京都大学,松本 智憲,ラカン派精神分析による身体論の多文化主義的検討：フランツ・ファノンを中心に,本研究は、ラカン派精神分析において、人種・ジェンダー等の身体の「社会的なもの」が無意識の中でいかなる位置を占めるか、フランツ・ファノンの精神分析理論を手掛かりに思想史的な解明を試みるものである。彼の理論形成には、自身が仏領マルティニク出身のアンティル系フランス人でありつつも、フランスで「黒人男性」として社会的に把握される認識の齟齬に苦しんで不安神経症的状態に陥ったことが深く関わる。この症状の自己分析から彼は、植民地主義の人種やジェンダーの暴力による疎外から自身も解放しようと試みたのだった。この症状の言語・無意識的側面と主体の現勢的側面を同時に扱う理論は、多文化主義現代に再考される必要があろう。,特別研究員奨励費,小区分01040:思想史関連,新型コロナ,病理,フィールドワーク,フランツ・ファノン,多文化間精神医学,ラカン派精神分析,人種,ジェンダー,マグリブ,植民地主義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22207,早稲田大学,片岡 一竹,フランスのヘーゲル受容との関係を主軸としたジャック・ラカンの主体概念の研究,本研究は、20世紀のフランスで活躍した精神分析家ジャック・ラカンの主体概念の研究である。当時のフランス哲学の状況との関係を主軸にしてラカンの主体概念を検討することで、哲学と精神分析の関係を再検討することが本研究の目的である。ラカンが主体概念の構築にあたって特に参照しているのが、当時アレクサンドル・コジェーヴやジャン・イポリットなどの仕事によって流行していたヘーゲル哲学であることを鑑みて、本研究では、ラカンがヘーゲル哲学のどの点に注目して自身の精神分析理論の中に組み入れていったか、またその際にヘーゲル哲学にどのような改変を加えているかを究明することを主な課題とする。,特別研究員奨励費,小区分01040:思想史関連,精神分析,哲学,思想史,フロイト,ラカン,ヘーゲル,弁証法,フランス現代哲学,現代フランス哲学,主体,セクシュアリティ,欲望,コジェーヴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21033,東京大学,砂田 恭佑,キュロスのテオドレトスの聖書註解を手がかりとした古代キリスト教思想史の再検討,本研究の目的は、古代末期の聖書解釈史に再検討を加えることにある。それは従来「アレクサンドリア学派/アンティオキア学派＝寓意的/字義・歴史的」の二項対立のもとに置かれ、前者による哲学的思弁との関連に偏った注目が与えられてきた。しかしこのような図式化は例えばアンティオキア派のテオドレトス（393?-458?）による浩瀚な聖書釈義の等閑視により成り立っているように思われる。,特別研究員奨励費,小区分01040:思想史関連,アンティオキア派,キュロスのテオドレトス,聖書解釈,ギリシア教父,シリア・キリスト教,古代末期,聖人崇敬,教理論争,七十人訳聖書,註解の伝統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20400,東京大学,波多野 瞭,構成員の身分と行為に関する理論を中心としたトマス・アクィナスの教会観の研究,本研究は、西洋中世最大の哲学者・キリスト教神学者として知られるトマス・アクィナス（1225頃～1274）が展開した、「教会」の制度としての側面に関する思想を明らかにすることを目指す。教会の諸構成員に与えられる身分と行為に関連する概念・問題を巡る対立の文脈から、複数の問題系を貫くトマス（と同時代人）の教会観を明らかにすることを目指す。この作業は直接的には、権威化されがちなトマスを歴史的文脈に置き直し、西洋中世の政治史上の抗争の理論的背景を明確にすることに関わる。広く言って政治・宗教的な共同体の構成原理に関わるため、現代社会において重要な問題であるライシテや宗教間対話に関し新たな視座を与えうる。,特別研究員奨励費,小区分01040:思想史関連,トマス・アクィナス,教会,秘跡,中世哲学,思想史,西洋中世,キリスト教,西洋思想史,制度,共同体,権能,聖職者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20034,一橋大学,津田 栞里,スピノザ論争史から読み解くバウムガルテンと18世紀ドイツ啓蒙思想の再評価,"美学の創始者として知られるバウムガルテン（Alexander Gottlieb Baumgarten, 1714-1762）は、従来、ライプニッツ・ヴォルフ学派の正統な後継者、及びカント哲学の先駆者という理解の下で研究されてきた。しかしながら、彼の哲学理論はスピノザ（主義）への批判的応答という特色をもつような、時代を色濃く反映したものである。この特色に着目した本研究は、当時の思想状況のより鮮明な再現を通じて、感性学としての美学創設という象徴的な出来事を切り口とした美学史の再編、将来的には単なる理性（知性）主義に留まらないドイツ啓蒙思想の豊かさを提示することが可能である。",特別研究員奨励費,小区分01040:思想史関連,バウムガルテン,ヴォルフ学派,スピノザ主義,敬虔主義,18世紀ドイツ,形而上学,近代哲学史,カント,ライプニッツ・ヴォルフ学派,ランゲ－ヴォルフ論争,スピノザ受容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14355,東京大学,相馬 尚之,人造人間表象の変遷に関する研究：近代以降の科学思想の影響から,本研究は、20世紀初めのドイツ語圏の文学作品等における「人造人間」表象について、当時の科学の発展を踏まえつつ検討することで、文学と科学の相互作用を明らかにするとともに、人間観および科学観に迫ることを目的とする。,特別研究員奨励費,小区分01040:思想史関連,ハンス・ハインツ・エーヴェルス,ドイツ一元論,リ・トッコ,文学と科学,エルンスト・ヘッケル,一元論,進化論,リヒャルト・ゼーモン,マグヌス・ヒルシュフェルト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12674,立命館大学,GU WENYING,方法としての近代陽明学―日本・東アジア近代思想史の再検討,本研究は、東アジアとりわけ中国における近代陽明学の展開、及び近代西洋諸思想の陽明学に基づく受容という動向を参照系とする。そして、それらの参照系と確実に共振関係にあった日本の近代陽明学の動向を検討・分析する。その検証・分析に基づいて、社会主義運動、キリスト教とも結び付けられた、幅広い近代諸思想の受け皿ともなった近代陽明学にアプローチし、やがては近代日本の儒学思想像を刷新することを企図している。,特別研究員奨励費,小区分01040:思想史関連,池田草庵,山田方谷,三島中洲,儒学思想,陽明学,朱子学,日本思想史,幕末維新期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11647,東京大学,梅田 拓也,フリードリヒ・キットラーのメディア論――通時的分析と共時的分析からの再解釈,本研究の目的は、現代のコンピューター文化の研究に大きな影響を与えた、フリードリヒ・キットラーのメディア論を再解釈することである。本研究では、先行研究で注目されてこなかった、①初期の文学研究からメディア研究への発展過程と、②彼のプログラミングの実践の内実を明らかにし、そこから彼のメディア論の射程を再解釈する。この作業ために、キットラーの主要著作の読解だけでなく、ドイツ文学資料館（DLA）に収蔵された未公刊資料（手書き原稿、プログラミングコード等）の収集・分析も行う。,特別研究員奨励費,小区分01040:思想史関連,フリードリヒ・キットラー,メディア論,ドイツ文学,現代思想,デジタルメディア,思想史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01619,慶應義塾大学,中西 悠喜,13-15世紀のイスラム圏における自然科学：神学書・哲学書から観た宇宙論の研究,本研究は「13世紀以後のイスラム圏でなされた自然科学（あるいは自然に関する多様な探究）の歴史を、その背景にあった神学的前提とともに、包括的に明らかにすることを目指すものである。この目的を達成すべく、13世紀初頭から15世紀末にかけて著された代表的な神学書・哲学書とその注釈群に焦点を当て、そこに現れた「宇宙論」（コスモロジー）を網羅的を分析する。宇宙論は、世界の物理的構造・生成に係わる議論と神の摂理に係わる議論（神がいかに世界を経綸するか）の双方と密接に関係する領域である。そのため、この時代の宇宙論の変遷を明らかにすることで、当時の主要な神学者・哲学者たちの自然と神をめぐる学説史が明らかになる。,特別研究員奨励費,小区分01040:思想史関連,中世末期,初期近代,神学,哲学,科学史,コスモロジー,占星術,魔術,イスラム教,天,オカルティズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00772,東北大学,繁田 真爾,近代日本における「監獄教誨」成立史の研究―犯罪・刑罰・宗教―,刑事施設に収容された人間の矯正をめざす「監獄教誨」は、近代日本でどのように成立したのか。それはどのような歴史をへて現在まで至るのか。そして教誨師たちは、刑罰や死刑制度と、どのように向き合ってきたのか。本研究では、こうした問いのもと、監獄教誨の歴史を明らかにすることを目的とする。,特別研究員奨励費,小区分01040:思想史関連,監獄教誨,教誨師,悪,統治,浄土真宗,思想犯,転向,藤井恵照,勝友叢書,網走監獄,花山信勝,小河滋次郎,藤岡了空,キリスト教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
