awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23175,東京大学,康 凱欣,中世韻書を中心とする日本古辞書の研究,古来、漢詩などの韻文を創作する際、良い響きや美しいリズム感を作り出すために、,特別研究員奨励費,小区分02070:日本語学関連,古辞書,韻書,中世,漢詩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22110,奈良女子大学,軽部 利恵,上代特殊仮名遣いの書記論的研究,上代特殊仮名遣い研究は、上代日本語の様相の把握だけでなく、文学作品の解釈や、出土文字資料の解読に繋がる研究である。研究自体は隆盛を極めつつも、根本的な部分で未解決の課題が残されており、日本語と、日本の文化を考える上で不可欠な課題であるといえる。本研究は、これまで音韻・音声的に研究されることの多かった上代特殊仮名遣いを、表記・書記の観点をふまえ、再検討するもので、古事記、日本書紀、萬葉集などの写本上に存する資料だけでなく、一次資料である木簡や正倉院文書をも研究対象とし、網羅的で、横断的な上代特殊仮名遣い研究を行う。出土文字資料という最新の知見をふまえ、書くことの本質に迫ることを試みるものである。,特別研究員奨励費,小区分02070:日本語学関連,万葉仮名,上代特殊仮名遣い,清濁,仮名表記,上代文献,萬葉集,唐招提寺文書,文字表記,文字,表記,訓仮名,仮名,上代,万葉集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12260,東北大学,大川 孔明,古代日本語文体の計量的研究,平安鎌倉時代の文学作品の文体類型の体系を計量的な手法を用い、総合的に把握するため、(1)和文体の類型について考察する。そのなかで、(a)平安時代和文のさらなる分類、(b)鎌倉時代和文の類型についてさらなる考察を行う。また、(2)和漢混淆体の類型について、(a)和漢混淆体のさらなる分類をおこない、(b)和文体との比較を通して(3)平安鎌倉時代の文学作品の文体の体系的記述をめざす。,特別研究員奨励費,小区分02070:日本語学関連,和文,漢文訓読文,ジャンル文体,計量的手法,多変量解析,クラスター分析,コーパス,和漢の対立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11614,北海道大学,劉 冠偉,漢字和訓連想シソーラスの構築による近世近代漢和辞典の情報学的研究,本研究は、近世近代を中心として、各時代の代表的な五つの漢和辞典の和訓情報を総合的にデータベース化し、その上でマルチデバイスに対応するインターフェースを開発して公開することを目指すものである。,特別研究員奨励費,小区分02070:日本語学関連,古辞書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19746,同志社大学,沈 力,異文化理解に基づく日中両言語の語彙研究,中国小説『紅楼夢』を日本語版『紅楼夢』を比較研究し，両言語の呼称語の対照研究を行うことを目的とする。,特別研究員奨励費,小区分02070:日本語学関連,Denominal Adjective,文法化,語彙化,HAVE,little verb,脱名詞化,形容詞,孤立的言語,膠着的言語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22595,明治大学,仲村 怜,近代文章の形成に与えた西欧語翻訳の影響―文構造の変化について―,近代書き言葉の形成過程において、当時日本よりも早く言語の近代化が進んでいた西欧諸言語はモデルとして扱われたため、その翻訳は大きな影響を与えたとされている。文構造の変化もその一例で、西欧諸言語の影響を受けたことで、近代以前の書き言葉と異なり、文という単位がより明確になっていくとされている。本研究では、西欧諸言語による原文と日本語による訳文の対照分析を可能にする「近代翻訳小説コーパス」を構築し、計量的・質的の双方からのアプローチを行うことで、当時における西欧諸言語の翻訳の影響を実証的に明らかにすることを目指す。,特別研究員奨励費,小区分02070:日本語学関連,近代語,翻訳小説,パラレルコーパス,文構造,主語,文末,コーパス,言語変化,文法,文体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22434,京都大学,鈴木 裕也,日本漢字音を中心とした『類聚名義抄』に関する研究,平安時代に編纂された古辞書の一つである『類聚名義抄』の漢字音（当時の漢字音は漢音と呉音に大別される）について研究する。『類聚名義抄』は原撰本と改編本に分かれ、原撰本をもとに、改編本が作られたとされる。『類聚名義抄』の漢音と呉音の比較、出典・原撰本・改編本の三者の比較、同時代の他の資料（『和名類聚抄』や『土佐日記』等に現れる漢字音）との比較を通して、『類聚名義抄』に現れる漢字音の特徴を明らかにする。,特別研究員奨励費,小区分02070:日本語学関連,新撰字鏡,仮名,類聚名義抄,漢字音,古辞書,万葉仮名,和名類聚抄,呉音,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14853,國學院大學,中山 陽介,平仮名成立史の研究,漢字の全体を書き崩して生まれた文字である平仮名が、平安時代にどのような変遷過程を経て成立したかを研究する。本研究では、平仮名は漢字の形態の性質に変化が起こって成り立った文字であるという観点に基づき、その形態上の性質の変化のうちで重要なものを、簡略な字形、丸い筆画、定まった連綿、の三つの特徴の獲得にあると考える。,特別研究員奨励費,小区分02070:日本語学関連,平仮名,仮名文字,万葉仮名,真仮名,草仮名,仮名書道,文字史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14512,お茶の水女子大学,池田 來未,〈完遂〉を表す複合動詞の競合関係に関する史的研究,現代語には「読み通す」「耐え抜く」など、〈完遂〉の意味を表す複合動詞が複数存在するが、それぞれ意味に違いがあり、使い分けがなされている。このような差異には、複合動詞の歴史的な用法変化の違いが関わると考えられる。また、〈完遂〉を表す複合動詞群は時代を経て一部が淘汰されたり意味が変化したりして現代の使い分けになったと推測される。,特別研究員奨励費,小区分02070:日本語学関連,複合動詞,完遂,文法変化,文法史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11775,東京外国語大学,泉 大輔,語が文を包摂する形式の構造と機能に関する研究,本研究では、合成語の内部に文相当の要素を包摂する形式（「振り込め詐欺」「東京2020オリンピック応援に行こう！キャンペーン」「バカヤロウ解散」等）について、その形式的・意味的な特徴を包括的に記述し、その上でその構造の成立を支える文法的な仕組み、さらに意味機能・表現効果を解明する。本研究では、ウェブ上のテキストが収録されたコーパスから実例を収集し、当該形式について言語学的な研究方法に則り記述を行う。,特別研究員奨励費,小区分02070:日本語学関連,文の包摂,語形成,名詞,逸脱表現,引用,名づけ,複合名詞,派生名詞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
