awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22924,東京大学,望月 澪,近世ドイツにおける学識者の「就職活動」に関する研究,本研究は、政治史の文脈では権力に従属する道具的存在として理解されてきた近世ヨーロッパの学識者を、「学問の共和国」という同時代的かつ世俗権力に縛られない者としての共同体意識に即して、主体的に再解釈しより現実に即して理解することを目的とする。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,大学史,学識者研究,近世ドイツ史,カトリシズム,ケルン,法学と神学,人文主義,都市史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22843,東京大学,小川 潤,ローマ属州ガリアにおける行政機構の研究：田園地帯の小規模共同体の行政研究を中心に,ローマ帝国は一般的に、支配下にある都市の自治を尊重し、それら諸都市に統治の一端を担わせることで広大な領域の支配を可能にしたと考えられています。それゆえ、ローマ史研究ではこれまで、都市に注目した研究は多く為されてきました。しかし碑文などを読むと、都市より小規模な田園地帯の共同体も独自の行政機構を有し、広範な自治能力を有していたことがわかります。本研究はこのような共同体に注目し、都市よりもさらにミクロな視点からローマ統治の在り方を考える試みであり、ローマによる属州支配の一端を明らかにするものです。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,ローマ史,ガリア,属州,政治空間,都市,帝政ローマ,地方統治・行政,西方属州,小規模共同体,碑文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21156,京都大学,小山田 真帆,民主政期アテナイにおける市民共同体の維持と性規範の関係に関する研究,本研究は、古代のアテナイにおいて「市民」がいかなる集団だったのかをセクシュアリティの観点から明らかにするものである。市民を「政治的権利を有する者」と捉え、成人市民男性のみをポリスの担い手とみなす従来の議論に対して、近年では市民の男女がいかなる自己意識や道徳観を共有していたかを問う研究が進展している。本研究はこうした動向を踏まえ「法や制度によって定義された市民身分」という見方から距離を置く。市民たちは必ずしも制度によってではなく、社会的にその身分を承認されており、その承認基準として市民たちが遵守すべきとされた性規範が存在した。本研究はそうした市民性の形成過程と、その背景にある道徳観を解明する。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,古代ギリシア史,アテナイ民主政,セクシュアリティ,ジェンダー史,同性愛,弁論,法,古代ギリシア,ジェンダー,古代史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21071,京都大学,中辻 柚珠,美術界のチェコ・ナショナリズムへの応答―マーネス造形芸術家協会を中心に,本研究は、近現代プラハにおけるナショナリズムの展開を芸術家の利害という角度から見つめ直すことで、当時の社会を生きた人々にとってナショナリズムとは何であったのか、ナショナリズムが生じた諸原因とは何であったかを再度考察しようとするものである。対象とするのは、プラハで最初にモダニズム芸術を牽引した「マーネス造形芸術家協会」である。モダニズム芸術の汎ヨーロッパ的傾向とプラハ内のナショナリズムの高まりの間で、彼らがいかに活動し、いかなる理念を構築したかを調査する。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,ナショナリズム,ナショナル・インディファレンス,プラハ,チェコ史,芸術界,マーネス協会,芸術,近現代史,モダニズム,ナショナリズム史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14681,東京大学,簗田 航,盛期中世のドイツにおける都市‐教会関係の研究：大司教都市トリーアを中心に,本研究は人類史上で交差の空間として種々の局面に立ち現れる都市についての理解を深めるために、西洋中世の都市における社会秩序の在り方という視座を提供するものである。研究の対象として、ドイツ西部のモーゼル川流域においてキリスト教の上位職である大司教を都市領主として発展したトリーアを設定することで、従来都市運営の文脈では検討が不足していた教会という要素を捉え直し、都市住人との多様な関わりの中での教会組織の役割を明らかにする。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,都市史,トリーア,司教裁判官,教会裁判権,13世紀,裁判集会,神聖ローマ帝国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14631,東京大学,田野崎 アンドレーア嵐,アンジュー帝国における諸宮廷の構造と機能,本研究の目的は、1154～1204年にブリテン諸島南部・フランス西部にわたり存在した、イングランド王国と複数の領邦の複合体である「アンジュー帝国」おいて、王家を構成する各王族の「宮廷」（＝王・王族とその随行員からなり、所領内を移動しうる人的集合体）の移動経路や随行員及び機能について分析し、それらを相互に比較検討することで、帝国内の各時期における権力分掌体制の様相を明らかにすることである。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,アンジュー帝国,巡行宮廷,証書,随行員,ベレンガリア・オヴ・ナヴァール,クイーンシップ,ヘンリー2世,アリエノール・ダキテーヌ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14056,東京大学,松井 健人,教養理念をめぐる民衆図書館活動の展開－ヴァイマル期・ナチ期を中心に－,本研究の目的は、ヴァイマル期からナチ期の民衆図書館活動において、教養理念がどのように捉えられ、どのような具体的な図書館活動と結びついたのかを、専門誌・館報・図書館員の著作・手稿などの一次史料から解明することである。これを通して、実践面・理念面ともに断絶が前提とされてきたヴァイマル期からナチ期の教育史像に対して再検討を加える。教養理念と民衆図書館との結びつきを考察する本研究は、教養理念の所在をもっぱら教養市民層に帰してきたドイツ市民層研究や、ナチ期民衆図書館を「ナチ・イデオロギーの武器庫」（M. Stieg 1992）とみてきた歴史像とは異なる、新たな視点を提供することができる。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,民衆図書館,読書,教養理念,民衆教育,ヴァイマル期,ナチス期,図書館史,ドイツ図書館史,ドイツ教育史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01338,京都大学,服部 雅子,二十世紀アメリカ合衆国における軍事動員と高等教育の連関ー「青年層」の視点からー,二十世紀の米国社会に関する研究においては、戦時の市民動員は平時の米国社会からの一時的な逸脱と位置付けられがちである。本研究は、二十世紀米国における「青年層」に関する言説や政策、特に、市民の義務としての兵役と市民の権利としての教育との思想・制度的連関を長期的視座から分析することで、二十世紀を通じて米国が世界への軍事・政治的影響力を飛躍的に拡大させたことが、米国社会の発展にどう影響したかを明らかにする。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,アメリカ合衆国,青年層,教育,第二次世界大戦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01328,東京外国語大学,阿部 ひろみ,中世後期南ドイツの領邦間コミュニケーション－神聖ローマ帝国の地域的秩序維持－,中世後期の神聖ローマ帝国では国王権力が弱く、諸侯や都市といった在地権力が「領邦」と呼ばれる自律的な支配領域を形成していた。隣り合う領邦間では利害対立が起こりやすく、先行研究も敵対関係を強調してきた。だが、紛争の調停や複数領邦内で流通した貨幣のコントロール等、近隣領邦が連携して対処する案件も存在した。本研究は南ドイツを対象に、この領邦間の協調関係を考察し、帝国内の政治秩序について新たな知見を得ることを目指す。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,神聖ローマ帝国,南ドイツ,バイエルン公,紛争解決,領邦,王権,中世後期,バイエルン,コミュニケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01307,上智大学,小俣ラポー 日登美,殉教と偶像のパンテオン―フランスとイタリアのイエズス会演劇における日本―,イエズス会劇の題材として、古代ギリシャ・ローマ文学、聖書・聖人伝の翻案が好まれていた。一方で、同時代の出来事として、日本の殉教伝が、遠い宣教の地で起きた出来事として脚色された。非西欧の被宣教地では、インド、東南アジア、北米・中米、北アフリカ、中国においても「殉教」と記述されるような現象は起こっており、それは日本年報同様にヨーロッパで公刊されている。これらの一部は舞台化されているものの、同時代の「殉教」としては、日本が最も演劇化の対象になってきた。そこで、反宗教改革の文脈の中で、なぜ日本の殉教というテーマが、盛んに上演されるようになったのかを、殉教者の列福などの社会背景から明らかにする。,特別研究員奨励費,小区分03040:ヨーロッパ史およびアメリカ史関連,殉教,偶像崇拝,演劇,フランス,イタリア,日本,イエズス会,キリスト教,日本史,偶像,近世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
