awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J20509,東京大学,山口 晴香,縄文と弥生の食の季節性－歯根部連続サンプリングと同位体分析の微量化,縄文・弥生人骨の炭素・窒素安定同位体比測定を通して日本の先史時代人における食性の季節変化を分析し、各時代の食料資源の利用戦略を明らかにする。特に「縄文カレンダー」の検証、雑穀利用の弥生農耕における位置付けの考察を行う。,特別研究員奨励費,小区分03060:文化財科学関連,象牙質,成長線,同位体分析,縄文時代,弥生時代,同位体食性分析,微量連続サンプリング,食性の季節変化,コラーゲン,炭酸塩,雑穀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13241,明治大学,中野 由宇稀,ＬＥＤ光源を用いた考古遺物に含まれる顔料・染料の定性方法の開発,現在、水中で保管されていたり、顔料・染料などの無機物・有機物が混在していたりする文化財資料は材料推定が難しいという課題がある。この課題への解決方策としてLED光源と光学フィルタを用いた材料推定に着目した。この手法では試料に種々の波長をもつLED光源を照射し、試料毎に異なる波長で返ってきた光を光学フィルタで選択的に透過させデジタルカメラで記録する。このLED光源と光学フィルタの組み合わせを特定することによって各種材料の識別が期待される。本手法の確立により従来法では非破壊での測定が難しい試料においても材料の識別を可能にし、従来の分析に+1できる材料定性法にすることを目標としている。,特別研究員奨励費,小区分03060:文化財科学関連,文化財科学,材料推定,狭波長光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00480,筑波大学,村串 まどか,日本のカリガラスはどこから来たのか，非破壊オンサイト分析により明らかにする,本研究は可搬型分析装置を用いて非破壊によるガラスの調査を行い，ガラスの流通解明を目的とする．特に本研究ではカリガラスに焦点を当てて研究を実施する．カリガラスは日本列島に早くから取り入れられたガラスタイプであり，南アジアから東アジアにかけて分布するガラスである．同様なカリウムを含む特徴を持つガラスは中国を中心に中世にも流通している．このようなガラスに着目することで，日本列島と海外諸地域とのガラス交易について幅広い視野で明らかにできることが期待される．,特別研究員奨励費,小区分03060:文化財科学関連,古代ガラス,蛍光X線分析,非破壊オンサイト分析,ガラス玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13291,東京藝術大学,大迫 美月,壁画におけるアズライトの緑色化に関する研究,壁画に用いられた青色顔料のアズライトには，塩化物イオンが原因で緑色の塩基性塩化銅を生成する劣化現象が知られている。しかし，この現象に関する既報はほとんどが事例報告にとどまり，予防的な保存への課題が多い。これまでの研究により，緑色化が進行速度の速い劣化現象であること，そして生成する塩基性塩化銅には結晶構造の違いがあることが示唆された。本研究では上記の点に着目し，緑色化の性質を踏まえた解決策の検討を行い，壁画の今後の保存や，劣化を防ぐ対策の立案に寄与することを目指す。,特別研究員奨励費,小区分03060:文化財科学関連,アズライト,緑色化,塩基性塩化銅,壁画,塩化物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01694,岡山理科大学,北原 優,新たな自然科学的年代決定手法の導入による東南アジア考古学の新展開,本研究は、東南アジア地域における歴史研究のあらたな展開に貢献する第一歩として、考古地磁気学的な実験技術を土器編年や美術編年などの考古学的な研究手法と組み合わせることにより、①ベトナム中部の前4世紀～後15世紀の2つの文化である鉄器時代サーフィン文化・チャンパ王国の文化に関する歴史記述のさらなる精密化、②ベトナム南部出土の年代が未知の遺物の年代帰属、という2つの課題の解決を目指すものである。また、上記の研究の過程で得られる高解像度の考古地磁気学的データ群を東アジアにおけるデータ群と比較することによって、前4世紀～後15世紀における地球磁場変動に関する地球科学的な考察も同時に実施する。,特別研究員奨励費,小区分03060:文化財科学関連,考古地磁気学,考古岩石磁気学,ベトナム,ミーソン遺跡,ランヴァイン岩陰遺跡,考古地磁気強度,綱川－ショー法,被熱判定,ゴーカム遺跡,ホアジェム遺跡,IZZI－テリエ法,考古地磁気強度実験,岩石磁気分析,備前焼復元窯,庄田工田窯跡,強度永年変化曲線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1413,総合研究大学院大学,澤藤 りかい,古代土壌DNAを用いた遺跡の居住環境の復元,過去のヒトの居住環境を、古代土壌DNAを用いて分析・復元する手法を確立する。具体的には 、遺構の各区画(炉・トイレ・ゴミ捨て場・柱跡 ・水田跡など)から土壌を採取し、DNA抽出・配列解析(ショットガンシーケンス)を行う。これによって、各区画の使われ方によってDNA構成に どのような違いが出てくるのか(各区画のマーカーとなるDNAの探索)、古代土壌DNAから当時の食物・住居の素材・寄生虫などの衛生環境の情報 が得られるのか、を検証する。,特別研究員奨励費,小区分03060:文化財科学関連,古代DNA,sedaDNA,遺跡土壌,SedaDNA,古代ＤＮＡ,古代土壌ＤＮＡ,生物考古学,古代土壌DNA,住環境,食物,病原体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1257,東京藝術大学,朱 若麟,日中乾漆仏の技術変遷に関する研究-6世紀から8世紀を中心として,本研究では、奈良時代と唐代の代表的な仏像制作技法である乾漆技法（漆と木粉を混ぜたパテで塑形する技法）について、彫刻文化財保存修復,特別研究員奨励費,小区分03060:文化財科学関連,乾漆,中国,乾漆仏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0683,東京大学,南谷 史菜,縄文時代の定住度の推定ー一次骨の形成時期の解明と定住度指標の確立ー,本研究は、日本先史時代の縄文人による狩猟や原材料獲得にともなった季節的な移動履歴の復元をする上で、骨に記録された長期間の時間情報を用いて、先史時代人の定住化の過程について議論することを目的とする。昨年度までに骨から得られる時間情報を高解像度で復元するため、有機物試料の高空間解像度採取システムを開発してきた。最終年度に当たる本年度は実試料への実用化に向けた検証を進めるとともに、放射性炭素測定が終了した試料のデータ解析・解釈を進める。本研究における成果は国際専門雑誌にて公表する。,特別研究員奨励費,小区分03060:文化財科学関連,放射性炭素,レーザーアブレーション,定住,骨,狩猟採集民,一次骨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0360,奈良大学,リュウ ソンウク,古代東アジアにおける彩色顔料の科学的研究,有機物は歴史の中で朽ち果てるが、鉱物の粉を用いる顔料は埋蔵された遺跡の中でも色鮮やかに残る。遺跡および遺物に付着した顔料の科学的調査研究は、古代国家間の文化交流を探る鍵となる。モンゴルは、長年に渡る中国との争いと交易やモンゴル帝国の興亡と東西交流など、東アジアの歴史を解明する上で重要な地域である。顔料の科学的研究は非破壊調査や同位体比研究など、日本が東アジアの研究をリードしてきた。,特別研究員奨励費,小区分03060:文化財科学関連,モンゴル,古代顔料,東アジア,古墳壁画,出土遺物,材質分析,文化財科学,モンゴル帝国,彩色材料,顔料,SEM,XRF,XRD,保存科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1906,東京大学,中村 謙伸,人骨の分析に基づく前近代の日本列島における妊娠・出産に関する研究,本研究は女性骨盤において分娩・懐胎の営為により形成される「妊娠出産痕」と称される骨変形に着目し、古人骨資料の観察をもとに、過去の日本列島における出生率を復元することを目指している。妊娠出産痕発達度の分析を通じて、縄文・弥生・鎌倉・江戸といった骨資料が多く残る時代における出生率の時代間・地域間の差異について明らかにする。並行して、骨産道のサイズ・形状は難産リスクと関連することが知られていることをふまえ、骨盤の線形計測や幾何学的形態測定を通じて、妊娠出産痕発達度と骨産道形態との関連性について検証する。これらの分析をもとに、過去の日本列島に生きた女性のリプロダクションの様相について論じる。,特別研究員奨励費,小区分03060:文化財科学関連,古人骨,妊娠出産痕,耳状面前溝,骨盤形態,幾何学的形態測定学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
