awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22325,京都大学,藏田 典子,福島原発事故による避難者の「故郷喪失」プロセスの解明ー移動と支援に着目してー,"福島原発事故による避難者の「故郷喪失」に至るプロセスを、移動過程と各自治体の支援格差という点に着目し、明らかにすることである。原発事故による避難者は、全国47都道府県1,040の市区町村に所在しているものの、避難者への支援内容は各自治体に一任されたため、支援格差が生じた。各自治体の支援内容を比較し、支援が縮小された時期と支援格差の実態を把握する。自治体による支援内容がどのように避難者に影響を与え、支援内容が避難者の移動選択そして、故郷喪失にどう関わっているのか明らかにする。",特別研究員奨励費,小区分04020:人文地理学関連,故郷,故郷喪失,移動,強制的な移動,ディアスポラ,震災,行政支援,東日本大震災,福島原発事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20678,筑波大学,岩井 優祈,巨大津波による社会リスクの地域的差異と最適な避難行動,本研究では地域住民の避難行動特性について，巨大地震・津波災害の時空間変化との関係性および理論的に最適な避難行動との差異を明らかにする．,特別研究員奨励費,小区分04020:人文地理学関連,津波,避難,認知と行動,空間分析,地理情報システム,GIS,東日本大震災,南海トラフ巨大地震,都市構造,フィールドワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20374,筑波大学,川添 航,東アジア地域社会における宗教共同体の変容過程と要因に関する地理学的研究,経済成長や産業化により変容が進むアジア地域において，宗教のグローバル化や宗教組織によ,特別研究員奨励費,小区分04020:人文地理学関連,宗教活動,国際移住,東アジア,キリスト教会,社会関係,国際結婚,宗教地理学,在留フィリピン人,カトリック教会,韓国のキリスト教,在韓日本人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14588,京都大学,谷口 晴彦,空間スケールから捉えた農業用水管理に関する農村地理学研究,現代日本の農業水利は，管理地域の大規模化や非農業主体と深く関係する。農業水利に関わる主体の増加，それらの関係性の複雑化を背景として，地域的な事象や課題の把握が進んでいない。これらの把握には，大小様々な空間的広がりをもつ主体・事象の相互関連性に着目する必要がある。本研究の目的は，空間スケールの視点から，集落から農業水利管理地区全体，流域全体や国家スケールに至る多様な主体・事象の相互関連性に着目し，農村における地域的な課題の明確化とその課題の解決策を示すことである。,特別研究員奨励費,小区分04020:人文地理学関連,農業水利,維持管理,スケール,行政領域,水利研究,農村地理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13558,京都大学,岡田 眞太郎,公共サービスにおけるガバナンスから解明する非営利組織の地理的不均等分布,地方分権化と民営化が推進される日本において、多元的なアクターによるガバナンス型の公共サービス供給のあり方が模索されている。その参加アクターの一つである非営利組織は、先駆性・柔軟性の特徴を持つ一方、地理的に不均等に分布しているため、地域で異なるサービス供給体制を理解する上で重要な存在である。そこで、非営利組織の地理的不均等分布を明らかにするためにも、複数アクターの関係性に着目して、公共サービスにおける供給体制の地域差を比較検討することを本研究の目的とする。具体的には、特定の公共サービスの事例として生活困窮者支援を取り上げ、そこで現出するガバナンスの形態と形成過程を比較検討する。,特別研究員奨励費,小区分04020:人文地理学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12163,首都大学東京,BETTAIEB BOCHRA,外国旅行者のための案内情報の提供と利用に関する都市間比較,本研究は，日本を訪れる外国人旅行者向け案内情報の実態を明らかにし，その問題点と対策を検討することを目的とする。そのために，下記の3点に焦点を当てる．,特別研究員奨励費,小区分04020:人文地理学関連,観光行動,機械学習,ソーシャルメディア,地理情報システム,ナビゲーション,サインシステム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11409,筑波大学,王 汝慈,東京大都市圏における土地利用変化のシナリオ分析と将来予測モデルリング,"This study examines the changes of land use/cover in the Tokyo metropolitan area (TMA) from 2007 to 2017. I plan to predict the patterns of spatial change in 2027 and 2037 by employing cellular automata and the Markov model under three scenarios:spontaneous, sub-region development, and green space improvement.",特別研究員奨励費,小区分04020:人文地理学関連,Scenario simulation,Land surface temperature,Land use and land cover,Remote sensing,GIS,Land use/cover,Tokyo metropolitan area,Spatiotemporal analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10769,京都大学,夏目 宗幸,地理情報科学的接近による近世武蔵野の地誌学研究,本研究は、地理情報システム（GIS）による空間解析の手法を用いながら江戸圏に内包される近世武蔵野の村落構造の理解に新たな知見を加えることを目的としている。主たる分析対象地として明暦大火後に開拓された千町野（杉並区、武蔵野市、三鷹市周辺）を選択し、地割復原、風況シミュレーション、水文分析を通じて、近世新田集落の自然景観及び文化景観を復原する。この研究により、既存の史料分析によって明かされなかった近世の人々の生活の工夫及び江戸圏の実態を解明する。,特別研究員奨励費,小区分04020:人文地理学関連,歴史GIS,歴史地理,新田開発,幕領支配,武蔵野,江戸,鷹場,検地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01824,国立民族学博物館,崎田 誠志郎,東地中海域における小規模漁業の漁場利用生態と漁場管理制度の統合的解明,沿岸域で営まれる小規模漁業は、地域の社会経済の安定や文化の継承において重要な役割を担っている。日本のみならず、世界各地における小規模漁業の実態を明らかにし、そこで生じている諸現象を地域の文脈に即して検証することで、小規模漁業を通じた自然と人間の関係性についてより広く深い知見が得られると期待される。,特別研究員奨励費,小区分04020:人文地理学関連,小規模漁業,地中海,ギリシャ,漁業管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19773,京都大学,秋津 元輝,地域ブランド化による日本農業の活性化：多様なステークホルダーの関わりに注目して,日本における農産物の地理的表示制度が地域社会・経済の振興とどのように関連するのかについて、具体的なフィールド調査を基礎として、経済的な効果だけでなく、地域の誇りや移住者も含めた地域の存続という観点から明らかにする。とくに、地鶏に代表される地理的表示とつながった特産物に集中して研究をおこなう。まず、地域特産物と地域振興との関連についての研究枠組みを精緻化する。それに基づき対象地と対象品目を設定してフィールド調査を実施し、地域の誇りの再生という観点も含めて地域振興との連関を明らかにする。それらの成果は、国際的な研究動向と接合しながら内外に公表し、日本における地方振興策を世界水準で提案する。,特別研究員奨励費,小区分04020:人文地理学関連,新型コロナウイルス感染拡大,特産畜産物,畜産物消費行動,オルタナティブ食システム,ローカル食システム,地域活性化,地理的表示,食料・農業遺産,食文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
