awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J12497,大阪大学,中尾 元紀,人権条約の地理的・時間的適用理論の統合的研究―「移行期正義」関連事例に着目して,本研究は、国家が自国領域外で行った人権侵害的行為に、人権条約と呼ばれる国際諸条約の適用が認められるかという問題（人権条約の地理的適用）を検討するものである。そのような行為の中には、例えば第二次世界大戦期にドイツが欧州各国で行った虐殺が典型的なように、戦後発効した人権諸条約が少なくとも直接には適用されないものがある。この時間的適用という問題は、前述の地理的適用とは区別して論じられてきた。他方で本研究では、国家の積極的義務という概念を介在させることで両適用理論を体系的に整理できるのではないかとの着想のもと、このような人権保障の限界事例において、いかなる要素が適用範囲を画するのかを明らかにする。,特別研究員奨励費,小区分05030:国際法学関連,国際人権法,欧州人権条約,自由権規約,領域外適用,時間的管轄,積極的義務,調査義務,過去の不正義,時間的適用,移行期正義,被害者救済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11107,東京大学,王 盈文,国内人権機関に関する研究―国際法上の理論的課題を中心に―,国内人権機関（NHRIs）は近年、国際人権基準の実現に貢献できる新たなメカニズムと評価され、多くの国際法や国際人権法の教科書で言及されている（2019年5月時点で世界で120の国内人権機関が存在する。日本にはまだ存在しない）。,特別研究員奨励費,小区分05030:国際法学関連,国内人権機関,NHRI,パリ原則,実施（implementation）,監督（monitoring）,国際人権法,人権条約機関,普遍的定期的審査（UPR）,国内人権機関（NHRI）,履行確保,独立監督枠組み（IMF）,国内防止機関（NPM）,実施措置,監督措置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10982,東京大学,望月 洋佑,国際司法裁判の訴訟要件論,本研究は現代国際法の法実現制度における国際司法裁判の位置を解明することを目的とし、権利保護・紛争解決・法秩序維持という3機能を念頭に、（1）原告適格要件と（2）紛争存在要件という2つの論点を扱う。（1）では、個々の国家の個別的利益に解消されない国際社会の集団的利益を保護するために訴えを提起する資格を個別の国家に認める根拠を理論的に明らかにする。（2）では、国際司法裁判を利用するためには国際法違反の存在だけでなく、原則的に提訴の時点で当事国間に紛争が存在していることが要求されることに着目し、国際司法裁判がいかなる「紛争解決」を任務をとするかを探究する。,特別研究員奨励費,小区分05030:国際法学関連,国際裁判,訴訟要件,国内救済完了原則,ICSID,投資仲裁,外交的保護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10593,一橋大学,藤田 大智,国際環境法の原則に関する研究－ＣＢＤＲ原則・ＩＣＡＯとＩＭＯを中心として－,本研究では、国際環境交渉における国際航空機関及び国際海事機関の温暖化対策について、その立法・政策内容及びそれらの形成過程を分析し、共通ではあるが差異ある責任の原則の反映のされ方や反映要因を分析する。そこでは、国際組織における法の形成方法・過程、また、多国籍企業の存在とその法形成過程における影響力に焦点を当てる。また、温暖化防止・持続可能な発展という共通利益に対する認識の高まりに応じて、原則の利用方法が如何に変化しているのか、同原則の新たな利用方法の広がりの道筋を分析する。研究を通じて同原則に対する理論的分析を提供し、温暖化に関する国際交渉促進に貢献することが目的である。,特別研究員奨励費,小区分05030:国際法学関連,国家平等原則,国際民間航空機関,国際海事機関,気候変動,国家平等,無差別的取り扱い,共通だが差異ある責任,気候変動枠組条約,国際航空機関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00661,京都大学,松山 沙織,武力紛争法適用範囲の再検討―事実主義の意義と限界―,武力紛争法（戦争法）において、軍隊間の暴力発生の事実のみをもって法の適用が自動的に開始されるという事実主義が原則妥当している。しかしながら、近年では必ずしも事実と形式が一致しない場面があり、その場合の武力紛争法の適用有無につき混乱が生じている。そこで本研究は、近年の武力紛争を取り巻く現状を反映した、武力紛争法適用基準としての事実主義の意義と限界に着目した、武力紛争法適用範囲の再検討を行うものである。,特別研究員奨励費,小区分05030:国際法学関連,武力紛争法,戦争犯罪,国際刑事裁判所,国際刑事法,武力紛争,事実主義,国際的武力紛争,非国際的武力紛争,適用基準,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19009,東京大学,中谷 和弘,国際投資法における国内規制権限の範囲についての研究,国際投資法か掲げる投資保護の利益と非投資分野において加盟国か保持する規制権との間における適切な均衡の確保は、国際投資法の安定的な発展のために不可欠である。投資保護の利益に偏った解釈は、国内における社会的価値を実現するために行使される加盟国の正当な主権を阻害する恐れがある。他方で、加盟国の主権尊重に偏った解釈は、国際投資法体系そのものの存在意義を損なう恐れがある。そこで、両者の間における適切な均衡をどのように導き出すべきかという問題が浮上する。WTO法は、貿易自由化の促進利益と加盟国の規制権との間における適切な均衡の確保という問題を経験しており、WTO法から良い示唆が得られることが期待できる。,特別研究員奨励費,小区分05030:国際法学関連,WTO法,国際投資法,規制権限,right to regulate,比例性原則,proportionality,police power,国際投資仲裁,国際経済法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22355,神戸大学,山口 章浩,武装集団の国際人道法および国際人権法上の義務,本研究は、内戦の当事者である国家と、それに敵対する非国家武装集団が負う国際人道法および国際人権法上の義務の違反の法的帰結を、国際社会の取り組みの分析を通じて明らかにすることを目的としている。これまで武装集団の国際義務と、その違反に対する法的帰結は一般的・抽象的なものに留まってきたが、近年における国際人道・人権法の発展と、それに伴う国際社会の取り組みによって、義務の範囲と法的帰結はより具体的なものとなってきている。そこで、そうした実行から導かれる法枠組みの内容と射程を明らかにすることによって、内戦を規律する国際法の動態的変化の一端を示すことが本研究のねらいである。,特別研究員奨励費,小区分05030:国際法学関連,国際法,国際人道法（武力紛争法）,ジュネーヴ諸条約共通第1条,国際責任,共犯,他国の違法行為への援助に対する責任,国際人道法,国家責任,武力紛争法,ジュネーヴ諸条約共通第１条,確保する義務,国際法上の共犯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21222,京都大学,村角 愛佳,同意に基づく武力行使における同意の有効性,本研究は、国家が他国の同意に基づき当該他国の領域内で武力行使を行うという、国際連合憲章には規定がないが実行の多い事象について、同意が有効であるために満たさなければならない要件を提示し、同意に基づく武力行使の規範内容を明確化することを目的とする。国家が他国軍隊による自国領域における武力行使を許可することは、国家の主権の自己制約であり、主権行使の結果である。しかし現代国際法には武力行使禁止原則が確立しており、そのような主権の自己制約が制限されると考えられるのである。,特別研究員奨励費,小区分05030:国際法学関連,武力行使の禁止,国家主権,同意,強行規範,人間的視座,国家,国際法における個人,国際人道法,国際人権法,内戦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13123,大阪大学,島本 奈央,マイノリティの集団的権利,本研究においては、将来的な民族紛争の解決を考える上で、個人の人権侵害を見るだけではなく、紛争を起こりにくくする為、マイノリティの意見を政策に反映させる枠組みとしての集団的権利に着目する。そのため、国家と個人の間に存在する、人民以外の集団であるマイノリティに集団的権利が認められるという論証を本研究では行う。従来の一元的な主権国家体制を多元化し、マイノリティの集団的権利による新たな枠組みを用いることによって、国家政策にマイノリティの声を届きやすくし、新しい紛争の解決方法が可能になると考えられる。,特別研究員奨励費,小区分05030:国際法学関連,マイノリティ,人民の自決権,集団的権利,人民,自決権,救済的分離,先住民族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12416,京都大学,李 中雨,国際海運法分野における海洋環境保護のための法形成――非国家主体の役割に着目して,"This research examines how non-State actors have contributed to the development of international regulations on vessel-source pollution. Important questions are posed regarding the role of non-State actors in the IMO's law-making process as well as the subsequent development of international instruments adopted under whose auspices. Potential issues for the participation of non-State actors will be dealt with and possible solutions will be provided. Particularly, the research aims to evaluate the possibilities of private standard-setting against a State-centric law-making background.",特別研究員奨励費,小区分05030:国際法学関連,shipping decarbonization,industrial standards,best practice,legitimacy,IMO,maritime industry,classification societies,ballast water management,autonomous shipping,seafarers,crew change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11544,東京大学,塩尻 康太郎,国際経済法における安全保障例外規定,国際経済法における安全保障例外規定は、安全保障上の理由による貿易制限措置が許容される範囲について定める。その最たる例は、世界貿易機関（WTO）協定のうち物品貿易に関するルールを定めるGATTの安全保障例外規定（GATT第21条）である。同条の援用を広く認めることはWTO協定の実効性に疑義を生じさせ得るが、安全保障上の理由による貿易制限措置の実施を認める必要性もある。本研究は、GATT第21条の起草過程・過去の援用事例・主要国の解釈傾向等を分析し、国際経済法における安全保障例外規定の外延を明らかにする試みである。,特別研究員奨励費,小区分05030:国際法学関連,GATT第21条,WTO,安全保障例外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01285,京都大学,來田 真依子,現代海洋法秩序における寄港国の役割と機能,本研究では、特に公海上での外国船舶の行為に対する港内規制に関して、寄港国が今日いかなる国際法上の権限を有しているのか、そしてどのような必要性に基づきその権限を行使しているのかを解明し、それを体系的に提示する。その解明により、現代海洋法秩序における寄港国の役割と機能を明らかにし、寄港国による国際公益保護の取組みを促進することを研究の目的とする。,特別研究員奨励費,小区分05030:国際法学関連,国際法,国際海洋法,国際漁業法,旗国主義,公海自由の原則,非旗国管轄権,ノースター号事件,国際海洋法裁判所,寄港国管轄権,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J23180,京都大学,前田 原作,国際法における不文法の「解釈」に関する一考察,本研究は、国際法において慣習法や法の一般原則といった不文法がいかに「解釈」されるのかを、記述的かつ規範的に分析するものである。具体的には、訴訟において不文法の存在や内容が争われる場合、どのような論拠が正当化に用いられているのかを明らかにするとともに、なぜそうした論拠を用いた議論こそが正当化の役割を果たすと言えるのかを、不文法が各裁判所においていかに観念され、またそれゆえにどのような役割を期待されてきたのかといった点に立ち戻って説明する。,特別研究員奨励費,小区分05030:国際法学関連,国際法,慣習法,慣習国際法,不文法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J00018,同志社大学,高田 陽奈子,「国家機関間規範」の性質およびその国際人権法上の位置づけ,「国家機関間規範」とは、本研究独自の概念であり、国家元首等によって代表されるところの「国家」ではなく、議会や裁判所、国内人権機関等の個別の国家機関によって形成され、個別の国家機関を名宛人とし、個別の国家機関によって解釈・適用およびアカウンタビリティの確保がなされる規範をいう。本研究の目的は、 国際人権法の実現過程において国家機関間規範が果たす役割および国家機関間規範の性質の2点について包括的に検証したうえで、それらの検証結果を土台として、国家機関間規範を国際法（学）上適切に位置づけ、国家機関間規範が果たす役割を整合的・統一的に説明することを可能にするための理論的枠組みを探究することである。,特別研究員奨励費,小区分05030:国際法学関連,国家機関間規範,国内人権機関に関するパリ原則,パリ原則の解釈,議会と人権に関する原則草案,人権条約の実現過程における議会の役割,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2014,京都大学,河合 慶一郎,他の国際法主体の違法行為に対する国際法上の責任ーー国際機構の加盟国責任を念頭に,ロシア-ウクライナ武力紛争への国連やICCの対応に見るように、現代国際社会では国際機構の役割が質的量的に増加している。それに伴い国際機構による国際法違反の蓋然性も高まるが、違法行為責任を国際機構に問うためのフォーラムは国際社会に現状存在しない。そこで機構の代わりにその加盟国に問責することに注目しうるが、両者は法的に別個の実体なので、そこでは「他者の行為に対する責任」が問われる。国際法理論の醸成過程においては主権国家のみが国際社会の構成員とされた故、国際責任は自己責任として観念されてきたという背景もあり、この形態の責任に関する規則は必ずしも明確ではない。本研究はこの責任形態の理論的体系化を行う。,特別研究員奨励費,小区分05030:国際法学関連,国際法,国際機構法,国際機構,国際違法行為責任,加盟国責任,間接責任,法意識,パラダイム,責任,国際違法行為,国際刑事裁判所,権限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0963,東京大学,北島 佑樹,戦間期までの国際規制犯罪における個人の国際法上の責任,本研究は、19世紀末から戦間期において発展した国際犯罪取締条約の分析を通じて、当時の国際法上の個人責任の概念を成立根拠とその射程という観点から解明することを試みるものである。常設の国際刑事裁判所（ICC）が設立され、判例が蓄積されつつある今日においても、国際法において個人が法的責任を追及されるとはいかなる法的状況なのかは不明確である。本研究では国際法上の個人責任概念の萌芽期である当時の時期に活発に議論された国際犯罪取締条約を分析し、犯罪の性格や処罰における個人の条約上の位置づけを検討することで、当時の国際法における個人責任概念の基盤を解明し、今日の検討の手がかりを得ることを目指す。,特別研究員奨励費,小区分05030:国際法学関連,国際刑事法,越境犯罪規制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0251,神戸大学,柴田 明穂,南極法制度の将来的課題の研究：イランからの視点と学際的なアプローチ,本研究の概要は、受入教員が主導する国際共同研究プロジェクト「南極条約体制の強靭性」に、マダニ研究員はその主要メンバーとして参画し、イランをその代表例として、南極条約非締約国から見た現行南極条約体制の正当性について検討を行う研究である。マダニ研究員は、本プロジェクトの中で、ペルシャ語の一次資料に基づく実証研究を担当する。海洋科学及び海洋観測技術といった理系分野と国際法学との接点に位置する「海洋の科学的調査(MSR)」の分析により、昨今、南極海における遺伝資源調査をめぐり重要論点になっている南極条約体制と国際海洋法との交錯に関して研究を行う。,特別研究員奨励費,小区分05030:国際法学関連,南極条約,気候変動,イラン,国際法,北極,ロシアによるウクライナ侵略,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2026,早稲田大学,長澤 宏,個人責任の理論と現実ー個人責任における国家の組織性ー,本研究は、個人に国際法上の犯罪に対する責任を直接問う個人責任の位置付けを再検討するものである。個人責任論上、国際犯罪を行なった主体は国家ではなく個人としてみなされ、個人と国家は理論的には峻別されていた。しかし、国際刑事法廷での個人責任の検討過程において、両者は必ずしも明確に峻別されない現実が看取される。したがって、このような現実に照らして国際法上の責任における個人と国家の関係を分析する必要があり、これにより現在の国際法の責任システムにおける個人責任の位置付けと意義が明らかになる。,特別研究員奨励費,小区分05030:国際法学関連,国際刑事法,個人責任,人道に対する罪,組織性,戦争犯罪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ0668,東京大学,鳥居 雅也,現代国際法理論における同意の位置付けとその歴史的基礎：２０世紀英国国際法学の展開,国家による協力なしに国際法を実現することはできない以上、国際法における国家の同意の位置づけは重要である。それにもかかわらず近年の国際法理論において「同意」概念が事実上骨抜きにされていることは、現代国際社会における法理論と法実践とが呼応していないことを示しているおそれがある。本研究は、現代国際法の形成に重大な役割を果たした20世紀英国国際法学に注目し、その法理論が国際社会の実態をどのように捉えようとしたかを分析することによって、あるべき「同意」概念を攻究する。,特別研究員奨励費,小区分05030:国際法学関連,Gerald Fitzmaurice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ2140,同志社大学,佐々木 絃,戦後責任を規律する国際法規則の抵触を調整するjus post bellumの原理,2022年2月に開始されたロシアによるウクライナ侵攻では，多くの国際法違反が行われており，ロシアへに対する責任追及が喫緊の課題となっている。しかし，戦後の賠償義務を厳格に追求することが戦争の終結や和解を妨げる可能性も懸念される。すなわち，戦後に実現すべき「jus（権利・法）」は賠償に限られず，賠償の追及が他の諸権利の実現を阻むこともある。そのため，諸規則間の調整が必要になる。本研究では，武力紛争後に実現すべき諸権利を定める国際法を「jus post bellum」として体系的に捉えることにより，賠償原則と他の諸規則が抵触する場合にその抵触を調整する原理を模索する。,特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1987,上智大学,服部 莉奈,WTO紛争解決制度における司法謙抑性の検討,戦後の国際経済秩序における法の支配を支えてきたWTO紛争解決制度は、米国による上級委員会(同制度の上級審)に対する司法積極主義批判を受け、その機能停止を余儀なくされた。現在、加盟国間及び学界で議論される「WTO紛争解決制度をどのような形で再建すべきか」という問題の本質は、自律的かつ効果的な司法的解決と加盟国主権に対する謙抑との間で同制度がとるべきバランスの問題にあるといえる。本研究は、主に上級委員会がこれまでとってきた謙抑的司法判断の方法やその方向性につき分析することを通じ、米国による批判も考慮に入れながら、全加盟国が合意できる紛争解決制度の再建に向けて同制度が備えるべき司法謙抑性を模索する。,特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1625,大阪大学,杉浦 卓弥,排他的旗国管轄権の射程とその保護法益の再検討,"本研究の目的は、公海上の旗国の排他的管轄権の射程（公海上の執行管轄権のみか、規律管轄権も排他的か）を明らかにすることである。この問題は、ノースター号事件判決（ITLOS,2019年）を通じて浮き彫りとなったが、従来からこの問題を巡る見解の相違が伏在しており、それが解消されることも検討されることもなかった。そのため本研究では、旗国管轄権の歴史的変遷を辿りながら、旗国に一定の管轄権が排他的に認められる根拠の明確化を行うことで、この問題の解決を試みる。",特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1287,名古屋大学,笠原 拓人,標準必須特許に関する抵触法的考察,本研究は、FRAND宣言された必須特許関連事案において生じる広義の抵触法上の問題について検討し、日本抵触法の枠組みでの適切な対応を示すことを目的とする。そのために、本研究は広義の抵触法の基本枠組み（国際裁判管轄・準拠法・承認執行）に沿って、課題を3つに分解し、同課題について議論が豊富な国々（ドイツや中国など）の枠組みとの比較を試みる。,特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ0204,早稲田大学,原田 明利沙,第一次世界大戦前の仲裁促進運動と国際紛争防止・解決の法枠組み,国際紛争の解決手段としての仲裁は、19世紀半ば以降徐々に存在感を増し、多くの国際紛争が国際仲裁裁判によって解決された。仲裁が各国に浸透していった背景には、仲裁促進団体や関連組織による働きかけがあった。なかでも、ヨーロッパの仲裁促進運動において中心的役割を担ったフランス国際仲裁議会団体は、各国政界との結び付きが強く、アメリカの仲裁促進団体との交流も活発であった。本研究では、仲裁促進運動の実態と、それらが外交や国際法整備に及ぼした影響を検討し、第一次世界大戦前の国際秩序形成過程の新たな側面を明らかにする。,特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ0889,東京大学,SONG Hanjun,義務の対世性に基づく原告適格拡大の法的根拠,国家間関係を水平的に規律してきた国際法体系に、近年、国家と国際社会との間の垂直的な関係を観念する義務が現れた。国際社会の共通利益の保護を目的とし、二国間関係に還元できない性質を持つとされる対世的義務(obligations erga omnes)である。この概念を巡って、主に二種類の問題が異なる文脈で議論されている。一次規則の文脈で議論される対世的義務の概念と判定基準に関する問題と、対世的義務が違反された場合に、二次規則の問題として、義務の対世性に基づき、個別的な損害を被っていない国（第三国）への原告適格拡大が認められる際の法的根拠の問題である。この二つの問題を関連付けて解明することを目指す。,特別研究員奨励費,小区分05030:国際法学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
