awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18308,早稲田大学,久米 郁男,少子高齢化社会における移民政策,本研究は、グローバル化の主要な側面であるヒト・モノ・カネの移動に対して人々がどのような形で態度形成を行うかをサーベイ実験を用いて 実証的に解明することを目的とした。標準的な新古典派経済学の貿易理論では貿易と生産要素である労働及び資本の移動は代替的関係にあると されてきた。しかし、近年の国際経済学研究ではそれらの補完性に関心が向けられている。しかし、ヒト・モノ・カネの移動は経済的効果のみ ならず人々の態度形成を通して政治的反応を引き起こし、グローバル化のあり方に影響する。本研究は、貿易、海外投資、そして外国人労働者 の受け入れが一般の世論にどのような政治的反応を生じさせるかを国際的なISSP世論調査データを用いて計量的に分析すると共に、経済構造の 成熟化や高齢化に伴いそれらが大きな政治的課題となっている日本と韓国を対象にしたサーベイ実験データを用いて分析を行った。,特別研究員奨励費,小区分06010:政治学関連,外国人労働者受入,グローバル化,国籍,多文化主義,移民政策,少子高齢化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23056,京都大学,和田 萌,フランスにおけるライシテと移民統合モデルに関する研究,フランスにおける政教分離原則である「ライシテ」理念は、従来、宗教に対する国家の中立性を保つことで、市民に宗教の自由を保障することをその目的としていた。しかし近年、社会において宗教の政治的対立が深まるにつれ、この理念は移民やムスリムを排除する言説を内部に含むようになった。,特別研究員奨励費,小区分06010:政治学関連,安全保障化,ライシテ,移民政策,移民統合,ムスリム,言説分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22864,東京大学,LEE SUMIN,地方議会における請願制度と政治過程：議会内権力と利益団体の影響力に着目して,請願は、日本国憲法第16条に保障されている権利として、住民が多元的な意見を伝達し要望を実現するための制度である。請願制度の特徴は、イニシアチブは住民にあり、結果は議会に委ねられていることである。本研究は、都道府県議会における請願を対象に、その帰結における議員や利益団体といった関連アクターの影響力について検討し、請願をめぐるアクターらの政治戦略を明らかにする。住民のイニシアチブと議会の採決が複合的に作用する請願の政治過程を探ることにより、日本の参加民主主義と代議制民主主義の間の緊張関係を実証的に分析する。,特別研究員奨励費,小区分06010:政治学関連,請願,日本政治,地方議会,政治参加,署名運動,政策過程,応答性,利益団体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22485,東京大学,山口 晃人,ロトクラシー・選挙デモクラシー・エピストクラシー　望ましい意思決定手続きの探究,代表制民主主義の危機が叫ばれる現在、より良い立法システムを探究することは急務である。本研究では、選挙デモクラシーに代わりうる二つの代表者任命手続きを検討することで、立法システムの改善を目指す。第一の代替案は選挙ではなくくじ引きで代表者を選ぶロトクラシーであり、第二の代替案は優れた知識・能力を持つ人々のみが統治するエピストクラシー（知者の統治）である。実社会においても学問上においても選挙デモクラシーは自明視され、ごく最近までこれら二つの代替案の可能性は真剣に検討されてこなかった。本研究ではこれら二つの代替案との比較を通じて、優れた意思決定手続きの条件を明らかにする。,特別研究員奨励費,小区分06010:政治学関連,ロトクラシー,政治哲学,民主主義,代表制民主主義,抽選制,政党,道具的価値,内在的価値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22280,神戸大学,西村 翼,現代日本の政党による候補者リクルートメントに関する実証的研究,「候補者擁立が自民党一党優位の規定要因である」との仮説を実証的に検討する。政党のブランドではなく個人的な評判によって得票する議員は選挙に強いが、議場投票で造反しやすく、政党にとっては諸刃の剣であることが知られている。こうした個人的評判によって得票する候補者の擁立状態が政党毎にどのように異なるのかを分析する。これにより、自民党ではこのような候補を必要な場合に限って的確に擁立することができていた一方、その他の政党は適切な擁立に失敗したことを示し、これが自民党一党優位の一つの規定因であったことを主張する。,特別研究員奨励費,小区分06010:政治学関連,政治的リクルートメント,政党政治,日本政治,議員行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21712,東京大学,齋藤 崇治,アメリカ大統領はいかにして弱くなったのか　議会改革の終焉と政党構築の挫折,本研究は、比較政治的な視座から「アメリカ大統領はいかにして弱くなったのか」という問いを、大統領の権力基盤としての議会改革と政党改革に着目して解くことを目標とする。これまで、大統領の強さを規定するものとして主に憲法が挙げられた。しかし、中南米諸国ではアメリカ憲法と類似した憲法を採用しているにも関わらず独裁化が進展しておりこの理由では不十分である。私は、特に、大統領や政党、議員、有権者といったアクターの利害を取り入れて、アメリカ大統領制の再構築を目指す。それによって、日本における政治制度改革に関する議論にも貢献したい。,特別研究員奨励費,小区分06010:政治学関連,アメリカ政治,大統領制,官僚制,フォーマルモデル,計量分析,計量テクスト分析,アメリカ大統領制,調整,執政政治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21170,東京大学,淺野 良成,「外交投票」とメディアの党派的バイアス,日本では昨今、外交・安全保障を重視する投票参加者が増えている。しかし、「外交投票」を行う有権者の条件付けや影響に対して、先行研究は十分な説明を用意していない。これまでの選挙研究では、有権者が外交・安全保障に関してそれほど知識を有さないことや、経済的なイシューの方が人々に実感されやすいとの認識に立ったものも多い。,特別研究員奨励費,小区分06010:政治学関連,外交と世論,政治行動,政治コミュニケーション,議員行動,計量テキスト分析,サーベイ実験,世論調査,投票行動,メディアと政治,外交投票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14502,早稲田大学,鈴木 淳平,緊縮の政治経済学：資本主義と党派政治のパラドックス,2008年のEU危機以降、先進諸国で緊縮政策が推し進められているが、その程度は各国によって差がある。本研究は、資本主義の多様性および党派政治に注目してその差の原因を説明することを試みる。具体的には、資本主義のあり方の中でも労使関係に着目する。すなわち、労使関係が、労使関係が紛争的な資本主義国家では、そうでない国家より選挙による経済政策のボラティリティが高くなるため、グローバル市場の信認を得にくくなり、緊縮が行われやすくなることを主張する。本研究は、このような理論枠組みの妥当性を計量分析によって検証し、また事例研究による過程追跡を行う。,特別研究員奨励費,小区分06010:政治学関連,党派政治,緊縮政策,反政府運動,消費税,福祉国家,グローバル化,法人税,社会的投資,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14427,早稲田大学,小須田 翔,関係的平等にもとづく熟議民主主義論の正当化と実現可能性に関する研究,本研究は、他者を支配せず他者に支配されないことを意味する関係的平等という理念によって熟議民主主義論を正当化し、かつその実現可能性を明らかにすることを目的とする。主な課題は次の2つである。第一に、熟議民主主義論の基軸である理由の交換を要請する道徳的原理として、関係的平等論を据えることができるかを検討する。第二に、関係的平等が、熟議民主主義におけるさまざまな制度や実践を通してどのように実現されているのかを、実験や実践の研究を参照し明らかにする。一連の研究によって、関係的平等の理念が民主的過程を通じて実現される可能性を明らかにすることができる。,特別研究員奨励費,小区分06010:政治学関連,熟議民主主義論,政治理論,民主主義,熟議民主主義,規範と経験の架橋,関係的平等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14229,明治大学,牧 杏奈,「インド民主主義」における包摂と排除―インド政治学とサバルタンの視座の比較―,本研究は、「インド民主主義」および「民主主義」について、①インド政治学の主流的見解、②サバルタン（被抑圧者）の視点を導入しようと試みるサバルタン・スタディーズ・グループによる見解、そして③サバルタンの立場に置かれているインドの先住部族民の見解を比較検討し、民主主義における＜理論・制度の場＞と＜現場＞との間に生じる齟齬について分析・考察を行う。これにより、制度上は「民主主義国」であるインドにおいて、ナクサライト運動などで顕著に示されるような社会経済的問題が実質的に解消されないシステムについて論じる。,特別研究員奨励費,小区分06010:政治学関連,サバルタン,ラナジット・グハ,デモクラシー論の批判的分析,サバルタン研究,デモクラシー理論の批判的分析,インド民主主義,政治的サバルタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
