awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22203,東京大学,湯浅 良太,高次元データにおける平均， 分散共分散行列の縮小推定,近年、計算機技術の発達等により、データのサンプルサイズだけでなくデータの次元も大きい高次元データを得る事、扱うことが可能になった。そこで高次元構造を考慮した統計モデルにおける精度の良い推定の構築とその理論的性質を保証する事を目的とする。特に、平均や分散共分散行列の縮小推定を考える。まず、平均と分散共分散行列がともに未知な場合に同時に推定する方法を提案し、その方法の良さを理論的に保証する。次に、データが時系列相関を持つ場合に新たな推定量を提案し理論的性質を示す。最後に株価等の実データを用いて提案する推定方法が上手く働くことを確認する。,特別研究員奨励費,小区分07030:経済統計関連,縮小推定,行列正規分布,統計的決定理論,数理統計学,ベイズ統計,ランダム行列理論,高次元統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20984,京都大学,木戸 大道,エビデンスに基づいた政策形成における、バンディット問題の応用,本研究では，エビデンスに基づいた政策形成（以下，「EBPM」という）におけるバンディット問題の応用について考察する．バンディット問題は，データを集める段階と，そのデータを利用する段階のトレードオフを具体的に考慮する．これは従来のEBPMに関する文脈では考えられてこなかった点である．したがって，バンディット問題をEBPMの枠組みで考察することで，新たな知見を得られる可能性がある．,特別研究員奨励費,小区分07030:経済統計関連,政策学習,外的妥当性,因果推論,バンディット問題,EBPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12648,名古屋大学,塚本 高浩,空間自己回帰確率フロンティアモデルの拡張による産業集積の効果に関する研究,計量経済学的な生産性/効率性分析手法である確率フロンティアモデルに空間計量経済学の知見を導入することで，生産活動の空間的相互依存関係を描写できる確率フロンティアモデルを開発する．さらに我が国の実データを開発したモデルに適用することで，産業集積の効果に関する実証分析を行う．,特別研究員奨励費,小区分07030:経済統計関連,空間的相互依存関係,生産性・効率性分析,確率的フロンティア分析（SFA）,空間計量経済学,生産性スピルオーバー,内生性,因果効果,産業集積の効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12172,京都大学,劉 焔,内生的レジームスイッチングをもつ自己回帰モデルの統計的推測理論の開発,本研究の目的は、経済時系列データの構造的局面の変化を表す内生的レジームスイッチングモデルにおけるレジームの数の統計的推測方法の開発とその実証研究への応用である。本モデルは、実証研究で良好な結果をもたらしてきたが、応用上必要とされるレジームの数の検定方法が確立されてこなかった。本研究では、単一レジームの帰無仮説と複数のレジームの帰無仮説の2通りの場合に分けて検定統計量を構築する。それぞれの統計量の漸近的性質を調べることによって、棄却限界値を求め、それを計算するシミュレーションアルゴリズムを開発する。その後、開発する手法を実証分析に応用することで、経済変数のレジームの存在・特徴を明らかにする。,特別研究員奨励費,小区分07030:経済統計関連,レジームスイッチングモデル,尤度比検定,最尤法,レジームの数の検定,内生的レジームスイッチング,漸近的性質,自己回帰モデル,時変遷移確率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10779,関西大学,原田 拓弥,全国規模エージェントシミュレーションの為の公的統計を用いた個人属性合成手法の開発,,特別研究員奨励費,小区分07030:経済統計関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19312,京都大学,西山 慶彦,経済・金融時系列の統計的モニタリング,本研究ではオンラインで観測される経済・金融時系列データに統計的逐次解析の手法を導入し，時系列モデルにおける統計的逐次解析の理論を構築する. 特に、応用分野としては帰無仮説を単位根過程、対立仮説を発散過程とする単位根検定を用いて金融バブルの発生の早期検出に用いることが期待される。当面は、比較的取り扱いの簡単な自己回帰モデルで誤差項が独立で同じ分布に従う確率変数である場合について調べる。その後に、応用上より重要で適用範囲の広いARCHモデルやGARCHモデル、長記憶モデルなどを誤差にもつ時系列データを分析する際の逐次解析の理論を検討する。,特別研究員奨励費,小区分07030:経済統計関連,逐次解析,単位根検定,臨界性検定,自己回帰過程,分枝過程,逐次検定,自己回帰モデル,単位根,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J30006,名古屋大学,塚本 高浩,空間計量経済学モデルの深化と応用,本研究では，地域分析をするために有用であろう空間計量経済学的な統計モデルの開発とそれを用いた実証分析を行う．特に地域間の空間的な相互依存関係を考慮した生産性/効率性の分析手法（空間確率フロンティアモデル）の開発が中心的研究テーマである．,特別研究員奨励費,小区分07030:経済統計関連,空間計量経済学,空間確率フロンティアモデル,ヤードスティック競争,地方財政,空間的スピルオーバー,市町村,効率性,生産性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22289,慶應義塾大学,清水 祐弥,Biased Samplingにおける母集団モーメントやパラメータの推定,偏りのある抽出が行われたデータから，関心のある変数の平均値やモデルのパラメータ等を正しく推定するためには，適切に偏りを補正する必要がある．,特別研究員奨励費,小区分07030:経済統計関連,Biased Sampling,傾向スコア,漸近論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21717,東京大学,中田 竜明,高次元平均及び分散のロバストな縮小推定とポートフォリオ選択問題への応用,データがサンプル数・次元ともに大きい高次元構造をもつ場合の分散共分散行列の推定を扱う.,特別研究員奨励費,小区分07030:経済統計関連,縮小推定,高次元データ,経験ベイズ,小地域推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20046,東京大学,伏島 光毅,内生性のあるノンパラメトリックな回帰モデルの研究,経済政策において、政策を受ける側の意思決定とその選択による収入等への効果の大きさは、選好、能力或いは周辺環境等のデータのとれない特性により異なる。本研究は、データのとれない異質性による効果の格差を反映できる制約の緩い回帰モデルで意思決定の選択が複数ある場合に、計算の簡便な推定方法の提案を目指す。,特別研究員奨励費,小区分07030:経済統計関連,計量経済学,処置効果,識別,内生性,操作変数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
