awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21146,一橋大学,今仁 裕輔,取締役会の独立性が企業業績・企業行動に与える影響,本研究の目的は、独立社外取締役がどのようにして企業業績に影響を与えるかを分析することで、これまで日本のみならず各国で行われてきた取締役会改革の政策評価を行うことである。これまでの研究では、独立社外取締役が企業業績に影響を与えることは示されてきたが、正負どちらの影響を持つかは国ごとに異なり、またどのようなメカニズムを通じて影響を与えているかは明らかとなっていない。本研究では、取締役会の機能分析とその国際比較を通じて、近年日本で行われている企業統治改革が意図した帰結をもたらすものであるかを明らかにすることを目的とする。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,コーポレートガバナンス,取締役会,企業業績,独立社外取締役,コーポレートガバナンス・コード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12283,東京大学,吉村 勇志,進化計算を用いた金融市場参加者の行動特性の抽出による人工市場の構築,本研究は個々の市場参加者と市場全体の特性の両面において妥当性のある人工市場を遺伝的プログラミングによって構築する。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,金融市場,エージェントベースモデル,注文の寿命,遺伝的プログラミング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10501,大阪大学,下清水 慎,価格インパクトのモデリング及びラージトレーダーの取引執行戦略,生命保険会社や年金基金などの大口投資家や機関投資家（ラージトレーダー）は、大量の資金を用いて株式や債券で運用を行うことが多く、それにより金融市場へ大きな影響を与える。本研究では、ラージトレーダーの最適な売買取引戦略（最適執行戦略）は何によって決定されるのかを理論的に分析する。また、 小口投資家などの他のトレーダーの売買取引によって、ラージトレーダーの売買取引戦略がどのような影響を受けるのかを分析する。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,ラージトレーダー,価格インパクト,確率動的計画法,最適執行戦略,マルコフ完全均衡,Hamilton-Jacobi-Bellman equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22626,東京大学,坂本 健介,金融ネットワークとシステミックリスク,私の研究は、金融ネットワークとシステミックリスクとの間の関連性を理論的に解明することを目的とする。具体的には、銀行間預金等を通じて金融機関がネットワークを内生的に形成する過程を明示的にモデル化し、分権的に形成されるネットワークがシステミックリスク、すなわち少数の金融機関の機能不全が経済全体に伝播するリスクに頑健であるか検証する。その上で、自己資本規制や流動性規制などの規制政策が金融機関の行動とネットワーク構造に与える影響を分析し、それらの政策がシステミックリスク軽減に繋がるか評価を行う。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,金融ネットワーク,システミックリスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21283,一橋大学,平岩 拓也,金融仲介機関に基づいた資産価格モデルの研究,本研究の目的は、既存の金融仲介機関に基づく資産価格理論で捨象されているような金融仲介機関の特徴をモデル化することで、金融仲介機関がどのように金融市場のリスクプレミアムの決定に寄与し、マクロ経済に影響を与えるのかを理論的に分析することである。金融仲介機関の資産・満期変換機能や金融ネットワークが資産価格やリスクプレミアムに与える影響を分析し、そのインプリケーションを検討する。また、モデルのシミュレーションを通じて、様々な経済政策の影響や有効性について検討することも目的としている。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,金融仲介機関,資産価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J15618,京都大学,三田 光星,加法的汎関数のファイナンスへの応用,加法的汎関数は時間に関して一様でない確率過程を扱うことができる点などでファイナンスモデルの構築に有用なものとされている。しかし、確率過程と独立でない加法的汎関数のファイナンスへの応用はいまだ少ない。本研究ではそのような確率過程の加法的汎関数について数学的性質を研究し、実データによる検証を行いながら災害債券のモデル構築や企業の資金調達の最適化を通じて数学的結果のファイナンスへの応用を目指す。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,加法的汎関数,災害債券,複合ポアソン過程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00107,筑波大学,片平 啓,被験者実験及び投機ゲームモデルを用いた意思決定構造が金融市場に及ぼす影響の研究,株などの金融資産の価格は，個々のトレーダーの売買行動が集約される結果，日々変動している．本研究では，金融市場のシステムを階層的に捉え，ミクロレベルのトレーダーの行動が，マクロレベルで実際に観測される金融価格に対してどのような影響を与えているのか分析を行う．具体的には，被験者実験やシミュレーション実験により，売買における価格変化の大きさ情報の重要性やその認知差異，意思決定方法の違いなどが，市場価格に及ぼす影響について研究する．,特別研究員奨励費,小区分07060:金融およびファイナンス関連,投機ゲームモデル,マルチエージェントシミュレーション,複雑系,Stylized facts,被験者行動実験,価格情報,自己組織化臨界,経済物理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20F20729,東京大学,チン ユ,複雑系のアプローチを用いた中国経済に対する中米為替レートの影響に関する研究,,特別研究員奨励費,小区分07060:金融およびファイナンス関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10959,神戸大学,早木 祥夏,株式市場間の国際的統合とリスク態度,本研究では，株式市場間の国際的統合の有無を，人々のリスクに対する態度や，リスクを評価する際のメカニズムに基づきながら明らかにする．具体的には，「現在の生活水準を維持したい」というような人々の普遍的な行動特性を考慮する．そのような特性をできるだけ考慮して制御することで，異なる国の株式市場が異なるリスクに曝されているのか否かや，株式市場間の差異が国民性の差異によるものなのか，政策の差異によるものなのか，あるいは富の配分の差異によるものなのかを判断することができる．ここで得られる知見は人々の普遍的特性に基づくため，年金のような長期の運用を検討する際にも有用である．,特別研究員奨励費,小区分07060:金融およびファイナンス関連,株式市場の国際的統合,国際分散投資,集計リスク回避度,損失回避,レジーム転換モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3223,一橋大学,秋山 奈穂,高次元ファイナンスモデルに対する確率解析とディープラーニングによるアプローチ,本研究では、確率解析とディープラーニングを融合させた新手法を提案する。具体的には、マリアバン解析における「マリアバンの部分積分」を利用した収束の速い確率微分方程式の高次弱近似法を確率的勾配降下法と合わせて用い、「万能近似定理」に基づいてディープラーニングの方法に応用することで、従来の方法では「次元の呪い」と呼ばれる問題が生じてしまう、高次元ファイナンスモデルを高速に解く新しい数値解法を構築する。一方で新手法が理論的にどのような特徴を持ち、なぜ高次元ファイナンスモデルにおいて高精度の近似が達成できるかを理論的に示すと同時に、ビジネスに応用すべく様々な金融実務モデルに新手法を適用する。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,ファイナンス,グリークス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0544,東京大学,平野 正徳,データ融合による信頼性の高い金融市場モデル構築,金融市場シミュレーションにおいて，シミュレーションの信頼性を向上させるための手法として，データ融合という形で，シミュレーションに実際の市場のデータを導入することを検討，開発する．その結果として，エージェント間での相互関係を取り込むことのできるというメリットのあるマルチエージェントシミュレーションと，実際のデータから特徴を抽出して生かすというデータマイニングの双方のメリットを組み合わせた手法を作成する．,特別研究員奨励費,小区分07060:金融およびファイナンス関連,マルチエージェントシミュレーション,データマイニング,金融市場,人工市場,深層学習,敵対的生成ネットワーク,強化学習,金融市場シミュレーション,注文データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0097,東京大学,チン ユ,複雑系のアプローチを用いた中国経済に対する中米為替レートの影響に関する研究,"The research predicts Chinese-American exchange rate trends and offers insights on Japanese Yen using complex system approaches. It involves analyzing key factors, modeling significant factors, comparing historical events like the Plaza Accord and yen depreciation, and drawing conclusions.",特別研究員奨励費,小区分07060:金融およびファイナンス関連,Exchange rate,Chinese economy,Factor Analysis,Foreign currency rate,Sino-US exchange rate,Japan-US exchange rate,Complex Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22F20729,東京大学,チン ユ,複雑系のアプローチを用いた中国経済に対する中米為替レートの影響に関する研究,,特別研究員奨励費,小区分07060:金融およびファイナンス関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1385,京都大学,小池 智大,排出枠の価格変動リスクに直面する企業の意思決定を説明する確率的動学モデルの設計,"排出枠の価格変動リスクに直面する経済における最適な省エネルギー技術転換を定量的に分析する確率的動学モデルを作成する. 具体的には, 確率制御問題の一種である最適停止問題と一般均衡モデルを組み合わせたモデルを用いて, 社会厚生を最大化する政府の意思決定を分析している. このモデルを用いることで, 排出枠などのエネルギーコストの不確実性が政府の最適政策にどのような影響を与えるかを分析することができる.",特別研究員奨励費,小区分07060:金融およびファイナンス関連,最適停止問題,確率制御,エネルギー価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ0648,東京大学,関根 雅,平均場ゲーム理論とその数理ファイナンスへの応用,本研究では平均場ゲーム理論を用いて、多人数ゲームとしてのファイナンスモデルを考察する。具体的には、金融市場における市場参加者の相互作用を考慮し、その均衡における証券価格や投資家たちの戦略分布を記述する理論モデルを構築した上で、その理論の社会実装方法を提案することを目的とする。また、より長期的には金融市場のみならず経済全般への応用も目指している。本研究が進展すれば、投資家たちの競争・協調行動の効果を織り込みながら金融危機等を分析できるようになり、均衡における人々の状態分布を考慮に入れた効率的なリスク管理方法や投資戦略、そして投資の促進や市場の規制といった政策の方法などを提供できると期待される。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,平均場ゲーム理論,資産価格形成理論,数理ファイナンス,確率最適制御問題,後退確率微分方程式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ1124,東京大学,橋本 龍二,人工市場シミュレーションとデータ解析の融合による金融市場メカニズムの解明,本研究では，(1)最適輸送による人工市場シミュレーションの現実性の定量評価手法と，(2)大規模言語モデルやマルチエージェント強化学習を用いた進歩的なエージェントモデルの提案を行う．提案手法を通じて，stylized factsと呼ばれる金融市場における経験的事実や，アノマリーと呼ばれる伝統的な金融工学の仮定と整合的でない現象の発生メカニズムを，投資家行動から解明する．更に，得られた知見をもとに，市場制度設計の改善を議論する．,特別研究員奨励費,小区分07060:金融およびファイナンス関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ1022,東京大学,高柳 剛弘,深層学習と視線計測実験による認知的基礎づけを持つ投資家行動モデルの構築,本研究は、投資家の意思決定過程における「注意」に着目し、説明性と頑健性を兼ね備えた深層学習モデルの構築を目的とする。まず、個人投資家の取引履歴やSNS投稿などの行動データに対して注意機構を適用し、投資行動を予測するモデルを構築する。また、大規模言語モデルによる投資推奨が実際の投資判断に与える影響についても分析を行う。さらに、視線計測実験によって人間の注意を観測し、深層学習モデルが学習した機械の注意と比較することで、両者の整合性を検証する。最終的に、マルチタスク学習により人間の注意をモデルに統合し、認知的基礎づけを持つ高信頼な投資家行動モデルの構築を目指す。,特別研究員奨励費,小区分07060:金融およびファイナンス関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
