awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21550,立命館大学,田中 将太,近代日本軍人恩給制度の基礎的研究,軍人恩給制度は、明治8年に制定された「陸軍武官傷痍扶助及ヒ死亡ノ者祭粢並ニ其家族扶助概則」に始まり、現在の公的年金制度の祖とされるのが定説となっている。,特別研究員奨励費,小区分08020:社会福祉学関連,軍人恩給,厚生省保険局,谷干城,軍人恩給制度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14983,京都大学,松藤 尋幹,日本での出産に起因するＰＴＳＤの要因探索および予防プログラムの開発と検証,近年、周産期精神疾患のひとつとして出産体験を原因としたPTSD（心的外傷後ストレス障害）が注目されている。産後PTSDは出産後の日常生活や母児関係、家族関係に悪影響を及ぼすことが知られている。,特別研究員奨励費,小区分08020:社会福祉学関連,PTSD,周産期メンタルヘルス,産後メンタルヘルス,筆記表現法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01769,中央大学,天畠 大輔,「発話困難な重度身体障がい者」と「通訳者」間に生じるジレンマと新「事業体モデル」,本研究は「発話困難な重度身体障がい者」が「生産する主体」となる際，「通訳者」が介入することで生じる複合的なジレンマにフォーカスして，新たな障がい者と「通訳者」の介助関係モデルを提示することを目的とする．当事者と「通訳者」との間に生じる依存関係に対して，依存のプロセスを認めながらも，依存のループを乗り越えるための介助モデルを模索する．,特別研究員奨励費,小区分08020:社会福祉学関連,重度訪問介護,介助付き就労,発話困難な重度身体障がい者,当事者研究,協働作業,能力の普遍性,弱い主体,ロックドインシンドローム,介助者,当事者事業所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00811,京都大学,迫田 さやか,自発的な選択者に対する、因果性を排除した包括的な社会保障政策に向けての実証分析,機会があったにもかかわらず、家族のために就業を選択した青少年、家事・育児のために仕事を辞める女性、親の介護のために職を失う中高年など、あえて非効率的・非合理的な選択をする者について「自己責任」論が用いられ、また望ましい社会保障設計が構築されていない。,特別研究員奨励費,小区分08020:社会福祉学関連,因果性,所得格差,機会の平等,自己責任,非合理性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20406,立命館大学,栗川 治,障害のある教員の当事者運動史の研究――1970年代以降の日本の当事者団体を中心に,本研究は、多様な人間が共生する社会を実現していくうえで重要なインクルーシブ教育の一翼を担う「障害のある教員」について、その当事者運動の歴史を調べる日本で最初の学術研究である。,特別研究員奨励費,小区分08020:社会福祉学関連,障害のある教員,軽減労働同一賃金,障害教員雇用,障害教員運動史,情報保障,当事者団体,社会運動史,権利保障,指導力不足教員,障害／能力の社会モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12150,東北大学,二本松 直人,生活保護ケースワーカーの受給者対応に関するコミュニケーション戦略の検討,近年、生活保護受給者の増加するなか、生活保護ケースワーカーのメンタルヘルスが問題となっている。先行研究では、生活保護ケースワーカーの困り感について、訪問による心労、受給者が指示に従わないなどが指摘されている。そこで、本研究では生活保護ケースワーカーにおけるストレス要因の強さを特定し、どの要因を改善すればワーカーのストレス反応を減らすことができるか検討することを目的とする。,特別研究員奨励費,小区分08020:社会福祉学関連,生活保護ケースワーカー,ストレス,コミュニケーション,戦略,対処,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10970,東京都立大学,梶原 豪人,学校からの排除―子どもの貧困と不登校―,本研究の目的は、貧困家庭の子どもがいかにして不登校となり、いかなる進路へ進んでいくのか、さらにそうした進路形成に関して、不登校の子どもの居場所であるフリースクール等の支援団体を利用することでいかなる違いが生じるのか明らかにすることである。,特別研究員奨励費,小区分08020:社会福祉学関連,子どもの貧困,不登校,フリースクール,ソーシャルボンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01910,京都大学,木野 志保,機械学習を用いた生活保護受給者の精神保健支援の検討,生活保護受給者は、全国平均と比べて自殺率・精神疾患有病率が高い。劣悪な精神保健状態は生活習慣の改善を妨げ、行動変容を困難にし、日常生活への支障や社会からの孤立を助長していることから、精神的健康の支援が重要な課題である。そこで、本研究では、生活保護受給者の精神保健に影響を与える要因を明らかにし、現場での早期支援の一助となる精神疾患の予測モデルを作成することを目的とする。,特別研究員奨励費,小区分08020:社会福祉学関連,生活保護,精神保健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01334,東京大学,原田 玄機,障害者福祉制度の対象とされなかった知的障害者の発生要因と生活に関する研究,本研究では、従来の福祉国家における「制度の狭間」が生じた要因とその影響を考察するため、貧困地域をフィールドに、知的障害者に焦点をあわせて、以下の点を明らかにすることを目的とする。①なぜ貧困地域の知的障害者が障害者福祉の対象から外れてきたのか、②障害者福祉から外れたことが、貧困地域の知的障害者に対してどのような影響をもってきたのか、③なぜ近年、貧困地域の知的障害者が注目されるようになってきているのか。この3点を明らかにするために、東京都の山谷地域における支援者・当事者に対する聞き取り調査と、社会調査等の資料収集を行う。,特別研究員奨励費,小区分08020:社会福祉学関連,知的障害,貧困,ホームレス,オーラルヒストリー,ライフコース,寄せ場,歴史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12237,東京大学,臼井 香,精神的不調を抱える思春期・青年期のリカバリー促進に注目した早期支援法の開発,精神疾患からの回復において、症状の回復だけでなく、本人の価値や希望に沿った回復過程（リカバリー）を促進していくことが重視されている。リカバリーの促進を狙った支援法は、これまで統合失調症などの特定の疾患のある成人を対象に数多く開発されてきたが、思春期・青年期を対象としたものはほとんどない。さらに、この時期は様々なこころの不調が生じ、診断が確定しない場合も多いため、幅広い精神疾患に有効な支援法が必要である。そこで本研究は、こころの不調を抱え医療機関に訪れる若者に対してリカバリーを促進する早期支援法を開発し、効果検証することを目的とする。,特別研究員奨励費,小区分08020:社会福祉学関連,思春期・青年期,早期支援,リカバリー,パーソナルリカバリー,心理支援,質的研究,効果検証,AYA世代,簡易性,実装性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
