awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23036,熊本県立大学,田尻 絵里,睡眠時間の短縮が食欲へ及ぼす影響の個人間差異の要因の解明：脳内報酬系に着目して,睡眠不足が食欲へ及ぼす影響の個人間差異の要因の解明を目的とする。研究デザインは，睡眠不足(5時間)と対照睡眠(8時間)による無作為クロスオーバー試験とし，対象者は健常成人男女20名とする。個人間差異の要因として，脳内報酬系の指標である内在性カンナビノイド(2-アラキドノイルグリセロール；2-AG)に着目した。2-AGはヒト体内で産生され味覚嗜好や快楽行動に関与する。本研究は，睡眠不足時の食欲応答として脳内報酬系の指標である2-AGや味覚嗜好に対する反応に個人差があり，快楽的な食行動が起こる者とそうでない者が存在することが，エネルギー摂取量の個人差に影響することを仮説としている。,特別研究員奨励費,小区分08030:家政学および生活科学関連,睡眠不足,食事摂取量,甘味嗜好,アクティブグレリン,食欲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22081,奈良女子大学,城戸 千晶,健康寿命延伸に向けた住環境整備と住まい方に関する研究 -QOLに着目して-,健康寿命を延伸させる住まい方の提案を目指し、住宅内の温熱環境と居住者の生活行動、体力などの実測調査から、温熱環境が健康や生活の質（QOL）に与える影響を加齢に伴うフレイル（要介護状態の前段階に位置する虚弱な状態）との関連から検討する。また、個人の節電意識や温熱的特性と住まい方の関係や、住まい方が温熱環境の形成に及ぼす影響を解明することで、個人にあった環境改善を図る住まい方を模索する。,特別研究員奨励費,小区分08030:家政学および生活科学関連,高齢者,温熱環境,QOL,住まい方,活動量,睡眠,住宅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01567,地方独立行政法人東京都健康長寿医療センター(東京都健康長寿医療センター研究所),阿部 巧,フレイル該当率の差異に関連する地域特性の解明：環境と健康行動の視点から,フレイルの頻度（フレイルに該当する高齢者の割合）が高い地域と、低い地域が存在することが明らかになっている。しかし、その頻度の差を生じさせている要因についての知見は乏しい。そこで本研究は、都市部と農村部のデータを使用し、フレイルの頻度の地域差と関連する環境要因および健康行動を明らかにすることを目的とする。本研究から、フレイル予防のための地域環境づくりに寄与しうる要素を同定することが期待できる。,特別研究員奨励費,小区分08030:家政学および生活科学関連,フレイル,地域,交通行動,健康行動,地域差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01402,茨城大学,池田 裕美,常同行動のメカニズム解明および栄養学的予防または緩和法の新規探索,常同行動は同じ場所を過剰に動き回ることや自己を傷つけ続ける行為などであり、ADHD、自閉症および統合失調症などの精神疾患に共通してみられる異常行動である。常同行動の詳細なメカニズムに関しては未解明である。NMDA受容体に関連する遺伝子GRIN1の変異が常同行動に関わっていると示唆されている。NMDA受容体はグリシンならびにD-セリンがGRIN1に作用することで働きが増強する。つまり、栄養因子によるNMDA受容体活性の制御の可能性が期待できる。行動パターンの調査から常同行動が生じるまでの詳しいメカニズムの解明を行い、最終的に栄養素による予防もしくは緩和のための新規の療法としての可能性を検討する。,特別研究員奨励費,小区分08030:家政学および生活科学関連,常同行動,NMDA受容体,ストレス,3次元深度センサ,アミノ酸,腸内細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J40003,琉球大学,伊藤 早苗,将来の肥満・生活習慣病のリスク「小さく生まれ大きく育つ」要因の解明,,特別研究員奨励費,小区分08030:家政学および生活科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11561,九州大学,武末 慎,歩行中の足甲接触圧を用いた足と靴のフィット性定量化手法の提案,本研究課題では、足と靴のフィット性に大きく影響を与える要因として足甲接触圧が挙げられるため、フィット性定量化に必要なデータとして足甲接触圧に影響を与える要因の詳細な検討を行う。これまでの研究で明らかにしてきた靴の種類および足部形状が足甲接触圧に与える影響に加えて、その他の様々な要因、例えば、靴紐の種類や結ぶ強さ、運動の違いおよび外的環境が歩行中の足甲接触圧に及ぼす影響を明らかにし、一般化線形モデルを用いてフィット性定量化モデルを構築することを目的とする。,特別研究員奨励費,小区分08030:家政学および生活科学関連,足甲接触圧,歩行動作,靴のフィット性,定量化,足背部,靴,人間工学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J15101,京都大学,青池 歌子,アフリカ都市における食品ゴミの再利用と保存食による飢餓への対処,本研究では、気候変動による干ばつや砂漠化が深刻なサヘル地域に位置するニジェールにおける食生活に着目し、慢性的な食料不足と貧困に苦しむ人びとの飢餓への対処方法を解明することを目的としている。具体的には、首都ニアメ市の各家庭における「食品残渣の再利用」「食べ残しの保存食への加工」「富裕者から貧者への食事の贈与」の三点を検証する。乾燥した気候を利用した保存食作りやイスラームの教えに則る喜捨の考察を通じて、食料を大切にする価値観やそのために人びとがとる方法、農村の親族や都市の弱者を支える社会関係が形成され保持されてきた要因を探る。,特別研究員奨励費,小区分08030:家政学および生活科学関連,食文化,保存食,喜捨,残飯,廃棄物の再利用,生活誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13188,東京家政大学,谷口 明日香,大麦粉生地の力学特性に及ぼす諸因子の影響をふまえた加水指標の確立,大麦は、より幅広い製品に加工できる「粉食」の用途拡大が課題である。穀物粉製品では、加水条件の調節により、生地の力学特性（粘りや硬さ等）を適した状態にすることが必須である。しかし、大麦粉においては、何を根拠にどの程度加水率を調節すべきかを示す指標がなく、粉食の用途開発が進まない現状にある。以上をふまえ本研究では、加水指標の確立による粉食用途の開発促進を図るため、まずは大麦粉生地の力学特性に影響する因子を明らかにし、加水条件の決定根拠を見出すことを目指す。,特別研究員奨励費,小区分08030:家政学および生活科学関連,大麦粉,力学特性,粒子特性,粒子径,加水条件,β-グルカン,損傷デンプン,空間率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3044,大阪電気通信大学,奥川 あかり,低炭素社会を目指した再生セルロースの開発―置換度や後処理加工による親水性の制御―,脱炭素社会の構築に向けて生分解性のエコマテリアルである再生セルロースがプラスチックの代替えを果たすには再生セルロースの高すぎる親水性を制御し、水による影響を受けすぎない新たな再生セルロースを開発する必要がある。本研究ではセルロース分子の3つの水酸基の置換度や分子鎖間の架橋による分子運動状態や膨潤挙動への水による影響を明らかにし、分子レベルでの親水性制御の可能性を検討する。これまでの研究に加えて主に分子間を架橋した再生セルロースに対する膨潤挙動の水分率依存性及び、天然セルロース由来であるセルロースナノシートの水による酸素透過性への影響、置換度を変えたアセテート繊維の水による影響を解明する。,特別研究員奨励費,小区分08030:家政学および生活科学関連,セルロース,再生セルロース,アセテート,親水性,小角X線散乱,分子運動,膨潤挙動,ガスバリア性,小角Ｘ線散乱,動的粘弾性,分子間架橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2788,東京農業大学,木住野 円華,ケニア農村部における世帯内二重負荷の実態と持続可能な食生活の検討,令和3年度は、研究計画の倫理申請、現地での調査（ケニア農村2地域の5歳未満児およびその保護者（計約200ペア）を対象。食事調査（24時間思い出し法と申請者が新たに開発した食物摂取頻度調査票）・身体計測・質問票調査（経済状況等））を実施した。研究滞在の準備も行った。,特別研究員奨励費,小区分08030:家政学および生活科学関連,栄養不良の二重負荷,ケニア,食物摂取頻度調査票,食生活,食事配分,母子栄養,食習慣,世帯内食事配分,食事タイミング,睡眠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
