awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18326,上智大学,中筋 麻貴,Ｋｌｏｏｓｔｅｒｍａｎ和への代数的組合せ論的アプローチ,"1926年に導入された指標和Kloosterman和は，群G=SL(2,Z)のBruhat分解と関係するKloosterman set上に定義されることが報告されている．ここで，Bruhat分解は，群Gと関係するワイル群Wとボレル部分群Bを用いてG=BWBと表される分解である．群Gのランクをあげることにより，高ランクKloosterman和が定義され，その性質の解明が興味の対象となる．D.Bump, S.Friedberg, D.Goldfeldによる先行研究([BFG])では，SL(3,Z)のBruhat分解をさらに細かく分解し，細分化されたKloosterman set上にKloosterman和が定義できることが報告されている．本研究では， この細分化に再度着目した上で， Kloosterman和の代数的および組合せ論的構造を解析し，Kloosterman和の性質の解明と応用に取り組んだ．",特別研究員奨励費,小区分11010:代数学関連,Kloosterman和,Bruhat分解,Bott-Samelson分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18311,東京大学,今井 直毅,Ｇジップを用いた志村多様体の幾何と法ｐ保型形式の研究,"I conducted research in the field of Number theory and algebraic geometry. In particular, I studied the space of global sections of automorphic vector bundles on the stack of G-zips of Pink-Wedhorn-Ziegler. In a joint paper with Naoki Imai, we determined this space for a general reductive group in terms of the Brylinski-Kostant filtration. This paper was published in Forum of Mathematics, Sigma in April 2021. I also started several related projects with Imai and Goldring that will be submitted this month for publication. One project is related to the construction of partial Hasse invariants, the other has to do with understanding which weights admit nonzero automorphic forms in characteristic p. Specifically, we construct automorphic forms in characteristic p whose vanishing locus is a given codimension one stratum in the flag space of a Shimura variety. We show that this form always exists and lies in the subvector bundles attached to the socle of the representation. In the second project, we prove several results regarding the zip cone, that was introduced in a previous paper. In particular, we show that if a certain explicit condition on the Galois action is satisfied, then the zip cone is spanned over the positive rationals by the weights of partial Hasse invariants (constructed in the first paper). I presented my research at several institutions.",特別研究員奨励費,小区分11010:代数学関連,志村多様体,Gジップのスタック,法p保型形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22795,東京大学,高松 哲平,Deligne-Lusztig多様体の局所体類似について,Deligne-Lusztigは，有限体上の簡約代数群の表現を，Deligne-Lusztig多様体とよばれる図形の不変量に実現した．本研究の目標は，Deligne-Lusztigの理論の非アルキメデス的局所体上の類似の完成である．すなわち，Deligne-Lusztig多様体の局所体上の類似物を定義し，その不変量に，整数論において重要な研究対象である局所体上の簡約代数群の表現を実現すること，また，実現した表現の性質，特に局所Langlands対応における振舞いを解明することを目指す．,特別研究員奨励費,小区分11010:代数学関連,Deligne-Lusztig多様体,数論幾何学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21728,東京大学,沖 泰裕,幾何的手法による志村多様体および局所Langlands対応の研究における新展開,"本研究課題の目的は, 志村多様体の数論幾何およびその応用について新たな可能性を追及することである. この目的のために, Rapoport-Zink空間と呼ばれる, 志村多様体の整モデルの局所版かつLubin-Tate空間の一般化である幾何的対象の研究を推し進める. また, 前述の研究で得られた結果の応用として, 局所Langlands対応およびarithmetic intersectionをはじめとする整数論の研究も併せて行う.",特別研究員奨励費,小区分11010:代数学関連,志村多様体,線形代数群,数論幾何,Rapoport-Zink空間,数論的交叉理論,超特異部分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21433,東京工業大学,清水 祐利,モチヴィックホモトピー論における相対的手法の導入,位相幾何学におけるホモトピー論とは、空間の持つ性質のうち、その上の線分を潰しても変化しないものを扱うことを目的としていた。モチヴィックホモトピー論とは、その代数幾何学における類似理論であり、代数多様体内の直線を潰しても変化しない性質を扱う。本研究は、このモチヴィックホモトピー論に相対的手法を導入することを目的としている。このような手法は通常のホモトピー論においては頻繁に用いられるものである。またこれらの応用として、位相幾何学において見られる種々の定理のモチヴィック版の証明も行う。,特別研究員奨励費,小区分11010:代数学関連,無限圏,余層,A^1ホモロジー,モチヴィックホモトピー,ホワイトヘッドの定理,切除定理,双有利不変量,R-equivalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21384,京都大学,杉本 祥馬,log共型場理論に対応する頂点作用素代数の幾何学的表現論の研究,物理学における共形場理論の数学的定式化として、頂点作用素代数(VOA)というものが研究されている。最近、log共形場理論と呼ばれるエキゾチックな理論に対応するVOAが注目されているが、例があまり見つかっておらず、古典的な場合ほど研究は進んでいない。このようなVOAの重要な例としてtriplet代数と呼ばれるものが知られているが、その高次の一般化であるFeigin-Tipunin代数は極めて複雑であり、未開拓な分野である。,特別研究員奨励費,小区分11010:代数学関連,表現論,頂点作用素代数,幾何学的表現論,log共形場理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21207,広島大学,梶浦 大起,有限群の部分集合の一様性の尺度と準モンテカルロ法,本研究は，有限群に対してQMC（quasi-Monte Carlo法）的なアプローチから，difference setなどの有限群上の組合せ論的構造の理解を深めることが目標である。,特別研究員奨励費,小区分11010:代数学関連,数学,組合せ論,difference set,association scheme,デザイン理論,quasi-Monte Carlo,QMC,block design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21165,名古屋大学,埴原 紀宏,三角圏のAuslander対応と団傾理論,多元環の表現論は最も基本的な対象である加群圏をはじめ、付随する種々の「圏」の構造を論じるものである。研究員は特に導来圏、Cohen-Macaulay(=CM)安定圏、団圏（クラスター圏）などの「三角圏」を中心とした研究を行っている。三角圏は幾何学など他にも多くの分野で現れるが、このような異なる起源をもつ三角圏たちの間には様々な三角同値が存在する、すなわち等価な構造を持つことが知られている。本研究は、三角圏の良い部分圏として重要な団傾部分圏に注目し、三角圏の構造の理解を与えることを目標とするものである。,特別研究員奨励費,小区分11010:代数学関連,dg圏,特異圏,導来圏,団圏,カラビ・ヤウ構造,傾理論,団傾理論,Calabi-Yau三角圏,dg代数、dg圏,遺伝的多元環,DG代数、DG圏,Calabi-Yau代数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21085,東京大学,河上 龍郎,凖フロベニウス分裂多様体に関する研究,正標数の代数閉体上定義された代数多様体には、frobenius射と呼ばれる自己射が存在する。frobenius分裂多様体とは、このfrobenius射が構造層に誘導する射が分裂するような代数多様体である。frobenius分裂多様体はKodairaの消滅定理の成立など良い性質を持つ。準frobenius分裂多様体とは、frobenius分裂多様体の拡張概念であり、frobenius分裂多様体同様、良い性質を持つ。本研究ではこの準frobenius分裂多様体としてどのようなものがあるかを明らかにする。,特別研究員奨励費,小区分11010:代数学関連,対数的リフト,準F分裂,Bogomolov-Sommese消滅定理,持ち上げ可能性,del Pezzo曲面,Frobenius分裂,Bogomolovの消滅定理,Kawamata--Viehwegの消滅定理,ファノ多様体,F分裂多様体,大域的F分裂多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20878,名古屋大学,齋藤 耕太,フラクタル幾何学，付随するゼータ関数，および整数論への応用,与えられた集合にどのくらい大きい項数の等差数列が含まれているかという問題を等差数列の包含問題という。この問題をフラクタル幾何学やフラクタルに付随するゼータ関数などを用いて、幾何学的にアプローチしていくということが本研究の概要である。,特別研究員奨励費,小区分11010:代数学関連,等差数列,フラクタル次元,素数表現定数,素数表現関数,Millsの定数,カントール集合,ピアテツキーシャピロ列,不定方程式,セメレディの定理,グリーンタオの定理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
