awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23048,東京大学,飯田 暢生,ゲージ理論とトポロジー,"Seiberg-Witten理論とは, Seiberg-Witten方程式とよばれる非線形偏微分方程式を用いて, 主に3次元, 4次元多様体の情報を取り出す理論である.",特別研究員奨励費,小区分11020:幾何学関連,Seiberg-Witten理論,シンプレクティック構造,コンタクト構造,Kronheimer-Mrowkaの不変量,Bauer-Furuta不変量,Floer ホモトピー,結び目のスライス性,連結和公式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22404,京都大学,山下 真由子,作用素環論と幾何学,"本研究は, 非可換幾何学とよばれる, 作用素環論の手法を用いて幾何学の問題に応用を与える分野に属する. 作用素環を用いる手法は, 多様体上のスカラー曲率やホモトピー同値関係に関する問題, また葉層構造のトポロジーなどにおいて多岐にわたる結果を生み出してきた. 本研究においては, この手法をさらに発展させ, 特異性の高い幾何的対象のトポロジーにも深い理解を与えることを目指す.",特別研究員奨励費,小区分11020:幾何学関連,指数理論,測度距離空間の幾何学,スペクトル収束,数理物理学,幾何学的量子化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14198,愛媛大学,YANEZ SALAZAR VICTOR H,極小概周期群と極端従順群の代数的性質及びＧｌａｓｎｅｒ－Ｐｅｓｔｏｖ予想の研究,"We investigate the algebraic structure of topological groups having the following properties: minimally almost periodic, (algebraic) SSGP and extremely amenable. Our ideal goal is to establish a link between the ASSGP property and extreme amenability, contributing towards the Glasner-Pestov problem.",特別研究員奨励費,小区分11020:幾何学関連,SSGP,MinAP,Lie group,Locally compact group,NSS group,Connected group,Bohr topology,algebraic SSGP,Divisible group,p-component,Rank of a group,Divisible rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12350,東京工業大学,中兼 啓太,ＨＯＭＦＬＹホモロジーのトポロジー的性質の探求,HOMFLY多項式とHOMFLYホモロジーに共通の性質を示すことで、これらの絡み目不変量のトポロジー的性質の差異を浮き彫りにすることを目標とする。,特別研究員奨励費,小区分11020:幾何学関連,HOMFLYホモロジー,HOMFLY多項式,グラフ不変量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10866,東北大学,中島 啓貴,測度距離空間の間の誤差付き順序による等周不等式の研究,本研究は，様々な空間において等周不等式を得ることを目標とする．等周不等式は曲線の周の長さを固定した際に曲線の囲む面積を最大にする曲線の形を与える不等式であり，古くから研究されてきた重要な不等式である．素朴な主張に対してその証明は難しく，その最適解が知られている空間はそれほど多くない．本研究においては，加法的誤差を許したリプシッツ順序という新しい概念によるアプローチを用いて等周不等式を得るための研究をする．,特別研究員奨励費,小区分11020:幾何学関連,測度距離空間,等長群作用,測度の集中現象,グロモフハウスドルフ距離,ボックス距離,オブザーバブル距離,等周不等式,最適輸送計画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10679,神戸大学,CHO JOSEPH,ローレンツメビウス幾何とローレンツ部分多様体の変換理論,「メビウス幾何」、「ラゲール幾何」、「リー球面幾何」を含む「球面幾何」を用いる事で「リーマン空間系」である「ユークリッド空間」、「球面空間」、「双曲空間」の幾何を統一的に考察する事が出来る。さらに、リーマン空間系内の「極小曲面」、「平均曲率一定曲面」、「ガウス曲率一定曲面」のように活発に研究されている曲面のクラスが球面幾何で特徴づけを持つ事が知られている。本研究では「ローレンツ空間系」を含む球面幾何である「Einstein Universe」を用いて「ローレンツメビウス幾何」の曲面理論を確立し、良く研究されている曲面のクラスの新たな特徴づけを行う。,特別研究員奨励費,小区分11020:幾何学関連,オメガ曲面,変形KdV方程式,ダルブー変換,双等温曲面,ワイエルシュトラス型の表現公式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J02034,大阪市立大学,安本 真士,多角的なアプローチを用いた曲面の離散微分幾何学の研究,曲面の微分幾何や幾何解析，可積分系は我が国が世界をリードする研究分野である．近年，コンピュータサイエンスや建築等の関連諸分野の発展とともに，従来の研究を離散的な土台のもとで理論を再整備・再構築する研究が盛んに行われている．本研究課題は，多角的なアプローチを用いて，離散化された曲面のクラスを大幅に拡張するだけでなく，離散化された曲面の構成法および構造解析の手法を新たに開発することを目的とする．具体的には，次の2点に焦点を当てて研究に取り組む．,特別研究員奨励費,小区分11020:幾何学関連,離散微分幾何,Weierstrass型の表現公式,微分幾何,離散微分幾何学,微分幾何学,離散幾何学,可積分系,平均曲率一定曲面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01482,埼玉大学,中村 聡,二木不変量がゼロでないファノ多様体における標準的ケーラー計量の研究,ファノ多様体でのケーラーアインシュタイン（KE）計量の存在問題は，複素幾何学における中心的問題の１つであった．二木不変量がゼロでないファノ多様体はKE計量を許容しない．本研究ではそのようなファノ多様体でKE計量のある種の一般化（GKE計量）を扱う．有限／無限次元幾何学的不変式論を用いたGKE計量の存在／非存在性の特徴づけという基本的問題から始め，関連する話題へと研究を広げる．例えば，GKE計量を自己相似解とする幾何学的フローの時間極限に現れる特異空間の解析や， GKE計量許容するファノ多様体のモジュライ空間の局所的／大域的幾何学の研究を想定している．,特別研究員奨励費,小区分11020:幾何学関連,ケーラーアインシュタイン計量,カップルドケーラーアインシュタイン計量,二木不変量,ファノ多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00650,九州大学,一木 俊助,安定写像の一般論の構築,安定写像の研究の第一人者とも言えるジョン・マザーは，構造安定性問題解決の為に「マザー理論」とよばれる安定写像の基礎理論を構築した．本理論は安定写像を扱う際に現代においても重要な理論であるが，比較的扱いやすい固有写像にのみ適応可能な理論である．すなわち固有等の条件を満たさない写像に対しては適応できない．更には定義域の多様体がコンパクトでない場合の一般の構造安定性問題も，ほとんど未解決である．,特別研究員奨励費,小区分11020:幾何学関連,安定写像,構造安定性問題,ホイットニー位相,可微分写像の特異点論,多目的最適化理論,産学連携,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00473,東北大学,細野 元気,正則関数の大沢-竹腰型拡張定理と多重ポテンシャル論,多変数関数論は、正則関数と呼ばれる複素数を変数とする関数を研究する分野である。正則関数を定量的に扱う方法としてL2評価法と呼ばれる方法があり、大きな成果を収めてきた。本研究はL2評価法の最先端に位置するものであり、大沢-竹腰のL2拡張定理と呼ばれる正則関数をL2評価つきで拡張する定理の改良を目指すものである。そのために、関連が深いと考えられる多重ポテンシャル論の研究を行い、それを通じて改良を行う。,特別研究員奨励費,小区分11020:幾何学関連,L2理論,L2拡張定理,擬凸性,ディーバー方程式,多重Green関数,大沢竹腰型拡張定理,L2評価,正則ベクトル束,Bergman核,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
