awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18314,九州大学,稲浜 譲,非整数ブラウン運動を特異摂動に持つ確率偏微分方程式の確率力学系の研究,"1, We devoted to studying the averaging principle for fast-slow system of rough differential equations driven by mixed fractional Brownian rough path. The fast component is driven by Brownian motion, while the slow component is driven by fractional Brownian motion with Hurst index H (1/3 < H  \leq 1/2). Combining the fractional calculus approach to rough path theory and Khasminskii’s classical time discretization method, we prove that the slow component strongly converges to the solution of the corresponding averaged equation in the L^1 sense. The averaging principle for a fast-slow system in the framework of rough path theory seems new.",特別研究員奨励費,小区分12010:基礎解析学関連,Rough path theory,Averaging principle,Fast-slow system,Mixed stochastic PDE,Fast slow system,非整数ブラウン運動,neutral terms,two-time-scale,Markov switching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23445,京都大学,小林 克樹,一般化されたローラン双直交多項式に付随する正値性を持つ可積分系とその超離散化,"離散可積分系とは, 具体的に解を書き下すことができるなど「良い」性質を持った差分方程式系のことを指す. そのような系は数学的に興味深いだけでなく, セル・オートマトンや数値計算アルゴリズムなど情報学の重要なテーマと密接に関係することが明らかにされてきた。",特別研究員奨励費,小区分12010:基礎解析学関連,離散可積分系,基本戸田軌道,超離散化,箱玉系,Schensted挿入,超離散可積分系,直交関数系,数値計算アルゴリズム,単因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22628,東京大学,里見 貴志,Cayleyグラフのexpander性の評価と調和解析・表現論との関連,本研究の概要は，ケーリーグラフのエクスパンダー性を調べることである．,特別研究員奨励費,小区分12010:基礎解析学関連,Youngの不等式,畳み込み,Hausdorff-Youngの不等式,局所コンパクト群,Lie群,凸性,再配分,逆Youngの不等式,Youngの畳み込み不等式,Wang-Maidenの不等式,expanderグラフ,たたみ込み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14689,東京大学,森 迪也,作用素環上の保存問題の研究,作用素環の設定における保存問題について研究を行う。この研究は、作用素環の特定の構造について、作用素環ふたつのあいだの写像であってその構造を保つものを、同型写像などを用いて特徴づける、というものである。特に、作用素環の距離構造や順序構造、作用素空間構造についての保存問題に対して新たな結果を導くことを目指す。,特別研究員奨励費,小区分12010:基礎解析学関連,保存問題,作用素環論,フォン・ノイマン環,射影束,順序同型,双正則写像,ウィグナーの定理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13031,京都大学,村山 拓也,多重連結領域におけるＬｏｅｗｎｅｒ方程式とＳＬＥ理論,「穴の開いていない」単連結平面領域において，統計物理的な臨界格子模型のマクロな振舞いは多くの場合に確率的Loewner発展（SLE）により説明される．本研究では，SLEとその定義に用いられるLoewner方程式を多重連結領域へと拡張し，「穴の開いた」領域における臨界現象のマクロな理解を目指す．特に，Loewner方程式の拡張として近年知られるようになったKomatu-Loewner方程式を主要な道具の一つとする．,特別研究員奨励費,小区分12010:基礎解析学関連,小松・Loewner方程式,縢りBrown運動,複素Poisson核,多重連結領域,等角写像,SLE,確率論,函数論,単葉函数,Schramm-Loewner発展,Loewner鎖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11045,京都大学,渡邉 天鵬,独立同分布でないランダム性を持つ複素力学系に関する三つの解析的手法による研究,多項式写像や有理写像をランダムに選択しその合成列に付随する初期点の挙動を考察する，複素解析的なランダム力学系を考えます．特に，写像の選択規則が毎回同一な場合は独立同分布ランダム力学系と呼ばれますが，独立同分布でないランダム力学系が本研究の対象です．ランダム力学系の安定性に焦点を当てつつ，独立同分布ランダム力学系と独立同分布でないランダム力学系との類似・相違点を明確にし，決定論的な力学系や諸科学における数理モデルへ応用するための確固とした数学的土台を築くことが本研究の目的です．,特別研究員奨励費,小区分12010:基礎解析学関連,ランダム力学系,複素力学系,マルコフシステム,ランダム複素力学系,雑音誘起現象,リアプノフ指数,平均安定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00206,名古屋大学,谷口 晃一,スペクトル掛け算作用素の有界性とその関数空間論への応用,フーリエ解析や関数空間論は偏微分方程式の研究において重要な役割を果たしており、これらの理論の発展により、偏微分方程式で記述される自然現象をより深く精密に理解することが可能となった。本研究の目的は、フーリエ解析の代わりにスペクトル理論を用いることで、より一般的な設定の下で関数空間論を構築することである。本研究は、様々な非線形偏微分方程式の研究において基本的かつ重要な道具となることが期待される。,特別研究員奨励費,小区分12010:基礎解析学関連,スペクトル掛け算作用素,Besov空間,消散型波動方程式,測度距離空間,時間大域解,半線形熱方程式,解の挙動,シュレディンガー方程式,外部問題,Strichartz型評価式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00071,神戸大学,松原 宰栄,GKZ超幾何函数の積分表示に関する研究,GKZ超幾何函数とは、物理学、統計学にも自然に現れる、基本的な数学函数である。GKZ超幾何函数は超越函数と呼ばれる、複雑なクラスの函数になっているが、その解析的なふるまいは凸多面体の組み合わせ論の有限なデータで統制されていると期待されている。本研究では主に積分論を通じて、有限なデータを超幾何函数の大域的振る舞いに反映し、GKZ超幾何函数をよりよく理解することを目指す。,特別研究員奨励費,小区分12010:基礎解析学関連,GKZ超幾何函数,急減少ホモロジー群,Laplace-Gauss-Manin系,正則三角形分割,交点理論,ねじれ周期関係式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19814,京都大学,福島 竜輝,ランダム媒質中の確率過程の研究,現実に存在する媒質は均質に見えても微視的には不純物などの不均質性を伴うことが多い．このような微視的な不均質性の影響が，物理現象にどのような影響を与えるかを明らかにすることを目指し，Anderson模型と呼ばれる高分子の模型や，ランダムな構造を持った格子の上のランダムウォークの挙動について研究を行う．,特別研究員奨励費,小区分12010:基礎解析学関連,ランダム媒質,高分子模型,パーコレーション,大偏差原理,極限定理,異常拡散,自由エネルギー,零温度極限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19738,名古屋大学,岩木 耕平,完全WKB解析、スペクトル・ネットワークと位相的漸化式,長い歴史を持つ微分方程式の解の大域挙動（モノドロミー、Stokes行列）の研究に対して、理論物理に起源を持つ完全WKB解析や、可積分系などの最先端の研究手法を用いて新たな発展をもたらすことが研究目標である。,特別研究員奨励費,小区分12010:基礎解析学関連,位相的漸化式,完全WKB解析,BPS構造,スペクトル・ネットワーク,Riemann-Hilbert問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
