awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J01239,明治大学,藤原 誠,形式論理による構成的推論の特徴付け,数学や論理学の分野においてコンセンサスが乏しい構成的推論という概念に対して，現代的視座に立って数学的に妥当な定式化を与える．,特別研究員奨励費,小区分12030:数学基礎関連,構成的数学,直観主義算術,保存性定理,構成的推論,実現可能性解釈,最小論理,ベス意味論,BHK解釈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23039,東京工業大学,湯山 孝雄,一般のHilbertの第10問題と計算可能性理論,与えられたDiophantus方程式が整数解を持つか否かを判定する方法が存在するか否かを問うたHilbertの第10問題は1970年にMatiyasevichらによって解決された．ところが，整数解を有理数解に置き換えた同様の問題は50年経った今なお未解決のままである．本研究はこの問題の解決に向けて，従来の整数論的手法とは異なる視点として，計算可能性理論の手法を用いたアプローチを行うものである．,特別研究員奨励費,小区分12030:数学基礎関連,群の語の問題,形式言語理論,Hilbertの第10問題,計算可能性理論,Diophantus方程式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21103,筑波大学,津久浦 健太,Prikry型強制法の特異基数組合せ論への応用,特異基数のべきの構造の解明は集合論における重要な問題の1つである。多くの特異基数のべきの構造はpcf理論を用いて表現することが出来る。pcf理論がべきの構造を表現するためにはいくつかの条件が必要だが、pcf理論を用いてべきの構造が表現出来ない特異基数が存在するかはわかっていない。また、べきの振る舞いを調べるためには組合せ論的性質を調べることが有用であり、これはpcf理論とも影響を及ぼし合う対象である。pcf理論と組合せ論的性質をPrikry型強制法を用いて調べることで特異基数のべきの構造を調査し、pcf理論を用いて構造が表現出来ない特異基数を発見することが本研究の目標である。,特別研究員奨励費,小区分12030:数学基礎関連,彩色数,反映原理,layeredイデアル,Hajnal--Juhasz彩色,膨大基数,双対定理,Boole代数,centeredイデアル,飽和イデアル,pcf理論,Prikry強制,偏極分割関係,巨大基数公理,強制法,Prikry型強制法,無限組合せ論,特異基数,集合論,数学基礎論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00469,熊本大学,佐竹 翔平,グラフの非対称性とエクスパンダーグラフの相互的研究,"グラフの非対称性はグラフ理論, 群論, 代数的組合せ論などにおける興味深い研究対象である一方, エクスパンダー(「連結性」を測る拡大定数が高く, 辺が少ないグラフ)の構成と性質の調査は情報通信や符号理論などにおいて有用であることが知られている.",特別研究員奨励費,小区分12030:数学基礎関連,エクスパンダーグラフ,拡大定数,弧推移的グラフ,内周,ハッシュ関数,エクスパンダ―グラフ,RIP行列,Paleyグラフ予想,漸近最良性定理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J14427,東北大学,吉野 聖人,極値組合せ論を応用した等差数列とグラフの複雑さについての研究,極値組合せ論とは離散数学の一分野であり，与えられた状況下で発生してしまう構造を調べる．本研究では極値組合せ論の応用や関連する問題を扱う．第一のテーマ「等差数列に関する研究」においては集合内の構造を見るためにいる．第二のテーマである「最小固有値に対するグラフの複雑さに関する研究」においては，最小固有値が－3以上のグラフの複雑さの決定を行う．その際，多くが極値組合せ論の応用で決定され，残りのグラフの複雑さを格子理論等を用いて調査する．,特別研究員奨励費,小区分12030:数学基礎関連,グラフの最小固有値,等角直線族,サイデル行列,等角直線属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12129,中央大学,波多野 修也,Morrey-Lorentz空間に対する分解,首都大学東京の野ヶ山氏と指導教授である澤野氏との共同研究により、Morrey-Lorentz空間をBesov空間からLorentz 空間への各点乗算作用素全体に書き換えられることを証明した。,特別研究員奨励費,小区分12030:数学基礎関連,Morrey空間,Lorentz空間,Orlicz空間,交換子作用素,有界平均振動関数,スパース,Morrey-Lorentz空間,アトム分解,Olsenの不等式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F50324,横浜国立大学,小関 健太,グラフの strong Gallai-Ramsey 理論の提案と発展,,特別研究員奨励費,小区分12030:数学基礎関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F30324,横浜国立大学,小関 健太,グラフの strong Gallai-Ramsey 理論の提案と発展,,特別研究員奨励費,小区分12030:数学基礎関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2274,神戸大学,後藤 達哉,測度から定まる基数不変量の研究,実数の集合の構造によって決まる無限基数を基数不変量というが、その分類は集合論の重要な問題であり、それ自身を対象とする研究とその応用を行う。,特別研究員奨励費,小区分12030:数学基礎関連,公理的集合論,実数の集合論,基数不変量,強制法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1621,名古屋工業大学,吉田 裕哉,数列の分布と有限体に関する個数評価,"本研究では, 数学の応用分野に関係する性質を考え, それに関係する個数評価を行う. 特に, 数列に対する距離的Poisson性 (metric Poissonian property) と加法的エネルギー (additive energy) の関係を研究する. 前者は数列の分布に関する性質で, 後者は特定のDiophantine方程式の解の個数である. 主な目標は, 特定の条件を満たす自然数の組の個数を (増加レートの意味で) 正確に評価することである. また, 有限体の場合にも類似の問題を扱い, 個数評価を行う.",特別研究員奨励費,小区分12030:数学基礎関連,Piatetski-Shapiro,fractional power,asymptotic formula,additive energy,tensor product,product vector,product basis,polynomial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
