awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40066,千葉大学,栗村 朋,マイクロ粒子のパターニングに対する乾燥界面不安定化の影響,机の上にこぼれたコーヒーのしずくが、乾燥後にリング状のパターンをのこすという現象は、コーヒーリング現象として知られ、研究対象となっている。本研究においては、乾燥の開始の際にしずくの界面における変形に着目し、その変形が最終的に乾燥完了後にのこすパターンにどのように影響するかを電圧を印加することによってしずくの変形を誘起させ、顕微鏡観察を行うことによって調べる。本研究における成果は、微粒子のパターニングなどに貢献すると考えられ、今後産業におけるマイクロスケールの回路,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,コーヒーリング現象,石鹸膜,マイクロパターニング,コーヒーリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21927,東京大学,川畑 幸平,非平衡開放系におけるトポロジカル相を記述する基礎理論の構築,近年、トポロジーによって特徴付けられる物性物理に大きな関心が集まっている。本研究では、孤立平衡系を中心としたトポロジカル相の従来の理論を越えて、エネルギーや粒子の流入・散逸を伴う非平衡開放系で現れるトポロジカル相に関する包括的な基礎理論を構築する。とくに、非平衡環境下で現れるトポロジカル絶縁体や超伝導体、半金属に関する分類理論を構築し、その一般理論をもとにして平衡環境下では現れない新たな非平衡トポロジカル現象を探究する。本研究によって、トポロジカル相の理論が深化し、非平衡性とトポロジーの協奏にもとづく豊かな現象・機能への応用が導かれる。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,非平衡,トポロジカル,非エルミート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21785,慶應義塾大学,洞口 泰輔,巨視的回転運動のスピン変換に関する研究,本研究の目的は、電気伝導率の異なる材料の二種材料接合系における電子のドリフト速度の渦度由来スピン流の(1)検出、(2)系統的調査、(3)スピン軌道相互作用(SOI)の寄与の分離である。従来、スピン流生成はSOIの大きな金属中(Pt、W等)でのスピン依存散乱効果を用いた手法が主流であった。しかし近年、SOIの小さな銅(Cu)表面を伝播する表面弾性波(SAW)に伴う格子の巨視的回転運動を利用した回転運動→スピン流の変換が報告された。本研究は電子のドリフト速度の渦度由来スピン流生成の初検証及び系統的調査に挑戦し、貴金属に依存しないスピン流デバイス実現への指針の提示を目指すものである。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,スピン流,スピントルク,強磁性共鳴,スピン渦度結合,傾斜材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20801,東京大学,小林 良平,高次形式対称性を持つ量子多体系における量子相の理論的研究,本研究は一貫して、素粒子物理学の文脈で最近提唱された、高次形式対称性という新たなクラスの対称性を、物性物理における実現可能な系に新たに見出すことを試み、高次形式対称性が物質系に対してもたらす新奇な現象を提唱することを目的としている。例えば、このような新たなクラスの対称性の存在する物質系を用いて、有限温度で安定な量子計算の手法を構築できる可能性がある。従来の対称性を持つ物質に基づいた手法では、絶対零度における量子計算のみが可能であったため、本研究は、有限温度環境下で量子計算を実現する可能性を開拓するものである。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,トポロジカル秩序相,対称性,エッジ状態,トポロジカル量子計算,トポロジカル相,トポロジカル絶縁体,高次形式対称性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20543,東京大学,内藤 智也,相対論効果のための密度汎関数理論,元素周期表は科学の一つの基本的な情報の一つであり、縦の列（族）に同じ性質が並ぶように作られている。この周期性は、価電子の電子配置が同一であることに起因する。現在、新しく超重元素が人工的に合成されているが、これらの化学的性質は広く知られていないため、単に原子番号の順番に並べているだけである。一方、これらの領域では相対論的効果により化学的性質が変わる可能性がある。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,密度汎関数理論,相対論効果,汎関数くりこみ群,超重元素電子状態,アイソスピン対称性,逆コーンシャム法,原子核構造計算,ミュオン捕獲反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13783,東京大学,YAO YUAN,対称性を持つ量子相のアノマリーによる分類,"The criticalities of SU(N) critical ultracold atom chains and bilayer graphene will be described by conformal field theories. Based on their symmetry anomaly analyzed by Atiyah-Patodi-Singer index theorem, their critical phenomena are constrained and listed out to compare with experimental results.",特別研究員奨励費,小区分13010:数理物理および物性基礎関連,Anomaly,symmetries,boundary,parastatistics,criticality,ultracold atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13010,慶應義塾大学,若村 浩明,量子多体系における時間最適制御理論の構築,本研究は量子力学に支配される原子などの系が多く集まった量子多体系に対して、必要な制御を最短の時間で行うための制御法を明らかにする理論を構築する。またこの最短時間の制御を量子多体系に対する標準的な制御として位置付け、提案されている他の制御法との比較を行う。近年では量子計算や量子通信に代表されるように量子力学を工学的に役立てる研究が盛んに行われており、本研究は先に述べた応用的研究の基礎として位置づけられ、素早い計算やノイズ耐性のある計算の実現などのために役立つものとなると期待される。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,量子力学,量子情報科学,量子制御,時間最適制御,最大値原理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12884,東京大学,龍田 真美子,有限温度における量子もつれ状態を用いたセンシング,医療現場や材料科学などで広く使われる、磁気センサーの感度を向上させることは重要である。量子的な重ね合わせ状態を用いると感度が大きく向上しうることが知られている。中でも、マクロに異なった状態が重ねあわされた状態は、いくつかの具体例をもってしてセンサーの感度向上に役立つと目されている。しかし従来は実験的に生成が難しい一握りの具体例しか知られていなかった。本研究では、それらの具体例を一般化したクラスに着目し、そのクラスに入るすべての状態についてセンサーとしての感度を調べ、高感度磁気センサ実現への道を広げる。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,量子センサ,猫状態,量子コヒーレンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12317,筑波大学,工藤 耕司,トポロジカル相における電子間相互作用の数値的研究：特異分散による新しい量子液体,近年、対称性の破れを伴わない量子液体相、いわゆるトポロジカル相が多くの関心を集めている。本研究では、トポロジカル相における電子相関効果を数値的に解析し、電子間相互作用に由来した新しい量子液体状態の探索を目的とする。具体的には、平坦バンドやトポロジカル絶縁体の表面状態などの特異分散を持つ格子模型に着目する。ベリー接続に基づく多体のトポロジカル不変量の数値的評価から、電子相関のあるトポロジカル相特有の新しい量子液体状態を探求するとともに、その理論的枠組みを構築する。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,トポロジカル相,電子間相互作用,バルクエッジ対応,分数量子ホール効果,トポロジカルポンプ,エニオン,複合粒子描像,トポロジカル秩序,トポロジカル不変量,トポロジカル絶縁体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12315,筑波大学,荒木 広夢,量子エンタングルメントによる新奇なトポロジカル相の研究,近年、トポロジカル物質のフロンティアとして、結晶対称性により保護された高階トポロジカル絶縁体や、エネルギーの流入や散逸のあるような系を扱う非エルミート系のトポロジカル相が盛んに研究されている。本研究では、量子エンタングルメントによる相分類の手法に基づき、これらの新奇なトポロジカル相の分類およびそれに付随するトポロジカル現象の理解を目指す。,特別研究員奨励費,小区分13010:数理物理および物性基礎関連,非エルミート系,トポロジカル物質,機械学習,スキン効果,トポロジカル絶縁体,ベリー位相,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
