awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18790,国立研究開発法人理化学研究所,樽茶 清悟,光学素子およびトポロジカル系の複素ポテンシャル構造設計,"Experimentally demonstrated a new technique for non-resonant temporal modulation of polariton condensates via the beating of two, frequency-locked lasers. This allows for very fast modulation, and probing of non-adiabatic regimes of carrier relaxation.",特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,topological,exciton-polariton,non-Hermitian,superfluidity,polariton,complex lattice,Haldane model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21816,東京大学,久保 賢太郎,量子系における揺動散逸定理のマクロな破れ,これまでの研究により、非平衡統計物理学において最重要な定理の1つと考えられてきた揺動散逸定理(FDT)が量子系では破綻するということ、特に二次元電子系のホール伝導度に対しては巨視的な破れを持つことがわかっている。本研究では、一般の系において、電気伝導度に限らない一般の応答関数に対するFDTが、どのような条件で巨視的に破れるのかについて、モデルや応答関数の種類に依らず普遍的に成立する性質のみを用いた解析計算により調べる。また測定条件を変化させた場合にFDTの破れ方がどのように変化するのかについて、主に数値計算を用いて調べる。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,揺動散逸定理,電流ゆらぎ,局在,二次元電子系,Hall伝導度,量子Hall効果,線形応答理論,Kubo公式,ホール伝導度,量子ホール効果,量子測定理論,久保公式,磁場センサ,磁化ゆらぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21797,九州大学,松本 慧大,カイラル磁性体におけるスピン波の光制御,DMI 環境下のスピン波のダイナミクスを空間的に研究した例は少なく、DMI に起因した特殊な磁気構造をスピン波が伝播する際の物理は明らかではなかった。光は偏光・強度・波長・空間波形を制御できるなど自由度が高いため、それらを研究することに適している。本研究の完成によって、スピン波と特殊な磁気構造との相互作用や、非相反伝播の物理が明らかになり、さらには DMI の測定も行うことができる。光とそれらの関係を研究したり、非相反性の研究によってスピン波の整流性を操作したりすることができれば、光磁気ディスクやスピン波を用いた情報伝達媒体などの応用に向かう分野へ大きく貢献することができる,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,マグノン,フォノン-ポラリトン,ポンププローブ法,カイラル磁性,スピン波,ポンププローブイメージング,カイラル磁性体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21516,大阪大学,中村 拓人,化合物半導体表面上擬一次元鎖のスピン偏極電子構造,空間反転対称性の破れた表面や界面において、電子状態のスピン・軌道偏極が生じ、スピンによるバンドの分裂が現れるRashba効果は、半導体表面などの非磁性体であってもスピン偏極状態を実現可能であることから、スピントロニクスなどへの応用が期待されている。一方、より低次元である(擬)一次元系においてスピン分裂状態を実現した場合、スピン偏極と低次元性の協奏効果によって、様々な魅力的な新奇物性の発現が予想されている。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,表面電子状態,光電子分光,Rashba効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20968,京都大学,杉浦 健太,窒化シリコン系リング共振器によるオンチップ広帯域周波数もつれ光子対源の実現,複数の状態が古典論では説明できない相関を持つ「量子もつれ」は、特定の問題に対して古典計算より圧倒的に高速な量子計算において不可欠である。また近年，半導体技術で作製できる導波路によるオンチップ周波数もつれ光子対源が，コンパクトかつ安価なため着目されている．しかし，これまで研究されてきたシリコン導波路には，二光子吸収により光子対発生量が飽和するという問題があった．そこで本研究では，二光子吸収の影響が無視できるほど小さい窒化シリコン系材料を用いたリング共振器による，オンチップ広帯域周波数もつれ光子対源の実現を目指す．,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,四光波混合,リング共振器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15245,東京工業大学,岡本 拓也,３次元曲面グラフェンにおけるトポロジーの物性,２次元グラフェンを3次元曲面化した３次元曲面グラフェンの新規物性の探求を目的とする。この材料はディラック電子が2次元曲面上に束縛されながらも3次元空間を動き回るというユニークなトポロジーを有する。この特徴的な3次元曲率は、従来の2次元グラフェンでは付加することのできない新たな自由度であり、これによって新たな物理現象の発現が期待できる。そこで本研究は、3次元曲面グラフェンにおける曲率がディラック電子系にどのように寄与するかを探求する。具体的には曲率を変化させた3次元曲面グラフェンにおいて、輸送測定やプローブ顕微鏡、分光といった様々な測定手法を用いることで系統的に物理的背景を明らかにする。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,グラフェン,ディラック電子系,原子層材料,電子物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14969,京都大学,仁王頭 明伸,Ｘ線自由電子レーザーによるナノクラスター回折実験：非平衡核生成ダイナミクスの解明,クラスターとは原子、分子が数個から数百個、あるいはそれ以上の数結合した集合体である。本研究では、断熱膨張により冷却された希ガス中における希ガスクラスターの核生成・成長過程を、X線自由電子レーザー(XFEL)を用いたシングルショットX線回折実験により観測する。これにより成長途中の単一の希ガスクラスターの構造を明らかにし、従来観測が不可能であった高速な核生成・成長過程における非平衡ダイナミクスを解明する。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,XFEL,クラスター,核生成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13867,東京大学,上田 健人,半導体ナノ細線と超伝導体接合試料における電子輸送特性,近年盛んとなっている量子コンピューターの実現に向け、その一種のトポロジカル量子コンピューターの研究を進める。その素子となりうるものの一つに並列半導体二重ナノ細線に超伝導体を接合した系が理論的に存在し、その接合系を用いることで無磁場でもマヨラナ粒子が発現すると考えられている。無磁場でマヨラナ粒子を実現することはトポロジカル保護を実現する上で、大変重要である。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,メゾスコピック物理,超伝導体,半導体ナノ細線,マヨラナ粒子,量子コンピューター,トポロジカル超伝導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12873,東京大学,勝見 恒太,銅酸化物高温超伝導体におけるヒッグスモードの探求,近年、銅酸化物超伝導体に対して強い近赤外光を照射すると超伝導転移温度より高温でも超伝導の振る舞いが観測され、室温超伝導実現の可能性を示した。しかし超伝導の発現を示唆する信号は緩和時間が数ピコ秒(1兆分の1秒)と短いため、抵抗測定や磁化率測定といった従来の手法では超伝導転移の観測が困難である。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,銅酸化物高温超伝導体,ヒッグスモード,超伝導秩序変数,集団励起,超伝導位相コヒーレンス,光誘起超伝導,高強度テラヘルツ波,テラヘルツ非線形光学応答,位相コヒーレンス,超高速分光,高強度中赤外光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12818,東京大学,遠藤 由大,金属修飾グラフェンにおけるカイラルｄ波超伝導の開拓,グラフェンにおいて、van Hove singularity(vHs)と呼ばれるフラットなバンド分散をフェルミレベルに調整することでChiral d波超伝導を発現することが理論的に予測されている。このChiral d波超伝導が実現すれば、量子コンピューターの演算を行うビットとしての応用が期待されるマヨラナフェルミオンという準粒子状態を作ることが出来る。本研究では金属修飾によりグラフェンに電子ドープを施し、vHsをフェルミレベルに調整することでChiral d波超伝導状態をつくり、マヨラナフェルミオンの直接観察を行う。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,グラフェン,超伝導,電気伝導測定,グラフェン層間化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11413,京都大学,小野 滉貴,２軌道系を用いた近藤効果の量子シミュレーション,光格子中の冷却原子系は、量子シミュレーションのプラットフォームとして注目を集めており、理論、固体物質系と相補的な研究を行うことにより物性物理学は飛躍的に発展すると期待されている。近藤効果とは、伝導電子と局在スピンとの間の反強磁性的な相互作用により発現する量子多体効果のことであり、軌道自由度をもつ量子多体系の中心的な問題である。本研究ではイッテルビウム原子の基底状態1S0と準安定状態3P0を用いた2軌道系を構築し、1S0原子を伝導電子、3P0原子を局在スピンに対応付けることで近藤効果の量子シミュレーションに向けた研究を行う。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,冷却原子,イッテルビウム原子,量子輸送,光格子,量子シミュレーション,近藤効果,RKKY相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10978,大阪大学,御手洗 光祐,古典　－　量子ハイブリッドアルゴリズムの実験実証とその核スピン超偏極への応用,近未来の量子コンピュータのためのアルゴリズムとして有望視されている古典-量子ハイブリッドアルゴリズムを探索・実験実証し、量子コンピュータ研究を加速する。実験には核スピン系を高精度で制御できる核磁気共鳴技術を用いる。本研究では、量子コンピュータのためのアルゴリズムの実証だけにはとどまらず、このアルゴリズムを逆応用することにより、核磁気共鳴技術の発展にも寄与できると考える。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,量子アルゴリズム,核磁気共鳴,NISQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10976,大阪大学,宮西 孝一郎,量子符号化による超高感度ＮＭＲ技術の創出,核磁気共鳴(NMR/MRI)は、非破壊、無侵襲で分子レベルの情報を引き出すことが可能な測定法方として様々な分野で使われているが、核スピン偏極率が低いために、著しく感度が低いという欠点を持つ。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,量子符号化,動的確偏極(DNP),光励起三重項,量子科学計算,分子動力学計算,ダイヤモンド中欠陥中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10852,沖縄科学技術大学院大学,Mikkelsen Mathias,一次元二成分量子ガスにおけるダイナミクス,"The main object of investigation is the particle dynamics of medium-sized quantum systems consisting of two distinguishable types of particles after a sudden change in the system parameters. In particular quantum entanglement, many-body correlations and information scrambling will be investigated.",特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,Information scrambling,Quentum Quench,Cold gases,Strong correlations,Irreversibility,Speed limits,Two-component gases,quantum quenches,exact diagonalization,analytic solutions,information scrambling,operator scrambling,cold atoms,few-body physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10824,横浜国立大学,久井 裕介,秒の再定義への貢献を目指したＹｂ／Ｓｒ光格子時計の周波数比計測に関する研究,光格子時計は、現在の「秒」の定義であるセシウム原子時計に代わる秒の再定義の候補の1つである。光格子時計によって秒の再定義を行うには、光格子時計の不確かさの低減だけでなく、光格子時計の周波数が各研究機関で一致すること、確実に国際原子時に寄与できるように光格子時計が安定に長期運転できることが必須となる。光格子時計の不確かさ評価をセシウム原子時計以下のレベルで行うためには、光格子時計同士の比較を行う必要がある。本研究では、Yb光格子時計とSr光格子時計の周波数比を測定し、さらに秒の新しい定義としての役割を全うできるように、Sr光格子時計の安定な運転を可能にすることを目標とする。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,光格子時計,秒の再定義,時計遷移周波数比,原子時計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10635,東北大学,増田 貴史,新奇マヨラナ粒子発見に向けたInSb量子ポイントコンタクトの伝導特性研究,マヨラナ粒子とはそれ自身が粒子と反粒子の性質を持つ特異な粒子である。この粒子を利用した量子コンピュータが提案されており、近年盛んに研究されている。本研究ではインジウムアンチモン(InSb)を加工した量子ポイントコンタクト(QPC)構造を持つ試料を作製し、超伝導薄膜を取り付ける。作製した試料を極低温環境で電気測定することにより詳細な電気伝導特性を把握し、マヨラナ粒子検出に臨む。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,メゾスコピック系,量子ポイントコンタクト,量子細線,スピン軌道相互作用,半導体物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10443,大阪大学,森 仁志,第一原理計算法を用いた電子緩和時間の評価に基づく高性能熱電物質の新たな設計指針,本研究で注目する電子緩和時間は，電子がフォノン（格子振動）などによって散乱されるまでに動ける平均的な時間を表す物理量であり，主に電気伝導度を決める重要な因子の一つである．物質ごとに電子緩和時間の値は大きく異なり，ときに10倍近い差が存在する．それは熱電性能（熱エネルギーを電気エネルギーを変換する効率）の評価において10倍近い差が生まれ得ることを意味するにもかかわらず，従来の計算手法では緩和時間の第一原理的評価は行われない．そのため，本研究では第一原理的に評価した電子緩和時間を取り入れた熱電性能の理論評価を実現し，電子緩和時間を考慮することによる設計指針の改良，及び熱電性能の更なる向上を目指す．,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,熱電材料,第一原理計算,電子格子相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01737,東京大学,黒山 和幸,GaAs半導体量子ドットを用いた単一フォノンの生成と検出,近年、単一フォノンの制御が喫緊の課題となっており、微細な機械構造と超伝導回路やフォトニック結晶を組み合わせた系を用いて研究が進められてきた。しかし、単一フォノンの生成や検出の実証は未だに実証されていない。そこで、申請者はGaAs横型量子ドットに閉じ込めた単一の電子スピンを高精度に制御することによって、単一のフォノンを生成・検出することを試みる。単一電子のスピンの緩和現象に伴って発生・吸収するとされる単一フォノンに着目し、これを二重量子ドットの実時間かつ高速の電荷検出技術と組み合わせることで、発生時刻の制御が可能な単一フォノン源やフォノンの実時間検出の実現を目指す。,特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,GaAs横型量子ドット,スピン,電子-フォノン相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19792,沖縄科学技術大学院大学,BUSCH Thomas,光と物質の相互作用を利用した干渉計と量子相転移,"The interaction between atoms and light inside an optical cavity can lead to the creation of exotic quantum states with interesting topological properties. In the course of the proposed research, these properties will be harnessed to perform some specific tasks. Firstly, we will study the possibility of exploiting the generation of spin current in order to measure gravitational acceleration. And, secondly, we will study the possibility of non-destructive measurements of topological phase transitions and topological invariants.",特別研究員奨励費,小区分13020:半導体、光物性および原子物理関連,quantum metrology,quantum simulation,Quantum Metrology,Quantum Simulation,Quantum metrology,Quantum entanglement,Magnetometry,Spin-squeezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
