awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18804,国立研究開発法人理化学研究所,十倉 好紀,トポロジカル量子物質の物質開発と新規量子輸送現象の開拓,"Our work aims at the search for and characterization of new classes of magnets with noncoplanar ordering, which may have applications in the search for topologically protected electronic surface modes. These are sought after for low-loss electronics and for potential applications in quantum computation.",特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,Skyrmion,Berry curvature,Emergent field,Noncoplanar magnet,Scalar spin chirality,Hall effect,Nernst effect,スキルミオン,トポロジカルホール効果,フラストレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18803,東京大学,木村 剛,コニカルらせん磁性マルチフェロイクスにおける複合ドメインの理解と新規機能性の開拓,本研究では、コニカルらせんマルチフェロイクスの物質開発を行い、同物質系を特徴付ける強磁性と強誘電性の共存またその結合現象に着目し、電場・磁場、さらには一軸応力といった非自明な複合ドメイン応答の実現をめざし、同系における電気磁気結合現象の理解を図ることを目的としている。令和元年度の研究では、コニカルらせん磁性に起因した強磁性-強誘電性を示すオリビン型マンガン酸化物Mn2GeO4に着目し、電場および磁場といった複合的な外場印加に対する同物質における電気磁気結合の詳細を磁化および電気分極測定により調べた。その結果、同物質の基底状態における磁化曲線の保持力が電場により変化すること、さらにその変化の符号が印加電場の符号によって変化することが明らかとなった。この結果は、すなわち交換バイアス効果が電場により制御できるということを表している。この現象は同物質における強磁性・強誘電ドメインの強固な結合に起因するものと考えられ、コニカルらせんマルチフェロイクスにおける特徴的な電気磁気結合現象の１つであるといえる。これらの研究成果は、強相関電子系国際会議、環太平洋セラミックス国際会議などで発表された。また、当該年度には、一軸圧印加のもとで磁気・電気磁気特性の評価を可能とする測定系の構築を行った。令和２年度は、上述の交換バイアス効果の電場制御という稀有な現象の機構を明らかにするとともに、同測定系を用いることにより電場・磁場のみならず一軸圧という異なる外場を加えた多様な外場による非自明な電磁磁気特性の理解および制御の実現をはかる予定である。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,マルチフェロイクス,コニカルらせん磁性体,フェロイックドメイン,交換バイアス,らせん磁性体,電気磁気効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18328,東北大学,Chen Yong,トポロジカル物質の創成と電子物性,トポロジカル絶縁体における異常ホール効果の観測を目的として、下記の研究を遂行した。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,トポロジカル絶縁体,異常ホール効果,強磁性薄膜,電子輸送特性,結晶成長,電子物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23587,名古屋大学,中根 丈太郎,反強磁性体における磁壁の電流駆動の理論,近年スピントロニクスでは、スピンデバイスの候補物質として局在スピンが互いに反平行に並ぶ反強磁性体が注目を集めている。反強磁性体は強磁性体と比べ理論的な取り扱いが複雑であるが、漏れ磁場の消失や高速スピンダイナミクス、候補物質の豊富さなど高いポテンシャルを秘めているため、将来スピンデバイス開発の基盤となる可能性を大いに秘めている。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,スピントロニクス,反強磁性体,微小領域磁性,スピン流,理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22547,東京大学,増子 真,強いスピン軌道相互作用を有する強相関トポロジカル電子相における量子物性の開拓,"トポロジカル絶縁体に代表されるトポロジカル電子相は従来の""自明な""物質における電子状態とは本質的に異なる電子状態である。トポロジカル絶縁体の最も特徴的な性質にバルク-エッジ対応による表面状態の発現があり、これまでの研究からエッジ状態は様々な非自明な物理現象を示すことが明らかになってきた。本研究では、トポロジカル絶縁体と超伝導体の接合界面が示す性質の多くが未開拓であることに着目し、分子線エピタキシー法によるトポロジカル絶縁体と超伝導体の高品位な人工多層膜の実現を第一目標にし、さらに作製した多層膜試料にデバイス加工技術や低温測定技術を適用することにより未知の界面現象の探索に取り組む。",特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,トポロジカル超伝導,非相反電荷輸送,薄膜,ヘテロ構造,超伝導近接効果,分子線エピタキシー,トポロジカル絶縁体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22468,東京大学,川野 雅敬,反強磁性体におけるマグノン励起の理論的研究,固体中の電子には一般にスピン軌道相互作用が働き、電場による電子スピンの制御を可能とするが、電子の伝導に伴うジュール熱の発生が応用上の障壁となっている。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,マグノン,強相関電子系,スピン軌道相互作用,密度行列埋め込み理論,サイン二乗変形,ゲージ場,スピン起動相互作用,Mott転移,反強磁性絶縁体,スピンテクスチャ,スピントロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22122,京都大学,金杉 翔太,パリティを破る秩序・揺らぎが生み出す新奇超伝導現象の解明,近年の物性物理学においては超伝導と他の秩序相の関係が活発に議論されてきた。例えば銅酸化物においては、スピンの揺らぎに媒介される高温超伝導の実現が提案されている。一方、近年注目されるもう1つのテーマに「空間反転対称性（パリティ）の破れ」がある。パリティの破れはトポロジカル量子相など、物性物理の多方面で重要な役割を果たす。そこで興味深いのが、自発的にパリティを破る「奇パリティ秩序」と超伝導の協奏が生み出す物性現象である。本研究ではこの未開拓領域を現象論と微視的理論の双方から理解・解明することを目的とし、奇パリティの秩序・揺らぎが誘起するエキゾチック超伝導相や新奇な超伝導応答現象を調査する。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,非従来型超伝導,超伝導ギャップ,対称性,多バンド超伝導,パリティ混成超伝導,FFLO超伝導,エキゾチック超伝導,奇パリティ多極子,強誘電揺らぎ,強誘電秩序,多軌道超伝導,奇周波数超伝導,強相関電子系,スピン三重項超伝導,局所的なパリティの破れ,スピン軌道相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22078,東京大学,IKHLAS RAHMAT MUHAMMAD,カイラル反強磁性体におけるトポロジカル物性の実験的研究,"Our research aim is to establish the link between the magnetism and the electronic properties of an antiferromagnetic metal Mn3Sn. This material shows properties that are desirable for future memory devices: the ability to store information in the form of magnetic domains, fast switching dynamics, low stray field, and large electrical response towards domain switching. The magnetism of this material and its electronic properties will  be studied through combined single crystal growth experiment, uniaxial pressure experiment, and transport measurements in high magnetic field.",特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,Magnetism,Antiferromagnet,Spintronic,Pressure,Anomalous Hall effect,Antiferromagnets,Single crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21720,東京大学,許 明然,力学的角運動量と電子スピンの結合の定量評価,"The present research proposal focuses on the experimental characterization of the direct coupling between mechanical oscillation and electron spin, towards further understanding of spin conversion phenomena, and future electronics devices.",特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,magneto-rotation,magnon-phonon coupling,mgneto-elastic coupling,non-reciprocity,Magnon,Phonon,Surface acoustic wave,Magnetoelastic wave,Spin wave,Nonreciprocity,Magneto-rotation,Suface acoustic waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21693,名古屋大学,松原 舜,強相関電子系における実空間構造がもたらす多彩な量子臨界現象の理論,強相関電子系では、表面や不純物などの並進対称性を破る実空間構造によってスピン揺らぎの増大が起こる。それに起因して、バルクでは見られない超伝導や電荷密度波（CDW）などの新奇現象の発現が期待できる。そこで、本研究では、実空間構造近傍でのスピン揺らぎを実空間表示で計算し、その後、増大したスピン揺らぎによって誘起される新奇現象の解析に取り組み、強相関電子系における実空間構造誘起の物理の開拓を目指す。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,実空間構造,強相関電子系,トリプレット超伝導,奇周波数超伝導,アンドレーエフ束縛状態,銅酸化物超伝導体,鉄系超伝導体,ネマティック秩序,表面誘起超伝導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21456,東京大学,荻野 槙子,マルチフェロイクスにおける電気磁気結合のおりなす物性現象の分光的研究,光を用いてスピンのもつ創発物性を開拓するため、1.様々な光学過程における電気磁気光学効果、2.電気磁気光学効果による超高速磁化制御、3.電気磁気光学効果をプローブとした電気磁気ゆらぎと臨界現象の観測の3つを軸とする。1では、これまでに観測されてきた電気磁気光学効果は吸収過程におけるものであったが、発光やラマンなど未開拓な光学過程における効果を観測する。2では電気磁気光学効果の逆効果として期待される光電場による磁化制御を行う。3ではマルチフェロイクスで存在が予測されているゆらぎや臨界現象を観測し、時間スケールやドメイン形成過程を明らかにする。,特別研究員奨励費,小区分13030:磁性、超伝導および強相関系関連,マルチフェロイクス,磁性体,光起電力効果,テラヘルツ,光物性,らせん磁性,テラヘルツ分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
