awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J13045,東京大学,榊原 教貴,プラズマ／氷界面反応場の創製,地球上空や宇宙環境等の低温極限環境では、電磁波や荷電粒子に曝された氷の表面において多様な励起種・反応経路が一体となった複雑な不均一反応場が形成され、大気・宇宙環境に大きな影響を及ぼす。本研究ではそのような低温極限環境で進行する化学反応の特異性の解明を目的に、そのモデル反応場として電磁波や高エネルギーな荷電粒子・励起種が混在した状態であるプラズマを氷と共存させたプラズマ／氷界面に着目し、その体系的な理解を目指す。数Kから273 K（水の融点）に至る氷点下温度領域において網羅的に温度を制御しながら、prebioticな有機分子の合成や振動分光法による界面反応場の診断を行い系統的に研究を進めていく。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,プラズマ,氷,太陽系,凍結,水和電子,フェムト秒レーザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10795,同志社大学,島袋 祐次,分子構造解析に向けた次世代質量分析手法の研究,"本研究では，疫病の超早期発見を最終目標とし，不安定で未知な生体分子の構造解析を可能とするための手法を開発する．電気的に中性な原子/ラジカルビームを用いれば，原理上正負を問わず反応させることができるため，有力な新規質量分析手法になり得ると考えられる．マイクロ波, RF, 熱解離等，様々な手法を利用した原子/ラジカルビーム生成を実験的に検証し，生体分子を中性粒子で解析するためのメカニズムの解明に実験・シミュレーションの双方から挑戦する．",特別研究員奨励費,小区分14030:プラズマ応用科学関連,原子源,ラジカルビーム源,ラジカル誘導解離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22730,名古屋大学,岩田 直幸,プラズマ活性アミノ酸の殺菌と植物生長促進の同時達成過程解明と癌不活性化効果の検証,近年、大気圧プラズマ処理した細胞培養液による癌細胞の選択的不活性化など、プラズマ活性溶液がもたらす生体効果が注目されている。特に申請者は博士前期課程中に、プラズマ活性アミノ酸溶液が大腸菌等の有害菌を殺菌し、同時にカイワレ大根等の植物の成長を促進することを発見した。しかしながら、本プラズマ活性アミノ酸溶液中の殺菌因子ならびに植物成長の促進因子が未特定であるため。そこで、博士後期課程の研究においてそれらの因子特定を目指すと共に、その生体作用の機序について全容を解明することでプラズマ活性アミノ酸溶液の応用技術について研究する。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,大気圧プラズマの生体応用,電気的中性酸素ラジカル処理,短時間殺菌,殺菌メカニズム解明,中性酸素ラジカル処理,アミノ酸溶液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22727,京都大学,濱野 誉,確率過程論に基づくプラズマ―材料原子スケール相互作用の解明と材料特性制御への展開,従来とは本質的に異なる，プラズマ―材料原子スケール相互作用の確率論的な理解と，確率過程モデルに基づく材料特性制御・材料プロセス最適化手法の確立を目指す．この目的の達成のため，根本事象であるプラズマ―材料相互作用のモデリングを基盤とし，それに伴う材料の電子状態変化とその後の経時的特性変化過程を階層的に捉え，確率過程論を駆使して解明する．また，この確率過程相互作用モデルを応用し，材料やデバイスの長期的性能・信頼性をも最適化する新しいプラズマプロセス設計手法を提案する．,特別研究員奨励費,小区分14030:プラズマ応用科学関連,窒化ホウ素,薄膜堆積,イオン照射,ナノネットワーク構造,電気的特性,局在準位,3次元構造体,プラズマ照射,イオン衝撃,欠陥,エネルギー準位,3次元微細構造,窒化ホウ素膜,トランジスタ,３次元構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21827,東京大学,新田 魁洲,時空間制御型プラズマ誘起ミクロ液相反応：プラズマ援用インクジェットプロセスの創製,大気圧非平衡プラズマ技術の進展とともに、液相とプラズマの相互作用を用いた“プラズマ誘起液相反応”が注目を集め、バイオ、材料合成、環境など様々な分野で盛んに研究・応用されている。本研究では、±1％以下の誤差で粒径の揃った液滴を再現性良く吐出可能なインクジェット装置を液相生成に用いることで、直径数十ミクロンの液滴を時空間制御性良くプラズマ中に導入するプラズマ援用インクジェットプロセスを創製する。液相をミクロ化することで比表面積の増大による界面反応の顕著化が期待され、高度に時空間制御された革新的描画プロセスの実現や、分光学的診断等を用いた基礎研究によるプラズマ―液相相互作用の理解に貢献する。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,プラズマ,インクジェット,粒子合成,液滴蒸発,ラマン分光,大気圧非平衡プラズマ,ミクロ液相,微粒子合成,プラズマ分光,プラズマプロセス,プリンテッドエレクトロニクス,サブミクロン粒子,金粒子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20961,大阪大学,Cagomoc Charisse Marie,3次元積層デバイス開発為の分子動力学計算によるプラズマエッチング反応の解析,- Ion beam experiments on silicon dioxide and silicon nitride using various ions for HAR etching.,特別研究員奨励費,小区分14030:プラズマ応用科学関連,plasma etching,molecular dynamics,high aspect ratio,3D NAND,ion beam experiment,high-aspect ratio,molecular dynamics (MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20527,東北大学,國嶋 友貴,酸素原子供給型非自己維持直流放電プラズマによる高効率窒素固定の機構解明,現在の主流な人工窒素固定法は化石燃料を使用しているため資源の枯渇や地域的独占が問題となっている．本研究は，プラズマ中の電界を制御して窒素分子を振動励起させ，酸素原子と反応させることでNO生成を行う効率的なプラズマ窒素固定の実現を目指す．プラズマ窒素固定では再生可能エネルギーが利用でき，本研究の達成は，持続可能な社会形成に大きく貢献できると考えられる．,特別研究員奨励費,小区分14030:プラズマ応用科学関連,窒素固定,振動励起,換算電界,非自己維持直流放電,振動・回転温度,緩和過程,振動緩和モデル,流体モデル,ゼルドビッチ機構,振動温度,回転温度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13122,九州大学,HWANG SUNG HWA,プラズマCVDを用いた低応力・高密度カーボンナノコンポジット膜の高速製膜法の創成,本研究の目的は、水素化アモルファスカーボン薄膜にカーボンナノ粒子が混入した「カーボンナノコンポジット膜」による機械的物性制御の実現である。目的実現のため、①ナノ粒子と製膜前駆体の生成・堆積制御、②高密度カーボン膜の高速製膜の２項目をプラズマ化学気相堆積法で実現するために必要な基盤技術を創成する。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,ナノコンポジット膜,プラズマ化学気相堆積法,水素化アモルファスカーボン,カーボンナノ粒子,プラズマCVD  高速製膜,低応力,大面積,カーボン膜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10393,大阪大学,YASSIN Abdulrahman Hikm,有機ガスを用いた磁性材料に対するプラズマ支援原子層エッチング(ALE)機構の解明,"Three different codes are used; Gaussian, Turbomole, and STATE code to investigate the interaction of  different organic molecules with magnetic materials (Ni, Co, and Fe) to establish an ALE processes. The effect of the system temperature will be studied by running MD-DFT calculations, which I expect it will provide more realistic model for ALE processes. The promising simulation results will be confirmed experimentally. Moreover, a CAPP jet system will be developed to study the possibility of developing ALE processes of magnetic materials at atmospheric pressure.",特別研究員奨励費,小区分14030:プラズマ応用科学関連,Thermal ALE,DFT simulation,Etching of metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J22428,東京大学,Phua Yu Yu,クライオプラズが切り拓く宇宙物質科学の新しい展開,本研究では、クライオプラズマを用いた宇宙環境模擬における物理・化学過程の理解を進めることで、プラズマ宇宙物質科学の進展、そして低温領域でのプラズマ化学の学問としての確立を目指す。そのために、模擬対象環境の拡張と反応機構の理解を軸にして研究を遂行する。宇宙のような低温環境での現象を調べることで低温環境ならではの物理・化学的特性を解明するほか、生じた現象を宇宙の化学・物理現象と比較し、宇宙・生命の起源を理解し、今後の生命活動の指針に貢献する。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13463,東京大学,井上 健一,高密度環境プラズマが拓く二次元ヘテロ構造材料の新展開,本研究の概要は、異なる二次元物質を積層したヘテロ構造を持つハイブリッドナノフィラーを液相等の高密度環境プラズマによる高速合成を通じて実証することである。単原子層二次元物質を積層したヘテロ構造物質では、有限な層間相互作用によって各層の特性が保持され、高電気伝導度などの優れた物性が発現可能になる。さらに申請者は、異種単層フィラーを接合したヘテロ構造物質は、有機複合材料中において優れた物性を発揮しつつ分散状態を維持できるハイブリッドナノフィラーとなることを着想した。複合材料応用においてヘテロ構造物質の合成量が課題であり、本研究では液相や超臨界流体相中での高密度環境プラズマによる高速合成を検討する。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,液中プラズマプロセス,六方晶窒化ホウ素,表面改質,有機／無機複合材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J11632,北海道大学,稲垣 慶修,プラズマ気液界面反応場における溶媒和電子の診断と反応過程の解明,液体を介在させたプラズマの応用技術は、通常の溶液科学とは異なるユニークな反応プロセスを発現させる可能性を秘めている。しかし、現状これらの反応過程については未解明である点が多く、阻んでいる要因の1つに液相側界面層に局在する溶媒和電子の反応を調べる実験技術が存在しないことが挙げられる。,特別研究員奨励費,小区分14030:プラズマ応用科学関連,水和電子,溶媒和電子,プラズマ・液体相互作用,水ジェット,レーザー誘起脱溶媒和,プラズマ液体相互作用,光励起脱溶媒和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
