awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18795,国立研究開発法人理化学研究所,櫻井 博儀,荷電交換反応による２５Ｏの核構造研究,原子核は、核子数が「魔法数」を満したとき安定化する。魔法数は核構造を統べる最も基本的な秩序である。近年の研究により、放射性同位体は地球上の長寿命核とは異なる魔法数に従うことがわかってきた。本研究では、新魔法数が作る新秩序を理解するために、新魔法数16に対応するギャップ・エネルギーを定量的に評価することを目指し、非束縛核25Oの共鳴状態を重陽子標的の荷電交換反応により探索する。荷電交換後の陽子を精度よく測定するために、Time Projection Chamber (TPC)という軌跡測定用ガス検出器を開発する。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,魔法数,RIビーム,放射性同位体,荷電交換反応,Time projection chamber,アクティブ標的,シリコン検出器,タンデム加速器,不安定核,核構造,active target,Time Projection Chamber,欠損質量分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18324,大学共同利用機関法人高エネルギー加速器研究機構,後田 裕,タウレプトンにおけるレプトンフレーバー破れの探索,令和元年度は、COPPERのアップグレードモジュール (PCIe40) に、DAQ 制御システムの通信フレームワーク、及びPCI expressにおけるデータ転送メカニズムの開発と実装を行った。また、データ読み出しとDAQシステムを制御するためのソフトウェアドライバーの開発を行った。Belle II実験のTOP、CDC、ARICH、ECL、KLM検出器のフロントエンド電子回路(FEE)、PCIe40と、読み出しPCをつなぎ合わせて、データ収集システムを小規模に再現したテストベンチを構築した。それを用いて、TOPなどのFEEのコンフィグレーションに成功した。そして、一つのbelle2linkを用いた転送の長期試験をし、Belle IIの設計トリガーレート30 kHzで10時間、ビットエラーが生じないことを確認できた。このテストの結果に基いて、Belle IIのDAQシステムのアップグレードに、複数の候補の中からPCIe40を選定した。さらに、PCIe40の性能を全て活用できるように、48本のbelle2linkを一つのPCIe40ボードに実装し、性能評価と最適化を行った。それぞれのbelle2linkの状態などを、COPPERと同じようにモニタリングできるツールの開発も行った。Belle IIのDAQシステムを統合するために、Belle II実験の独自に開発された制御システムのプラットフォームに基いて、ソフトウェアを開発した。7月から始まる次の運転休止期間に、実際にTOP検出器の読み出しサブシステムを置き換える準備ができた。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,素粒子物理学,フレーバー物理,スーパーBファクトリー,データ収集システム,DAQ,高速データ転送,PCI express,素粒子実験,フレーバーの物理,レプトンフレーバーの破れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23314,名古屋大学,平田 光,エキゾチックハドロンの内部構造の検証,X(3872)は、通常の中間子やバリオンとして説明できないエキゾチックハドロンの候補の一つである。その内部構造が理解できれば、ハドロン内部のクォーク束縛に対する新しい知見が得られる。本研究では、世界最高統計量のB中間子データを誇るBelle実験をアップグレードしたBelle II 実験において、X(3872)の崩壊幅や不変質量分布を世界最高精度で測定することで、X(3872)の内部構造の解明を目指す。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,エキゾチックハドロン,ヘビークォーク,B-factory実験,分散コンピューティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22440,東京工業大学,BERNS LUKAS,チェレンコフ光の精密再構成によるニュートリノ振動解析とCP対称性の破れの探索,純水内で発生したチェレンコフ光をタンクの壁にしきつめられた光電子増倍管で捉え、光量と時間情報から粒子の物理量を再構成するという手法はカミオカンデの時代に確立し、現在まで引き続き用いられている。本研究ではまず、光電子増倍管の間に再帰反射材を配置し、反射光によってもう一つのリングを生成させるという筆者考案の新手法を実用化に向け開発する。またこれまでのリング再構成法において無視されてきた、荷電粒子の水中での微細な散乱に伴うチェレンコフ光の揺らぎを再構成に取り入れ、リング再構成の精度向上を目指す。これらによりニュートリノ振動等の物理をより正確に捉える他、将来実験に向けた検出器コスト削減への貢献を狙う。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,水チェレンコフ,素粒子,ニュートリノ,再帰反射材,事象再構成,機械学習,数値計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22258,京都大学,安留 健嗣,2種類のスペクトラムの精密測定から迫るニュートリノCP対称性の破れの探索,T2K実験は飛行中にニュートリノの種類が変わるニュートリノ振動を通して、物質と反物質をめぐる性質の違いを検証している。この違いを解明することで、宇宙誕生の歴史に迫りうることが期待されている。本研究は、ニュートリノの反応を精密に測定することでT2K実験が目指す検証を、より高精度にすることを目指す。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ニュートリノ,CP対称性,T2K実験,ニュートリノ反応断面積,J-PARC,微分断面積の測定,ニュートリノ振動解析,トラッカーの製作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22222,東京大学,LI Xiangchong,銀河団重力レンズ効果とCMB重力レンズ効果との相関によるニュートリノ質量への制限,"Firstly, I will provide a FPFS shape catalog on the S18A data release of the Hyper Suprime-Cam Subaru Strategic (HSC-SSP) Survey. I will improve the accuracy of FPFS shear estimator by studying the Shapelet modes of noise Fourier power function.",特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,gravitational lensing,cosmology observations,image processing,galaxy clusters,observational cosmology,Weak lensing,Galaxy Shape Measurement,Mass  map reconstruction,Hyper Suprime-Cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22055,京都大学,鈴木 一輝,原子核中のφ中間子質量測定で探る物質質量の起源,質量を与える粒子であるヒッグス粒子が発見されたことに対して2013年にノーベル物理学賞が授与された。しかし、実はこのヒッグス粒子は我々の宇宙に存在する物質の質量の内わずか2 %を与えているにすぎない。残り98 %の質量の起源については未だ謎のままであるが、極限状態である高密度中ではこの98 %の質量が変化することが予想されている。そこで本研究ではファイ中間子という粒子を高密度物質である原子核に入れることで質量がどのように変化するのかを調べ、質量生成機構の手がかりを得る。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ハドロン,原子核,シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21861,東京大学,川崎 拓也,鏡の光学浮上による巨視的量子系の実現,本研究では、mg スケールの鏡をレーザー光の輻射圧で支持することにより、鏡を十分外界から孤立させ、その量子効果を観測する。すなわち、未だ実験的に実現のなされていない、巨視的な質量スケールでの量子力学の検証を行う。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,巨視的量子力学,光学浮上,光輻射圧,光学トラップ,オプトメカニクス,エンタングルメント,量子測定,レーザー,光共振器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21763,名古屋大学,須江 祐貴,ミューオンg-2精密測定のためのミューオン線形加速技術開発と新物理探索感度の向上,ミューオンの基本的な物理量の一つである異常磁気能率(g-2)は測定値と標準理論による予測値の間に乖離の兆候が現れており、標準理論を超えた物理の可能性が示唆されている。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ミューオン異常磁気能率,素粒子実験,Belle II実験,J-PARC E34実験,ミューオンg-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21730,東京大学,小林 暁,荷電レプトンフレーバーを破るミューオン稀崩壊現象の探索による新物理理論の検証,現在の素粒子物理学の枠組みである標準理論は、多くの実験結果を正確に予測する一方でいくつかの現象は説明することができず、より進んだ物理理論の構築が望まれている。,特別研究員奨励費,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,素粒子物理実験,ミューオン,ガンマ線,液体キセノン,荷電レプトンフレーバー,放射線耐性,シリコン半導体光検出器,荷電レプトンフレーバー保存の破れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
