awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18320,長崎大学,武藤 鉄司,第四紀ニジェールデルタの実験オート層序学と西アフリカ赤道域の環境変動,,特別研究員奨励費,小区分17040:固体地球科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18312,東京大学,河合 研志,初期火星の地殻変動の解明：地質学及び惑星内部ダイナミクスの研究,Our research is themed to understand Martian heat loss mechanism.,特別研究員奨励費,小区分17040:固体地球科学関連,Impact behavior,Mars tectonics,Heat loss,Wrinkle ridge,Hesperian Compression,Global Compression,Buffer Crater Count,Age estimation,Mars,Noachian,Tectonics,Thermal history,Mantle Convection,Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22117,東京大学,植村 堪介,地震発生域の状態の定量的評価と統合的地震発生力学モデルの構築,断層で起こる地震活動について、Gutenberg-Richter則や大森則など複数の統計則が知られており、また、ETASモデルなど複数の統計的なモデルが提唱されているが、それらの経験則と断層上の物理プロセスとの関連は明瞭には把握されていない。,特別研究員奨励費,小区分17040:固体地球科学関連,地震,数値計算,断層力学,マルチスケール,地震発生メカニズム,統計モデル,数値シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21676,東京大学,小澤 創,複雑な形状の断層における地震破壊の数値シミュレーション研究,物理に立脚したものとして，最もシンプルな地震発生モデルと呼べるのは，単一の平面断層の亀裂進展ダイナミクスである．このモデルは，観測される地震波形など多くのことを説明できるが，破壊がどのようにして止まるかということを説明できない．実際の地殻では，ほとんどの地震は小さいうちに止まってしまうことを考えると，地震発生モデルは自発的な破壊の停止を説明するものであるべきである．本研究では，断層形状の複雑さが地震活動を支配しているという仮説を，大規模な数値シミュレーションを行い，検証する．,特別研究員奨励費,小区分17040:固体地球科学関連,地震,断層,数値シミュレーション,地震サイクル,動的破壊,シミュレーション,物理モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21537,北海道大学,萩原 雄貴,なぜマントル流体は二酸化炭素に富むのか？：流体包有物による二酸化炭素の起源の解明,マントル捕獲岩中の流体包有物は産地に依存せず普遍的に非常にCO2に富んでいる．しかし，炭素の起源やCO2が果たす物質循環への役割は未解明であり，地球の長期的進化へのCO2流体の影響は未知数である．本研究ではまず，流体包有物の残留圧力と組成を利用して，流体が鉱物に捕捉された時空間を特定する手法を開発する．その後，流体包有物に含まれる揮発性物質の同位体比の測定を行い，様々なセッティングにおける地球深部炭素の循環様式の時空間分布を明らかにする．,特別研究員奨励費,小区分17040:固体地球科学関連,ラマン分光法,流体包有物,有限要素法,鉱物包有物,状態方程式,ラマン分光,レーザー加熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21321,九州大学,元村 健人,古原生代後期の海洋環境変動原因の解明：大規模火成活動及び超大陸形成との関連,本研究では後期古原生代に超大陸形成や大規模火成活動によって駆動される環境変化が起きていた可能性を検証する．そのためにカナダ東部に保存されている堆積物を対象とした(1)層序復元，(2)年代決定，(3)化学分析を行う．カナダ東部には約20~18億年前に堆積した細粒堆積物や鉄鉱層が低変成度で多く保存されているが，一般に造山運動に伴う変形が著しく，年代の制約も十分でない．そこで精密な地質調査による層序復元および堆積年代の制約を行う．化学分析では，軽元素同位体比や元素濃度をプロキシとして海洋酸化還元状態・硫酸イオン濃度変化を復元する．また，白金族元素・希土類元素データと組み合わせ，上記仮説の検証を行う．,特別研究員奨励費,小区分17040:固体地球科学関連,古原生代,有機炭素同位体比,窒素同位体比,酸化還元状態,砕屑性ジルコン年代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21319,東北大学,高橋 菜緒子,脈として産する高圧鉱物の複数相飽和実験による沈み込み流体組成と移動の解明,本研究は、天然のプレート境界岩石中の流体から直接晶出した高圧鉱物脈が溶解・飽和する条件に着目し、実験的研究によって沈み込みスラブから脱水した流体の化学組成と移動について新たな情報の獲得に取り組むものである。野外採取したプレート境界岩中の脈の鉱物相や化学組成情報をもとに、実験の出発物質の作成を行う。その後、脈鉱物または等組成の合成試料を出発物質として複数相飽和実験の有効性を検証する。さらに母岩と非平衡な流体沈殿を記録した高圧鉱物脈を出発物質とした複数相飽和実験を実施し、スラブ流体の活動温度圧力条件と化学組成・移動と島弧火山マグマの微量元素組成への寄与を検証する。,特別研究員奨励費,小区分17040:固体地球科学関連,外熱式ダイヤモンドアンビルセル,ラマン分光法,その場観察,石英,珪酸塩,ルチル,溶解,沈み込み帯,プレート境界岩,高圧鉱物脈,流体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20760,東京大学,馬場 慧,スロー地震の新たな検出手法の開発とそれに基づく比較沈み込み帯学の構築,巨大地震が頻発する沈み込み帯では、通常の地震の他に、スロー地震と呼ばれる長周期の地震が発生している。スロー地震は巨大地震の震源域のすぐ隣で発生し、巨大地震と共通の低角逆断層のメカニズムを有する。また、スロー地震の時空間分布は、プレート間の固着や摩擦の状態を反映するため、沈み込み帯によって異なる巨大地震の発生様式の違いを理解する鍵だと考えられる。本研究の目的は、スロー地震の一種である超低周波地震およびスロースリップイベントの検出を世界中で行うことによって、スロー地震の発生様式の地域的特徴とテクトニクスとの関連性を調べ、スロー地震による沈み込み帯の比較研究を行うことである。,特別研究員奨励費,小区分17040:固体地球科学関連,スロー地震,超低周波地震,沈み込み帯,scaled energy,低周波微動,巨大地震,すべり欠損,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20692,東京大学,山谷 里奈,地震波形インバージョンでスラブの詳細な挙動を探り固体地球の熱化学進化の解明に貢献,稠密観測網で記録された大量の自然地震の観測波形を解析することで、プレート沈み込み帯における高解像度な3次元地震波速度構造を推定する。3次元理論波形計算に有限要素法用いることで、震源推定及び上記の構造推定を反復し、解像度の限界に挑む。また、得られた構造をマントル対流計算及び鉱物物理学から解釈することで、沈み込んだ古プレートの詳細な挙動を探り、固体地球の熱化学進化の解明に貢献する。,特別研究員奨励費,小区分17040:固体地球科学関連,海底地震計,海洋堆積層,地殻,地震波速度構造,地震波干渉法,CMTインバージョン,地震波伝播シミュレーション,堆積層,震源メカニズム,地震波速度構造推定,3次元波動計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20534,筑波大学,高橋 一輝,ゴンドワナ大陸衝突帯の形成過程の総合的理解：東南極リュツォ・ホルム岩体を例として,本研究では、約5.5億年前に形成されたゴンドワナ大陸衝突帯の形成過程を総合的に理解することを目的として、主に炭素や希ガスの同位体測定、ジルコンのウラン―鉛年代測定、相平衡モデリングを行う。特に、鉱物中に保持されている流体である流体包有物に着目して、流体の起源を重点的に研究する。まず衝突帯の中心部に位置した東南極リュツォ・ホルム岩体に産する変成岩に着目して研究を行い、その後他の地域の岩石にも同様の手法を適用する。,特別研究員奨励費,小区分17040:固体地球科学関連,リュツォ・ホルム岩体,西堂平変成岩,ざくろ石,残留圧力,ラマン分光法,モナズ石,電子線マイクロアナライザー,石墨,塩素,不透明鉱物,苦鉄質グラニュライト,流体包有物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
