awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18358,東京理科大学,杉山 睦,宇宙向け高耐久・軽量・高効率ＣＩＧＳ太陽電池の実現と劣化メカニズムの解明,前年度までの知見を用いながら、電子線および陽子照射を照射したCs添加CIGS太陽電池の耐久特性・劣化メカニズムを明らかにした。,特別研究員奨励費,小区分21050:電気電子材料工学関連,CIGS,薄膜太陽電池,宇宙応用,放射線劣化,CIGS太陽電池,宇宙用太陽電池,放射線耐性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23422,京都大学,立木 馨大,SiC MOS界面準位の低減および新チャネル構造MOSFETの動作実証,電力変換の大幅な向上を実現するパワーデバイスとして期待されているなSiC MOSFETは既に商用化が進んでいるものの、現在MOS高密度界面欠陥に起因する高いチャネル抵抗が原因で、その性能を最大限に発揮することができていない。したがって、さらなる性能向上を図るにはチャネル抵抗の低減が必須である。,特別研究員奨励費,小区分21050:電気電子材料工学関連,SiC,MOSFET,SiC MOSFET,界面準位,パッシベーション,interface state density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23296,京都大学,鐘ヶ江 一孝,超低損失パワーデバイス実現に向けた窒化ガリウム中の深い準位の生成メカニズムの解明,窒化ガリウム(GaN)を用いた半導体パワーデバイスの性能向上には、GaN成長層の結晶純度を向上する必要がある。本研究は、GaN成長層中で電気的に活性であり、デバイス特性に直接影響を与える点欠陥について、密度を精密に定量する技術を確立することで、その起源や生成メカニズムを明らかにすることを目的とする。また、定量技術を用いて、点欠陥の密度を低減する成長方法・条件の指針を得る。,特別研究員奨励費,小区分21050:電気電子材料工学関連,ワイドバンドギャップ半導体,窒化ガリウム,炭化ケイ素,深い準位,点欠陥,DLTS,容量過渡分光,炭素,補償アクセプタ,低ドーピング制御,正孔トラップ,深いアクセプタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21955,名古屋大学,岡本 一輝,PZTナノロッドの分極のソフト化による巨大圧電応答の実現と非鉛材料への展開,本研究では、強誘電体ナノロッドにおいて脱分極電界による分極回転の容易化を実現し、巨大圧電応答の発現メカニズムを実証する。具体的には,特別研究員奨励費,小区分21050:電気電子材料工学関連,強誘電体,圧電体,ナノ構造,サイズ効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21372,筑波大学,山下 雄大,バリウムシリサイド薄膜の高品質化による高効率Siベースタンデム型太陽電池の作製,資源が豊富なBaとSiからなるシリサイド半導体BaSi2をトップセルとし、Siをボトムセルに用いた「BaSi2-pn/Si-pnタンデム型太陽電池」による、高い変換効率と低い材料コストを両立する民生用太陽電池(η>30%)の実証を目指している。本研究では、この要素技術である(1)欠陥密度の制御 (2)pn接合の急峻化 (3)デバイス構造設計 に焦点を当て、研究を遂行する。,特別研究員奨励費,小区分21050:電気電子材料工学関連,シリサイド半導体,界面層,薄膜太陽電池,ヘテロ接合,太陽電池,バリウムシリサイド,デバイスシミュレーション,ヘテロ界面,パッシベーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20104,大阪大学,高野 佑磨,座標変換と電磁気学の融合による光波帯大面積電磁クローク媒質の実現,本研究は，変換電磁気学に，電気磁気効果を含む双異方性構成関係を導入する理論の構築と，電磁クローク媒質の動作を実験的に検証する．理論面では，双異方性媒質導入した系に対する座標変換と媒質パラメータの関係を明らかにし，光波領域での動作に課題となる磁性の制御を，電気磁気効果によって実効的に制御する可能性を探求する．また，これを用いた電磁クローク媒質の実証実験については，マクスウェル方程式に金属プラズモニック応答とサブ波長サイズ効果を導入した自己無撞着な媒質設計手法を確立し，電子線リソグラフィなどのトップダウン加工技術を用いた大面積電磁クローク媒質の作製とクローキング動作の実証実験を行う．,特別研究員奨励費,小区分21050:電気電子材料工学関連,変換電磁気学,電磁クローク媒質,メタマテリアル,空間不連続境界,デュアルバンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15504,京都工芸繊維大学,田原 大祐,ε相酸化ガリウムの結晶成長と超ワイドバンドギャップパワーデバイス応用に関する研究,高耐圧・高周波用途のパワーデバイス応用の分野において、酸化ガリウム（Ga2O3）などの超ワイドバンドギャップ半導体が注目されている。Ga2O3は、現在、社会実装が進むSiCやGaNの次の世代の半導体材料として、パワーデバイスのさらなる高耐圧化や高周波化に寄与すると期待される。本研究では、高周波デバイス応用が見込まれるε相酸化ガリウム（ε-Ga2O3）を低コスト・省エネルギーな成膜手法であるミストCVD法により製作し、その物性解明を進めている。,特別研究員奨励費,小区分21050:電気電子材料工学関連,酸化ガリウム,超ワイドバンドギャップ半導体,ミスト化学気相成長法,準安定相酸化物,薄膜,強誘電体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13877,東京大学,YU JECO BERNICE MAE,均一ルミネッセンス・カップリングを取り入れた高効率多接合太陽電池の最適化,The project will be implemented in the following order:,特別研究員奨励費,小区分21050:電気電子材料工学関連,luminescent coupling,perovskite,quantum dot,solar cell,photonics,optoelectronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13579,東京大学,東垂水 直樹,二次元層状ピエゾ材料を用いたナノ発電デバイスの開発,あらゆるモノをインターネットで結ぶIoTの普及に向け、身の回りの微小エネルギーを電力に変換するエネルギーハーベスティングの技術開発が盛んに行われている。そのひとつである圧電素子には、PZTなどのセラミックス材料が広く用いられてきたが、脆性破壊するという致命的な欠点をもつ。本研究は、驚異的なフレキシビリティを有する2次元層状ピエゾ材料「単層硫化スズ(SnS)」に注目し、フレキシブルな高効率圧電素子の実現を目指す。,特別研究員奨励費,小区分21050:電気電子材料工学関連,圧電,強誘電,層状物質,SnS,二次元層状物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13441,東京大学,柳 銘,窒化ホウ素と同軸に包まれた単層カーボンナノチューブの電界効果トランジスタへの応用,"The outline of research is to synthesize a coaxial material of single walled carbon nanotubes coated by boron nitride to improve the carrier mobility in plane nanotubes, reduce the interface traps between CNT and the dielectric and reduce the thermal resistrance in field emission transistors.",特別研究員奨励費,小区分21050:電気電子材料工学関連,1D heteronanotubes,SWCNT@BNNT,BNNT,1D hetero nanotubes,Coxial structure,Carbon nanotubes,Boron nitride nanotubes,TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
