awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J14933,早稲田大学,竹田 京子,道路橋床版の設計と維持管理の連続照査を可能とする構造性能評価技術の開発,コンクリート橋の長寿命化を実現するためには，設計と維持管理を一本化し連続的に扱っていく必要がある。本研究の目的は，道路橋床版を対象とした，設計・維持管理体系の連続化の根幹を支える作用・性能・外観の評価技術の開発である。連続照査用作用の評価技術として，実構造物調査による実測データから，逆解析的に力学・環境作用の同定とモデル化を行う。構造性能の評価技術として，床版のモデル供試体による実験的・解析的検討を行い，コンクリートの累積損傷モデルを構築して部材レベルの損傷過程を解明する。また外観に基づく評価技術として，実構造物調査により得たひび割れ情報を統合化するとともに，部材の損傷過程との関連づけを行う。,特別研究員奨励費,小区分22020:構造工学および地震工学関連,コンクリート床版,疲労破壊,疲労寿命評価,せん断,輪荷重走行試験,道路橋コンクリート床版,疲労耐久性,疲労寿命予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11299,東北大学,LUO HAO,複素減衰モデルの実現による長周期構造物の地震時応答変位・加速度同時低減への挑戦,複素減衰は変形振幅が一定であれば速度に依存しない減衰力を発揮する減衰のモデルであるが，非因果性のために厳密に物理的に実現することはできない．しかしながら，既往研究では近年社会的な関心を呼んでいる長周期構造物の地震動対策に有用であることが分かってきている．本研究課題では，複素減衰を因果的かつ物理的に実装する方法・装置を提案し，長周期地震動の脅威に晒されている長周期構造物の地震動対策に資する技術を提案する．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,複素減衰,一般化マクスウェルモデル,因果的フィルター,負剛性,Biotモデル,レオロジー,非整数階微積分,Scott-Blairモデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19777,東北工業大学,薛 松濤,巨大地震時の超高層免震構造物の破壊メカニズム,免震構造物がかなり普及されていて、高層免震も数多くみられるようになりました。しかし、構造物の高さの極限がいまだに不明です。高さの極限は構造物の大きさにも関係して、その比をアスペクト比と呼ばれています。本研究は、巨大地震を念頭に置いて、東北工業大学で実測された地震及び振動データを用いて、基礎免震あるいは中間層免震を有する構造物の最適アスペクト比について、解析研究および振動台模型実験をもって検討する。それに従って、構造物の破壊メカニズムを究明することと同時に高さ極限を提案しようとしています。,特別研究員奨励費,小区分22020:構造工学および地震工学関連,中間層免震,免震,振動台実験,アスペクト比,基礎免震,振動実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19356,京都大学,倉田 真宏,非構造部材を含めた不整形低層鉄骨建物の地震脆弱性評価と耐震補強,複合医療施設や大型商業施設は、地震時に地域医療や地域生活の拠点としての震災時の継続利用が期待されるが、非構造部材の落下や重要機器の損傷などにより、建物の利用停止が相次いでいる。日本と中国における過去の地震被害例の収集や振動実験及び数値解析を通して、非構造部材と重要機器を含めた建物の脆弱性評価や，急性期の利用予定と復旧の迅速化を考慮した費用対効果の高い耐震対策の提案，に取り組む。,特別研究員奨励費,小区分22020:構造工学および地震工学関連,Suspended ceiling,Nonstructural component,Seismic damage,Resilient design,非構造部材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19053,京都大学,金 哲佑,移動車両振動のマルチウェイテンソル解析による橋梁損傷同定,本研究は，橋梁の異常に関する大まかな評価に止まっているこれまでの移動車両 橋梁点検手法を改善すべく，専用点検車両が橋梁上を走行しながら点検車両の振動から対象橋梁の異常有無，損傷位置，損傷程度が推定できる「マルチウェイテンソル解析による移動車両橋梁点検 」手法の開発である．具体的には，最適車両条件の検討，車両振動のテンソル解析とOne-class support vector machine (OCSVM)による橋梁損傷のロバスト外れ値解析，模型桁および実橋走行実験による妥当性検討を行う．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,移動車両橋梁点検,車両ー橋梁連成系,異常検知,橋梁ヘルスモニタリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22348,東京大学,日下部 亮太,デジタルツインのための大規模解析プラットホームの開発,サイバー空間上に現実空間のデジタルツインを構築し、様々な仮想実験を行い、その結果を現実空間の意思決定に用いるという構想がある．しかし，この地震シミュレーションは解析コストが膨大で，計算時間がかかるという現状がある．本研究では，この計算時間を短縮するために，大規模3次元地震応答解析を高速に実行できるプラットホームを構築することを目的とするまた，構造物のデータからサイバー空間上に解析モデルを作成する手法も開発する．これらにより，サイバー空間上での地震シミュレーションにおける各種パラメータ設定などの検討がより容易に，より詳細に行えるようになると期待される．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,大規模並列計算,地震シミュレーション,GPU,デジタルツイン,大規模解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20977,名古屋大学,渡邉 大貴,マルチマテリアル3D-printerでつくる未来の社会インフラ設計法の開発,複数の異なる材料を適材適所で用いるマルチマテリアル化と，複雑な形でも容易に造形できる３Ｄ－ｐｒｉｎｔｅｒによるものづくりは，これからの新しい製造・生産システムを担う革新的な技術であり，これを社会インフラ構造物の施工にも応用する試みが世界的に進められている．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,トポロジー最適化,マルチマテリアル,３Ｄ－ｐｒｉｎｔｅｒ,材料界面,界面表現法,応力制約,破壊力学,積層造形,計算力学,応用力学,最適設計,シミュレーション工学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J15702,大阪市立大学,杉本 悠真,高力ボルト引張接合を汎用化するための設計手法の開発,橋梁などの土木構造物は，工場で製作した部材を現場で接合することで組み立てられる．近年の少子化に伴う職人不足や，工事中の通行止めによる社会的コストの削減といった課題に対して，部材接合の簡略化は効果的である．この簡略化が期待できる接合として，高力ボルトエンドプレート接合が近年注目されている．しかし，高力ボルトエンドプレート接合は土木構造物のような大きな荷重が作用する部材接合に適用された事例は少なく，その力学的挙動は明らかにされていない．本研究は，大断面力が作用するエンドプレート接合に着目し，その力学的挙動を実験的・解析的に明らかにするとともに，本接合法の簡易設計法を提案することを目的としている．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,高力ボルトエンドプレート接合,引張接合継手,非突出型接合,ボルト軸力推定法,スプリットティー継手,FEM解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14395,東京大学,八百山 太郎,時空間構造物相互監視の概念に基づくデータ駆動型都市監視手法の構築,地震災害時の緊急初動対応においては，都市域の多数の構造物がどの程度の性能変化を経験したか，迅速に評価できる必要がある．このとき，単一の観測記録のみを用いるのでは，損傷による性能変化と種々の不確定性に起因する見かけ上の変動とを分離することが難しい．そこで，ビッグデータを活用し，時間上・空間上に広く分布する構造物応答を互いに監視させながら，不確定性に対してロバストな性能評価技術を構築することが有効である．本研究ではこれを「時空間構造物相互監視」とよび，その方法論を確立するとともに，数値実験および実観測に基づきその適用性を検証する．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,都市防災,緊急対応,都市監視,強震観測,異常検知,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20F20796,東北大学,五十子 幸樹,免震構造物高性能化のための革新的ダイナミック・マス・ダンパーの開発,本研究課題では，これまでに研究代表者の研究で明らかとなってきた複素減衰の長周期構造物における地震時過大変形の抑制効果に着目し，これを近似的に実現する方法を検討する．複素減衰は，周波数領域において複素数のバネで表されるもので，時間領域では因果律（原因となる外乱が作用してから構造物が応答することを指す）を満足しないことが知られている．そこで，因果律を満足しながら，複素減衰の特性を近似的に実現する方法として一般化マクスウェルモデルの減衰要素として非整数次導関数モデルに従う要素を検討し，既往研究より少ない要素数でより高い近似精度を目指す．,特別研究員奨励費,小区分22020:構造工学および地震工学関連,長周期地震動,免震構造,複素減衰,ダイナミック・マス,Maxwell要素,負剛性,一般化マクスウェルモデル,damping function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
