awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22430,東京大学,柿原 浩太,確率微分動的計画法の拡張による深宇宙探査機の軌道設計と軌道決定計画の統合的最適化,深宇宙探査において探査機の位置や速度を推定する軌道決定は軌道設計と共にミッション成功の鍵を握る技術であるが、現在の軌道決定技術は地上局に大きく依存しており、高頻度に低コストで探査を行うためにはその運用コストやリソース不足が問題となる。本研究の目的は、深宇宙探査機の地上局への依存度を低減するために、ミッション成功確率を保ちながら軌道決定の精度が低くても良い場所では軌道決定頻度を下げる、といった軌道設計と軌道決定運用計画を統合的に最適化する手法を確立することである。,特別研究員奨励費,小区分24010:航空宇宙工学関連,確率最適制御,軌道決定,軌道設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22413,東京農工大学,神山 晋太郎,航空機用CFRPにおける雷撃損傷とマルチフィジックス解析,CFRP（炭素繊維強化プラスチック複合材料）は比強度・比剛性が優れるため、航空機の機体構造への適用が拡大している。航空機のCFRP機体構造が抱える問題の一つに、運行中の落雷による雷撃損傷が挙げられる。CFRPにおける雷撃損傷は、熱・電気・力学的な現象が短時間に重畳する非常に複雑な現象であるため、損傷メカニズムは十分に明らかになっていない。そこで、本研究ではCFRP機体構造の雷撃損傷メカニズムの解明を目的として、実験的に計測した現象をモデル化し、申請者らが構築してきたマルチフィジックス解析モデルに対して適切に導入することで、解析手法のさらなる高度化を目指す。,特別研究員奨励費,小区分24010:航空宇宙工学関連,CFRP,雷撃損傷,マルチフィジックス解析,有限要素法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22108,東京大学,久保 勇貴,太陽-地球系ラグランジュ点まわりの人工周期軌道実現のための推進剤不要な姿勢制御,この研究は可変構造宇宙機というこれまでにない斬新な設計の宇宙機を用いて全く新しい制御手法を確立するための研究である．この宇宙機はその名のとおり宇宙空間での構造変形が可能であるという特徴を持ち，この特徴を用いることで燃料を一切使わずに宇宙機の姿勢を自在に制御できる．同時に，太陽の光を反射する際に受ける微弱な反作用である「太陽光圧」を積極的に利用して，宇宙機の位置についても燃料不要で制御できる．,特別研究員奨励費,小区分24010:航空宇宙工学関連,非ホロノミック性,姿勢制御,可変構造宇宙機,形態・姿勢同時制御,リー代数,宇宙機制御,不変多様体,モーションプランニング,太陽-地球系ラグランジュ点,太陽光圧,非ホロノミック姿勢制御,小円ハロー軌道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22040,東京大学,松下 周平,宇宙重力波望遠鏡実現のための高精度編隊飛行・ドラッグフリー複合技術に関する研究,現在注目を集めている地上重力波望遠鏡は，低周波数帯の重力波を観測できないという問題点がある．これを解決するため，宇宙重力波望遠鏡が検討されている．この研究では，宇宙重力波望遠鏡で用いられる高精度編隊飛行制御技術とドラッグフリー制御技術を組み合わせた制御の構築を目指し，また，この組み合わせ制御により，宇宙機内部にある干渉計の鏡がどのような運動をし重力波観測にどのような影響を与えるのかを理解することを目指す．さらに，この知見を踏まえ，宇宙重力波望遠鏡の制御則，宇宙機設計論を構築することを目指す．,特別研究員奨励費,小区分24010:航空宇宙工学関連,フォーメーションフライト,軌道設計,ドラッグフリー制御,宇宙重力波望遠鏡,編隊飛行制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22024,東京大学,柳田 幹太,機械学習による多体力学系の解空間構造抽出と大域的軌道最適化への応用,宇宙探査において月やより遠方の惑星を目指す際，燃料削減のために低エネルギー軌道遷移と呼ばれる手法が使用される。しかし低エネルギー軌道遷移を用いると複雑な軌道になりやすく，設計には高度な専門知識が必要という問題がある．,特別研究員奨励費,小区分24010:航空宇宙工学関連,大域的最適化,軌道設計,強化学習,深層学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21523,東京大学,船曳 敦漠,宇宙機の大規模編隊飛行を実現する相対航法・情報共有ネットワークの構築,数機から数百機の宇宙機を強調させ、1つのシステムとして機能させる大規模編隊飛行により、これまで単一の宇宙機では実現されてこなかった様々な宇宙利用が可能となる。この大規模編隊飛行を実現するためには、宇宙機間での「相対航法・情報共有」が重要となる。本研究では、宇宙機における相対航法・情報共有のためのネットワーク構築手法の提案と、UWB通信機を用いた実証試験により、宇宙機の大規模編隊飛行実現に必要となる要素技術の確立を目指す。,特別研究員奨励費,小区分24010:航空宇宙工学関連,宇宙機,編隊飛行,フォーメーションフライト,相対航法,分散推定,相対位置推定,衛星間通信,フォーメンションフライト,衛星間測距,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21437,東京大学,西井 啓太,超小型衛星用多機能推進機の実現,現在その利用の幅が爆発的に拡大する超小型人工衛星であるが，今後，大推力が要求されるミッションに用いることが検討されている．超小型衛星に搭載される推進機の例は少ない上，大推力推進機の例はほぼない．その理由として超小型衛星の容積の小ささと求められる安全性の高さが挙げられる．,特別研究員奨励費,小区分24010:航空宇宙工学関連,宇宙推進機,水,グリーンプロペラント,ハイブリッドロケット,マグネシウム,金属燃焼,発光分光,凝縮燃焼生成物,レジストジェットスラスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15418,名古屋大学,後藤 啓介,飛行実験による回転爆轟波型推進器の微小重力下推力特性と多孔壁噴射器の冷却特性解明,回転爆轟波型推進器(RDE)は円筒型燃焼器内でデトネーション(非常に強力な燃焼の一種)を連続的に発生させるエンジンである．デトネーションを用いると，コンプレッサ等なしでも自ら燃料のガスを圧縮して高温・高圧状態を生成でき，既存のロケットエンジンを小型・高性能化しうる．しかし，デトネーションにより生じる高熱負荷に加え，RDEの宇宙環境での作動実証例が無いことが実用化への課題である．,特別研究員奨励費,小区分24010:航空宇宙工学関連,デトネーション,回転デトネーションエンジン,インジェクタ,冷却,ロケットシステム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15062,東京工業大学,菊谷 侑平,コンピュータビジョンを応用した超小型衛星のための新しい姿勢決定と応用技術の開発,本研究では，超小型カメラを用いた衛星の姿勢センサを開発する．,特別研究員奨励費,小区分24010:航空宇宙工学関連,超小型衛星,姿勢決定,姿勢センサ,コンピュータビジョン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13194,東京大学,関根 北斗,先進的無電極プラズマ推進機の実現に向けた推力発生機構の解明と性能向上,現在，将来的な大規模宇宙探査に向け，100 kW級の大電力無電極プラズマ推進機の実現が切望されている．電磁誘導型無電極プラズマ推進機は，原理的に寿命のない次世代型推進機であるが，従来の推進機に比して推力が十分でなく，実用化への障壁となっている．申請者は本推進機の実用化に向け，「推力発生機構の解明」を行う．そのために，本推進機の直接推力測定用スタンドを構築する．電磁誘導加速型プラズマ推進機の直接推力測定は，世界発となる．これと各種プローブによるプラズマ診断を合わせ，推力の構成要素を解明する．また，実験的に解明した推進機の推力発生機構に関する知見を用いて，実用化に向けた高効率化への設計指針を示す．,特別研究員奨励費,小区分24010:航空宇宙工学関連,無電極イオン静電加速,周方向電流計測,面内無電流仮説,無電極イオン加速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12973,名古屋大学,田中 健人,乱流との干渉による衝撃波崩壊のメカニズムの解明,本研究の概要は衝撃波と乱流が干渉する場において、双方に起こる変化を数値計算と実験によって解明することである。数値計算によって衝撃波の変形と崩壊に関して局所的な状態やその要因について調査する。,特別研究員奨励費,小区分24010:航空宇宙工学関連,衝撃波,乱流,直接数値計算,統計解析,圧縮性,数値計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12856,東京大学,久田 深作,先進的複合材構造を用いた航空機の軽量化,炭素繊維の強度・剛性の高さを活かした従来にない複合材構造によって航空機の構造部材の品質を改善し、航空機を軽量化する。特に破壊の生じやすい板厚遷移部や接合部に着目し、破壊メカニズムの正しい理解を踏まえた上で、亀裂発生を防ぐ構造、さらに亀裂進展を抑制する構造を提案し、有効性を実証する。また、それらの構造や配置を最適化し、従来構造と特性を比較する。,特別研究員奨励費,小区分24010:航空宇宙工学関連,複合材T-joint,亀裂進展抑制,成形破壊抑制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12469,東京大学,河合 成孝,大規模流体計算における高効率な不確実性解析手法の開発と火星航空機空力設計への応用,本研究では，まず大規模高精度流体計算のための高効率かつパラメータ空間内の不連続的変化を捉えることが可能な不確実性評価手法を開発する．そのために，従来の手法にエッジ検出技術を取り入れた新手法を提案し，その性能を示すことにより，これまでは困難であった大規模流体計算を用いた不確実性評価を可能にする．,特別研究員奨励費,小区分24010:航空宇宙工学関連,不確定性定量化,数値流体力学,多項式カオス展開,stochastic Galerkin法,ギブス現象,エッジ検出,multi-element法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12182,名古屋大学,田中 駿,製造誤差に起因する熱変形の定量化による高精度宇宙用CFRP製反射鏡製作技術の開発,宇宙観測装置の高性能化のため，大型・高精度の反射鏡の実現が求められている．炭素繊維強化プラスチック (CFRP) は軽量・高剛性・低熱膨張の性質を有し，次世代の反射鏡材料として期待されているが，僅かな製造誤差に起因して温度変化による予想外かつ無視できない大きさの熱変形が発生するという問題点が明らかになった．,特別研究員奨励費,小区分24010:航空宇宙工学関連,CFRP,宇宙望遠鏡,最適化,製造誤差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12009,東京大学,前山 大貴,格子ボルツマン法に基づく航空機周り高レイノルズ数流れの数値空力音響解析,近年急速に発展している格子ボルツマン法(LBM)は、自動車空力設計など産業界で広く用いられる空力・空力音響解析ツールとなってきているが、航空機周りに見られる高レイノルズ数乱流では、レイノルズ数依存性の強い乱流境界層が発達するため、現在の計算機性能で高精度なLES(Large-Eddy Simulation)を実施するには乱流境界層のモデル化が必須である。そこで本研究では、LBMを次世代の航空機空力設計ツールとすることを目指して、LBMに適した乱流境界層のモデル化手法の開発に取り組む。,特別研究員奨励費,小区分24010:航空宇宙工学関連,直交格子,高レイノルズ数流れ,壁面モデル,Large-eddy simulation,格子ボルツマン法,直交格子法,乱流境界層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11998,九州大学,稲富 悠也,宇宙用通信システムの小型軽量高効率化に向けた次世代半導体の研究開発,本研究は衛星通信に用いる電力増幅デバイスの性能向上を目的とする。具田的には窒化アルミニウムインジウムAlInNと窒化ガリウムGaNの界面に生じる高密度・高移動度の電子を利用した高出力・高周波動作に優れたデバイス構造を提案する。このデバイスの実現のためには結晶成長成長が困難であるGaN基板上AlInNの高品質化が必要不可欠な課題となる。通常、結晶成長の条件最適化は経験やノウハウに依存する面が多く、最適化のための決定的な指針は不明確である。我々は理論的アプローチによって結晶成長の物理を解明し、高品質AlInN結晶を得られる実験条件の指針を作成することでデバイスの開発を加速させる。,特別研究員奨励費,小区分24010:航空宇宙工学関連,窒化ガリウム,窒化物半導体,結晶成長,窒化アルミニウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11762,九州大学,香山 裕樹,スパース性に着目した低推力宇宙機の最適軌道に関する研究,本研究では，低エネルギーかつ低燃費な惑星間航行実現に向けて，三体問題における低推力推進を用いた最適軌道設計法を構築する．本手法は，スパース最適制御を用いることで，不安定な力学系に対しても消費燃料の最小化問題を直接解くことを可能とする．さらに，力学系理論に基づいたダイナミクスの観点から最適な推進区間を明らかにすることで，惑星間遷移軌道の設計論へと一般化する．,特別研究員奨励費,小区分24010:航空宇宙工学関連,軌道設計,円制限三体問題,多体問題,低推力推進,最適化,スパース最適制御,ハロー軌道,NRHO,三体問題,消費燃料燃料最小化,マニフォールド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10676,東北大学,佐藤 悠司,超小型衛星の軌道高度維持および高速姿勢変更のためのスラスタ制御系に関する研究,本研究は，超小型人工衛星にスラスタ推進システムを適用し，同規模の衛星としてはこれまで成し遂げられていない軌道高度維持・高速姿勢変更の両方を同時に達成する制御技術を構築するものである．,特別研究員奨励費,小区分24010:航空宇宙工学関連,超小型人工衛星,スラスタ推進,軌道制御,姿勢制御,閉ループ制御シミュレーション,リアクションホイール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J02088,国立研究開発法人宇宙航空研究開発機構,小田切 公秀,相界面濡れ制御による熱スイッチ機能発現と宇宙用高熱流束ループヒートパイプへの応用,本研究の目的は相界面濡れ制御による熱スイッチ機能発現と高熱流束ループヒートパイプ(LHP)熱スイッチ技術の確立である．新たに提案する高熱流束型蒸発器構造をLHPシステムに適用し，さらに高いON/OFF比を期待できる新原理を用いてLHPに熱スイッチ機能を発現する．まず蒸発器要素レベルにおいて熱スイッチ機能実証に取り組み，次にLHPシステムレベルでの高熱流束熱スイッチ機能実証を行い，最後に宇宙模擬環境におけるデバイスとしての有効性検証に取り組む．,特別研究員奨励費,小区分24010:航空宇宙工学関連,高熱流束ループヒートパイプ,濡れ制御,多孔質熱流動,熱スイッチ,多孔体熱流動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00871,学習院大学,草場 彰,結晶成長プロセス・インフォマティクスの創出による宇宙用パワー半導体の研究開発,GaNパワーデバイスは、従来材料のパワーデバイスよりも放射線耐性に優れ、低損失な電力変換を行うことができる。しかし、GaNエピタキシャル結晶をMOVPE法で作製するとき、混入する炭素不純物の濃度制御が課題となる。本研究では結晶成長プロセスを特徴付ける様々なパラメータ間の相関およびプロセスパラメータと炭素不純物濃度の相関を機械学習の手法により解析する。効率的な実験計画を提言し、データ駆動による結晶成長条件探索の方法論を構築する。,特別研究員奨励費,小区分24010:航空宇宙工学関連,窒化物半導体,結晶成長,機械学習,勾配ブースティング決定木,Koopmanモード分解,特徴抽出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
