awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J15015,京都大学,法川 勇太郎,金属チタンのより広範な利用を目的とした新規電解めっき法に関する研究,チタンは、高い耐蝕性や生体親和性といった、様々な優れた特性を有する金属であり、現在は、航空機や化学プラントの構造材料として利用されている。しかし、チタンの製造や加工のコストが高いことから、広く一般的に使用されているとは言い難い。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,チタン,電気めっき,溶融塩,フッ化物-塩化物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19757,東北大学,植田 滋,組織制御のための高温融体の冷却過程と添加物影響の非平衡解析,高温反応プロセスで発生する酸化物であるスラグとメタル間の反応を決定づける金属液滴エマルジョン生成現象や元素の混合挙動を実験により観察し、混合による反応促進および分離を制御する方法を物理的接触現象と、化学反応による界面エネルギ変化の観点から解析を行う。このために本研究では酸化物融体-金属融体エマルジョン間の分離挙動について実験を行い、撹拌、界面エネルギ、界面反応が混合および分離に与える影響を測定する。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,合金強度,レアメタル,チタン,エマルジョン,高温融体,粘度,固液共存スラグ,物質移動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10486,北海道大学,金 根佑,シミュレーションによる界面物性の新規異方性を考慮した凝固組織制御法の構築,本研究の概要は，優先成長方位の遷移現象が凝固組織に及ぼす影響の全容を明らかにすることである．特に合金の優先成長方位を決定する固液界面エネルギーの異方性パラメータを系統的に変化させて，多様な凝固条件及び合金系でどのような凝固組織が形成するのかをまとめ組織形態マップとして整理する．,特別研究員奨励費,小区分26060:金属生産および資源生産関連,固液界面エネルギーの異方性,フェーズフィールド・シミュレーション,機械学習,凝固組織,凝固組織の形態,フェーズフイールド・シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20F20348,東北大学,植田 滋,新規多機能複合酸化物の開発と二酸化炭素回収・硫化物除去への応用,製錬プロセスから発生する二酸化炭素と硫化物を含む排ガスの無害化と二酸化炭素の回収を目標として、これらのガス成分を選択的に吸着および脱離することが出来る新規多機能複合酸化物の開発を行う。熱力学データベースをもとに複合化の際に両方のガス系の吸着、脱離に適した複合酸化物の合成を行い、それぞれのガス種の吸着、脱離条件を探査する。この際、吸着脱離には温度スイングおよび圧力スイング法の両方について検討する。この結果から複合酸化物の組成見直しを行い、温度スイングもしくは圧力スイングにより工業排ガスに適応しやすい複合酸化物の生成を目指す。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,製錬排ガス,CO2,SO2,硫黄化合物吸収材,二酸化炭素吸収材,排ガス処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12760,京都大学,桑野 太郎,極薄フラックスを利用したカルコパイライト型リン化物薄膜のＭＢＥ成長,本研究はリン化物無機半導体ZnSnP2の薄膜の作製および結晶構造評価の手法を確立し、太陽電池の光吸収層材料へ応用することを目指す。前者については、基板上に極薄Sn液相膜を形成し、分子線エピタキシー(MBE)によって各元素の分圧を精密に制御するすることで、ナノスケールの溶液成長を実現する。後者については、これまでX線回折によって評価することが困難であったZnSnP2薄膜におけるカチオン原子配列の規則性を、ラマン分光法によって評価する手法を確立する。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,化合物半導体,太陽電池,分子線エピタキシー,ラマン分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10252,東京大学,飯塚 昭博,希土類金属の脱酸能を利用する新しいTi粉末の焼結法の開発,既存のTiの粉末冶金においては、Tiの酸素との親和性が高いために、焼結工程においてTi中の酸素濃度が増加し、製品の機械的性質（延性等）が悪化する課題がある。本研究では、金属Tiの不純物酸素の除去技術を粉末焼結に応用し、焼結と同時にTi中の酸素濃度を低減する新規焼結プロセスを開発する。希土類金属とTiのグリーン (Ti粉末からなる中間成形体)を溶融塩中に設置し、希土類金属のTiに対する高い脱酸能力を利用して、過去に例がないほど低酸素濃度 (～100 mass ppm O) のTi焼結体を製造可能な新プロセスを実証する。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,チタン,脱酸,粉末冶金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F21749,京都大学,野平 俊之,使用済み耐火物のクライオライト系電解質への溶解および電解還元メカニズムの解明,,特別研究員奨励費,小区分26060:金属生産および資源生産関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1850,京都大学,宮本 真之,電解製錬の高度化：３次電流分布モデリングに基づく電析形状制御と生産性向上,銅をはじめとする非鉄金属の電解製錬において、コブ状の異常析出は電解の高速化を妨げる課題のひとつである。本研究では、数値シミュレーションによる3次電流分布解析をもとに、コブ状析出を抑制する対流制御法の提案を目指す。対流に由来する電析形状の不安定化をヒントに、コブ状析出やスジ状析出(条痕)といった特徴的な電析形状の形成機構を探究し、これまで偶発的な事象と捉えられていた異常析出現象を解明する。形成機構をもとに、マクロ平滑電析を可能にする対流性状を探索する。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,電解精製,数値シミュレーション,対流,電析形態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1689,京都大学,齋藤 啓次郎,不均一酸化物は精錬に有効か？-脱リン反応解析に向けた活量測定と溶体モデルの構築-,"製鋼における脱リンプロセスでは、有害な不純物であるリンを酸化して銑鉄中からスラグ相へと分離除去している。省資源・省エネルギー化のためにはスラグ発生量の低減が求められる。ここで、脱リンスラグ中には液相に加えてCaO-SiO2系を主体とする固相が存在し、この固相が精錬反応に重要な役割を果たす。よって、効率的な脱リン条件を考察するためには不均一系スラグの熱力学的データが必要となる。本研究ではスラグ中の(Ca, Fe)2SiO4-(Ca, Fe)3P2O8固溶体に注目し、成分活量の測定、およびモデル構築による活量の予測を行う。得られた知見に基づいて固液不均一スラグの脱リン能力を定量的に評価する。",特別研究員奨励費,小区分26060:金属生産および資源生産関連,精錬スラグ,脱リン反応,活量,熱化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0282,東北大学,東 料太,ゼロカーボンスチールを実現する炭素循環製銑の技術原理に関する基礎的研究,CO2を排出しないゼロカーボンな鉄鋼材料の製造は今後のカーボンフリー社会には必要不可欠である。鉄鉱石と炭材の粉末を混合造粒した炭材内装鉱を用いることで、従来の高炉法と比較して高速に溶銑を得られることが報告されている。また、水性ガスシフト逆反応(CO2+H2→CO+H2O)と炭素析出反応(2CO→C+CO2)を組み合わせることによって、CO2から微粉炭素を分離回収することが原理的には可能である。,特別研究員奨励費,小区分26060:金属生産および資源生産関連,カーボンニュートラル,ゼロカーボンスチール,CCUS,浸炭,溶銑製造,炭材内装鉱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
