awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18367,沖縄科学技術大学院大学,NICCHORMAIC SILE,極細光ファイバの近接場偏光解析,"During the year, the polarization control in optical nanofibres has been further improved enabling studies on spin-orbit coupling for optically trapped chiral particles adjacent to an optical nanofibre.  Spin angular momentum in electromagnetic waves is caused not only by field rotations associated with elliptical polarization, but also by spatial modulations of the field. Consequently, the spin carried by light does not have to be parallel to the energy transfer. Transverse components can be significant in strongly confined light, such as evanescent fields. Here, the transverse spin was revealed through its direct action on a probe particle held and spun by optical tweezers in the evanescent field at the surface of a nanofiber. The work has benefitted from a theoretical model developed by colleagues in ITMO, Russia.  This work has been presented at several conferences (including OPIC 2021) and is being prepared for publication.",特別研究員奨励費,小区分30020:光工学および光量子科学関連,nanofiber,polarization,spin-orbit coupling,chiral,optical nanofiber,polarization control,directional coupling,whispering gallery mode,optomechanical probe,two-photon atomic spectroscopy,nanofibre,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20134,京都大学,森田 遼平,フォトニック結晶レーザの短パルス・高ピーク出力化,光の波長(数百ナノメートル)程度の周期構造をもつ2次元フォトニック結晶を内部に埋め込んだフォトニック結晶レーザーは、従来の半導体レーザーに比べて高いパワーで、かつ、ほぼ理想的なビーム形状の実現が可能である。本研究では、このフォトニック結晶レーザーについて、ナノ秒以下の短時間における短パルス・高ピーク出力動作を実証し、現在需要が高まっている微細加工分野やリモートセンシング分野などへの応用を目指している。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,フォトニック結晶,フォトニック結晶レーザー,半導体レーザー,短パルスレーザー,Qスイッチング,短パルスレーザ,半導体レーザ,フォトニック結晶レーザ,可飽和吸収効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15449,横浜国立大学,雛倉 陽介,超小型シリコンフォトニック結晶光変調器の高速化と高度な変調方式への展開,近年のクラウドサービスの普及に伴い，短距離光通信のための高速な小型シリコン (Si) 光変調器の研究開発が急務になっている．本研究はナノメートル程度の微細な周期構造である，フォトニック結晶が生み出す，伝搬の遅い光，スローライトを利用した「フォトニック結晶光変調器」の高速化を目指すものである．スローライトは光と物質の相互作用を強める効果があり，変調器のサイズを通常のおよそ1/10にすることができる．一方でスローライトと変調に用いる電気信号の位相のずれが動作速度を低下させることが分かっている．この対策として，電気信号の位相を制御するメアンダライン電極や分割電極を導入し，高速化を図る．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,シリコンフォトニクス,フォトニック結晶,光変調器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13955,東京大学,林 文博,ナノフォトニック構造における偏光特異点を利用したポアンカレビームの生成,本研究は様々な応用が検討されているフルポアンカレビームの実用性を広げるために，同ビームを微小なチップに収まる光素子によって生成することを試みるものである．我々は近年より一層盛んに行われるようになったナノフォトニクスによる光の偏光や位相の制御に関する研究から本素子の動作原理に関する着想を得た．最初の1年で数値計算による原理実証や設計，それに実験系の構築を行う．次の1年で素子の作製を行い，実験的に素子の動作実証を行う．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,ポアンカレ,トポロジー,スキルミオン,偏光,光渦,ナノフォトニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12981,東京大学,玉光 未侑,非標識で分子選択的かつ高感度な３次元の広視野超解像顕微鏡技術の開発,本研究では、試料の三次元的な形態情報と分子情報を非標識に同時検出することを可能とする顕微鏡技術を開発し、生命医科学において新たな画像診断手法を確立する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,非標識イメージング,定量位相イメージング,デジタルホログラフィ,光回折トモグラフィ,分子振動イメージング,中赤外イメージング,フォトサーマルイメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12797,千葉大学,増田 圭吾,光波の角運動量が誘導する螺旋構造体形成,均質な物質に働く光波の角運動量の効果を理論的に明らかにし、アゾポリマー薄膜での螺旋表面レリーフ形成のメカニズムを解明した。しかし、螺旋構造のサイズは光の波長により制限される。さらに、どうすればナノ空間で光波の角運動量を操作し、ナノ物質の運動や物性を制御できるのか?　という問への明確な解も未だ得られていない。本研究では、非線形光学過程である2光子吸収を駆使して、回折限界以下の空間で光渦を発生させる。また、光感応性分子であるアゾポリマーの表面レリーフ形成(質量移動)や分子構造を介して、2光子吸収過程における角運動量転写則を解明し、螺旋表面レリーフ形成理論を完成させる。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,光渦,軌道角運動量,特異点光学,光異性化反応,アゾポリマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11628,東京大学,織茂 悠貴,光による分子ダイナミクス制御へ向けた実時間第一原理シミュレータの開発,高強度・超高速レーザーパルス下の分子ダイナミクスは、レーザー場によって駆動されるアト秒スケールの多電子ダイナミクスと電子の動きに応じたフェムト秒、ピコ秒スケールの核ダイナミクスが複雑に絡み合った現象であり、その制御のためには、核-電子が相関したダイナミクスの統一的な理解や解析が必要である。本研究では、この分子ダイナミクスを正確に記述できる実時間第一原理シミュレーション手法と計算コードを開発し、３原子以上の多原子分子のダイナミクスの詳細な解析を可能にする。さらにこの解析を通して、レーザー光による解離反応等の分子ダイナミクスの制御に理論的な指針を与えることを目指す。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,実時間第一原理計算,高強度レーザー,超短光パルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10990,慶應義塾大学,鈴木 敬和,単一ショット超高速バースト撮像法によるレーザ加工前駆プロセスのｉｎ－ｓｉｔｕ計測,従来の高速度カメラでは計測が困難なナノ秒未満の時間に起きる物理現象の計測、解明の為に、周波数チャープした単一レーザパルスを超高速な異波長コヒーレントストロボ光源とするバースト撮像法を応用する。この手法は、原理的にフェムト秒からナノ秒の領域の全てを対象にできる為、波長掃引遅延パルス列発生光学系を組合わせることで撮像時間窓の拡張を行い、繰返し周波数の条件がkHz、GHzの異なる2種類のレーザ加工をリアルタイム計測する。この計測を、異なる材料、加工パルス強度、パルス幅等の変数を変えて行うことで、実験と理論による比較を行うと共に、in situ計測に基づくレーザ加工制御のための方法論を構築する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,超高速イメージング,シングルショット,STAMP,周波数ー時間対応,フェムト秒レーザ加工,アブレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19352,千葉大学,尾松 孝茂,トポロジカル光波シンセシス,光渦をはじめとする多様な特殊空間モードを用いれば、ナノスケールでの物質の構造や物性を制御できる。例えば、螺旋波面に由来する軌道角運動量を有する光渦を物質に照射すると、物質表面に光渦の螺旋波面が反映されたナノスケールの螺旋構造体ができる。このような新奇物理現象を誘導するには、特集空間モードを固有モードとして、かつ、発振波長を個別の物質の吸収線に確実に同調できる新奇レーザーの開発が必須である。本研究では、特殊空間モードの一つである光渦を可視～近赤外の波長域で固有モードとして発振できるレーザー装置の開発を行う。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,光渦,軌道角運動量,特異点光学,レーザー,非線形光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19071,横浜国立大学,馬場 俊彦,フォトニック結晶ナノレーザとその応用の研究,The outline of this research project is to realize multi-protein and independently  single molecular level detection verified by complementary methods in realistic biological fluid samples using GaInAsP photonic-crystal nanolaser structure arrays.,特別研究員奨励費,小区分30020:光工学および光量子科学関連,トポロジカルフォトニクス,シリコンフォトニクス,人工次元,ナノレーザ,フォトニック結晶,GaInAsP,バイオセンシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23577,徳島大学,是澤 秀紀,波長/偏光変換を用いたモード分解光コムスペクトル計測手法の開発,「波長/偏光変換」を用いて、光コム・モードと偏光角度を「1対1対応」させる。この偏光角度分布を高消光比偏光子を用いた偏光分解測定で取得することにより、デュアルコム分光法 (DCS)を用いることなく、光コムのモード分解スペクトルを計測する。提案手法で取得した偏光分解光コムスペクトルの基本特性(スペクトル分解能、スペクトル確度、スペクトル範囲など)を評価し、DCSで取得されたモード分解スペクトルとの比較を行い、提案手法の妥当性を評価する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,デュアルコム分光ポラリメトリー,デュアルコム分光法,偏光計測,光コム,分光計測,デュアルコム分光偏光計,ジョーンズ行列偏光計,デュアルコム分光ジョーンズ行列偏光計,デュアルコム分光偏光解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23542,京都工芸繊維大学,井上 智好,超高速動画並列イメージング顕微鏡法の創成とその応用に関する研究,百兆分の一から十兆分の一という極短時間だけ光を照射できる超短パルスレーザは，材料加工や細胞治療・検査をさらに発展させる可能性を有している．本研究では，上記超短パルスレーザ利用技術の高精度化・高性能化を実現するため，顕微鏡領域での偏光の伝播に着目し，その超高速変化を観察する技術の開発を目指す．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,ホログラフィ,超高速イメージング,超短パルスレーザ,光伝播,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23408,京都大学,荒畑 雅也,波長2～5μmの赤外-可視量子もつれ光源による、広帯域赤外量子吸収分光法の実現,赤外量子吸収分光測定とは、量子もつれ光子対の干渉効果を用いることで、感度や性能の良い可視域の光源、検出器のみで赤外域でのスペクトル分光測定を可能にするものである。本研究では、修士課程で実現した波長を任意に選択可能な可視-赤外域量子もつれ光子対源を用いて、波長2～5マイクロメートル域における広帯域赤外量子吸収分光測定を実現する。また、さらなる高度化のために、光源の自動調整による測定の自動化や導波路デバイスによる量子もつれ光の大光量化を図る。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,量子赤外吸収分光,可視-赤外域量子もつれ光子対,リッジ導波路型擬似位相整合素子,量子干渉,赤外量子吸収分光,波長可変可視-赤外域量子もつれ光子対源,フーリエ変換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22862,東京大学,山口 拓人,半導体フォトニック結晶における光の高次トポロジカル相の発現,本研究では、光集積回路応用に向けて半導体フォトニック結晶スラブ構造を利用した光の高次トポロジカル状態の実証に取り組み、構造揺らぎに対するロバスト性について議論し、既存の光源素子との優位性について検討する。これまで光導波素子に関しては構造欠陥や急峻曲げに対してロバストな光輸送特性が示されてきたが、光源素子に関してはそれらのメリットについて深く研究されていない面があった。申請者は特にこの問題に取り組むため、そして光集積回路としての実用可能性も検討するため、スラブ型フォトニック結晶中に新規構造を作りこみ、光学実験による観測手法やロバスト性についての厳密な解析手法を模索する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,トポロジカルフォトニクス,バレーフォトニック結晶,光導波路,シリコンフォトニクス,フォトリソグラフィ,光共振器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22160,東京工業大学,野田 康平,外部変調方式を用いたブリルアン光相関領域反射計（BOCDR）の性能向上,近年、老朽化しつつあるインフラの健全性をモニタリングするという需要が急増しており、長距離の測定が可能であったり、電磁ノイズに対して頑健であるといった利点をあわせ持つ光ファイバセンサが盛んに研究されている。中でも我々は、測定ファイバ上のひずみの場所と大きさを検出できるブリルアン光相関領域反射計(BOCDR）を用いて、建造物等の「どこで」「どの程度」ひずみが発生しているかをモニタリングする技術に注目し、その性能向上に向け研究を行う。BOCDRにおける新たな光周波数変調方法により実現された「任意波形変調」を用いることで、ひずみの大きさや位置の検知性能がどの程度向上するか理論と実験の両面から調査する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,分布型光ファイバセンサ,光ファイバセンサ,分布計測,偏波,ブリルアン散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22067,東京大学,岡崎 大樹,Cr:ZnSを用いた中赤外超短パルス光源の開発とアプリケーションの新規開拓,本研究ではCr:ZnSをレーザー媒質として用いた中赤外領域でフェムト秒発振するレーザーの開発を目的とする．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,中赤外,超高速,レーザー,Cr:ZnS,モード同期,フェムト秒,超短パルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21879,東京大学,佐久間 涼子,パッシブ型テラヘルツ近接場分光技術の確立,本研究では，試料表面上の分子振動や電子運動に起因する微弱な電磁波をナノメートルスケールで計測する分光顕微技術を確立させる．検出波長8 -16 umをもつ3色CSIPをパッシブ分光光学系内に導入することで高波長範囲における分光計測を実現させ，誘電体やバイオサンプル上のナノメートルスケールのパッシブ分光を可能にする．得られたスペクトルからパッシブ計測における電磁波散乱原理を算出し，パッシブ近接場技術の基礎を構築する．さらに，検出器3色CSIPに表面プラズモン構造を導入することで量子効率増幅機構を付加し，本分光技術をナノサーモグラフィや物性顕微鏡へ発展させる．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,熱励起エバネッセント波,近接場計測,パッシブ計測,分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21562,東京大学,島村 勇徳,ミリサイズ小型超高精度ミラー作製によるX線1 nm集光の実現,世界で最も微細なＸ線レーザー光を実現する．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,X線,集光ビーム,高精度成膜,短い焦点距離,大きな開口数,軟X線,集光鏡,蛍光X線観察,X線ミラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J15467,徳島大学,麻植 凌,光コムのフォトニックRF変換機能を用いたRF周波数読み出し型バイオセンサーの開発,バイオ医療の観点において細胞レベルの変量を高精度に検出する手法が望まれ、光プローブはその局所的かつ安定な計測を実現し、近年光学式バイオセンシングの重要性が注目されつつある。しかし光プローブを用いた計測では分光器等で得られるスペクトル分解能に律速し、測定精度に制限が課せられている。本研究では、この課題の根本として挙げられる光周波数計測に基づく測定精度および分解能の制限を打破するため、新たに光周波数コムの光/RF変換機能に着目し、RF帯周波数計測に基づく高精度な物理量センシング手法の確立およびバイオセンシングへの応用を実現し、バイオ医療界における新たな高精度計測手法の確立を目指す。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,光周波数コム,ファイバーセンサー,屈折率計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14875,東京工業大学,松本 浩輔,液晶分子の非線形光学効果により生じる回折光精密解析と入射光特性の検出,近年の情報通信量増加に伴い，従来の光強度に加え，偏光や波長など，複数の情報を同時利用した光通信技術の開発が求められている。しかしながら，多くのデバイスでは単一の光物理量を単一のデバイスで検出しているため，光物理量の複数同時検出が光の有する情報を実利用するための大きな課題である。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,液晶,非線形光学効果,色素,高分子,回折,回折光,偏光,光強度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14821,東京工業大学,松方 妙子,位相制御された多極子の干渉ナノイメージング,光ナノアンテナは、光波長スケールで光エネルギーの送受を担うナノ光デバイスの一つである。指向性を高め外部光と効率よくカップリングさせることで、超高感度ナノセンサー、光触媒、高効率発光体への応用が期待されている。構造サイズは、構造内の位相制御された多極子モードの干渉によって、単一ナノ粒子サイズまで縮小することができる。また、光ナノアンテナのエネルギー変換機能としては光エネルギーを局所に集中することも重要である。本研究では、光ナノアンテナの高効率化・小型化を目指し、ナノスケールでのモード位相及び光電場分布の観測を行う。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,カソードルミネセンス,発光位置分解,ナノアンテナ,円偏光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13954,大阪大学,宮川 敬太,テラヘルツ電磁波による新規太陽電池材料内の光励起キャリアの超高速挙動の解明,鉛ペロブスカイトはキャリアの移動度が大きく、また光の吸収が非常に大きいなど優れた光学特性を示すことで知られ、新規太陽電池材料として注目が集まっている。この物質はAPbX3の組成をしており、上述の優れた特性は電子、AサイトおよびPbX6ケージが関連した特異な相互作用に由来すると考えられている。しかし、その複雑さから正確な理解が行われていない。一方で、先行研究においてTHz領域に現れるAサイトの内部運動がLOフォノンの寿命を短くすることが見出されている。そこで本研究では、THz電磁波を用いてこのLOフォノンと電子の相互作用の観点から、鉛ペロブスカイト内でみられる特異な相互作用を議論し解明する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,テラヘルツ時間領域分光法,太陽電池材料,キャリア応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13515,東京大学,竹田 悠大河,回路量子電磁力学を用いた超低損失マイクロ波サーキュレータの開発,本研究では、回路量子電磁力学に基づく超低損失なマイクロ波サーキュレータの実現を目指す。従来のフェライトサーキュレータはチップ上での実装が難しく、配線に伴う損失が量子光学実験の阻害要因となっていた。マイクロ波集積回路上でサーキュレータ機能を作ることで、この問題を解消する。第一に、マイクロ波光子カイラル輸送現象の理論的側面に焦点を当て、電荷雑音耐性を持つパラメータ領域を明らかにする。第二に、実際に動作するサーキュレータデバイスを作製し、提案手法の実験的実証を目指す。超伝導回路基板の設計、デバイスの作製を繰り返し、超低損失化や大規模集積化に向けた設計・作製手法の確立を目指す。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,超伝導回路,マイクロ波サーキュレータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12903,九州大学,三上 裕也,屈折率デザイン可能なシリカマイクロディスクレーザーの開発,本研究では、ナノメートルサイズの空孔を持つポーラス構造について、空孔率を制御することによって屈折率をデザインすることが可能な、無機三次元ポーラス構造を構築する為の要素技術を研究・開発する。空孔率を制御する手法として、サイズ、形状の異なるナノシリカの混合や構造安定化の為の連結剤（接着剤）の混合、空孔への有機溶媒やシロキサンオイルの含浸、深紫外光照射によるシロキサン構造のシリカ化、ナノ粒子導入の4つの手法を検討する。屈折率の測定には、マイクロディスク構造を作製してその光励起レーザー発振実験を行い、発振スペクトルから屈折率を計算する手法を用いることで、屈折率を高精度に評価する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,屈折率,マイクロディスク,ナノ粒子,有効媒質近似,実効屈折率,低屈折率,マイクロキャビティ,レーザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00817,国立研究開発法人理化学研究所,山下 大喜,フォトニック結晶構造を用いたカーボンナノチューブ室温単一光子発生デバイスの開発,カーボンナノチューブ(CNT)とシリコンフォトニクスの融合による小型室温動作単一光子発生デバイスの開発を研究目的とする．,特別研究員奨励費,小区分30020:光工学および光量子科学関連,カーボンナノチューブ,フォトニック結晶,単一光子源,シリコンフォトニクス,微小共振器,光物性,ナノ物性制御,ナノマイクロ物理,ナノチューブ・グラフェン,ナノ構造物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00449,筑波大学,竹内 嵩,サブnmギャップを持つメタ表面の量子効果解明と機械学習による高機能化設計,本研究では金属ナノ粒子間にサブnmのギャップを持つメタ表面において、量子効果が光物性に及ぼす影響を計算科学手法を用いて解明することを第一の目的とする。第二の目的は量子効果を積極的に活用した新奇な光機能発現の実証である。これを行うため、昨今理学・工学を問わず強力なツールとして認知される機械学習を用い、金属ナノ粒子の幾何因子と量子効果の詳細な相関関係を明らかにする。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,ナノ物質,非線形光学応答,メタ表面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J21611,東京大学,田口 富隆,標準量子限界を超える光計測に向けたパルススクイージングの極限性能の追求,,特別研究員奨励費,小区分30020:光工学および光量子科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J15559,京都大学,赤池 良太,点欠陥制御による非輻射再結合中心の抑制と低抵抗p型AlGaNの実現,近年、波長200～300 nmの光である深紫外光による応用分野が着目されている。例えば、波長250～280 nm、波長220～230 nmの深紫外光は殺菌への応用が期待されている。しかし、現状の深紫外光源は大型、低寿命、水銀などの有毒物質を含むといった問題点がある。そこで、半導体であるAlGaNを用いた深紫外LEDの研究開発が進んでいるが、電力変換効率が10％以下であるという問題点がある。その理由は、内部量子効率が短波長になるにつれ低下するということと、高Al組成のMg添加AlGaNの正孔濃度が低いことが要因である。本研究では、点欠陥の制御により、これらの問題点を解決する。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,半極性,AlGaN,有機金属気相成長法,有機金属気相成長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13586,東京理科大学,相川 脩,遷移金属イオン添加カルコゲン化物を用いた中赤外パルス動作フェムト秒レーザーの開発,これまで中赤外光を出力するためには、近赤外レーザーに非線形波長変換手法を用いた光源が主流であったが、本研究は固体レーザー材料である遷移金属イオン添加カルコゲン化物を用いることにより、直接中赤外光を出力できるパルスレーザーを実現する。本研究では、同材料の光学特性評価を行い、その後、波長2-7μmで連続発振可能な中赤外レーザー開発に挑戦する。本研究の実現は分光計測、医療、高エネルギー物理など多彩な分野への応用も期待される。,特別研究員奨励費,小区分30020:光工学および光量子科学関連,固体レーザー,中赤外レーザー,レーザー増幅器,中赤外,カルコゲナイド,遷移金属イオン添加,Cr:CdSe,クロムイオン,遷移金属イオン,カルコゲン化物,鉄イオン添加材料,II-VI族半導体,パルスレーザー,クロムイオン添加材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
