awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18341,京都大学,若宮 淳志,ペロブスカイト光電デバイスの高性能化のための有機半導体材料開発,本研究では、優れた光電変換材料およびそれを用いたデバイスの開発を目指し、ペロブスカイト半導体材料を用いた高発光性材料の開発に取り組んだ。,特別研究員奨励費,小区分32020:機能物性化学関連,発光性材料,ペロブスカイト半導体,ホスト材料,アントラセン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23719,山口大学,志賀 美咲,分子単結晶における傾斜構造の実現と機能創出,物理的性質が異なる二つの化合物が、固体中で連続的にグラデーション様変化した傾斜構造は生体内や自然界では多く存在している。材料科学分野においてこれまで、傾斜構造によって興味深い機能が見出されている。いずれも、蒸着や化学気相成長で構造を傾斜制御しているが、分子結晶ではボルツマン分布で混合用が支配されるため組成や構造を固定することが困難になる。本提案では、分子性単結晶では実現できていない「傾斜構造」を実現することで、機能性分子性固体における新領域の開拓を目指す。,特別研究員奨励費,小区分32020:機能物性化学関連,分子結晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23143,青山学院大学,徳永 彩子,可視光駆動型非線形応答フォトクロミック分子の開発,可視光に応答するフォトクロミック分子は、有機分子や生体組織にダメージを与える紫外光を用いずに、構造、極性、スピン状態を切り替えることができる魅力的な分子である。光照射により有色ラジカルを生成するヘキサアリールビイミダゾール（HABI）を基盤とした逆フォトクロミック分子は、可視光照射によって無色に変化し、室温において数秒から数分かけて速やかに元に戻る。本研究では、HABI型逆フォトクロミック分子の赤色光感度の増大と熱戻り反応の高速化（数秒以内）の両方を同時に実現する分子設計指針の確立を目指す。また、低強度の赤色連続光照射によって非線形的に応答するバイフォトクロミック分子の創出と機能開拓を試みる。,特別研究員奨励費,小区分32020:機能物性化学関連,フォトクロミズム,三重項ー三重項消滅,レーザーフラッシュフォトリシス,ビラジカル,三重項－三重項消滅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22034,京都大学,山角 拓也,柔軟な発光団に基づく高輝度張力プローブの開発と分子解像度の応力解析への展開,メカノフォア（力に応答して化学的な構造変化を示す分子骨格）は、高分子材料にかかる力を分子レベルで解明する新技術へ応用できると期待されている。当研究室で開発した柔軟な発光団であるFLAPは蛍光メカノフォアとして利用可能であり、ポリウレタンへ導入することで延伸に伴って蛍光色変化が観測される。本研究では、高分子鎖1本1本に掛かる力といったナノレベルでの解析を実現するため、単一分子蛍光測定に向けた耐光性FLAPの合成に取り組む。合成したFLAPを用いて高い時空間分解能での応力分布を可視化することができれば、より強靭な材料を設計するための化学構造を提案するための手掛かりとなることが期待される。,特別研究員奨励費,小区分32020:機能物性化学関連,蛍光分子,張力プローブ,ゲル,メカノフォア,高分子,ポリウレタン,レオロジー,可視化技術,二重蛍光,ピレン,光機能分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21926,東京大学,猪俣 祐貴,ペプチド-金属の自己集合に基づく絡まりを伴う機能性球殻構造の構築,ペプチド・金属の自己集合系において、ペプチド鎖同士の絡まりを伴う自己集合挙動を利用してウイルスのような巨大球殻状構造を構築し、分子の閉じ込め効果や酵素のような活性中心を有する球殻状構造の化学的構築へ発展させる。,特別研究員奨励費,小区分32020:機能物性化学関連,ペプチド,フォールディング,絡まり,自己集合,結び目,カプセル,配位結合,ゲスト包接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21421,九州大学,藤原 才也,生体分子の直接高偏極化を可能にする核偏極貯蔵空間の開発,triplet-DNPは、特定の有機分子を光励起し、項間交差により三重項電子に出現するスピンの偏極（向きの偏り）を核スピンへと移行することで、NMRやMRIの感度を室温で飛躍的に向上させる技術である。しかしその研究は、未だ有機結晶やガラス等の基礎的な媒体の高核偏極化に止まっており、媒体から観測したい分子への偏極移行に関しては、ごく数例しか報告が為されていない。本研究では、triplet-DNPを多孔質材料である有機金属錯体（MOF）へと新たに展開し、MRI 技術と結びつける。構成分子から内部空間の機能や性質を自在に設計可能なMOFを用い、核偏極の貯蔵と移行、そして高感度MRIへの応用を目指す。,特別研究員奨励費,小区分32020:機能物性化学関連,三重項電子,動的核偏極（DNP）,金属有機構造体（MOF）,核磁気共鳴（NMR）,磁気共鳴イメージング（MRI）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21186,東京工業大学,一色 裕次,単分子接合の高速IV計測による吸着分子の表面ダイナミックスの解明,本研究では世界最高の時間分解能（マイクロ秒）を有する単分子接合の電子状態計測装置を新たに構築する。開発する装置では、超高真空極低温から室温大気中までの様々な環境において、単分子接合を作製し、その場でI-V 計測を行えるようにする。電極を動かした距離から金属―分子間距離、I-V から電子状態と界面構造を決定し、単分子接合の構造、電子状態を一度に全部評価し、その時間発展を決定する。実験では、単分子接合の寿命以下の短い時間以内(ミリ秒)に、同一の単分子接合の電極間距離を段階的かつ連続的に増加させ、単分子接合の形成から接合破断までの過程を調べる。,特別研究員奨励費,小区分32020:機能物性化学関連,単分子接合,電流電圧特性,表面物性,電気伝導度計測,走査型トンネル電子顕微鏡,界面,表面吸着,化学反応,システム開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20605,東京工業大学,原島 崇徳,光応答性を有する三端子DNAを用いた単一分子トランジスタの創案と開発,本研究では、単一分子スケールで三端子構造を実現できる3'-5'型DNA単分子接合に基づく単分子トランジスタの開発を目的とした。三端子構造を有する単分子デバイスは、二端子系では実現できない幅広い機能を有する単分子素子の開発を可能とする。電極に架橋させるDNAの構造設計により電極と独立な三端子目をDNA分子内に設置する。この三端子目を、光化学を用いて制御することによって、電界効果に基づく光ゲート機能を発現させる。本研究では、素子となるDNAの合成から、光ゲート機能の立証のための光学系の設計及び計測を行い、これまで実現不可能であった、トランジスタ機能を有する超微小分子デバイスを開発することを目指す。,特別研究員奨励費,小区分32020:機能物性化学関連,DNA,分子デバイス,単分子,ナノテクノロジー,πスタッキング,トランジスタ,単一分子,走査型トンネル顕微鏡,分子探針,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15565,名古屋大学,殿内 大輝,可塑性を有する有機導電体の構築と直交経路スイッチング機能素子及び集積回路の研究,ダイオードやトランジスタ特性を持つ能動素子の研究の中でも、本研究の系は、直交する経路のスイッチングを行える素子となっており、これまでにない素子間配線や能動素子としての働きが期待される。さらに、これをナノレベルの単一分子素子としての実現を目指し、分子設計から始まり、機能評価のための計測制御、素子電極間及び、素子間接続の開発・改良、そして協働して機能を発現するためのシステム設計などの一連の研究を横断的に行う。,特別研究員奨励費,小区分32020:機能物性化学関連,機能性材料,機能性素子,電子物性,スイッチング,相転移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15268,京都大学,張 婉瑩,高度に配向・配列制御した共役分子骨格の一次元集積化と機能性液晶材料への展開,発光性・電気伝導性などの機能を有する材料は有機化合物を用いることで、目的に応じて分子レベルで設計することができ、望みの機能を得るための微調整が可能となる。本研究では、光・電子機能を示す有機材料、特に流動性と秩序性を兼ね備えた液晶材料を対象とし、適切な共役分子骨格に対し、大きな双極子を有する官能基や親・疎水鎖を導入する独自の設計を適用する。これにより、得られた材料中では、自己組織的に分子骨格が配列・配向することが期待され、卓越した光・電子機能が発現することを目指している。凝集誘起発光現象に着目した高効率発光性液晶の開発や、高秩序な二成分混合分子系を構築し、高効率光電変換機能へと結びつける。,特別研究員奨励費,小区分32020:機能物性化学関連,励起状態水素移動,蛍光液晶材料,増幅自然放出光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
