awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18343,東邦大学,幅田 揚一,金属支援超分子集合体を基盤とする新規分子機械の開発,本研究では「金属支援超分子集合体を基盤とする新規分子機械の開発」を目的として以下のテーマについて検討した．,特別研究員奨励費,小区分34010:無機・錯体化学関連,銀食い分子,単結晶間構造変換,サイクレン,銀イオン,銅イオン,溶媒,NMRスペクトル,CDスペクトル,SCSC transformation,solvent-dependent,supramolecular isomers,cyclic dimer,coordination polymer,cuppper,silver,cyclen,ピラーアレーン,ジシアノアルカン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18334,京都大学,北川 進,ＭＯＦ－ｏｎ－ＭＯＦ多層薄膜の合成で実現する室温動作可能なケミレジスタセンサ,"Yao氏と行なった本共同研究では、Yao氏が独自に開拓したSpray型LbL法を活用し、EC-MOF薄膜の上に更にMOFを積層させる多層積層型MOFケミレジスタ型ガスセンサを開発を行った。１年目の研究では、ケミレジスタ型ガスセンサの設計・組み立て、及び新規なEC-MOFの開拓を行った。従来、高伝導性が報告されてきた二次元シート構造のEC-MOFの系では、その合成の難しさのために、単一の配位子を用いた系しか報告がなくそのバリエーションに乏しかった。Yao氏は、混合配位子型とすることで、この系の物性のより幅広いチューニングが可能とすることに世界で初めて成功した。またケムレジスタ型ガスセンサシステムを作成し、新規EC-MOFが実際にケミレジスタ型ガスセンサとして高い特性を有することを確認した(Angew.Chem.Int. Ed. 59, 172-176, 2020)",特別研究員奨励費,小区分34010:無機・錯体化学関連,ケミレジスタセンサ,多孔性配位高分子,錯体化学,薄膜,高伝導性,ガスセンサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18333,国立研究開発法人理化学研究所,侯 召民,新規チタン錯体の合成と窒素分子活性化への展開,"Studies on N2 activation by transition metal hydride complexes are of particular interest and importance, but studies on well-defined N2 metal hydride complexes are still very limited. We report the synthesis and diverse transformations of a N2 dititanium hydride complex bearing the rigid acridane-based acriPNP-pincer ligands. This complex enabled N2 cleavage and hydrogenation even without additional reagents. Furthermore, diverse transformations of the N2 unit with a variety of organometallic compounds have been well established at the rigid acriPNP-ligated dititanium framework. This work has revealed many unprecedented aspects of N2 reaction chemistry, and may help open a new avenue for the design and synthesis of well-defined metal hydride complexes for N2 fixation and transformation.",特別研究員奨励費,小区分34010:無機・錯体化学関連,titanium,N2 activation,N2 transformation,rigid ligands,dinitrogen activation,hydrogenation,alkyl complex,hydride complex,dinitrogen complex,PNP ligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18329,東京大学,西原 寛,二次元配位構造体の特異的インターカレーション機構を用いた次世代エネルギー貯蔵原理,本研究は、電子伝導性配位構造体のエネルギー変換・貯蔵材料としての特性とその詳細な反応機構を明らかにすることで、次世代エネルギーデバイスへの展開を目指した研究である。昨年度において、特に期待されている多価カチオンの脱挿入を基盤とする次世代エネルギー貯蔵反応への初歩的な検討をした。特に、マグネシウム二次電池用電解液の最適化と、その電解液を用いて構造体へマグネシウムイオンを可逆的に脱挿入可能か検討した。結果として、特定の配位構造体には、１サイクル目のみであるが、マグネシウムイオンを可逆的に脱挿入できることが分かった。これらの成果を基盤に、当該年度は可逆的なマグネシウムイオンの脱挿入に関わるサイクル特性と、有機配位子の設計によって電気化学特性を制御する手法の検討を行った。後者の研究は、リチウムイオンの電気化学脱挿入を用いて検討した。,特別研究員奨励費,小区分34010:無機・錯体化学関連,金属錯体,エネルギー貯蔵,電気化学,錯体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23557,東京工業大学,須川 毅,拡張π共役系多環式アレーン金属クラスターの構築と炭素-金属面間配位相互作用の解明,多環式アレーンを架橋配位子に有する遷移金属クラスターの構造解明はsp2炭素平面と金属クラスターとの間の結合相互作用に知見を与えると考えられる。しかし、多環式アレーンを金属クラスターの架橋配位部位に導入することが合成的に困難であるために、多環式アレーンを架橋配位子に有する遷移金属クラスターの合成例は限られている。本研究は、π共役系が拡張された多環式アレーンを多核Pdクラスターの架橋配位部位に導入し、拡張多環式アレーンの構造と金属クラスターへの配位様式との関係を明らかにすることを目的とする。,特別研究員奨励費,小区分34010:無機・錯体化学関連,Pd,芳香族化合物,遷移金属錯体,多核クラスター,多環式芳香族化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23310,京都大学,青木 健太郎,多彩な幾何学的形状を有する金属錯体ナノチューブの創製と機能開拓,金属錯体ナノチューブ（MX-tube）は、疎水性ナノ細孔を精密に設計できるという、従来のナノチューブで実現できない特徴を有する。本研究では、MX-tubeを基盤に多彩な幾何学的形状を有する疎水性ナノ細孔の創製と機能開拓を目指す。特に、三角柱および直方体の形状を有するMX-tubeを合成し、プロトンおよび電子伝導性の発現を狙う。水分子を疎水性ナノ細孔中に包摂させ、細孔の形状を反映したクラスター構造を観測するとともに、クラスターの形状や構成数に依存したプロトン伝導度の評価を狙う。また、電子授受能を有する分子を包接させてキャリアドープを行い、多孔性金属錯体の分野で初の金属的な電子伝導性の発現を狙う。,特別研究員奨励費,小区分34010:無機・錯体化学関連,多核金属錯体,ナノチューブ,疎水性ナノ細孔,プロトン伝導,水クラスター,固液相転移,金属錯体,ナノ細孔,ナノ空間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23309,京都大学,堂ノ下 将希,動的水素結合鎖と一次元電子系が協奏する新規金属錯体の構築,水素結合中の水素の運動と電子の振る舞いが相関する新規水素-電子相関系を構築し、相関物性の研究を行う。特に、一次元性に着目した物質設計に基づき探索を行う。具体的には、電子が一次元に分布した状態を有するハロゲン架橋複核金属錯体を基盤とし、水素結合部位を有する配位子を用いることで一次元の水素結合ネットワークと一次元の電子系が共存する系を構築し、その伝導性や磁性等の物性を評価する。新規な配位子の合成から錯体の合成、構造解析、物性測定までを行い、相関物性を議論する。,特別研究員奨励費,小区分34010:無機・錯体化学関連,金属錯体,水素結合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22594,京都大学,渡邉 雄貴,プロトン・ヒドリド共存系の構築と機能開発,水素雰囲気下で金属との異種接合界面を経由した酸水素化物・酸化物中へのプロトンの導入によって、様々な酸化物系に対し自在にプロトン・ヒドリド共存系の構築を試みる。得られたプロトン・ヒドリド共存系試料に対し、X線・中性子回折測定や固体NMR測定によって、結晶構造、局所構造、水素の状態、ダイナミクスを評価する。加えて、水素濃度を制御したin-situ下において電気伝導性や磁気特性、触媒活性を測定することで、超イオン伝導や超伝導、新奇触媒などの革新的な機能を見出すことを目指す。,特別研究員奨励費,小区分34010:無機・錯体化学関連,酸化物クラスター,トポケミカル反応,プロトン,固体化学,酸水素化物,不定比化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22305,東京大学,原田 涼佑,ロタキサン型配位子を有する金属錯体の速度論的安定化効果を用いた新奇機能性材料開発,本研究では完全メチル化αシクロデキストリン（PM α-CD）を用いた三次元的な被覆による不安定錯体の安定化手法を基軸に、新規遷移金属錯体の合成とその物性・反応性開拓、さらにはそれら錯体を高次集積化することによる新奇材料の創成を目的とする。フェニレンエチニレン鎖がPM α-CDで被覆されたロタキサン構造を配位子の鍵構造として用い、被覆型遷移金属錯体を合成する。合成した錯体の構造や、光学特性、磁気特性、酸化還元特性、小分子活性化能を系統的に評価し、それらの特異な物性・反応性を開拓する。さらに、得られた知見に基づき、これらの錯体をボトムアップ的手法をにより高次集積化することで新奇材料の創成を目指す。,特別研究員奨励費,小区分34010:無機・錯体化学関連,遷移金属錯体,光反応,π共役系分子,ロタキサン,シクロデキストリン,速度論的安定化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22088,東京大学,WANG JUNHAO,強発光と高性能単イオン磁性を示す多機能性シアノ架橋型錯体の研究,The approach of embedding the lanthanide(III) ions into the cyanido-bridged bimetallic framework with additional modification using the non-innocent organic ligands will be applied to achieve the material showing strong photoluminescence and high performing single ion magnetic behavior.,特別研究員奨励費,小区分34010:無機・錯体化学関連,molecular nanomagnet,luminescence thermometry,luminescence,single molecule magnet,luminescent thermometer,re-absorption effect,photoluminescence,luminescent thermometry,proton-conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
