awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23415,東京工業大学,栗岡 智行,高分子電解反応法による高分子薄膜の配向性やナノ構造の変換及び制御,本研究では、π共役高分子膜の電気化学的な機能化法である高分子電解反応により、π共役高分子薄膜の高次構造変換及び制御を行う。高分子電解反応は固相反応に特異的な反応性や選択性を有することを先行研究より見出している。これらの性質を応用することにより、π共役高分子からなるブロック共重合体のミクロ相分離構造の変換、並びに薄膜中のπ共役高分子主鎖の配向性制御が可能になると考えられる。これらの技術は、π共役高分子から作製される有機デバイス材料開発に資するものと期待される。,特別研究員奨励費,小区分35020:高分子材料関連,高分子反応,高効率反応設計,高分子電解反応,π共役高分子,ポリチオフェン,高次構造,ポリフルオレン類,電子物性,ルイス酸,ポリフルオレン,固相電解反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23009,東京工業大学,加藤 颯太,応力発光性分子プローブを利用する高分子材料中の微小応力の可視化,本研究では、（a）「高分子の結晶化により生じる残留歪みの可視化」と（b）「架橋高分子ゲルの凍結過程で生じるラジカルを反応場とする高分子反応の機構解明」を目的とする。多角的解析が可能な分子プローブとして、力で開裂し着色・蛍光性ラジカル種を生じ、かつ動的共有結合ユニットとして機能するメカノクロモフォアに着目し、（a）の系では結晶性高分子の主鎖中央に、（b）の系では架橋高分子の架橋点にそれぞれ導入する。これら2つの系に対して、ラジカルの定量を用いた「力学的刺激の定量評価」と蛍光顕微鏡観察を利用した「力学的刺激の直接的観察」の2点から『力の伝達メカニズム』の解明に迫る。,特別研究員奨励費,小区分35020:高分子材料関連,高分子溶液の凍結,高分子の結晶化,共焦点顕微鏡観察,テトラアリールスクシノニトリル,球晶の成長過程,一軸伸張,配向,学術論文の表紙掲載,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22561,東京大学,藤藪 岳志,構造の明確な高分子ゲルにおける高分子網目と溶媒分子の動的挙動の解明,高分子ゲル (以下、ゲル) は、高い柔軟性・物質透過性・含水率といったユニークな特徴を持っており、多分野での応用が期待されている。本研究では、極めて均一な網目構造を持つTetra-PEG gelを用い、ゲルの網目構造が、1. 高分子網目の熱揺らぎ (協同拡散現象)、2. ゲル内外にわたる水分子の透過現象、3. ゲル内部における水分子の拡散現象、に及ぼす影響を評価する。理論モデルに基づく各現象の本質的な理解や、各物性値の比較による各現象の相関関係の理解を通して、ゲルにおける高分子網目と溶媒分子の動的挙動の解明に挑む。,特別研究員奨励費,小区分35020:高分子材料関連,高分子ゲル,Tetra-PEG gel,協同拡散現象,高分子網目の拡散係数,水透過現象,高分子網目と溶媒の間の摩擦係数,高分子網目のダイナミクス,せん断弾性率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21527,早稲田大学,岡 弘樹,水素授受反応に立脚した高密度水素貯蔵を担うレドックス高分子の創出と機能開拓,有機レドックスポリマーの高速な電荷交換反応に基づく電荷輸送・貯蔵能を起点に、水素（プロトン）交換反応への拡張によって同じ原理で水素が輸送・貯蔵されることを明らかにする。具体的には、 (1) 水素（プロトン）交換反応の解明と(2) 高い質量密度で水素貯蔵可能な有機レドックスポリマーの創出により水素の輸送・貯蔵が可能な分子・ポリマーを開拓する。分子設計・水素発生条件などの工夫から(3) 高速な水素輸送を可能とする分子要件を解明、最大限に引き出すことで、(4) 斬新な水素輸送・貯蔵材料の創出へと繋げ、基礎化学の確立とエネルギー輸送・貯蔵材料への展開を狙う。,特別研究員奨励費,小区分35020:高分子材料関連,高分子化学,レドックス高分子,水素貯蔵,有機二次電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15174,奈良先端科学技術大学院大学,青木 大亮,トポロジー変換されたポリウレタンによる力学特性の自在設計,プラスチック材料において、目的の力学特性を分子構造から自在に設計することは、長らく困難とされている重要課題である。本研究は、申請者が見出した新規分子構造であるセンチピード構造を用いた力学特性を自在設計可能なプラスチック材料の創出およびその力学特性発現のメカニズム解明を目的とする。センチピード構造とは、線状である従来のポリウレタンのトポロジー異性体であり、側鎖にソフトセグメントおよび主鎖にハードセグメントからなる規則的な側鎖構造が特徴のポリウレタンである。,特別研究員奨励費,小区分35020:高分子材料関連,ポリウレタン,力学特性,レオロジー,プラスチック,トポロジー,櫛型高分子,絡み合い,アモルファス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14764,東京工業大学,木田 淳平,高分子メカノケミストリーにおける単一分子鎖系／バルク材料系間の相関解明,力学的な刺激による高分子反応を扱う「高分子メカノケミストリー」の分野における、単分子系とバルク系の間に存在する障壁を取り除く新たな分子設計指針を確立する。具体的には、理論計算などによる力学応答分子の物性予測と、材料中での挙動の相関を調査し、力学応答分子の導入が材料の力学物性に与える影響を明らかにする。分子設計指針の確立は、力学的刺激による化学反応を用いた次世代機能性材料開発の研究を加速させうると期待している。,特別研究員奨励費,小区分35020:高分子材料関連,メカノケミストリー,高分子の力学物性,高分子メカノケミストリー,メカノフォア,高分子力学物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14474,京都大学,田中 航,環境選択的重合反応による多機能性超分子ダブルネットワークヒドロゲルの高強度化,申請者は、self-sorting(自己認識・他者排除)により、２種類の超分子ファイバーを干渉させずに複合化することで、ユニークな刺激応答性を示す超分子ダブルネットワーク(SDN)ヒドロゲルを開発してきた。しかし、これらは非共有結合から成り立つため、力学的強度が低いという課題があった。,特別研究員奨励費,小区分35020:高分子材料関連,ヒドロゲル,超分子,self-sorting,動的共有結合,光応答,非平衡,パターニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12043,京都工芸繊維大学,南 沙央理,温度応答性ゲル微粒子を用いた懸濁液とマクロゲルの力学特性の解明と機能性の創出,本研究では、温度応答性ゲル微粒子懸濁液の力学物性の解明と、優れた力学物性と高い応答速度が両立する機能性ゲルの創成を目的とした研究を行う。,特別研究員奨励費,小区分35020:高分子材料関連,ゲル微粒子,レオロジー,懸濁液,粘弾性,ペースト,ゲル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01025,広島大学,木田 拓充,高分子の合成と物性技術の連携による分子量分布の物性に対する本質的役割の解明,本研究では、高分子材料において最も根幹のパラメータである分子量分布が力学物性に与える影響を解明する。高分子材料の力学物性が分子量分布に依存することは知られているが、特に固体物性に関して分子量分布と力学物性の関係は経験的な理解に留まっている。本研究では分子量分布が非常に狭い高分子材料を重合し、これらの単分散試料をさまざまな分率でブレンドすることで分子量分布を自在に制御した試料を調製する。このような試料を用いることで、分子量分布内の各分子量成分が力学物性に与える影響を独立に評価することが可能となる。,特別研究員奨励費,小区分35020:高分子材料関連,分子量分布,結晶性高分子,単分散,シングルサイト触媒,ポリエチレン,一軸引張挙動,ひずみ硬化,タイ分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00458,名古屋大学,小野田 実真,ボトルブラシポリマーの特異的自己組織化に基づく新規機能性高分子ゲルの創製,特殊な構造を持つ高分子・ボトルブラシポリマー(BBP)の特異な性質を利用し、新たな機能・構造を持つ高分子ゲルを創製する。総じて、「BBPゲル」という新たな研究領域の開拓を目指す。従来の常識を覆すゲル構造の実現により、他分野展開可能な新規材料の創製が期待される。なお、BBPの国内研究は極めて少ない。そこで、本研究の一部は、BBPに関するノウハウを有するMacfarlane研究室(MIT)との共同研究として実施する。合成プロトコルや基本的な評価を行った後にはMacfarlane研との共同研究体制も継続しつつ、受け入れ研究室である竹岡研（名古屋大）で機能材料への展開を目指す。,特別研究員奨励費,小区分35020:高分子材料関連,高分子,ボトルブラシ,ゲル,エラストマー,ボトルブラシポリマー,高分子ゲル,分岐高分子,異方性材料,グラフト高分子,精密重合,刺激応答性高分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
