awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22913,東京大学,大竹 沙耶,細胞膜上の局在制御による分子機能発現と薬物送達への応用,これまでの研究を通じて、細胞膜は「非プロトン性」「疎水的」「膜外物質から隔離される」など、膜外とは異なる環境を提供することができ、そこに局在する分子の性質や機能に大きな影響を与えることを見出した。そこで本研究では、BAM（オレイル基＋ポリエチレングリコール鎖）によって細胞膜近傍に機能性分子を局在制御ユニットとともに固定し、「細胞膜上の局在制御による分子機能発現」を”部位選択的な薬物送達手法”へと応用する。具体的には、標的とする細胞表面を機能改変し、薬物送達の”目印”をつけるという戦略のもと、細胞膜修飾剤を投与し標的部位に光刺激を与えるだけで部位選択的に薬物送達する技術を確立する。,特別研究員奨励費,小区分37010:生体関連化学,脂質膜,ハイドロゲル,超分子集合体,細胞膜修飾,細胞内送達,オプトポレーション,がん細胞標的治療,リポソーム,がん細胞ターゲティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22848,東京大学,近藤 洋平,超高感度-核磁気共鳴分子プローブを用いた生体内レポーターアッセイ系の構築,本研究では生物個体深部において目的遺伝子の発現解析を実現するレポーターアッセイ系の構築を目指す。 生体深部を観測する手法として核磁気共鳴法(NMR)があるが、その原理的な感度の低さが生体応用の問題となっている。そこで、動的核偏極法(DNP)と呼ばれるNMR高感度化技術を適用することとした。しかし、一般に、高感度化維持時間が短いために、すぐに高感度化状態が失われるという問題点がある。そこで本研究では、この高感度化維持時間の大幅な改善を基質構造レベルで試み、DNPを用いる高感度化レポーターアッセイ系の構築を目的とする。,特別研究員奨励費,小区分37010:生体関連化学,核磁気共鳴法,分子プローブ,動的核偏極法,生体分子イメージング,動的核偏極,化学交換飽和移動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21931,名古屋大学,大村 慧太,人工金属錯体を有するヘム酵素の開発および高難度酸化反応の達成,ヘム酵素の一種であるシトクロムP450は常温・常圧下で強固なsp3C-H結合を直接水酸化するため、環境調和型のバイオ触媒として期待される。その中でも巨大菌由来のP450BM3は還元系と一体化した複合型酵素であり、ドメイン間での高効率な電子伝達が可能なため、極めて高い触媒活性を示す。しかし化学的に不活性な有機小分子（メタン、エタン等）の効率的な反応は達成されていない。これらの不活性分子に対する反応性を向上させるには、従来の変異導入だけでなく、活性中心となるヘム自体の反応性を改変する必要がある。そこで本研究では活性中心であるヘムを合成金属錯体に置換することでP450BM3の触媒活性の向上を目指す。,特別研究員奨励費,小区分37010:生体関連化学,シトクロムP450,酸化反応,ヘム置換,バイオ触媒,補因子置換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15265,富山大学,小田 裕太朗,対形成部位の空間的乖離により天然塩基対との相互作用直交性を有する人工塩基対の開発,本研究は、ポリメラーゼ連鎖反応による核酸増幅に適用できる人工核酸ユニットを開発し、それらを用いることで核酸アプタマーの結合力を向上させることを目標とする。,特別研究員奨励費,小区分37010:生体関連化学,人工核酸,非天然核酸,核酸医薬,核酸アプタマー,SELEX,ポリメラーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14793,名古屋工業大学,沖 超二,細胞内在性蛋白質の精密局在制御のための光応答性小分子の開発,"本研究は、細胞内の""内在性""の蛋白質やシグナル伝達を自在に光で操作できるオプトケミカル小分子システムの開発を行う研究である。",特別研究員奨励費,小区分37010:生体関連化学,局在性リガンド,ゲノム編集,細胞内在性タンパク質,ケージド化合物,オプトジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14230,東京大学,黒田 知宏,ポリケチド化合物の翻訳合成を指向した疎水性修飾炭素骨格含有ペプチドの合成手法開発,天然物の一種であるポリケチド化合物はしばしばペプチドとの複合体として天然に存在する。こうした化合物はポリケチド鎖による疎水性とペプチド鎖による親水性を併せ持つことで強力な生理活性を示すことが知られ、現在広く薬として使用される化合物も存在する。,特別研究員奨励費,小区分37010:生体関連化学,スタチン,翻訳系,化学的修飾反応,阻害ペプチド,Ψ[CH2NH],オキサゾール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13608,東京大学,加茂 直己,蛋白質化学合成法を用いた修飾ヒストンの化学合成とその機能解明,遺伝子発現の制御を担うクロマチンはヒストンタンパクとDNAからなるヌクレオソームから構成され、更にリンカーヒストンH1と相互作用しクロマトソームを形成し、これが連なることで高次クロマチン構造を構成する。その構造は動的に変化しておりH1に修飾が導入されることでクロマチン構造が緩くなり転写活性やDNA修復につながるとされている。本研究では化学合成法により修飾が導入されたH1を合成し、その機能解析を行うことで遺伝子発現の調節機構を解明し、更には特定の病気とH1の修飾を関連付けることで新たな創薬ターゲットの提案を行う。,特別研究員奨励費,小区分37010:生体関連化学,タンパク質化学合成,有機金属触媒,エピジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19808,京都大学,浜地 格,神経伝達物質受容体NMDARの機能解析を目指したリガンド指向性化学の開拓,外国人特別研究員として申請しているHauser君が提案した研究は、グルタミン酸受容体の中でも特に重要で、記憶や学習において中心的な役割を果たしていると考えられているNMDA受容体の局在や機能に焦点を当て、ケミカルラベルによってその詳細を解明しようとするものであり、神経ケミカルバイオロジーへの展開においても我々の戦略の一般化を実証する上でも重要な意義がある。,特別研究員奨励費,小区分37010:生体関連化学,膜受容体,ケミカルラベル,生細胞,膜タンパク質,生細胞イメージング,機能阻害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19344,国立研究開発法人物質・材料研究機構,有賀 克彦,液体－液体界面で細胞の運命を制御する技術,Stem Cell などを用いた研究により、液－液界面は、単なる液体の界面ではなく、自発形成されるタンパク質ナノシートと細胞の間の力学的相互作用が細胞の成長や分化に大きな影響を与えていることを解明する。従来は、様々な固体基板上で細胞培養を行ってきたため、固体基板からの影響が不可避であった。一方、本研究は、特定の固体基板の影響を全く受けることがなく、純生体物質からなる人工細胞外マトリックスによる細胞研究ができる。,特別研究員奨励費,小区分37010:生体関連化学,界面,細胞,液体,分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19337,甲南大学,杉本 直己,核小体内クラウディング環境におけるリボソームRNA形成の定量的解析,本研究では、極めて高い分子クラウディング環境にある核内の核小体中で行われるリボソームRNA( rRNA)の合成と成熟に対する分子クラウディング環境の働きを解明する。そのために、,特別研究員奨励費,小区分37010:生体関連化学,DNA二重鎖,構造安定性,熱力学,分子クラウディング,安定性予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
