awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J13009,名古屋大学,長谷川 友美,水環境管理により誘導される出穂遅延能力を利用したイネ冷害回避技術の開発,ケニアを含む東アフリカの高原地帯の稲作では、気温の年次変動が激しく、深刻な冷温となる年には耐冷性系統でさえも冷害により収量が激減する。,特別研究員奨励費,小区分39020:作物生産科学関連,イネ,変異体,冷害,乾燥,アフリカ,米安定生産,アフリカ米安定生産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10731,東京農業大学,高田 花奈子,ヤムイモにおける窒素固定細菌の　共生機序の解明と栽培への利用,ヤムイモはヤマノイモ属植物の総称であり、日本でも鹿児島以南で栽培されている東南アジア原産のダイジョや、世界の生産量の9割以上を占める西アフリカで最も多く生産されている種であるホワイトヤムなどがある。,特別研究員奨励費,小区分39020:作物生産科学関連,ヤムイモ,窒素固定,安定同位体,アセチレン還元法,メタ16解析,メタ16S解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19395,東京大学,加藤 洋一郎,アジア圏水稲栽培における気候変動下の水資源・窒素資源利用の最適化,今世紀に入ってアジアの稲作は新たな課題に突入している。高収量達成・貧困削減のための作物栽培学から、環境持続性、資源有効活用、さらに気候変動への適応など、SDGsの多様なミッションに応える農業技術が求められている。本研究では作物栽培学研究のアジア地域への展開を念頭に、イネを中心とする主要作物について、水資源利用効率・肥料利用効率の向上（資源有効活用）と作物高収量の高度な両立に向けた精緻なフィールド研究を進める。この共同研究成果をSDGs達成に向けた総合ビジョンへ発展させるため、将来的にはランドスケープレベルの総合研究に結び付ける予定である。,特別研究員奨励費,小区分39020:作物生産科学関連,イネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22186,名古屋大学,浅野 航輝,サゴヤシを商品作物として持続的に栽培するためのアーバスキュラー菌根菌利用技術開発,急速に増える食料需要に対して、世界的に農業生産性の向上は気候変動や自然資源劣化のために漸減傾向であり、農業生産性維持のためには保全農業、クライメート・スマート・アグリカルチャーなどの革新的な方法が必要である。本研究では、澱粉貯蔵作物として今後の積極的な利活用に期待が込められているサゴヤシの持続的栽培を実現するためのアーバスキュラー菌根菌（AMF）利用技術を開発し、苗作りから圃場現場までの工程に応用することを目的とする。,特別研究員奨励費,小区分39020:作物生産科学関連,土壌分析,サゴヤシ,タイ南部,植物ー微生物相互作用,植物-微生物相互作用,アーバスキュラー菌根菌,菌叢解析,泥炭土壌,植物栄養,土壌物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13427,九州大学,谷口 琢紀,遺伝子発現量の時空間的解析によるダイズの開花・結莢制御機構の新理解,フィールド条件下の農作物における真の遺伝子効果を推定するには、時間および空間的な遺伝子発現量の違いを考慮した新たな作物生理学的手法となる「遺伝子発現量の時空間的解析法」が有用ではないかと考えた。そこで本研究では、ダイズの収量形質に密接に関わる開花・結莢という現象に着目し、時空間的解析による量的な評価によって遺伝子機能を捉え、ダイズの開花および結莢に対する理解を深めるとともに、収量向上へ対する新しい方向性を打ち立てたいと考えている。,特別研究員奨励費,小区分39020:作物生産科学関連,時空間的解析,遺伝子発現量,ダイズ,開花・結莢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13277,東京農工大学,野村 知宏,多様な生態型のイネ品種群を用いたGWA解析による強稈遺伝子の同定と機能解明,「緑の革命」で育成された半矮性品種は倒伏が起こりづらく、食糧不足の回避に貢献したが、半矮性品種はバイオマス生産量のポテンシャルが低いことから、収量の限界が指摘されている。加えて、近年は地球温暖化とともに台風が大型化し、日本および東南アジアではイネの倒伏の問題が深刻となっている。そのため、今後は短稈化に頼らず、強稈化により倒伏抵抗性を向上させる必要がある。本研究では、多様な生態型の品種の中から著しく効果の高い新規の強稈遺伝子の同定と機能の解明を目的とする。さらには、今後我が国にも上陸が予測されているスーパー台風に耐えうる強稈品種の作出に向け、強稈遺伝子を集積した系統を育成し、強稈性の評価を行う。,特別研究員奨励費,小区分39020:作物生産科学関連,イネ,倒伏抵抗性,耐倒伏性,強稈性,QTL,在来品種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11707,鹿児島大学,中尾 祥宏,アフリカにおける種子プライミング技術を用いた陸稲栽培体系の確立,サブサハラ以南のアフリカ地域における直播で行われる陸稲栽培では、水資源を降雨に依存しているため播種後の土壌水分条件を正確に予想できない。そのため播種後のイネは乾燥から嫌気条件まで幅広い環境にさらされ初期生育が不安定となる。これまでに種子の播種前処理(種子プライミング技術)により、不良環境下での生育向上が報告されている。本研究では環境に応じてプライミング効果として報告されている、種々の生理的な特徴や、素早い出芽や発根といった形態的な生育の特徴が、土壌水分条件に応じてどのように選択的、複合的に働いているのかという点を明らかにする。,特別研究員奨励費,小区分39020:作物生産科学関連,イネ,種子,プライミング,アフリカ,土壌水分,乾燥ストレス,出芽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11398,名古屋大学,渡邉 友実加,イネ根系を構成する「個根」の水吸収・輸送の仕組みおよび根系内での役割分担の解明,主要作物のひとつであるイネの根系は、主軸根、L型側根およびS型側根により構成されている。本研究では、この根系構造に着目し、根の重要な生理機能の一つである水の吸収と輸送の仕組みを解明することを目的としている。まず、吸水能力の指標となる水通導性(水の流れやすさ)をルートプレッシャープローブ装置を用いて測定し、構成根間で比較することで根系全体の水吸収に対する各構成根の貢献度を評価する。さらに、水通導性を制御すると考えられるアポプラストバリア形成およびアクアポリン遺伝子の発現を比較することで、各構成根における水の吸収と輸送の仕組みと役割分担を明らかにする。,特別研究員奨励費,小区分39020:作物生産科学関連,イネ,構成根,水通導性,アクアポリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01211,愛媛大学,畠山 友翔,細胞メタボロミクス解析を用いたイネの高温不稔抑制メカニズムの解明,地球温暖化による気温の上昇は、イネに高温不稔を引き起こし、収量を大きく低下させる要因となる。この高温不稔は早急に解決すべき極めて深刻な問題であるにもかかわらず、これまでの研究の多くは葯レベルの解析にとどまっており、花粉粒レベルでの詳細な調査が必要とされている。また近年、追肥によってイネの高温不稔が抑制される事が報告されているが、そのメカニズムは調査されていない。,特別研究員奨励費,小区分39020:作物生産科学関連,高温不稔,窒素追肥,メタボローム解析,水稲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00594,東京大学,迫田 和馬,遺伝学とケミカルバイオロジーでデザインする節水適応型作物の分子育種戦略,高CO2化に伴う地球温暖化や気候変動により、水資源が農業生産を制限する地域の拡大が懸念され、節水型農業の重要性が高まっている。本研究では光合成と水利用効率の可視化装置を活用し、ダイズ変異体リソースと化合物ライブラリーを対象とした大規模スクリーニングを行う。これにより、高い光合成能力と水利用効率を両立する遺伝的機構を網羅的に解明し、節水条件で優れた生産性を示すダイズ品種の育成に向けた分子育種戦略のデザインを目指す。,特別研究員奨励費,小区分39020:作物生産科学関連,光合成,作物,ケミカルバイオロジー,水利用効率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
