awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40191,京都大学,藤原 摩耶子,卵子の種比較研究による広範な動物種を対象にしたメス遺伝資源バンクの確立,野生動物の絶滅の問題の深刻化により、生殖介助技術として配偶子保存の緊急性が増している。未成熟な卵子を周辺環境ごと凍結保存し、体外発育を可能とすることができれば、より多くの雌の遺伝資源を将来に残し、繁殖の可能性を増やすことができる。,特別研究員奨励費,小区分39060:生物資源保全学関連,卵子,卵巣,凍結保存,野生動物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23611,滋賀県立大学,森井 清仁,琵琶湖固有種間の性的相互作用による絶滅の危機：その機構解明と保全実践への応用,琵琶湖周辺に分布し絶滅が危惧されている近縁な2種のドジョウ類（オオガタスジシマドジョウ、ビワコガタスジシマドジョウ）について、その衰退要因を行動学的・個体群生態学的な視点から明らかにし、効果的な保全策を実施する。具体的には、もともと異所的に繁殖していた両種が、圃場整備等の水田環境の変化によって同所的な繁殖を余儀なくされ、他種のオスからの求愛によるメスの繁殖成功度の低下（繁殖干渉）が生じて衰退したことを示す。また、以上の成果を応用し、繁殖地に簡易な操作を加えるだけで、両種の繁殖場所を再び分割し、繁殖干渉を軽減できること、そしてその結果として2種の保全を実現できることを示す。,特別研究員奨励費,小区分39060:生物資源保全学関連,繁殖干渉,種間求愛,同性間繁殖行動,保全,シマドジョウ,琵琶湖,固有種,淡水魚,繁殖行動,スジシマドジョウ,種間相互作用,近縁種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21690,九州大学,梅村 啓太郎,自然水域における希少タナゴ類の種間交雑原因の解明,九州北部には6種の在来タナゴ類が分布する。タナゴ類には産卵基質や繁殖様式による生殖隔離が存在しており、種間交雑は稀にしか生じない。しかしながら、複数の在来タナゴ類間での種間交雑が高頻度で発生している地域が確認された。それらの地域では、灌漑用水整備などの人為的な環境改変や産卵基質となる二枚貝類の減少などの要因から、種間交雑の発生頻度が上昇している可能性がある。交雑の原因解明を行うとともに、人為的なインパクトを取り除き、希少種であるタナゴ類を保全することが求められる。本研究では、九州北部におけるタナゴ類の交雑状況の把握と交雑原因の解明を目指す。,特別研究員奨励費,小区分39060:生物資源保全学関連,タナゴ亜科魚類,保全,種間交雑,環境DNA,特異的プライマーセット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13514,北海道大学,ANDERS JASON LEE,都市化にともなう腸内細菌叢の弱体化を腸内寄生虫が緩和する：小型げっ歯類による実証,"I will investigate how urbanization affects the gut microbiome of wildlife, and if intestinal parasites can be used to cure any negative effects and help prevent diseases.",特別研究員奨励費,小区分39060:生物資源保全学関連,Gut microbiota,Urban ecology,Parasitology,Rodents,Gut microbiome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00510,大阪大学,齋藤 美保,キリンの社会形成における子育て集団の役割の解明,本研究期間ではキリンの子育て集団に着目し、その集団を形成することが彼らの①社会関係、②卒業後の行動圏の決定に及ぼす影響を明らかにしたい。その目的のために、以下のデータを収集する。,特別研究員奨励費,小区分39060:生物資源保全学関連,キリン,社会関係,仔育て,ミオンボ林,休息場所,タンザニア,子育て,近接,社会行動,行動観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20884,鳥取大学,菅原 遼,カノシタ属菌をモデルケースとした、外生菌根菌資源の多様化過程の解明,本研究では，生態的・経済的重要度の高い生物資源である外生菌根菌類の種多様性を正確に把握するため，菌根菌の交配集団（生物学的種）に着目して種の多様化要因を推測する．交配試験が実施可能であるHydnum属きのこをモデルとし，系統解析と交配試験の結果から種の枠組みを決定する．さらに野外調査と接種試験の結果から，各菌種の遺伝的多様性と相関性をもつ生態・生活環を明らかにすることで，Hydnum属菌の種分化に大きな影響を及ぼした要因を考察する．,特別研究員奨励費,小区分39060:生物資源保全学関連,Hydnum属,Sistotrema属,外生菌根菌,分類,種多様性,進化,系統,多様化,菌株,交配,外生菌根,多様性,担子菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20820,北海道大学,山田 寛之,堰堤上流区間に生息するサケ科魚類の隔離個体群における増水耐性適応に関する研究,堰堤（治山や砂防を目的に建設されたダム）の上流ではしばしば純粋な在来魚類が隔離個体群として存続している。このような隔離個体群の保全は重要であるが、それらには増水時の流下（堰堤の上流側から下流側へ流されること）による絶滅リスクが付きまとう。一方で、堰堤の上流の隔離個体群は過去の増水を乗り越えてきた個体群であるので、流下を回避する適応を遂げていると考えられる。本研究では堰堤上流に生息するサケ科魚類の流下を回避する適応を検証し、その適応機構に立脚したこれまでにない保全策を提言することを目指す。,特別研究員奨励費,小区分39060:生物資源保全学関連,空間的選別（spatial sorting）,流下,行動,進化,あくび,増水イベント,サケ科魚類,spatial sorting（空間的選別）,移動障壁,稚魚,増水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14661,東京大学,出戸 秀典,絶滅危惧種の保全と害虫防除の両立に向けた畦畔管理の開発,本研究は、希少種ミヤマシジミの保全を主とした生物多様性保全と、水田害虫の低密度化の両立を可能にする畦畔管理体系を開発することを大目標に掲げている。「いつ」「どこで」「どのような」管理を行うべきかを明らかにするために、ミヤマシジミと斑点米カメムシの生息地ネットワーク構造とその動態が、草刈りの回数や強度、タイミング、タイミングの同調性から受ける影響を調べる。また、草刈りがミヤマシジミや斑点米カメムシに及ぼす影響のメカニズムも明らかとしていく。,特別研究員奨励費,小区分39060:生物資源保全学関連,メタ個体群,ミヤマシジミ,絶滅危惧種,生息地ネットワーク,保全優先地,高刈り,生息地の質,メタ個体群動態,畦畔管理,中程度攪乱,ヤドリバエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12743,近畿大学,瀬古 祐吾,社会性が採餌能力を通じてアルゼンチンアリ・在来アリ類の薬剤応答に与える影響の解明,アルゼンチンアリの防除を行う上で、フィプロニルベイト剤の施用は欠かせない。しかしながら、実環境下におけるその作用プロセスには不明点も存在する。フィプロニルベイト剤は、防除の非対象であるアリ類へも個体レベルでは一様に効果的であるとされている。しかしながら、実環境下において、種によってはベイト剤から受ける影響の程度やその正負が、超個体レベルでは異なる。申請者は、アリ類ワーカーの採餌行動と、餌の分配の種間差に着目し、それらが超個体レベルにおけるフィプロニルベイト剤への応答に及ぼす影響の解明を試みる。,特別研究員奨励費,小区分39060:生物資源保全学関連,真社会性昆虫,化学的防除,遅効性殺虫剤,採餌行動,安定同位体比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20F30101,東京大学,宮下 直,日本における大規模な農地景観の変化が鳥類の多様性と個体数におよぼす長期的影響,過去40年間の農業の変化が日本の鳥類の多様性と個体数の傾向にどのような影響を与えたかを全国規模で評価するため、70年代以降の農地鳥類の分布と個体数の推移の変化を評価するとともに、全国規模での農地鳥類の多様性と個体数の変化に影響を与える主な農業的要因を明らかにする。,特別研究員奨励費,小区分39060:生物資源保全学関連,農地,農地の生物多様性,水田,リモートセンシング,水田分布の地図化,farmland,farmland biodiversity,paddy fields,remote sensing,rice mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
