awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18389,東京大学,浅川 修一,魚類における骨格筋非限定成長の分子メカニズムの解明,Comparative analysis of DEG profiles associated with aging between zebrafish and rat showed both conserved and clearly different aging phenomena. Our results indicate both common and different aging profiles between fish and mammals.,特別研究員奨励費,小区分40040:水圏生命科学関連,zebrafish,tilapia,aging,exosome,miRNA,DEG,transcriptome,teleost,エクソソーム,老化,魚類,筋肉,終生成長,トランスクリプトーム,マイクロRNA,ティラピア,Indeterminate growth,Sarcopenia,Aging,Exosome,Gene Expression Profiles,Muscle Wasting,Genetic Pathways,Fish and Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18388,北海道大学,三上 浩司,海藻における複合環境ストレスに対する耐性の獲得と維持の制御機構,本研究の目的は、海産紅藻ウシケノリにおける複合環境ストレスへの耐性獲得機構の解明である。これまでの研究により、ウシケノリが淡水で生育可能であること、その場合栄養飢餓ストレスや浸透圧ストレスに複合的にさらされるが、そのような複合環境ストレスに対して強い耐性を獲得できることを明らかとしてきた。さらに、このような複合環境ストレス下では細胞や葉緑体の形態を変化させるが、これは再び海水に戻すことで回復することも見出している。この場合、膜脂質脂肪酸の飽和度の変化も見られたので、膜を介する物質輸送や細胞膜の形成などが複合環境ストレスの応答・適応に関わることも示唆された。特に、海水に戻してストレスを解除した後に見られる膜脂質脂肪酸の飽和化は、ウシケノリにおける塩ストレスへの応答において重要と考えられ、これが細胞や葉緑体の形態変化に関わると推察された。これらのことから、淡水と海水には異なる応答が可逆的に引き起こされることが、ウシケノリの複合環境ストレスへの強い耐性の獲得を可能にしていると考えられた。,特別研究員奨励費,小区分40040:水圏生命科学関連,環境耐性能,ウシケノリ,低塩類濃度ストレス,ストレス応答,膜脂質脂肪酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22436,東京大学,宮副 大地,魚類の性行動を制御する脳内メカニズムの解析,,特別研究員奨励費,小区分40040:水圏生命科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22380,東京大学,河原 未来,ホタテガイのフランシセラ感染症における宿主生理状態と養殖環境の関係,本研究では、ホタテガイ養殖で問題視されているフランシセラ感染症について、実験室内における感染実験や養殖場での調査を実施し、疾病の発生リスクが低下する環境条件を探索する。さらに、本疾病の原因細菌 F. halioticidaを用いた培養実験や感染実験を通して環境要因が宿主の生体防御機能や病原体の病原性に与える影響を調べ、当該環境下で疾病発生リスクが低下する理由を検討する。,特別研究員奨励費,小区分40040:水圏生命科学関連,ホタテガイ,Francisella halioticida,感染症,疫学調査,環境要因,RNA-seq,Francisela halioticida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21518,東京海洋大学,川戸 智,エビのゲノムに残された化石ウイルスを復活させる,ホワイトスポットシンドロームウイルス (WSSV) は、クルマエビ類の養殖における最も深刻な病原体である。我々はこれまでに、クルマエビ類のゲノム中には、WSSVに近縁なウイルス (ニマウイルス)のゲノムが化石化して組み込まれていることを明らかにしてきた。本研究では、この化石ウイルスゲノムを遺伝子工学的手法により再構築し、ウイルス粒子の再生を試みる。これにより、WSSVの感染、複製、および病原性発揮の機構を解明する比較実験材料の確立を目指す。,特別研究員奨励費,小区分40040:水圏生命科学関連,クルマエビ,WSSV,内在性ウイルス配列,ニマウイルス科,トランスポゾン,ゲノム,PRDV,PAV,EVE,内在性ウイルス様配列,シラエビ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14996,宮崎大学,岡村 洋,魚類腸管におけるインターロイキン１７を介した抗菌分子産生機構の解明,本研究は魚類腸管における炎症性サイトカインIL-17A/F (インターロイキン17A/F)を介した抗菌分子産生機構に 着目し、本機構の腸内細菌叢を制御する上での重要性の理解を目的としている。哺乳類において、IL-17AおよびFにより様々な抗菌ペプチドが産生され、腸内細菌叢のバランスは保たれているが、魚類においてこれら機構は全く不明である。本研究ではゲノム編集技術を用い作製した遺伝子改変メダカを解析に用い、魚類IL-17の機能解明を目指す。,特別研究員奨励費,小区分40040:水圏生命科学関連,インターロイキン１７,メダカ,腸管免疫,腸内細菌叢,脂質代謝,自然免疫機構,ゲノム編集,CRISPR-Cas9,メタゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14936,東京海洋大学,松下 芳之,内在性脂肪酸不飽和化酵素の三機能化による植物油で育つ海産魚新品種の作出,多くの海産養殖魚種はDHA合成に関わる脂肪酸不飽和化酵素の活性を欠損しており、健全な成長に必要なDHAを自ら合成できない。しかし、淡水に進出した一部のカレイ目魚類は特殊化した当該酵素を有しており、DHAを自ら合成できることが明らかになっている。本研究では淡水産カレイに倣い、海産カレイの当該酵素をゲノム編集により僅かに改変することで特殊化させ、個体にDHA合成能を付与することを目的とする。これにより、DHAを自ら合成できる海産養殖魚を作出する技術基盤を構築し、餌料のDHA源として魚油を必須とする従来の「魚から魚をつくる」海産魚養殖からの脱却を目指す。,特別研究員奨励費,小区分40040:水圏生命科学関連,不飽和化酵素,高度不飽和脂肪酸,DHA合成経路,ゲノム編集,ノックイン,ササウシノシタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12836,長崎大学,村瀬 偉紀,耳石解析と数理モデルによる温暖化がアユ個体群の生活史に及ぼす影響の予測,日本の広い範囲に分布するアユの成長速度や成長期間は、水温勾配に従って地理的に変異する。そのため、近年の気候変動に伴う水温の上昇が、アユの成長に及ぼす影響の解明が急務である。本研究では、日本全国でアユを採集し、その成長速度や成長期間のデータを過去のデータと比較することで、温暖化がアユの生活史や成長様式に及ぼす影響を考察する。さらに、生活史モデルの作成によって今後のアユ個体群の変動傾向の予測を試みる。,特別研究員奨励費,小区分40040:水圏生命科学関連,温暖化,緯度勾配,耳石,生活史形質,緯度クライン,地理的変異,アユ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11147,北海道大学,高谷 直己,海洋性カロテノイドによる慢性炎症抑制を介した非アルコール性脂肪肝炎予防機構の解明,非アルコール性脂肪肝炎（NASH）は、肥満を基盤とする脂肪肝を背景に発症する慢性炎症疾患で、その発症過程において炎症や酸化ストレスが密接に関わる。そこで本研究では、特徴的な分子構造に依存して高い抗炎症や抗酸化作用を示す海洋性カロテノイドに着目した。褐藻由来フコキサンチンをはじめとした海洋性カロテノイドのin vivoでのNASH予防機能とともに、特徴的な分子構造に起因するカロテノイドの生体内代謝動態を明らかにする。更に、NASHを想定したin vitro免疫-肝細胞共培養モデルを構築し、慢性炎症状態下での異種細胞間相互作用に対する、カロテノイド及び代謝物の制御機能と分子メカニズム解明を目指す。,特別研究員奨励費,小区分40040:水圏生命科学関連,非アルコール性脂肪肝炎,NASH,海洋性カロテノイド,フコキサンチン,フコキサンチン代謝物,マクロファージ,肝細胞,MCP-1,脂肪肝,酸化ストレス,炎症,線維化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10799,北海道大学,阿部 嵩志,サケ属魚類の母川刷込機構の分子基盤に基づく神経生理学的研究,遡河性サケ属魚類 (サケ類) は、降海時に母川固有のニオイ情報を刷込、産卵回帰の際には、刷込まれたニオイ記憶を想起して母川を識別し遡上する。サケ類の嗅覚刷込には、シナプス可塑性の重要性が示唆されているが、いまだ不明点が多い。本研究では、シナプス前部からの神経伝達物質の放出を制御するSNARE複合体の構成分子およびそれらの制御因子であるシナプス前部機能性分子に着目し、嗅覚刷込・想起時のサケ嗅覚神経系・脳におけるシナプス前部の分子神経基盤を明らかにする。特に、幼稚魚の降海期を細分化して標本採集し、詳細なSNARE分子の発現パターンを解析し、サケ類の降海齢の種差とSNARE発現の関連についても解析する。,特別研究員奨励費,小区分40040:水圏生命科学関連,遡河性回遊魚,サケ属魚類,母川刷込,刷込,神経,シナプス可塑性,嗅覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
