awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18403,帯広畜産大学,玄 学南,ネズミバベシア原虫：マダニ体内ステージ発育の分子基盤の解明と新規制御法の開発,マダニは脊椎動物の血液を唯一の栄養源とする吸血性節足動物であり、人や動物に対して種々の病原体を媒介する。なかでもバベシア原虫はマダニによって媒介される原虫の代表格である。そこで本研究では、人獣共通感染症を引き起こすネズミバベシア原虫（Babesia microti）とマダニを主な研究材料とし、マダニ体内におけるバベシア原虫発育の分子基盤の解明とバベシア原虫伝播阻止ワクチンの開発を目指して企画した。具体的達成目標として、１）GFP発現B. microtiの作製、 ２）マダニ体内ステージの各発育期のバベシア原虫の分離、３）マダニ体内ステージのバベシア原虫特異的表面分子の特定、４）マダニ体内ステージのバベシア原虫発育・増殖を阻害する伝播阻止ワクチンの開発などを掲げた。当該年度に得られた研究成果は、下記の通りである。１）GFP発現B. microti/B. gibsoniは、マダニ体内においても、蛍光顕微鏡下で可視化できることを確認した。２）マダニ体内ステージで特異的に発現する遺伝子として、B. gibsoniのCCp遺伝子、HAP2遺伝子、6-Cys遺伝子を特定しクローニングした。３）それぞれ組換え抗原を発現し、特異抗体を作製した。４）今後マダニ体内におけるバベシア虫体の発育を抑制するかを検討する予定である。,特別研究員奨励費,小区分42020:獣医学関連,バベシア,Babesia microti,マダニ,媒介機構,伝播阻止,ワクチン,ネズミ,人獣共通感染症,B. microti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18399,帯広畜産大学,横山 直明,既存薬剤が効かないヒトバベシア病にも対峙できる併用治療法の開発,バベシア原虫（Babesia microti）の感染に起因するヒトバベシア病は、アメリカ、ヨーロッパ、アジアの国々で報告が広がっており、新たな新興感染症として注目されている。しかしながら、本原虫病に対する効果的で、低コストで、低毒性の治療薬が未だ確立されていない。そこで、マウス感染モデル評価系を用いて、既存薬剤（Atovaquone：アトバコン）が効かないヒトバベシア病にも対峙できる併用治療法を開発する。具体的には、１）感染原虫を迅速に排除でき、２）安全に長期間の薬剤効果を持続でき、３）アドバコン治療から出現する耐性原虫に対しても効果を示し、かつ４）容易に耐性原虫の出現を許さない多剤併用治療法の確立を目指す。,特別研究員奨励費,小区分42020:獣医学関連,ヒトバベシア病,Babesia microti,Clofazimine,Tafenoquine,Artesunate,Atovaquone,併用治療法,ジミナゼンアセテート,MMV021057,MMV675968,多剤併用治療法,耐性,バベシア,耐性原虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18397,東京農工大学,臼井 達哉,尿サンプル由来三次元培養法を用いたイヌ前立腺がんに対する新規治療標的遺伝子の探索,"近年、がんの病態を培養ディッシュ上で再現できる新たなシステムとして三次元細胞培養法(オルガノイド培養法)が開発された。ヒトと違いイヌの前立腺がん は、診断時に末期的な症状を示すことが多く、手術やバイオプシーによる組織の採取も困難なことから、既存の方法を用いたがんオルガノイドの作製は不可能で あった。これまでの研究において受け入れ研究者は、前立腺がん罹患犬の尿サンプルを用いて前立腺がんオルガノイドを作製する方法を見出した(Usui et al.,Cancer Sci, 2017)。本研究では、犬前立腺癌の制御機構や血中腫瘍細胞の回収法を検討することで新規治療・診断法の開発につなげることを 主たる目的とした。今年度は工学部との共同研究によってシングルオルガノイド解析を実施し、オルガノイドの抗がん剤感受性や腫瘍形成能を規定する遺伝子群を複数同定し、特許出願を進めている。また、犬泌尿器がんの新たな培養法に関する論文をScienctific Reports誌に出版した(Amira et al., Scientific reports. 2020)。さらに、犬の転移性前立腺癌の血中循環腫瘍細胞をトラップするシステム開発のために、健常犬を用いたアフェレーシス法に取り組んだ。がん細胞と比重が近い単核球を効率的に回収する麻酔法やカテーテル法の条件を探索し、犬を用いた最適なアフェレーシス法の実施条件を同定した。",特別研究員奨励費,小区分42020:獣医学関連,犬,前立腺がん,オルガノイド,抗がん剤,イヌ,尿サンプル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J40075,岩手大学,宮崎 珠子,尿中黄体形成ホルモン測定は乳牛の排卵を予知可能か？LHの尿中動態と排泄機構の解明,酪農は、雌牛を妊娠・出産させ泌乳させることで収入を得ている。安定的に牛乳を生産するためには雌牛を毎年出産させる必要があるため、的確に発情を発見し妊娠させる繁殖技術が求められている。発情に伴う排卵は、脳下垂体から黄体形成ホルモン（LH）が一過性に放出（サージ）して起こる。排卵に先立ち血中でLHサージが起こることは哺乳動物に共通しているが、ヒトの排卵予知に利用されている尿中LHサージが他の動物で起こるかは分かっていない。本研究では乳牛、マウス、猫を用いて、LHの尿中排泄機構を含めた動態の解明を目指す。牛の尿中LHサージが検出できれば、人工授精適期を効率的に特定し受胎率を向上させることが期待できる。,特別研究員奨励費,小区分42020:獣医学関連,黄体形成ホルモン（LH）,尿,ウシ,ネコ,繁殖技術,牛,猫,黄体形成ホルモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23516,麻布大学,那須川 忠弥,ブタ飼育環境におけるプロファージを中心とした薬剤耐性菌出現機構の解明,近年、抗生物質が効かない薬剤耐性菌に対し、国際的に意識が高まっている。養豚分野でも抗菌薬の使用量が多く、薬剤耐性菌が多数分離されている。薬剤耐性菌は、薬剤耐性遺伝子を他の菌に伝播する。そのため、薬剤耐性遺伝子の水平伝播を詳細に理解することは、重要であると考えられる。,特別研究員奨励費,小区分42020:獣医学関連,膜小胞,薬剤耐性,グラム陽性菌,豚レンサ球菌,畜産,養豚,薬剤耐性菌,プロファージ,遺伝子水平伝播,畜産環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22868,東京大学,内田 あや,新規分泌タンパク機能アッセイ系を用いた、哺乳類SSCニッチの誘導メカニズムの解明,精子産生の源である精原幹細胞（SSC）は体細胞の作り出す微小環境（ニッチ）により支えられているが、SSCニッチの誘導・制御機構の多くは明らかとなっていない。我々は哺乳類における固定的SSC ニッチであるセルトリバルブ（SV）領域に着目し、SV領域の解析で得られた知見をもとにSSCニッチ誘導因子の解明を試みる。さらに、同定されたニッチ誘導因子・阻害因子をマイクロビーズに吸着させ生体精巣内に移植する事で、SSCニッチの人為的異所的構築および誘導阻害を試みる。,特別研究員奨励費,小区分42020:獣医学関連,精巣,精巣網,セルトリバルブ,SOX17,Luminal flow,レチノイン酸,FGF,精原幹細胞,Sox17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22851,大阪府立大学,塚本 雅也,イヌiPS細胞を用いたin vitro炎症性腸疾患モデルの病態解明・創薬への応用,イヌ炎症性腸疾患（IBD)の原因は解明されておらず、現在の治療法に反応しない難治性症例も存在する。難治性症例に対して、間葉系幹細胞（MSC）の投与が新規治療法として注目されているが、その有効性と作用機序は明らかではない。,特別研究員奨励費,小区分42020:獣医学関連,イヌiPS細胞,センダイウイルスベクター,フィーダーフリー,尿由来細胞,胚体内胚葉,間葉系幹細胞,炎症性腸疾患,腸オルガノイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22813,東京大学,永原 拓朗,リンパ管新生に着目した犬の腸リンパ管拡張症の病態解析,犬の腸リンパ管拡張症は腸絨毛のリンパ管が拡張、破綻しリンパ液が腸管内腔へと漏出する疾患である。本研究ではリンパ循環に注目し犬の腸リンパ管拡張症の病態を解明する。,特別研究員奨励費,小区分42020:獣医学関連,犬,腸リンパ管拡張症,誘導型一酸化窒素合成酵素,腸内細菌,胸管,MRI,リンパ管内皮細胞,一酸化窒素,リンパ管新生,リンパ管イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22779,東京大学,高市 雄太,神経変性疾患におけるtau及びα-synucleinの共凝集・沈着機序の解明,神経変性疾患は、アルツハイマー病でのリン酸化tau（p-tau）やパーキンソン病でのリン酸化α-synuclein（p-αSyn）のように特定の蛋白質が脳内に異常蓄積する疾患群ですが、近年、複数の蛋白質が共沈着することが分かってきました。本研究では、tauとαSynの相互作用に着目し、ヒト型の変異tauを過剰発現するモデルマウス（rTg4510マウス、PS19マウス）を用いて、p-tauがαSynのリン酸化・凝集を促進する機序を解明し、tauとαSynとの相互作用を明らかにすることで、単一の異常蛋白質に重点を置く従来の病態機序に対する認識を大きく変えると考えられます。,特別研究員奨励費,小区分42020:獣医学関連,神経変性疾患,PS19,tau,amyloid-β,α-synuclein,鰭脚類,イヌ,ネコ,rTg4510,アミロイドβ,GSK-3β,リン酸化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21826,北海道大学,佐治木 大和,ウシ難治性疾病における免疫抑制機序の解明および新規制御法の開発,牛白血病およびヨーネ病は有効な治療法やワクチンが存在しないウシ難治性疾病である。申請者らは、PGE2がこれらの疾病の免疫抑制に関与し、免疫抑制因子PD-L1の発現を誘導することを示した。またPGE2とPD-L1を同時に阻害することで、免疫応答が強く活性化されることを示した。,特別研究員奨励費,小区分42020:獣医学関連,牛伝染性リンパ腫,プロスタグランジンE2,免疫チェックポイント因子,ヨーネ病,抗PD-L1抗体,EP4阻害剤,PGE2,PD-L1,牛白血病,COX-2阻害剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
