awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23598,麻布大学,並木 貴文,マウス妊娠初期の胚着床・脱落膜化における小胞体タンパク質の機能解明,"一般に, 自然妊娠における流産の75%が胚着床不全によると言われるが，その原因となる詳細なメカニズムは明らかになっていない．そこで，母体の妊娠機構を明らかにすることで，胚着床不全や妊娠初期の流産を予防し，産子の発育率を改善できる可能性と考えた．",特別研究員奨励費,小区分42030:動物生命科学関連,着床,小胞体,脱落膜,妊娠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22776,東京大学,池田 有沙,新規ゲノム編集ツールの開発と機能未知遺伝子解析への応用,CRISPR/Casシステムにおけるモザイク変異回避技術を哺乳類受精卵で確立と、マウス機能未知遺伝子解析への応用を行う。Cas9-gRNAを導入した受精卵に対して、ゲノム複製後の正確なタイミングでAnti-CRISPRタンパク質によって機能阻害し、モザイクの原因となる各割球での独立した変異導入の抑制が可能か検討する。また、本技術を利用して、ノックアウトによる胎生致死が報告されている機能未知遺伝子を標的としてモザイクリスクを回避したノックアウト胚を作製し、退行時期の特定やトランスクリプトーム解析による相互作用因子の探索を行う。,特別研究員奨励費,小区分42030:動物生命科学関連,CRISPR/Cas,Armh3,HypaCas9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20197,九州大学,林 将文,ウシにおける多能性幹細胞の生殖系列細胞への分化誘導に関する研究,本研究では、ウシ人工多能性幹細胞（iPS細胞）から卵子・精子の起源となる始原生殖細胞の誘導を目的とする。始原生殖細胞の誘導方法が確立されることにより、誘導された始原生殖細胞から卵子・精子への分化誘導に着手することが可能となる。これら誘導された配偶子から新しい個体が生じる可能性があり、ウシの育種改良効率を飛躍的に改善できることが期待される。さらにウシを大型哺乳類のモデルとして扱うことによりキタシロサイなどの絶滅危惧種への誘導手法の応用も期待される。,特別研究員奨励費,小区分42030:動物生命科学関連,ミナミシロサイ,胚性幹細胞,大型哺乳類,始原生殖細胞,絶滅危惧種の保全,初期発生,人工多能性幹細胞,家畜改良,ウシ,シロサイ,絶滅危惧種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12119,東京大学,船屋 智史,受精後の遺伝子発現プログラムにおけるヒストン変異体の機能解析,マウスでは受精後1から2細胞期胚にかけて遺伝子発現パターンが劇的に変化することが知られている。遺伝子発現はクロマチン構造により制御されるが、クロマチン構造もまたこの時期に劇的に変化している。1細胞期胚は非常に緩いクロマチン構造を有しており、1から2細胞期胚にかけてクロマチン構造が急激に締まることが明らかにされているが、このクロマチン構造変化の制御機構に関しては明らかになっていない。そこで本研究ではクロマチン構造に深く関与することが知られているヒストン変異体に着目し、着床前初期胚発生におけるクロマチン構造変化への関与を解析し、遺伝子発現パターン変化の制御機構を明らかにする。,特別研究員奨励費,小区分42030:動物生命科学関連,ヒストン変異体,マウス初期胚,遺伝子発現プログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10894,東洋大学,佐藤 友里,骨格筋分泌因子を介した運動依存的な皮膚機能制御機構の解明,本研究では、骨格筋分泌因子を介した運動による皮膚組織への効果の解明を目的としている。電気刺激を負荷したあるいはしていないC2C12筋管の培養上清を抗体アレイや質量分析に供し、新規の運動制御性マイオカインを探索する。さらに細胞外小胞についても、運動により内包量が変動するmiRNAなどを探索する。また、同定した骨格筋分泌因子を添加した骨格筋培養上清や細胞外小胞をマウスの初代培養皮膚細胞に添加し、皮膚組織への効果を確認する。さらに、創傷や老化などの動物モデルを用いた検討も実施する。これらを明らかにすることで、骨格筋分泌因子を介した皮膚組織への運動効果の伝達メカニズムの一端を明らかにすることができる。,特別研究員奨励費,小区分42030:動物生命科学関連,骨格筋,マイオカイン,運動,皮膚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00865,国立研究開発法人国立循環器病研究センター,櫻井 伸行,遺伝子改変動物を用いた精子成熟メカニズムの解明,精子成熟精巣で作られて間もない精子はそのままでは受精できないが、管状の器官、精巣上体を通過する中で受精能力を獲得する（精子成熟）。管内は糖タンパク質などが含まれる分泌液で満たされており、この中に精子成熟の責任因子が存在すると予想される。本研究では、精巣上体特異的に発現する複数の遺伝子についてノックアウトマウスを作製し、その解析を通して精子成熟を制御する分子メカニズムの解明を試みる。,特別研究員奨励費,小区分42030:動物生命科学関連,精子成熟,精巣上体,マウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00749,国立研究開発法人理化学研究所,鈴木 伸之介,精子幹細胞の自己複製・分化を制御するメカニズムの解明,精子形成能を有したまま生体外で数年間継代培養が可能なマウス精子幹細胞株 (GSCs)は、精巣内の精子幹細胞 (SSCs)と同様に不均一な細胞集団であり、GSCsの中でも精子幹細胞活性を持つ細胞は1-2%しか存在しないことが報告されている 。そのため、GSCsを細胞集団レベルで解析した場合、精子幹細胞活性を持つ細胞の特性は埋もれてしまい、SSCsの自己複製・分化を制御する分子メカニズムを正確には理解できない。そこで本研究では、精子幹細胞活性を持つGSCsを均一に培養できるin vitro実験系を確立し、精子幹細胞の自己複製・分化を制御するメカニズムの全貌解明を目指す。,特別研究員奨励費,小区分42030:動物生命科学関連,精子幹細胞,培養系,シングルセル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00641,熊本大学,岡 香織,老化・がん化耐性齧歯類ハダカデバネズミにおける特異な免疫システムの解明,免疫システムの適切な制御は生体内外の異物に応答し恒常性を維持するために重要であり、免疫機能の量的・質的な変化は老化や疾患と密接に結びついている。申請者は最近、老化・がん化に対して著しい耐性をもつ最長寿齧歯類であるハダカデバネズミで、免疫システムが特殊化している可能性を見出した。本研究では、ハダカデバネズミと他種の免疫応答の違いを規定するメカニズムを明らかにし、疾患耐性・長寿化を実現する生体防御機構の本態を解明することを目指す。,特別研究員奨励費,小区分42030:動物生命科学関連,ハダカデバネズミ,免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00410,基礎生物学研究所,池田 達郎,精子形成に至る始原生殖細胞の系譜動態と不均一性：単一細胞解像度での解明,雄マウス胎児の始原生殖細胞（PGC）は発生過程で数万個まで増殖する。これらのPGCの一部から成体の精子産生を支える幹細胞が作られるが、具体的に何割のPGCから幹細胞が作られるのかは不明である。,特別研究員奨励費,小区分42030:動物生命科学関連,マウス,始原生殖細胞,精子幹細胞,次世代,細胞系譜,クローン,バーコード,クローン拡大,トランスクリプトーム,生殖細胞,発生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00238,国立研究開発法人理化学研究所,伊丹 暢彦,加齢卵子のジェネティクスとエピジェネティクスな異常の同定とその治療,近年わが国を含む先進諸国では、母体の加齢に伴う卵子の品質低下により受精率および出生率が低下している。加齢による卵子の品質低下は、ジェネティクス(genetics)とエピジェネティクス(epigenetics)のいずれかに起因すると考えられる。前者は、減数分裂時の染色体分配異常として現れ、これはトリソミーやモノソミーに起因する流産や産子の遺伝子疾患を引き起こす。後者のエピジェネティクスな異常は、出生後の晩期発症型疾患に関与することが考えられてる。本研究では加齢が卵子に与えるこれらの悪影響の詳細を解明し、その治療手段を見出すことを目的とする。,特別研究員奨励費,小区分42030:動物生命科学関連,加齢,卵子,マウス,卵,胎盤,インプリント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
