awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21619,大阪大学,大浦 聖矢,新規開発CRISP/Cas9システムによる病原変異の修繕法開発,近年、ゲノム上の任意の配列を標的にできるゲノム編集技術が開発され、遺伝子疾患の治療に向けた研究が急速に進んでいる。ゲノム編集技術の中でも、その高い活性と簡便性から、特に、CRISPR/Cas9に注目が集まっている。,特別研究員奨励費,小区分42040:実験動物学関連,CRISPR/Cas9,ゲノム編集,遺伝子治療,ハンチントン病,CAGリピート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15552,北里大学,高橋 悠記,マウス系統差を用いた腎症抵抗性遺伝子の同定,慢性腎臓病(CKD)は原疾患を問わず多くの腎臓病において見られる共通の病態であり最終的に腎不全に至る。ヒトCKDに類似したCKD自然発症モデルマウスの１つに、Tensin2変異マウスが報告されている。このTensin2変異による腎臓病は興味深いことにマウスの系統により病態が大きく異なる。例えばFVBマウスにTns2変異を導入すると腎症が引き起こされるが、C57Bl/6(B6)マウスにTensin2変異を導入しても腎症はほとんど見られない。このことからB6マウスは腎症に対する抵抗性因子を持っていると考えられる。我々はこのマウスの系統差に着目し、腎症に対する抵抗性遺伝子を探索することを目的とする。,特別研究員奨励費,小区分42040:実験動物学関連,慢性腎臓病,尿細管障害,腎間質線維化,糸球体障害,糸球体傷害,尿細管間質傷害,連鎖解析,原因遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15360,総合研究大学院大学,上田 奈央子,遺伝子改変マウスを用いた自発行動に関わる遺伝子の同定とその制御機構の解明,私達が日々行う、歩く、走るといった意図を持った自発的な身体行動（自発行動）は、生活上重要な行動のひとつである。自発行動は、身体的・精神的に健康な状態の維持に重要な機能を果たしているが、関与する遺伝子やその制御機構については理解が進んでいない。これまでに、ホームケージ活動性テストを用いてマウスの自発行動を調べることにより、自発行動に関与する候補遺伝子座を複数見出している。そこで本研究では、遺伝解析により示された自発行動上昇に関与する候補遺伝子座に着目し、より解像度の高い領域の絞り込みを行い、自発行動に関与する遺伝子の同定とその制御機構の解明を分子遺伝学的に行うことを目指している。,特別研究員奨励費,小区分42040:実験動物学関連,Arl8b,リソソーム,活動量,自発行動,飢餓状態,CRISPR/Cas9,Gタンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00248,東京大学,室 龍之介,ゲノム編集法に基づく生体内網羅的スクリーニング法の確立とT細胞生成機構の理解,本研究では、sgRNAライブラリーとCas9ノックイン(KI)マウスを用いた生体内スクリーニング法を確立し、未熟T細胞から成熟T細胞に至る過程で必要とされる全ての遺伝子ならびに正負の選択に必要な遺伝子を網羅的に同定することを目的とする。これらの遺伝子を同定するために、一遺伝子をランダムに欠損したHSCライブラリーを樹立し、マウス胸腺内にてT細胞分化を再構築する。目的の分化段階に達した胸腺T細胞を単離し、ゲノム内に挿入されたsgRNA配列を次世代シークエンサー(NGS)によって読み解くことで、胸腺微小環境にておこるT細胞分化に必要な遺伝子および正負の選択を制御する遺伝子の網羅的同定を目指す。,特別研究員奨励費,小区分42040:実験動物学関連,胸腺,T細胞,胸腺上皮細胞,sgRNA,CRISPR/Cas9,スクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23364,山梨大学,伊藤 大裕,フリーズドライ精子の室温保存を実用化するための新規技術開発,本研究は、“フリーズドライ（凍結乾燥）”技術を用いることで、特殊な保存環境を一切必要としない哺乳類精子の半永久的な室温保存技術の実用化を目指す。本技術の実用化には、低出産率の改善、災害が発生しても安全に精子の保存を継続できる方法の開発、精子の運動性を損なわない作製技術の開発が必要であり、トレハロースなどの糖類（保護剤）を使用した出産率の改善のほか、より実用的な保存技術の開発を試みる。,特別研究員奨励費,小区分42040:実験動物学関連,フリーズドライ精子,室温保存,シート保存,精子アルバム,郵送,凍結乾燥保護剤,常温保存,トレハロース,フリーズドライ,精子,遺伝資源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21746,筑波大学,鈴木 颯,マウス原腸胚の三胚葉形成において遺伝子発現を制御するクロマチン構造変化の解明,同一の遺伝子をもつ細胞が異なる性質の細胞に分化するためには、特定の遺伝子のみが発現する必要があり、それは転写因子とクロマチン構造の二つの機構により制御される。器官形成の基となる三胚葉形成において、各胚葉の分化に関わる特異的な転写因子の研究は活発に行われてきたことに対し、クロマチン構造の研究はほとんど行われていない。そこで本研究では、各胚葉特異的なレポーターマウスと次世代シーケンサーを利用することで、マウス原腸胚における三胚葉形成について、クロマチン構造という観点から各胚葉で特異的なオープンクロマチン領域を同定することを目指す。,特別研究員奨励費,小区分42040:実験動物学関連,原腸胚,三胚葉,レポーターマウス,FACS,ATAC-seq,RNA-seq,ゲノム編集,ノックアウトマウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01824,群馬大学,小林 良祐,発がんにおけるDNA N6メチルアデノシンの意義：がん治療の新規作用点となるか？,ゲノムDNA中のN6メチルアデノシン(6mA)の生物学的意義はほとんどわかっていない。DNA 6mAの脱メチル化酵素阻害によりがん細胞の増殖を抑制できるという報告は、すなわちDNA 6mA低メチル化状態がエピゲノム脱制御を介してがんの発生や進行の原因になっていることを示唆するのではないか？この仮説を検証するため、本研究では遺伝子改変マウスモデルを用いた解析を行い、6mA修飾と発がんとの関係を生体レベルで明らかにする。,特別研究員奨励費,小区分42040:実験動物学関連,メチル化,CRISPR,がん,エピジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J00723,大阪大学,阿部 耕太,超短命モデル脊椎動物を用いた個体老化コントロールセンター器官・細胞の探索と解析,個体レべルの老化は多数の要因が絡み合う現象であるため、老化の制御は困難であり、とくにヒトを含む脊椎動物における老化制御機構の理解は遅れている。本研究では、新たな老化モデルとして注目を集める超短命魚ターコイズキリフィッシュを用い、脊椎動物の個体老化を制御する「老化コントロールセンター器官・細胞」を特定することにより、新規な老化制御メカニズムの解明を目指す。,特別研究員奨励費,小区分42040:実験動物学関連,老化,寿命,ターコイズキリフィッシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0365,筑波大学,森本 健斗,生殖隔離遺伝子座上のmiRNA多重遺伝子ネットワークの新規遺伝学手法による探索,非コーディング配列はタンパク質の産生を調整することで生命現象を制御する。しかし、その機能領域の位置や長さが不明瞭なため、機能解析はあまり実施されていない。機能領域の特定には欠失領域が異なるマウス系統間での比較解析が有力であるが、そのためには欠失領域が少しずつ異なる多くの変異マウス系統の作出が必要である。そこで、私は特定の染色体領域に多種多様な変異を同時的かつランダムに導入する新規手法を開発する。本手法のコンセプトの証明のために、精子形成を制御する進化学的に重要なmiRNAクラスター遺伝子座に多種多様な変異を導入したマウスを多系統作出する。精子形成能の比較解析により、重要なmiRNAを特定する。,特別研究員奨励費,小区分42040:実験動物学関連,ゲノム編集,領域内ランダムミュータジェネシス,CRISPR-Cas9,PiggyBac,非コードゲノム領域,マイクロRNAクラスター,Mutagenesis,順遺伝学法,microRNA,精子形成,生殖隔離,胚盤胞補完法,減数分裂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0156,東北大学,谷 春菜,個体を用いたタンパク質翻訳の定性・定量解析によるミトコンドリア病発症機序の解明,ミトコンドリアゲノム(mtDNA)は電子伝達系に必須な遺伝子群をコードしており、これらの翻訳は全てmtDNAに由来するミトコンドリアtRNA(mt-tRNA)により行われる。mt-tRNAに生じる点変異は多様な疾患に認められるため、ミトコンドリアタンパク質翻訳の破綻がミトコンドリア関連疾患の主要因であると考えられる。しかし、個体におけるミトコンドリアタンパク質翻訳解析は技術的に困難であり、mt-tRNA点変異に起因する疾患発症の分子機構は不明である。本研究は、個体レベルでのミトコンドリアタンパク質翻訳の可視化ツールを開発し、mt-tRNA点変異によるタンパク質翻訳障害の分子機構の解明を目指す。,特別研究員奨励費,小区分42040:実験動物学関連,ミトコンドリア,ミトコンドリアゲノム,タンパク質翻訳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
