awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40094,大阪大学,古板 恭子,全自動NMR構造解析システムを用いた高分子量タンパク質の解析,溶液NMR法は、X線や電子顕微鏡と異なり、生体内に近い溶液中でのタンパク質・核酸の立体構造決定が可能であるという優れた特徴がある。しかしながら、溶液NMRによる立体構造決定には分子量制限があり、高分解能構造決定が可能なのは分子量2～3万までである。そこで本研究では、サンプル調製の工夫や新規NMR測定法の開発を行うとともに、大阪大学において開発された全自動NMR解析システムを高分子量タンパク質に最適化することで、溶液NMR法による立体構造決定の分子量制限を5万程度に緩和することを目指す。,特別研究員奨励費,小区分43020:構造生物化学関連,溶液NMR,フロリゲン,立体構造,LLPS,機械学習,タンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22030,横浜市立大学,郡 聡実,複製とカップルしたDNA維持メチル化の構造基盤,DNAメチル化は遺伝子発現の抑制に関与する重要なエピジェネティック修飾であり、分化した細胞では複製・細胞分裂を経て正確に受け継がれる。複製の直後に起こるDNA維持メチル化には、ユビキチンE3リガーゼUHRF1とDNAメチル化酵素DNMT1が必須であることが明らかとなっているが、複製とどのように連携しているかは不明である。そこで本研究では、DNA維持メチル化を制御する複製因子の構造生物学的な研究に取り組み、複製と連携したDNA維持メチル化の構造基盤の解明を目指す。,特別研究員奨励費,小区分43020:構造生物化学関連,DNAメチル化,DNA複製,構造生物学,ユビキチン化,DNA維持メチル化,エピジェネティクス,クライオ電子顕微鏡,X線溶液散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21830,東京大学,坂庭 賢太朗,構造生物学的手法を用いた、自然免疫受容体TLRのシグナル伝達機構の解明,本研究は，自然免疫受容体の一つであるToll様受容体 (TLR) の担う膜を介した細胞内外のシグナル伝達について，全長タンパク質の構造解析を通じて理解することを目的とする。,特別研究員奨励費,小区分43020:構造生物化学関連,TLR,自然免疫,構造生物学,クライオ電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20723,東京大学,蓑輪 恵一,tRNA安定化に寄与するリン酸化修飾を触媒する新規酵素ARKIの分子機構の解明,tRNAは翻訳にてコドンとアミノ酸を対応付けるアダプター分子であり、転写後に多様な転写後修飾を受ける事で成熟する。当研究室の先行研究で、好熱性アーキアtRNAの解析から新規修飾リン酸化ウリジン（UP）が発見され、tRNAに熱安定性を与えることがわかった。,特別研究員奨励費,小区分43020:構造生物化学関連,RNA修飾,tRNA,アーキア,リン酸化,好熱菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15471,兵庫県立大学,武田 英恵,一酸化窒素還元酵素反応中間体の動的構造解析による触媒反応機構の解明,土壌中の細菌や病原菌は酸素の代わりに硝酸イオンを使った呼吸により生育しているが、その過程では細胞毒性の高い一酸化窒素NOが生成されるため、細菌などはNOを速やかに無毒化する一酸化窒素還元酵素NORを有している。NORは２分子の鉄で構成された触媒部位においてNOを還元していることは分かっているが、詳細な反応機構は未解明である。本研究では、X線結晶構造解析および赤外吸収分光測定という2つの手法を用いてNOR酵素反応に伴うタンパク質の構造変化を直接観測することにより、原子レベルでの反応機構解明を目指す。,特別研究員奨励費,小区分43020:構造生物化学関連,金属酵素,ヘムタンパク質,反応機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12880,京都大学,野島 慎五,プロスタグランジン受容体活性化機構の構造生物学的解明,プロスタグランジン（PG）は細胞間のシグナル伝達を行う物質の１種であり、炎症などの多様な生体反応を引き起こすことが知られている。PGの受容体は細胞膜上に存在しており、PGを受容するとシグナル伝達分子（Gタンパク質、β-アレスチン）を介して細胞内へシグナルを伝達していく。そのため、PG受容体は創薬ターゲットと考えられている。本研究ではPG受容体をGタンパク質と結合させた状態で精製し、得られたサンプルをX線構造解析およびクライオ電子顕微鏡単粒子解析の手法で分子レベルの構造を決定することで、PG受容体の活性化機構を解明することが目的である。,特別研究員奨励費,小区分43020:構造生物化学関連,膜タンパク質,GPCR,プロスタグランジン,クライオ電子顕微鏡,構造解析,X線結晶構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19764,沖縄科学技術大学院大学,LAURINO Paola,非天然型アミノ酸生産のためのPLP依存性アミノ基転移酵素の改変,"The DPAT enzyme will be fully characterised from structural and functional perspectives, in order to understand its unusual activity in detail. Laurino group already has an established collaboration with the Jackson Lab at ANU, Australia and they will help to solve the structure of this enzyme. Then, BLAST searches will help us to find proteins structurally related to DPAT, in order to identify possible homologs with the same or similar functions and to expand our knowledge of this interesting class of enzymes. Finally the recombinant DPAT will be engineered by rounds of directed evolution.",特別研究員奨励費,小区分43020:構造生物化学関連,Phase separation,enzymes,enzyme kinetic,protein engineering,protein plasticity,Disordered regions,AGT,protocells,Liquid phase separation,Biochemistry,enzyme,library,screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19382,国立研究開発法人産業技術総合研究所,山崎 和彦,アフリカ睡眠病原虫由来ＧＰＩフォスフォリパーゼＣの立体構造解析と選択的阻害剤開発,アフリカ睡眠病に対する有効な治療薬の開発を目的とし、寄生原虫Trypanosoma bruceiの致死性タンパク質glycosylphosphatidylinositol (GPI)-phospholipase C (PLC)を標的とした阻害剤開発を行う。基質アナログおよびフラグメント低分子化合物ライブラリーから、結合分子を選別し、酵素阻害効果を評価する。また、タンパク質・阻害剤複合体の立体構造解析によって、結合機構の詳細を原子レベルで可視化する。これにより、置換基の交換や複数の低分子の融合によって強力な阻害剤の創出を行うための基盤とする。,特別研究員奨励費,小区分43020:構造生物化学関連,寄生原虫症,阻害剤開発,立体構造情報,NMR分光法,膜タンパク質,X線結晶構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J40038,神戸大学,大橋 祐美子,蛋白質の液-液相分離におけるプリオンドメインの役割の解明,細胞内液-液相分離は、複数の生体分子を局所的に濃縮し、一連の生体内化学反応を速やかに進行させる事を可能にする。また、特定の生体分子を濃縮する事で、化学修飾や分解から保護する役割も持つ。この様に生命維持に不可欠な液-液相分離だが、形成の詳細な分子機構は明らかになっていない。本研究では、液-液相分離の形成に主体的な役割を持つSup35蛋白質の天然変性領域を用い、そこに含まれるプリオンドメインと呼ばれる高凝集性領域が、どの様な分子間相互作用で液-液相分離を安定化しているのかを解明する。,特別研究員奨励費,小区分43020:構造生物化学関連,液-液相分離,アミロイド,Sup35,天然変性蛋白質,プリオンドメイン,天然変性領域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23584,総合研究大学院大学,関口 太一朗,巨大ウイルスにおける糖鎖修飾の実態解明とその生物学的意義の探究,本研究は巨大ウイルスのゲノムに書き込まれている独自の糖鎖修飾システムの機能実態の解明することを目的とする。巨大ウイルスは、そのゲノム情報から一連の糖転移酵素を持つ可能性が報告されており、糖鎖修飾が施されたタンパク質を構成要素としているものと考えられている。しかしながら、こうしたウイルスのゲノム上の糖転移酵素が実際に宿主細胞内で機能しているのか、またその糖鎖がどのような機能を持つのかは不明である。そこで本研究では、巨大ウイルスのもつ糖鎖構造、および宿主細胞内での糖タンパク質と糖転移酵素の動態を解明し、ウイルスの形態形成と機能発現に糖鎖がどのように関わっているかを明らかにする。,特別研究員奨励費,小区分43020:構造生物化学関連,巨大ウイルス,アメーバ,糖鎖,糖転移酵素,細胞内局在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20761,北海道大学,川越 聡一郎,常磁性NMRとCryo-EMにより明らかにする分子シャペロン複合体の協働機構,生体内におけるタンパク質動態の恒常性は、分子シャペロンと呼ばれる一群のタンパク質群により維持されている。これらシャペロンは複合体を形成して協働的に機能するが、シャペロン複合体のような動的で巨大なタンパク質装置の構造を解析する手法論が未構築であるために、その協働機構は解明されていない。本研究では、動的なタンパク質の相互作用解析に優れる溶液NMR法、特に常磁性ランタノイドプローブを用いた常磁性NMR法と、巨大なタンパク質の構造解析が可能なcryo-EM単粒子解析法を用いた、動的な巨大タンパク質複合体の立体構造解析における新たな手法論を構築し、シャペロン複合体の協働機構を明らかにする。,特別研究員奨励費,小区分43020:構造生物化学関連,分子シャペロン,NMR,cryo-EM,複合体立体構造,液-液相分離,転写因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11932,東北大学,平山 千尋,PDIファミリー酵素が触媒する翻訳途上新生鎖の酸化的フォールディング機構の解析,真核生物において、リボソームで翻訳された新生ポリペプチド鎖 (以下、新生鎖)の約30%は小胞体内に挿入され、ジスルフィド結合の形成を伴った立体構造形成 (酸化的フォールディング)を経て天然型の立体構造を獲得する。この過程で、PDIファミリー酵素が「翻訳中」の新生鎖にジスルフィド結合を導入することで、効率的に酸化的フォールディングを促進すると考えられているが、この過程のメカニズムの理解は進んでいない。本研究では、翻訳途上の新生鎖の酸化的フォールディングを触媒するPDIファミリー酵素の作用機序の解明を目指す。,特別研究員奨励費,小区分43020:構造生物化学関連,新生鎖,ジスルフィド結合,PDIファミリー酵素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00329,大阪大学,錦野 達郎,べん毛モーター固定子の構造変化により生じるエネルギー変換機構の解明,"細菌のべん毛モーターは、「回転子」と「固定子」と呼ばれるタンパク質複合体が相互作用することで、膜内外に形成される電気化学ポテンシャルを運動エネルギーに変換し回転する。このエネルギー変換の分子機構の理解には、回転子固定子間相互作用を明らかにする必要があるが、PomA, PomBからなり、イオンチャネルとして働く固定子は、複合体での精製が困難な膜蛋白質であるためその構造が明らかでない。近年、固定子複合体を高い純度で再現性よく精製する方法が確立されたことから、申請者は核磁気共鳴法、単粒子解析法等の構造解析学的手法により、固定子複合体の動的な構造変化の解明とエネルギー変換の分子機構の理解を目指す。",特別研究員奨励費,小区分43020:構造生物化学関連,Sodium channel,Bacterial flagellum,Energy conversion,Flagellar stator,PomAPomB,Solution NMR,Cryo-EM,Single particle analysis,細菌べん毛モーター,固定子,エネルギー変換,クライオ電子顕微鏡,単粒子解析,溶液NMR,イオンチャネル,べん毛モーター,固定子複合体,回転子,FliG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12357,北海道大学,杉山 葵,狂犬病ウイルス免疫不活化機構の分子基盤解析 -宿主指向性・病原性要因の解明-,新型コロナウイルスSARS-CoV-2を取りあげるまでもなく，ウイルスはゲノム変異により病原性が常に変化する可能性を孕んでいる。この変化は，宿主の免疫機構を阻害できるか否か（Counteraction機構）に起因するため，弱毒ウイルスの強毒化を考える上で，Counteraction機構を考えることは重要である。本研究では，狂犬病の理解・感染防御のため，狂犬病ウイルスのP蛋白質（RVPC）が，宿主免疫の中心を担うSTATを不活化する機構を原子レベルで解明することを通じて，狂犬病ウイルスが獲得したCounteraction機構の解明を目的とする。,特別研究員奨励費,小区分43020:構造生物化学関連,蛋白質科学,クライオ電子顕微鏡,X線結晶構造解析,狂犬病ウイルス,免疫分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F20800,東京医科歯科大学,藤吉 好則,ユビキチン化によるアクアポリン２の輸送制御機構の研究,ヒトの身体で最も多い分子は水であり、それゆえ、水含量は身体の恒常性維持には重要である。その水含量は、アクアポリン-2（AQP2）と呼ばれる水チャネルが腎臓の尿細管表面に存在する量によって、ダイナミックに制御されている。AQP2はユビキチン化されることなどにより細胞内に取り込まれたり、分解を受けたりすることが知られているが、そのAQP2を修飾するE3と呼ばれる合成酵素とAQP2との相互作用を構造学的に研究することで、尿細管の細胞表面におけるAQP2の量を制御する薬剤の設計にも役立つ構造情報を取得する。,特別研究員奨励費,小区分43020:構造生物化学関連,Aquaporin-2,Ubiquitin,E3 ligase,FSEC,CryoEM,AQP-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2566,横浜市立大学,牛島 弘嗣,ヌクレオソームコア粒子とMeCP2、SUV39H1三者複合体の構造解析,MeCP2はDNAメチル化を認識して結合することが知られている。MeCP2はレット症候群やがんなどの様々な疾患との関連が報告されている。MeCP2は様々な因子との相互作用が報告されており、生体内で様々な役割を果たしていることが考えられる。近年、同じくヘテロクロマチンのマーカーであるH3K27のトリメチル化（H3K27me3）を直接認識して結合することが示唆された。これはMeCP2のゲノム上での分布に影響を与えている可能性が考えられる。本研究では、MeCP2のH3K27me3認識機構を明らかにすることを目的としている。,特別研究員奨励費,小区分43020:構造生物化学関連,エピゲノム,ヌクレオソーム,MeCP2,ヒストンメチル化,構造生物学,クライオ電子顕微鏡,ヘテロクロマチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1638,京都大学,慈幸 千真理,哺乳動物FoF1ATP合成酵素全体の構造解析によるエネルギー変換の原子機構解明,哺乳動物ミトコンドリアFoF1ATP合成酵素によるエネルギー変換メカニズムは、50年以上にもわたって構造解明の取り組みがなされ、クライオ電顕の技術発展によって部分的には明らかになっているものの、本酵素の働きについては、まだ未解明な点が多い。本酵素は柔軟で回転を伴うため著しく不安定であり、これが本酵素全体の均一な精製標品を得ることを難しくしており、このことが構造解析の発展を妨げている。これに対し申請者は、独自の精製手法の開発により安定な精製標品を大量精製し（京都大学より特許PCT出願ずみ）、全長の高分解能構造解析と、本酵素の経時変化がわかる単粒子動的構造解析を目指している。,特別研究員奨励費,小区分43020:構造生物化学関連,ATP合成酵素,テトラマー,IF1,ミトコンドリア,単粒子構造解析,膜蛋白質複合体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
