awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18788,慶應義塾大学,荒川 和晴,網羅的ゲノム解析によるクマムシ陸上進出進化過程の解明,前年度までの解析の結果、より詳細な解析が必要と考えられる特定の分岐に該当する系統のクマムシであるThulinius ruffoi (真クマムシで、 祖先型は陸生で乾眠能力を持つが、本種は淡水生となり、乾眠能力を失っている)のゲノム解析を進め、研究結果を論文にまとめた。これまでに解析が済んでいる約50種のクマムシゲノムを用いて、クマムシの系統分類をBUSCO遺伝子を用いて再検証した結果、近年その系統に疑問が呈されたハナレヅメ目について、従来の分類で問題ないことを確認し、Zoologica Scriptaに報告した。また、陸上進出に関連する視覚に関連する遺伝子Opsinの多様化について解析したところ、真クマムシと異クマムシで独立してOpsinの重複・多様化が起きていることを確認した。これはこれまでに報告されている乾眠関連遺伝子が独自に真クマムシと異クマムシで獲得されている可能性などと一致し、クマムシにおける陸上進出が複数回おきている可能性がより強いものとなった。本研究についても論文が現在投稿中である。さらに、乾眠関連遺伝子CAHSやSAHSなどの系統樹と他のDNA修復・酸化ストレス応答に関連する遺伝子を用いて、化石証拠が豊富に存在する節足動物を外群として脱皮動物の大系統を解析し、緩歩動物内における分岐年代を推定したところ、最初期の陸上進出はカンブリア紀の直後、オルドビス紀であることが推定された。これは他の節足動物の陸上進出年代として推定されているものと一致する。,特別研究員奨励費,小区分43050:ゲノム生物学関連,クマムシ,緩歩動物,分子系統解析,年代推定,オプシン,乾眠,進化,系統解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18385,東京工業大学,二階堂 雅人,全ゲノム比較による生物の多様性創出の分子メカニズム解明,本研究の主な目的は、近年のシーケンサーの技術開発に伴って全ゲノム配列が広く公開された哺乳類について、遺伝子型と形質の相関性解析をおこなうことで、表現型を支配する遺伝子群を網羅的に探索していくことである。本研究期間中において、我々が共同研究によって決定したオオコウモリゲノム2種の配列に加え、その他哺乳類22種の全遺伝子を網羅的にアラインメントし、まずは哺乳類の大系統樹の構築をおこない、オオコウモリの系統的位置に関する新しい知見を得た。続いて、その系統樹情報とアラインメント情報について、進化解析プログラムPAMLを用いた解析をおこなうことで、オオコウモリに特異的な形質に関わる遺伝子を網羅探索した。その結果、オオコウモリにおいては免疫系やアミノ酸代謝に関わる遺伝子において自然選択の働いた痕跡を見出すことに成功した。この結果は、オオコウモリにおける高い抗ウィルス免疫力を持つことや、果物食に偏った食性を持つことと強く関連すると示唆され、この成果はゲノム分野の国際誌であるDNA Researchに掲載された。また、上記の種間比較に加えて同種内の多個体のデータを統合して解析することで、種内の多様性は新規の突然変異よりもむしろその祖先から引き継いだ進化速度により大きな影響を受けることを明らかにした。この成果の内容は国際誌に投稿し現在は査読を受けているところである（査読前の原稿はBioRxivで公開中）。大規模ゲノム比較に関する一連の研究で、遺伝的多様性を生み出すメカニズムや、それに起因する表現型の多様性に関わる具体的な遺伝子を明らかにすることができたと考えている。,特別研究員奨励費,小区分43050:ゲノム生物学関連,全ゲノム比較,哺乳類,進化速度,ゲノム進化,種特異的進化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23094,東京大学,西村 正宏,転写因子p53-ヒストン相互作用を介した、転写活性化メカニズムの解明,真核生物のゲノムDNAは、階層的に折りたたまれたクロマチン構造を形成して細胞核内に収納されている。クロマチンの構造は、遺伝子の働きを調節する転写因子がDNAと結合可能なゲノム領域を制御する。転写因子p53は通常の転写因子が結合できないゲノム領域のDNAと結合し、クロマチン構造を変化させることでがんの抑制に関わる遺伝子の働きを活性化させることができると考えられているが、その詳細なメカニズムは不明である。そこで本研究では、p53によるクロマチン構造変換のメカニズムを生化学的・構造生物学的解析により明らかにする。,特別研究員奨励費,小区分43050:ゲノム生物学関連,p53,クロマチン,ヌクレオソーム,ヒストン,パイオニア転写因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10106,総合研究大学院大学,齋藤 絡,トランスポゾンの抗抑制因子が備える配列特異性創出機構の解明・応用,シロイヌナズナのトランスポゾンVANDALがコードする抗抑制因子VANCに着目し、その標的配列の特異性を創出するメカニズムを明らかにすることで、トランスポゾンが宿主の抑制に対しどう対抗してきたかの理解を試みる。,特別研究員奨励費,小区分43050:ゲノム生物学関連,トランスポゾン,エピジェネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01713,東京大学,伊東 潤平,内在性レトロウイルスを摂動とする遺伝子発現および腫瘍病態の変容メカニズムの解明,"ヒト内在性レトロウイルス（HERV）の発現は、正常な組織においてはエピジェネティックな機構により抑制されているが、腫瘍においては異常に活性化されていることが知られている。申請者はこれまでに、腫瘍検体マルチオミクスデータの大規模な再解析（5,550検体分）を行い、「腫瘍におけるHERVの異常な活性化が、転写抑制因子群の発現誘導を介し、腫瘍の形質および病態予後に影響を及ぼす」という仮説を見出した。",特別研究員奨励費,小区分43050:ゲノム生物学関連,がん,遺伝子発現制御ネットワーク,トランスポゾン,ジャンクDNA,内在性レトロウイルス,Pan-cancer analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01251,東京農業大学,前田 海成,シンテニー解析と合成生物学的手法の融合によるシアノバクテリア硫酸多糖合成系の同定,硫酸基で修飾された細胞外多糖(硫酸EPS)は、バクテリアの中ではシアノバクテリアが特異的に合成する。硫酸EPSの合成・制御系の解明は、シアノバクテリアの生態の理解に繋がるだけでなく、医薬品等として期待されている硫酸EPSの発酵生産などの応用研究においても重要であるが、これまでに明らかにされたものは研究代表者による一例(Xss)のみである。本研究では、Xssの情報を手掛かりとし、相同性とゲノム上の位置関係から未知合成系遺伝子を推定する手法(シンテニー解析)と、形質転換できない種の遺伝子を形質転換可能な別の種に導入する異種発現システムを組み合わせ、多様な新規硫酸EPS合成系の同定を目指す。,特別研究員奨励費,小区分43050:ゲノム生物学関連,細胞外多糖,シアノバクテリア,硫酸多糖,合成生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00883,基礎生物学研究所,鈴木 美有紀,時空間的に内在性遺伝子を誘導する人工転写因子システムの開発,器官形成や再生において、形態形成遺伝子の時空間的かつ厳密な制御はきわめて重要である。この問題に取り組むには、個体レベルで自由かつ時空間的に内在遺伝子を誘導できるシステムの開発が必要不可欠である。本申請課題では、単一細胞レベルで外来遺伝子を発現誘導する技術である赤外レーザー誘起遺伝子発現操作法(IR-LEGO)と、ゲノム編集技術を応用した人工転写因子システムを組み合わせ、任意の細胞において内在標的遺伝子を時空間的に誘導制御できるシステムの開発を行う。,特別研究員奨励費,小区分43050:ゲノム生物学関連,人工転写因子,ゲノム編集,両生類,トランスジェニック,器官再生,トランスクリプトーム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19386,国立研究開発法人理化学研究所,SHIN JAE・WOO,脳のコレステロール代謝を調節する長鎖ノンコーディングRNAの機能解明,"This study will investigate how brain cholesterol levels are regulated by long non-coding RNAs (lncRNAs). Cellular cholesterol levels are controlled by a careful balance of synthesis, uptake and efflux. Notably, 40% of long ncRNAs are expressed in the brain. Therefore, this project will be the first to investigate lncRNA functionality on cholesterol metabolism in neurons.",特別研究員奨励費,小区分43050:ゲノム生物学関連,CRISPR,single-cell,transcriptomics,iPS-derived neurons,iPSC differentiation,Non-coding RNA,Genomics,Neurodegeneration,iPSC to neuron,cholesterol modulation,neuron-astrocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23795,京都大学,LEE SUJI,病院性変異の修正を目的としたアレル特異的ゲノム編集方法の確立,"This research aims to discover a novel strategy for the correction of dominant mutation based on the haplotype-specific approach with the CRISPR/Cas9 system. To this end, we would like to not only examine widely-used gene editing strategies but also focus on mitotic interhomologous recombination (IHR). We would like to make use of mitotic IHR especially in human iPS cells to develop a gene editing technology which doesn't require template donor vectors. We expect to provide an alternative way of gene editing which utilizes and also conserves the genomic context of target cells.",特別研究員奨励費,小区分43050:ゲノム生物学関連,Interhomolog repair,Mitotic IHR,MhAX,Allele-specific,Gene editing,CRISPR/Cas9,Donor-free gene editing,Cell cycle modulation,Aphidicolin,Human iPS cells,allele-specific,Dominant mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22607,京都大学,北尾 晃一,転写後遺伝子発現制御における内在性ウイルス由来配列の寄与,哺乳類のゲノムには、古代に宿主の生殖細胞に感染したウイルス（内在性ウイルス）に由来する配列が多数存在する。近年、内在性ウイルスに由来するタンパク質や転写制御配列の機能が続々と報告されており、内在性ウイルスはゲノム進化の原動力となってきたことが明らかとなっている。しかし、内在性ウイルス配列によるRNAレベルでの「転写後制御」については未だ研究が進んでいない。本研究では、2019年に我々が報告した内在性レトロウイルス由来の転写後制御配列SPREをモデルに、宿主の転写後制御における内在性ウイルス配列の役割について検証する。,特別研究員奨励費,小区分43050:ゲノム生物学関連,内在性レトロウイルス,転写後遺伝子発現制御,RNAエレメント,RNA結合タンパク質,トランスポゾン,ゲノム進化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
