awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18382,京都大学,井垣 達吏,ｍｉＲＮＡを介した細胞競合制御機構の遺伝学的解明,上皮組織中に極性崩壊細胞が生じると、近接する正常細胞との相互作用を介して組織から排除される現象が存在し、「細胞競合」と呼ばれている。受入研究者らのグループはこれまで、ショウジョウバエ上皮において極性崩壊細胞クローンを誘導すると周囲の細胞細胞との細胞競合を介して排除される現象を見いだし、その分子機構を明らかにしてきた。外国人特別研究員のWang博士はまず、このような細胞競合にmiRNA機構が重要な役割を果たすことを発見し、これをきっかけにmiRNAによる腫瘍増殖・細胞競合制御の解析を行った。その結果、ショウジョウバエゲノム上で近接して（クラスターとして）存在するmiRNA-306およびmiRNA-79がJNKシグナル活性の増強を介して腫瘍増殖の抑制や細胞競合の促進を引き起こすという興味深い現象を発見した。これらのmiRNAは、いずれも単独では細胞増殖にはほとんど影響しないが、JNKを活性化した腫瘍細胞や細胞競合の「敗者細胞」において発現させると腫瘍増殖の顕著な抑制や敗者細胞の排除の促進が起こることがわかった。さらなる解析により、これらのmiRNAはいずれもE3リガーゼdRNF146を直接標的にしてその発現を低下させ、その結果JNKシグナルを活性化する非古典的な経路が活性化することでJNK活性の顕著な増強が起こり、腫瘍増殖の抑制や敗者細胞の排除の促進が引き起こされることが明らかになった。以上の結果は、miRNAを用いた新たながん治療戦略の基盤構築につながる可能性がある。,特別研究員奨励費,小区分44010:細胞生物学関連,microRNA,細胞競合,ショウジョウバエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23315,東京大学,小川 笑満里,STINGを介したI型インターフェロン応答の収束機構の解明,STING経路は、ウイルス感染時、そして自己炎症性疾患や老化においてに細胞質中に露出したDNAに応答してI型インターフェロン等を誘導するシグナル伝達経路である。自己炎症性疾患等においては過剰なSTING経路の活性化を抑制することは重要となる。STINGの活性化機構は明らかとされている一方で、そのシグナル収束の分子機構は全く不明である。私はSTINGの細胞内局在とシグナル収束の関係を解析する中でリソソームへと輸送されてSTINGは分解され、I型IFN産生が収束していることを見出した。,特別研究員奨励費,小区分44010:細胞生物学関連,リソソーム,自然免疫,細胞内膜輸送,小胞体,ゴルジ体,COPAシンドローム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22142,関西学院大学,廣瀬 友衣奈,上皮組織が非対称性を獲得する仕組みに迫るー局所的なEMTを担う分子の実体解明ー,本研究の概要は、非対称な上皮組織を作り出す要因となる「局所的な上皮-間葉転換(EMT)」の分子機構を解明することである。乳腺上皮は、成体期に微小環境に応じてダイナミックな形態変化を繰り返す生体内でも数少ない組織であり、乳腺の非対称性は局所でこのEMTを起こすことで構築される。これらは、液性因子や細胞外マトリクス等のシグナルが複雑に統制し合いながら進行するとされるが、その制御実体には現在も不明な点が多い。本研究では、乳腺の非対称な上皮構造形成に関わる局所的なEMTの分子機構の実体を解明することを目指した。,特別研究員奨励費,小区分44010:細胞生物学関連,乳腺,上皮-間葉転換,上皮形態形成,Syntaxin4,Syntaxin-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21731,東北大学,小日向 寛之,新規遺伝子slc-25A46の機能解析から神経ミトコンドリア輸送機構の解明に挑む,ミトコンドリアの分裂と融合の動態変化はミトコンドリアの機能維持に重要である。ミトコンドリア動態を担う因子の異常は、細胞内のミトコンドリア輸送を低下させることが知られているが、そのメカニズムはよく分かっていない。所属研究室で単離された線虫slc-25A46変異体では、神経細胞の樹状突起内のミトコンドリアの大きさと数が減少していた。哺乳類SLC25A46はミトコンドリア動態因子であることが示唆されている。したがって本研究では、線虫slc-25A46遺伝子の機能解析を通し、神経内のミトコンドリア動態とミトコンドリア輸送の間の関係性を明らかにすることを目指す。,特別研究員奨励費,小区分44010:細胞生物学関連,C. elegans,slc-25A46,mitochondria,ミトコンドリア,神経変性疾患,線虫C.elegans,細胞内輸送,線虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21426,東北大学,朽津 芳彦,グルタミン飢餓により誘導される新規リソソーム活性調節機構の解明,リソソームは酸性加水分解酵素を含むオルガネラで、膜内に取り込まれた生体分子の分解に関与している。オートファジーが亢進し、リソソームへ多くの基質が流れ込む栄養飢餓時には、リソソームの分解能が亢進していると考えられる。しかしながら、これまで飢餓によるリソソームの分解能の調節機構はほとんど分かっていない。申請者は、低分子量Gタンパク質Rab7の欠損細胞の解析を通して、グルタミン飢餓により、リソソームの分解能が急速に亢進する現象を独自に見出した。本研究では、このRab7欠損細胞をモデル系に用いて、細胞がグルタミン飢餓を感知する分子メカニズムを解明することで、新規リソソームの活性調節機構の解明を目指す。,特別研究員奨励費,小区分44010:細胞生物学関連,リソソーム,オートファジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21096,甲南大学,杉本 渉,抗がん剤感受性を決定するアクチン動態の解析および新規治療標的の同定,我々は、遺伝子変異や柔らかい足場環境下での生育によりがん抑制遺伝子p53の機能が低下した細胞に対して、抗がん剤処理などのDNA損傷刺激を与えることで核内のアクチンが強固なファイバーを形成することを見出した。この核アクチンファイバーの形成が、細胞の抗がん剤感受性を制御していると考え、この構造体の太さや向きなどの構造的特長、形成に関わる遺伝子やタンパク質との位置関係、クロマチン構造との関係性について電子顕微鏡や共焦点顕微鏡を用いて解析を行う。それにより、この構造体の機能や生理学的意義を明らかにし、抗がん剤耐性を獲得した細胞に対しても高い効果が期待できる治療法の確立を目指す。,特別研究員奨励費,小区分44010:細胞生物学関連,アクチン,p53,カスパーゼ,核アクチンファイバー,がん,抗がん剤耐性,DNA損傷,メカニカルストレス,actin,DNA damage,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20619,筑波大学,矢野 更紗,中枢神経系における微小核の新規形成機構と機能の解明,脳の発生過程においてミクログリアが異常な神経細胞を認知・除去する分子機構の一端として、大脳皮質の神経細胞に見られる微小核に着目した。微小核は、がん細胞などゲノム不安定性が高い細胞で高頻度に見られ、核酸と核膜から構成される直径1 μm程度のオルガネラである。これまでに、ミクログリアが神経細胞から分泌された小型の核を取り込み、微小核として保持している可能性が示唆された。本課題では、発生過程の脳で起こる神経細胞―ミクログリア間の微小核の伝播機構とミクログリアにおける微小核の機能を明らかにすることを目的とする。,特別研究員奨励費,小区分44010:細胞生物学関連,微小核,ミクログリア,神経細胞,細胞移動,自然免疫応答,情報伝播,脳発生,大脳皮質,細胞外分泌因子,細胞間コミュニケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20538,総合研究大学院大学,山本 啓,非筋ミオシン活性の可視化と光操作による細胞分裂制御機構の解明,"動物細胞における細胞質分裂の過程は、非筋ミオシンII（NMII）およびアクチンフィラメントが協働的に生み出す収縮力や張力といった、力学的制御に基づく形態変化を伴う。しかし、分裂過程の細胞が生み出す力の制御機構の頑強性に関する知見は少なく、細胞質分裂の本質的な理解には至っていない。本研究では、FRETにより分裂過程におけるシグナル伝達因子であるECT2, RhoAや、NMIIの活性を可視化することを試みる。さらに、光遺伝学的に細胞内局所的なNMIIの活性化/不活性化を人為的に誘導する系を構築する。これらにより、普遍的な現象である細胞質分裂の、力学的な制御機構の理解が期待される。",特別研究員奨励費,小区分44010:細胞生物学関連,ミオシン,アクチン,細胞質分裂,細胞骨格,光遺伝学,ミオシンII,細胞分裂,MYPT1,イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20223,大阪大学,LIU YANG,TORC1シグナル経路を介したミトコンドリア特異的オートファジーの制御機構の解明,選択的ミトコンドリア分解（マイトファジー）は、酵母からヒトまで保存された基本的な仕組みの一つであり、余剰または不良ミトコンドリアを隔離・除去することで、ミトコンドリアの量や質を適切に維持するために機能していると考えられている。マイトファジーを駆動するには、オートファジーの仕組みをミトコンドリアへ限定的に局在させることが必須である。本研究では、酵母細胞が非発酵性増殖の静止期において、どのような分子機構でマイトファジーを開始・誘導するのかを明らかにしてゆく。,特別研究員奨励費,小区分44010:細胞生物学関連,Mitophagy,Mitochondria,Autophagy,Yeast,mitophagy,yeast,TORC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14877,大阪市立大学,新美 柊子,中心体とカルシウムイオンシグナル～細胞膜新生の分子メカニズム,中心体は微小管の形成中心として働くことがよく知られるが、もう1つの役割を担っている。それは「細胞膜新生の起点」である。この役割はヒトだけでなく、酵母の胞子形成においてもみられる。しかし、その分子メカニズムはまだ完全には解明されていない。本研究では、「分裂酵母の胞子細胞膜形成開始の分子メカニズムを解明すること」を目的とする。これまでに、Caイオン結合タンパク質であるカルモジュリンがこの膜形成開始に必須であることが明らかにされた。そこで、Caイオンに注目し、Caイオンシグナルによる胞子細胞膜形成の制御メカニズムを明らかにすることで目的を達成することを目指す。,特別研究員奨励費,小区分44010:細胞生物学関連,中心体,細胞膜,分裂酵母,胞子,Caイオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
