awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22506,東京大学,小金澤 優太,一細胞計測と光遺伝子操作を利用した遺伝型-表現型対応の履歴依存性の理解,ある環境での細胞の表現型を遺伝型がどれだけ厳密に決定づけるかという問いは遺伝学の重要な課題の一つである。これまでの研究では薬剤耐性について、耐性遺伝子を失っても細胞の置かれている環境に依存して耐性を維持できる細胞が現れることを確認した。,特別研究員奨励費,小区分45010:遺伝学関連,一細胞計測,光遺伝学,遺伝型-表現型対応,薬剤耐性,適応,リボソーム,遺伝子組換え法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J30004,甲南大学,岡畑 美咲,動物の温度馴化多様性と神経回路の解析,"動物の温度応答機構や新しい温度に馴れる仕組みの解明を目指して、モデル動物である線虫C. elegansの温度応答性を解析している。これまでに、環境の酸素濃度が温度応答性に影響を与えることが分かってきた(Okahata et al., Science Advances, 2019)。さらに、産地の異なる線虫によって温度応答性が異なり、その原因となる遺伝子は酸素受容ニューロンで発現していた。そのため、酸素受容の多様性によって産地の異なる線虫の温度応答性が変化している可能性が考えられる。本研究では、進化的に保存されてきた複数の情報を処理する新規の神経回路機構の同定を目指して解析を行う。",特別研究員奨励費,小区分45010:遺伝学関連,線虫C. elegans,低温順化,多型株,神経回路,温度応答,温度馴化,酸素,カルシウムイメージング,線虫,C. elegans,温度順化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2986,長浜バイオ大学,富原 壮真,雄のスニーカー行動を司る神経遺伝学的メカニズム,雌雄の性を持つ動物種において、多くの場合メスがオスを配偶者として選好するため、メスに選好されやすい形質を持つオスが生殖を完遂させる傾向にある。一方で、メスによる選好に不利なオス個体が有利なオス個体を出し抜いて性行動を行う「スニーカー行動」が見られることが分かっている。しかし、スニーカー行動を行うオスがどのように出現するのか、またこの行動を引き起こす神経メカニズムは分かっていなかった。本研究では、メダカ近縁種のうち、オスに選ばれにくい形質を持つオスが一定数存在するタイメダカをモデルに、遺伝学的手法や、遺伝子工学・生理学的手法を組み合わせ、これらのメカニズムを明らかにする。,特別研究員奨励費,小区分45010:遺伝学関連,メダカ近縁種,タイメダカ,性行動,スニーカー行動,全ゲノム解析,性染色体,第二次性徴,ステロイドホルモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2552,東京都立大学,藤近 敬子,オウトウショウジョウバエの休眠誘導機構に時計遺伝子は介在するか？,休眠は昆虫の季節性環境への適応機構であり、休眠誘導機構は日長の変化という環境シグナルの感知により開始する。昆虫には他の生物と同様に概日リズムがあり、リズムの形成は光が影響するため、リズムを形成する時計遺伝子との関連性が示唆されている。しかし、時計遺伝子の休眠誘導機構への介在の詳細を実験的に明らかにした例はない。本研究では、時計遺伝子の研究が最も進んでおり、野外での休眠が報告されている複数のショウジョウバエの休眠系統と非休眠系統で、①時計遺伝子の振動パターンの比較、②時計遺伝子をノックアウトした個体の休眠形質の観察を行い、休眠誘導機構への時計遺伝子の介在を分子レベルで明らかにすることを目指す。,特別研究員奨励費,小区分45010:遺伝学関連,ショウジョウバエ,季節適応,休眠,地理的変異,時計遺伝子,生殖休眠,環境適応,CRISPR-Casシステム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0002,北海道大学,蛭田 千鶴江,甲殻類の単為発生機構の多様性と進化,本研究は、卵が受精することなく単独で発生する単為発生という現象に着目し、甲殻類にみられる単為発生様式の詳細を明らかにしようとするものです。甲殻類を材料に、卵を形成するための減数分裂の機構がどのように改変されることで単為発生が獲得されるのかを明らかにしていきます。本研究を通して、甲殻類の単為発生機構の多様性と進化過程に関する理解を深めることを目指しています。,特別研究員奨励費,小区分45010:遺伝学関連,甲殻類,単為生殖,減数分裂,生殖細胞形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2236,大阪大学,岡畑 美咲,動物の温度馴化を制御する神経回路の解析,動物が温度変化に馴れるメカニズムの解明を目指して、線虫C. elegansの低温馴化現象を用いて、神経系の解析を行なっている。これまでに、産地の異なる線虫の温度応答性の違いを生み出す原因遺伝子を同定した。この遺伝子は酸素受容ニューロンで発現していた。酸素濃度が温度応答性多様性を生み出す可能性を考え、進化的に保存されてきた温度と酸素情報処理に関わる神経回路機構の解明を目指す。,特別研究員奨励費,小区分45010:遺伝学関連,温度馴化,多様性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2158,国立遺伝学研究所,坂本 貴洋,地理的空間における適応の集団遺伝学,集団遺伝学は、理論研究による予測と実際のゲノムデータを比較することで、過去の進化の歴史を明らかにしてきた。今日では技術の発展により、大量のデータが得られるようになった。しかし、理論研究では、分布の広がりを考えない単純なモデルが主に使われており、データの持つ地理情報などが十分に生かせていない。本研究では、このデータと理論のギャップを埋めるため、地理的な分布の広がりを明示的に考慮に入れた、新たな集団遺伝理論を構築する。,特別研究員奨励費,小区分45010:遺伝学関連,集団遺伝学,進化シミュレーション,局所適応,拡散近似,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ2171,甲南大学,山城 芹奈,筋肉リソソームの金属イオン蓄積による線虫の低温耐性の制御,地球温暖化の現代において、動物の温度耐性機構の解明は重要な課題である。これまでに、線虫の低温耐性変異体の原因遺伝子として、細胞内小器官に存在する輸送体を発見した。低温耐性において、この輸送体は頭部の組織の細胞内小器官で機能する可能性が得られた。線虫変異体の低温耐性異常は、金属イオンなどを基質とするマウスやヒトのホモログ遺伝子を導入することで回復する可能性が得られた。本研究では、この金属イオン輸送体がどのように個体の低温耐性を変化させているのかを明らかにする。また、低温耐性に関わる筋肉、神経細胞や腸等における細胞内小器官の金属イオン濃度と動物個体の温度耐性との相関性も捉える。,特別研究員奨励費,小区分45010:遺伝学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ0087,総合研究大学院大学,荻田 悠作,なぜ遺伝子は増えるのか？　~重複遺伝子保存性と遺伝子発現制御ネットワーク進化~,生命が多様化・複雑化する上で、突然変異の一種、遺伝子重複によって新しい遺伝子が生まれ、ゲノムは進化してきた。本研究では、スーパーコンピュータを駆使した生物進化シミュレーションにより、重複した遺伝子の進化を明らかにする。,特別研究員奨励費,小区分45010:遺伝学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ0397,国立研究開発法人理化学研究所,江副 晃洋,ホメオログ遺伝子の機能変化に着目したキヌアの超高塩ストレス耐性メカニズムの解明,食料問題の解決や作物の高付加価値化を達成するため、収量増大や食味向上などの有用な農業形質が、多様な遺伝資源から選抜されてきた。特に通常２倍体が倍加した異質倍数体は、多様性をもつ遺伝資源であり、重要作物の多くが異質倍数体であることからも、有用な農業形質が存在すると期待される。異質倍数化によって形成された種は、すべての遺伝子セットが重複しており、それらの遺伝子ペアはホメオログ遺伝子ペアと呼ばれる。このホメオログ遺伝子の機能変化が、有用な農業形質の源泉となっている可能性があるため、本研究ではこのホメオログ遺伝子において、特徴的な機能変化が生じたペアの探索を行う。,特別研究員奨励費,小区分45010:遺伝学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
