awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18405,長崎大学,黒田 直敬,キノンをシグナル発生タグとして用いるＨＣＶ抗原の非酵素的化学発光イムノアッセイ,"本研究の目的は、化学発光イムノアッセイにおける検出手段として一般的な酵素標識法に代わる新たな手段として、キノンをシグナル発生タグとして用いる非酵素的超高感度化学発光法を開発し、化学発光イムノアッセイへ応用することにある。今年度は、キノンをシグナル発生タグとして用いる化学発光イムノアッセイに特化した化学発光試薬として発光部位と還元部位とをあわせ持つ ABEI-LA を開発した。ABEI-LA はルミノール誘導体である N-(4-aminobutyl)-N-ethylisoluminol (ABEI) と還元剤 α-リポ酸（α-lipoic acid, α-LA) とを直接結合させることで合成した。ABEI-LA溶液とユビキノンやドキソルビソンといったキノンの溶液とを混合したところ、長時間持続する強い発光が観察された。このことから ABEI-LA のリポ酸部位によりキノンの酸化還元サイクルが誘起され、それに伴って発生したスーパーオキシドアニオンラジカルがルミノール部位と反応することで発光が生じたと考えられた。ABEI-LA の発光は、ABEI と α-リポ酸を別々に添加した場合に得られる発光と比較して高い値を示した。この理由として、化学発光部位と還元部位との近接による化学発光反応の効率化が考えられた。本研究で開発した新規化学発光試薬 ABEI-LA はキノンをシグナル発生タグとして用いる非酵素的化学発光イムノアッセイのさらなる高感度化に有用であると期待される。",特別研究員奨励費,小区分47020:薬系分析および物理化学関連,キノン,化学発光,イムノアッセイ,酸化還元サイクル,非酵素的化学発光イムノアッセイ,シグナル増幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23595,名城大学,仲吉 朝希,タンパク質中アミノ酸残基の非酵素的立体反転についての計算化学的研究,量子化学計算を用いてアミノ酸残基の立体反転経路の探索を行い、アミノ酸残基の立体反転機構を解明する。生体内には水分子やカルボン酸、無機リン酸などの低分子化合物、さらには金属イオンが有意量存在するため、これらの触媒能についても評価する。また、D-アミノ酸残基を含むタンパク質の立体構造を予測し、アミノ酸残基の立体反転がタンパク質の立体構造や柔軟性にどのような影響を及ぼすか検討する。さらに、タンパク質中のD-アミノ酸残基を認識してL-アミノ酸残基へ変換する修復酵素がD-アミノ酸残基を特異的に認識する機構について解明する。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,D-アミノ酸,非酵素的反応,量子化学計算,分子動力学シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21452,九州大学,古庄 仰,キラルアミノ酸の三次元HPLC一斉分析法開発と腎・心不全の新規診断マーカー探索,アミノ酸には一般に異なる二つの形（L体とD体）が存在し、高等生物は主にL体を利用している。一方、生体内には微量ながらD体も存在し、腎疾患患者の血中ではその含量が顕著に増加すると報告されていることから、バイオマーカー候補として有用性が注目されている。しかし、多種多様な夾雑成分を含むヒト血液・尿中で微量D-アミノ酸を正確に分析することは困難であり、従来の方法では定量不能となるD体が数多く存在した。そこで本研究では高感度選択的三次元高速液体クロマトグラフィー法を開発し、腎不全及び高頻度で併発する心不全を対象としてD体とL体を区別したアミノ酸分析を切り口とする新規診断マーカー探索を行う。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,アミノ酸,キラル分離,多次元HPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15602,名古屋市立大学,與語 理那,抗体の分子構造ダイナミクスと機能連関の解明,抗体はFab領域で抗原を認識し、Fc領域においてエフェクター分子と相互作用することで免疫機能を発動する。抗体は柔軟な構造を持つ分子であり、Fab領域で抗原を認識したという情報がエフェクター分子と結合するFc領域の状態に反映されると考えられるが、その詳細な分子機構は明らかとなっていない。本研究では溶液散乱法や核磁気共鳴法、高速原子間力顕微鏡などの物理化学的手法を用い、抗体の立体構造ダイナミクスが抗原認識に伴ってどのように変化するかを捉え、分子機能との関連を明らかにする。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,IgG,Fc受容体,補体,高速原子間力顕微鏡,水素重水素交換質量分析,分子動力学シミュレーション,抗体,原子間力顕微鏡,溶液散乱,MDシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15135,武蔵野大学,田仲 涼眞,ビッグデータ解析に基づく医薬品製造プロセス中の分子複合体形成と挙動解析,本課題では固形製剤化工程における分子複合体のin situ形成と測定を試み，原料の分子状態や結晶構造の挙動を調査することを目的とする．共結晶や固体分散体などの複合体製剤は新薬創出の促進や容易化を図るために有効な手法であるが，臨床上最も汎用される固形製剤を得るためには特別な前処理の必要である．そこで造粒工程のみでの複合体形成を行うと共に，振動分光やX線回折などの各種測定法，またはビッグデータ解析や量子化学計算を駆使することで，各複合体の形成メカニズムの解明と最適化を行う．これによりワンステップによる工程削減と連続生産への応用，さらにデータサイエンスを応用した近未来的な製剤設計ができる．,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,分子複合体,共結晶,固体分散体,コアモルファス,振動分光,X線回折,ケモメトリックス,キネティクス,量子化学計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12809,九州大学,石井 千晴,加齢性疾患診断マーカー探索を目的としたタンパク質中アミノ酸残基のキラル分析法開発,動脈硬化や白内障、アルツハイマー病をはじめとする加齢性疾患は高齢化社会において不可避の問題であるが、病状が進行してからでなければ診断が難しい疾患や、未だに根本的な治療法が確立されていない疾患が存在する。本研究では、加齢性疾患を早期診断するための新しい指標や治療標的として近年注目されているにも関わらず、網羅的かつ精密に分析することが困難であった“タンパク質中における異性化アミノ酸残基”の新規分析法を開発する。本分析法を開発するとともに医療応用を展開することで、加齢性疾患の早期診断法・治療法探索の推進が期待できる。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,分析化学,D-アミノ酸残基,多次元HPLC,質量分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12079,九州大学,進藤 早紀,酸化脂質をターゲットとした加齢黄斑変性症抑制剤の探索と疾患メカニズム解明,,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00893,東北大学,松崎 元紀,小胞体ストレス応答の制御を司るＰＤＩファミリーの分子構造基盤,真核細胞の小胞体は、生体内で働くタンパク質の中でも比較的複雑な膜タンパク質や分泌タンパク質が形作られ、様々な酵素によって適切に加工されていく場所である。これらの過程は巧妙に制御されているものの、ときに失敗作の異常なタンパク質を生じさせてしまう。小胞体ストレスセンサーは、異常なタンパク質を感知して活性化することで、これらを除去するための様々な信号を発信することが知られている。しかし、活性化あるいは異常が取り除かれた後の不活性化の際に、どのような因子にどんな助けを借りるかはわかっていない。本研究ではこのような制御因子を発見し、どんなメカニズムでセンサー分子に働きかけるかを明らかにする。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,ジスルフィド結合,小胞体,IRE1,PDIファミリー,小胞体ストレス応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22962,北海道大学,寺田 一貴,分子のサイズに着眼したがん光免疫療法のメカニズム解明と適用拡大を目指した新薬開発,新規がん治療法として、近赤外光を用いる「光免疫療法(PIT)」が注目を集めている。 PITでは、がんへの標的化分子は抗体に限られていたが、抗体の代替として小分子ペプチドを用いることで、薬価が下がる、あるいは、体内動態の改善により薬剤投与と光照射の間隔が短くなるなど、患者の負担軽減が見込まれる。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22464,立命館大学,六車 宜央,認知症の早期判別を目的とする新たな簡易的層別化検査の開発と一滴の血液への応用,近年の高齢化社会において認知症は大きな社会問題となり、現在では重度の認知症を治すことは困難である。そのため、早期に認知症の進行状況を把握し、いち早く適切な治療や予防を実施することが必要となる。本研究では、体内に存在する“代謝物質”に注目し、認知症の進行に伴い変動する因子（バイオマーカー）を探索することにより、血液から認知症の進行状況を把握できる“健常者”のための検査法の開発を目指す。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,ワイドターゲットメタボロミクス,AI,安定同位体誘導体化法,内因性低分子代謝物,LC-MS/MS,誘導体化法,網羅的メタボロミクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14694,京都大学,貝出 翔,アミロイド結合性化合物の探索と神経変性疾患を対象とした生体イメージングへの応用,パーキンソン病(PD)患者の脳内にはαシヌクレイン(α-syn)凝集体が異常蓄積することが知られており，α-syn凝集体を非侵襲的に生体外から画像化することは，PDの早期診断や病態解明に貢献すると考えられる．本研究では，独自の化合物ライブラリーを用いたスクリーニングを行うことで，α-syn凝集体への結合親和性を示す化合物を探索する．それを基盤にして放射性核種を導入することで，α-syn選択的な放射性イメージングプローブの開発を目指す．,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,αシヌクレイン,イメージング,カルコン類縁体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12988,北海道大学,中島 孝平,放射線治療におけるがん免疫の関与の解明と光免疫療法への応用,がん治療においてがん細胞を根絶させるのは容易ではなく残存したがん細胞は再増殖する。例えば内照射治療では、腫瘍内の細胞に広く障害を与えられる飛程が長いβ線が、がんの根絶に適していると考えられてきた。しかし、がん免疫の観点を踏まえると、飛程が短いα線は周囲のがん細胞に与える障害は小さいものの、免疫細胞を温存できる可能性がある。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,がん免疫,放射線治療,光免疫療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10577,千葉大学,高橋 一聡,金属特異的質量分析法を用いた生体必須元素セレンの関与するリピドミクス解析,生体必須微量元素の一つであるセレンは様々な形で、多様な性質を有しながら動物中や植物中に存在している。そうしたなか、セレンは生体の脂質中にも含有されていると報告されているが、その生理的性質の解明は達成されていない。この要因の一つとして、微量成分であるセレン、特に脂質由来のものを分析する際の技術的問題が挙げられる。本研究では、脂質中微量成分分析法を開発し、分析技術の革新を目指す。この分析法を応用することで、脂質中セレンの生理的性質を解明し、必須微量元素セレンの生物学的意義に関する知見を収集する。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,ICP-MS,セレン,化学形態別分析,生体必須微量元素,LC-ICP-MS,スペシエーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13963,東京大学,越膳 ほなみ,新規人工酵素・基質ペアの構築によるシステインパースルフィド産生システムの開発,本研究では、生体内に存在し高い反応性を示すcysteine persulfide (CysSSH)の生理機能を解明するためのツールの開発を目指す。CysSSHの産生酵素であるcystathionine γ-lyase (CSE) 及びcystathionine β-synthase (CBS) に着目し、CysSSHの産生及び産生阻害を行うツールの開発に取り組む。更に開発したツールを生細胞系へと応用することによりCysSSHの生理機能の詳細を明らかにすることを目指す。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,阻害剤スクリーニング,蛍光プローブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10270,大阪大学,米田 早紀,医薬品タンパク質のデバイスへの吸着メカニズム解明,バイオ医薬品において、薬液があらかじめ注射器に充填されたプレフィルドシリンジ（PFS）製剤の利用が拡大している。PFS製剤は薬液が直接患者に投与されるため、その品質保持は必要不可欠である。一方で、バイオ医薬品中のタンパク質は一部が注射器の壁面に吸着した後、壁面上で会合し、さらに薬液中にタンパク質性の凝集体として剥離することとなる。凝集体は免疫原性を持つ可能性があることから、バイオ医薬品中でのタンパク質の壁面への吸着の理解と制御はPFS製剤の品質保持につながる。本研究では、バイオ医薬品中のタンパク質のシリンジ表面への吸着メカニズムを複数の物理化学的手法を駆使して解明する。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,バイオ医薬品,タンパク質凝集体,吸着,疎水度,電位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2585,静岡県立大学,飯岡 真吾,Nose-to-Brain機構に基づく海馬標的核酸ナノDDSの開発と認知症治療,核酸医薬による認知症治療の実現のため、疾患部位である海馬を標的とした核酸搭載ナノ粒子の開発を行う。Nose-to-Brain送達機構とナノ粒子の物理化学的特性の関連性を明らかにし、海馬移行性の高いナノ粒子を再現良く均質に調製可能な条件を見つける。そして、標的である海馬での原因タンパク遺伝子の発現抑制効果および認知症病態モデルマウスにおける治療効果の検証を行う。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2465,九州大学,斎元 祐真,酸化脂質を標的とするセラノスティクスプローブを応用した新規細胞死誘導機構の解明,フェロトーシスは、鉄依存的な脂質過酸化反応 (LPO) によって誘導される新規細胞死機序である。本細胞死は、がんや神経変性疾患など有効な治療法が存在しない疾患の新たな治療標的として近年注目されている。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,フェロトーシス,リソソーム,脂質過酸化反応,蛍光イメージング,リソソーム膜障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2000,京都大学,中島 一磨,多機能性キレート化合物を用いたがんラジオセラノスティクス用基盤技術の開発,がんの診断と治療を高次に融合するセラノスティクスは、個別化医療として現在注目されている。特に金属配位子を有する薬剤は、診断および治療用の放射性金属元素の導入および変更により、同一分子を用いた高精度のラジオセラノスティクスを実現する。一方で、様々な標的指向性分子をラジオセラノスティクス用薬剤に簡便に応用できる、汎用性の高い標識技術は未だ確立されていない。本研究では、金属配位子、標的指向性分子を導入するユニット、および薬剤の体内動態を改善するユニットを組み合わせた多機能性キレート化合物の探索を通して、様々な標的指向性分子に簡便に応用可能なラジオセラノスティクス用プラットフォームの開発に取り組む。,特別研究員奨励費,小区分47020:薬系分析および物理化学関連,ラジオセラノスティクス,放射性薬剤,多機能性キレート化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
