awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22148,北海道大学,澤井 恵,ドライアイ防止に働く極長鎖ワックスエステルの生合成機構の解明,眼球を覆う涙液は，油層，水層，ムチン層の三層から構成されており，このうち最も外側に位置する油層は，涙液中の水分蒸散の防止や涙液全体の安定性に寄与している。油層の異常はドライアイの主要な原因であることが知られているが，油層を構成する脂質分子の産生機構は十分に理解されておらず，油層を標的とした治療薬は開発されていない。本研究では，油層の主要な構成成分であり，他の組織には存在しないユニークな脂質分子である極長鎖ワックスエステルの生合成機構の解明を，主にワックスエステル合成酵素遺伝子欠損マウスを用いて行う。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,ドライアイ,脂質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20086,総合研究大学院大学,下田 翔,プリン作動性P2Y6受容体多量体形成の生理学的意義の解明,過去の疫学調査の結果、遺伝的要因による疾患発症率はわずか10％であり、残りの90％は後天的な環境要因によることが示されてきている。本研究では、多くの薬物の標的となっており、注目度の高いGPCR（Gタンパク質共役型受容体）を用いて、食事や大気汚染物質などに代表される環境化学物質がGPCRを介して生体に作用するかどうかを検証する。GPCRが環境化学物質の受容体として機能するという全く新しい概念の提唱を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,超硫黄分子,CARS2,Gタンパク質共役型受容体,P2Y6受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14538,総合研究大学院大学,小田 紗矢香,心臓の自律神経調節における亜鉛シグナル伝達の分子制御機構の解明,心血管恒常性の維持に自律神経調節が重要な役割を果たしている。申請者はこれまでに、非選択的カチオンチャネルであるTRPC6が心臓におけるβ受容体シグナルを正に制御し、交感神経応答を増強させる可能性を見出した。そこで本研究では、TRPC6に特徴的な性質である亜鉛イオン透過性に着目し、TRPC6による亜鉛イオン輸送が心筋のβ受容体を介した交感神経活動応答にどう影響するか明らかにし、その臨床的重要性を示すことを目的とする。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,心筋細胞,β受容体,TRPC6,亜鉛イオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14508,慶應義塾大学,内原 脩貴,核小体に局在するNPM-ALKの機能および局在制御機構の解明,未分化大細胞リンパ腫の原因遺伝子産物である融合タンパク質キナーゼNPM-ALKは、強力な形質転換能を示すが、NPM-ALKによる発がん機構には不明な点が多い。これまでに私は、NPM-ALKがキナーゼ活性に依存して核小体に局在し、リボソームRNAの生合成を制御する分子であるEBP2やDDX21と結合していることを明らかにしている。本研究では、NPM-ALKの細胞内局在の制御機構を解析すると共に、核小体におけるEBP2やDDX21を介したNPM-ALKの機能を解明することにより、未分化大細胞リンパ腫の発症機序を理解することを目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,NPM-ALK,核小体,Ebna1bp2 (EBP2),p53,Akt,mTORC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14010,東京大学,鹿山 将,成体海馬における移植ヒトｉＰＳニューロンの生理機能解析,脳内の神経細胞は、一度失われると基本的には再生しない。そのため、パーキンソン病のような、神経細胞が死滅する疾患の根本的な治療は、現時点では難しい。そこで、体外で培養したヒト人工多能性幹細胞由来の神経細胞 (ヒトiPSニューロン)を移植することで、失われた神経細胞を再生させる試みがなされている。しかし、移植したヒトiPSニューロンが、 元々脳内にあった神経細胞と同じように機能するかどうかはよくわかっていない。これを明らかにするため、本研究では、マウスの脳に移植したヒトiPSニューロンが、移植先の神経回路に組み込まれ、元々脳内にあった神経細胞と同じように情報伝達を行うかどうかを検討する。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,ヒト iPS 神経細胞,移植,神経活動,ヒト iPS ニューロン,再生医療,場所細胞,海馬,電気生理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01778,京都薬科大学,西藤 有希奈,金属代謝異常に起因する神経変性疾患の病態進行の分子メカニズムの解明と予防法の確立,ある種の神経変性疾患においては脳内に数種類の金属の蓄積が認められることが報告されており、脳内の金属代謝を正常に維持することは非常に重要である。一方で、脳内での金属の輸送や代謝の制御に関わる分子や機序の詳細はこれまで明らかとされていない。本研究では、脳内の金属代謝機構を解明するため、脳内への金属蓄積が指摘されている老齢マウスにおいて発現量が変動する金属輸送体を網羅的に解析し、その機能を細胞・個体レベルで評価する。さらに、各種の神経変性疾患モデルマウスを用いて、脳内金属蓄積量と見出した輸送体との関係性を正常マウスと比較評価し、金属代謝の破綻を起因とする神経疾患の発症・進行の分子機序の解明を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,老化,マンガン,亜鉛,神経変性疾患,輸送体,金属代謝制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23703,名古屋市立大学,齋藤 泰輝,タンパク質の分泌経路において糖鎖修飾を規定する分子暗号の解読と制御,タンパク質の構造は遺伝子にコードされているが、糖鎖の構造は遺伝子による直接的な制御を受けないために、その構造の予測は困難である。一方で、これまでの研究から、特定のアミノ酸配列が特定の糖鎖修飾をもたらすことを見出してきた。このことは、タンパク質の分子中に特定のアミノ酸配列が糖鎖修飾を規定する分子暗号として組み込まれている可能性を示唆している。本研究では、フコース転移酵素9（FUT9）に着目し、糖鎖修飾が分子暗号によってどのように制御されているかを明らかにする。これにより、分泌経路上でタンパク質の糖鎖修飾を規定する分子暗号が読み解かれる仕組みの解明および、分子暗号による糖鎖修飾の制御を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,糖鎖修飾,糖転移酵素,分子暗号,FUT9,Lewis X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23566,名古屋市立大学,石井 圭介,海馬層構造の形成と維持に関わる新規メカニズムの解明と、その疾患治療への応用,リーリンは脳形成に必須な巨大分泌タンパク質である。ヒトでのリーリン欠損や機能低下は、精神神経疾患発症や増悪化のリスクになる。我々は、リーリンのC末端領域が効率的なリーリン下流シグナル活性能に必須であることを明らかにした。さらに、C末端領域のみを欠いたリーリンを発現するリーリン機能低下マウスを作製し、このマウスでは海馬層構造が乱れることを明らかにした。本研究ではこのマウスを利用し、リーリンがどのような分子機構を介して海馬層構造の形成を担うか解明することを目的とする。さらに、海馬層構造が乱れている精神疾患モデルマウスのリーリン量を調節し、海馬の形成や病態に及ぼすリーリンの効果を検証する。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,リーリン,海馬,神経細胞,コフィリン,運動失調,タンパク質投与,遺伝子改変マウス,精神神経疾患,てんかん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20688,東北大学,鈴木 碧,ストレス受容体としてのタンパク質凝集体ALISによる新たな細胞死誘導機構の解明,ALISは、異常タンパク質の凝集体である。我々は、核内に蓄積したALISが、核内のストレス応答分子PARP-1の活性化に依存した細胞死として定義される“パータナトス”誘導を促進する可能性を見出した。凝集した異常タンパク質の蓄積は、神経変性疾患に共通する特徴であり、これらの疾患において誘導される細胞死は、パータナトスであることが報告されている。神経変性疾患で観察される凝集体と我々が見出したALIS形成が、共通の機構で誘導され、共通の細胞死を誘導する可能性が考えられる。本研究では、ALIS によるPARP-1の活性化制御機構の解明を目的とし、パータナトス誘導機構と実際の病態との関連の解明を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,凝集体,p62,PARP-1,パータナトス,神経変性疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20669,東北大学,小野 雄基,人工GPCRと合成リガンドを利用したG12シグナルの個体での機能解析と創薬応用,"Gタンパク質共役型受容体（GPCR）は、市販医薬品の作用標的の約30%を占める。GPCR下流で活性化する三量体Gタンパク質はその機能から４種（Gs, Gi, Gq, G12）に分類されるが、G12を介した機能は未だ不明な点が多い。近年、特定のGタンパク質を任意の場所・時間で活性化する手法としてデザイナーGPCRが着目されている。我々は先行研究において新たにG12共役型デザイナーGPCRを作製しており、本研究ではG12共役型デザイナーGPCRを用いて糖代謝や脂肪代謝におけるG12の機能を個体レベルで解析し、新規創薬標的となりうるG12共役型GPCRを同定することを目的とする。",特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,DREADD,G12,GPCR,ベージュ脂肪細胞,脂肪肝,Gタンパク質共役型受容体,Gタンパク質,血管平滑筋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J15615,静岡県立大学,西尾 隆佑,亜鉛イオン神経毒性を介したパーキンソン病の発症メカニズムとその防御戦略,ドパミンをはじめ、6-OHDA、パラコート（PQ）のドパミン神経毒としての作用は活性酸素種（ROS）産生と関連づけられてきた。すなわち、パーキンソン病発症においてROS産生の重要性が指摘されてきたが、ROS産生のみでは選択的な黒質ドパミン作動性神経の変性・脱落が証明できない問題があった。本研究では、黒質ドパミン作動性神経細胞体に発現するドパミントランスポーターを介した6-OHDA、PQ取り込みがROSを産生させ、ドパミン作動性神経細胞体で発生する過酸化水素が、この細胞体に投射するグルタミン酸作動性神経終末を選択的に興奮させ、ドパミン作動性神経が変性・脱落することを実証する,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,亜鉛,酸化ストレス,TRPM2,パーキンソン病,グルタミン酸興奮毒性,AMPA受容体,神経変性,加齢,6-ヒドロキシドパミン,ドパミン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14280,東京大学,小坂元 陽奈,組織特異的な新規アミノ酸センシング機構の解明,チロシンによる脂肪体特異的なATF4活性化機構およびその生理的意義を解明することを目的として、ショウジョウバエを用いて以下の解析を行う。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,栄養シグナル,アミノ酸センシング,チロシン,ATF4,アミノ酸,栄養応答,4E-BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12423,大阪大学,謝 智奇,骨髄由来免疫抑制細胞の動態・機能におけるエピジェネティックな制御機構の解明,骨髄由来免疫抑制細胞 (Myeloid-derived suppressor cell; MDSC) は担がん病態下で増加し、抗がん免疫系細胞に対して抑制的に働くことで、がんの増悪化を促進する。これまでに我々は、ヒストン脱アセチル化酵素阻害剤であるバルプロ酸(Valproic acid; VPA)がMDSCの免疫抑制機能を減弱させることを見出した。さらに、VPAによる抗PD-1抗体の抗がん効果の向上が認められた。本研究課題ではVPAのMDSCに対する特徴的な作用に着目し、MDSCの免疫抑制機能、ならびに生体内での動態におけるエピジェネティックな制御機構を明らかにし、新規がん治療法の開発を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,免疫療法,MDSC,HDAC,CCR2,肝臓がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11980,東京理科大学,多森 翔馬,癌患者ゲノムデータを基盤とした癌幹細胞におけるオートファジー依存的な特性の解析,本研究の概要は、既存の抗癌剤が効かない癌幹細胞に対する新たな創薬標的候補分子を見つけるために、癌患者ゲノムデータ解析を基盤として癌幹細胞のオートファジー依存的な特性を解明することである。具体的には、公共の癌患者ゲノムデータベースを用いた解析により実在する癌患者の癌幹細胞を反映した実験モデルを用いて、細胞内生体分子のリサイクリング機構であるオートファジーが癌の再発・転移と関わる仕組みについて分子レベルで詳細に調べる研究である。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,癌患者ゲノミクスデータ,癌幹細胞,オートファジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11445,岡山大学,平岡 秀樹,環境中化学物質による神経障害メカニズムの解明と新規創薬アプローチの確立,孤発性神経変性疾患は発症に関わる因子が多く，発症メカニズムが不明瞭であるため，治療や予防に有効な治療標的が見出されていない．そこで，多くの発症要因，特に環境因子に共通した神経障害メカニズムを解明することにより，有効な治療標的の立案を目指した．これまでに，環境中親電子物質による小胞体ストレス制御タンパク質の機能障害を介して，細胞死が誘導されることを明らかにしている．本研究では①同定した標的タンパク質に対して機能保護作用を示す化合物の探索とその薬理評価，および②環境中親電子物質による小胞体ストレス惹起について生体レベルでの解析を試みる．,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,環境中親電子物質,メチル水銀,小胞体ストレス,神経細胞死,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J15474,北里大学,鶴田 佳保里,ＧＰｘ４欠損新規細胞死（リポキシトーシス）におけるＬｉｐｏ－３の機能解析,当研究室では酸化ストレスなどにより生体膜に酸化脂質が生じると細胞死(リポキシトーシス)が誘導されることを明らかにしている。この細胞死はGPx4により通常は抑制されている。リポキシトーシスの実行には様々な因子が関係するが、本研究ではそのうちLipo-3に着目した。Lipo-3は脂質代謝活性を有することがこれまで報告されているが、リポキシトーシスにおいてどのようなシグナル伝達を行うかは明らかになっていない。そこで本研究ではリポキシトーシスにおけるLipo-3の基質同定および機能解析を行う。さらにLipo-3が個体レベルでもリポキシトーシスによる致死や組織破壊に関与するか検討する。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,脂質酸化依存的細胞死,心筋細胞死,男性不妊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J14033,東京大学,堀江 健太,自己免疫を抑制する胸腺髄質上皮細胞への分化を決定するマスター制御転写因子の同定,一次リンパ組織胸腺に存在する髄質上皮細胞は、T細胞の分化過程において自己末梢組織に応答するT細胞を除去し、末梢での自己免疫を未然に防ぐ。しかしながら、髄質上皮細胞の分化決定し性質を維持する機構は未だ解明されていない。本研究は、独自に見出した転写因子が髄質上皮細胞の分化決定機構において果たす役割を評価し、髄質上皮細胞の分化決定および性質維持機構の解明を目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,自己免疫疾患,胸腺,髄質上皮細胞,組織特異的抗原,遺伝子発現,転写因子,T細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13909,東京理科大学,田井 優貴,新たなアレルギー性疾患の治療法確立に向けたIgE産生制御機構の解明,制御性T細胞は免疫寛容に必須の細胞であり、IgEの過剰な産生を抑制することでアレルギー性疾患の発症を防いでいる。制御性T細胞は胚中心反応を制御することでIgEの産生を抑制すると考えられていたが、申請者らは制御性T細胞の機能異常時には胚中心外においてもIgEが産生されることを明らかにした。しかしながら、胚中心を介さないIgEの産生メカニズムや機能は不明である。そこで、胚中心を介するIgEと胚中心を介さないIgEの産生メカニズムおよびアレルギー性疾患発症における役割の違いを明らかにすることを目指す。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,アレルギー性疾患,制御性T細胞,アトピー性皮膚炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13718,東京理科大学,本村 瞳,癌患者ゲノムデータ解析を基盤とした細胞間接着分子依存的な新規癌転移機構の解明,本研究は、癌患者ゲノミクスデータ解析を基盤として、癌細胞の血管内での挙動に着目して抽出したTight Junction分子TRICに依存的な新規癌細胞転移機構を解明するものである。血液中の癌細胞に着目した本研究の達成は、癌転移そのものを抑制する新たな手法の薬の開発につながるだけでなく薬学を超えた分野とのつながりを通した、医療データサイエンスと分子細胞生物学が融合した研究成果となり、薬学研究の発展にも貢献できる。,特別研究員奨励費,小区分47030:薬系衛生および生物化学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
