awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23608,熊本大学,加世田 将大,糸球体シングルセル解析を用いた遺伝性腎炎の病態形成の分子基盤の解明とその治療応用,Alport症候群(AS)モデルマウスより，病態発症部位である腎糸球体を単離し，Single cell RNA-seq解析を行うことで，AS病態形成機構に真に重要な細胞集団とその異常を単一細胞レベルで明らかにする．その後，細胞種ごとの発現変動分子を対象とした解析により得られた表現型を標的とした薬効評価を行い，AS腎病態への改善効果を評価する．また，これら一連の計画において現行のRAS阻害薬投与群でも同様に検討を行うことで，RAS阻害薬により制御不可能なAS病態増悪因子を明らかにし，同時に併用での治療法の確立を目指す．,特別研究員奨励費,小区分47040:薬理学関連,シングルセル解析,糸球体,アルポート症候群,糸球体硬化,Alport症候群,糸球体シングルセル解析,糸球体シングルヌクレウス解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J23074,京都大学,大橋 佳奈,オリゴデンドロサイト前駆細胞による脳内炎症制御機構の解明,中枢神経疾患の病態増悪につながる重要な因子として脳内炎症が注目されている。これまで、脳内炎症に関わる細胞種としてミクログリア・アストロサイトが幅広く研究されてきたが、オリゴデンドロサイト前駆細胞(OPC)はほとんど着目されていなかった。本研究では、病態モデルを用いてOPCの脳内炎症への関与とその制御分子を明らかにすることを目的とする。,特別研究員奨励費,小区分47040:薬理学関連,脳内炎症,実験的自己免疫性脳脊髄炎,オリゴデンドロサイト前駆細胞,CNS炎症,細胞除去,サイトカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21752,大阪大学,新谷 勇介,新規低分子性PACAP受容体リガンドを用いた脳疾患創薬のための薬理学的研究,本研究はPACAP受容体PAC1の非ペプチド低分子で高親和性の複数のリガンドを用いた薬理学研究を実施し、本シグナルが関わる精神疾患病態の解明と、PAC1受容体を標的とした新規機序の創薬の可能性を拓くことを目的とする。具体的には、上述のリガンドの疾患モデルにおける行動薬理学的作用解析およびin vitro神経細胞機能調節の解析を行い、治療効果の有無を確認し、その分子機構を明らかにする。,特別研究員奨励費,小区分47040:薬理学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20083,九州大学,堀井 雄真,組織の線維化を促進する転写共役因子の機能解析,線維化とは、臓器にコラーゲンなどが過剰に蓄積した状態であり、臓器の機能障害を引き起こす疾患である。線維化は、先進国の死亡原因の約45%に関与することが報告されているが、有効な治療薬は未だほとんど存在しない。線維化は、筋線維芽細胞という細胞群がコラーゲンなどの細胞外マトリックスタンパク質を産生することにより、実行される。我々は、心臓の線維化時に発現が増加し、線維化関連因子の産生を促進する転写関連因子を同定した。そこで本研究では、この転写関連因子が線維化を促進させるメカニズム、および機械的刺激によって核移行するメカニズムを解明することを目的とする。,特別研究員奨励費,小区分47040:薬理学関連,線維化,コラーゲン,液液相分離,筋線維芽細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15479,岐阜薬科大学,高瀬 奈央子,リン酸輸送体ＰｉＴ２に着目した老化を制御する脳内リン酸ホメオスタシス機序の解明,近年、健康寿命の延長という観点からリンと老化の関係が注目されているが、生体内でのリン酸ホメオスタシス機序の全容は明らかになっていない。リン酸ホメオスタシス機序を解明する足掛かりとして、生体内でのリン酸輸送に関与するリン酸輸送体SLC20A2の変異によって、脳内だけに異所性石灰化を引き起こす特発性基底核石灰化症 (IBGC) の病態解明、創薬研究を行う。SLC20A2の機能評価とIBGCでみられるSLC20A2変異について機能異常と臨床症状との関連を見出すための基盤創出を目的とする。また、疾患特異的iPS細胞を使用し、疾患モデルを構築することで病態解明に加えた創薬研究への応用も検討する。,特別研究員奨励費,小区分47040:薬理学関連,老化,リン酸(Pi),リン酸ホメオスタシス,リン酸トランスポーター,血管石灰化,特発性基底核石灰化症(IBGC),脳内石灰化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14767,東京大学,平木 俊光,てんかん脳におけるマイクログリア依存的シナプス除去機構とその影響の解明,てんかんでは、幻聴をはじめとする精神症状が高い頻度で併発し、患者の生活の質を下げる要因のひとつとなっている。しかしながら、これらの精神症状に関する先行研究は、てんかん患者の症例報告に留まっており、てんかんと精神症状をつなぐ分子細胞生物学的メカニズムは未解明である。これまでの研究から、てんかん動物モデルの聴覚関連脳領域において、脳内免疫細胞マイクログリアが活性化し、抑制性シナプスが減少することを見出している。そこで本研究では、マイクログリアがどのようにして聴覚関連脳領域の抑制性シナプスを除去するのか、また、てんかんモデル動物において聴覚障害が生じるのか、さらにその発症を抑制できるかを検証する。,特別研究員奨励費,小区分47040:薬理学関連,てんかん,聴覚機能,マイクログリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14377,神戸学院大学,松浦 渉,脳卒中後疼痛の発症機序の解明と治療戦略の開発,脳卒中患者の約14%に発症する難治性の後遺症である脳卒中後疼痛に対する新規治療法の提案を目的として研究を行っている。脳卒中後疼痛は、神経障害性疼痛の一つとして分類され、神経障害性疼痛治療ガイドラインに準じた薬物治療や外科的治療が行われているが、根治させることは困難である。そこで、我々が確立した脳卒中後疼痛を評価するモデル動物を用い、発症機序に関する因子の探索を行っている。,特別研究員奨励費,小区分47040:薬理学関連,脳卒中後疼痛,上行性痛覚伝導路,下行性疼痛制御系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11090,広島大学,高岡 尚輝,栄養代謝を亢進する真のＡＯＸ４内在性基質探索およびその作用機序解明,本研究では、アルデヒドオキシダーゼ（AOX）の生理的な意義の解明を目指して、AOX4欠損マウスにおいて栄養代謝を調製したと推定される内在性基質を同定し、その作用メカニズムの解明を目指す。まず、AOX4欠損マウスにおいて認められた白色脂肪組織の褐色化に着目し、in vitro 脂肪細胞培養系やAOX4欠損マウスを利用して、栄養代謝を亢進するAOX内在性基質を同定する。その後、上述の脂肪細胞培養系に各種siRNAや阻害剤などを利用して、その内在性基質の作用メカニズムを解明する。さらに、同定した内在性基質を食事誘導性肥満モデルマウスへ投与し、肥満や脂肪肝などの代謝疾患に対する改善効果を評価する。,特別研究員奨励費,小区分47040:薬理学関連,アルデヒド酸化酵素,内在性基質,肥満,栄養代謝,脂肪細胞,アルデヒドオキシダーゼ,ベージュ脂肪細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01481,名古屋市立大学,乘本 裕明,摘出全脳標本を用いた睡眠時神経活動の役割の解明,睡眠の機構は明らかになっていない。私はその大きな理由の一つに、（当たり前ではあるが）生体動物を用いることでしか研究ができない点にあるのではないかと考えた。無論先行研究はどれも重要な知見ばかりであるが、もし、in vitro実験系でレム睡眠・ノンレム睡眠の研究ができれば詳細な観察により候補因子を割り出し、それらを用いて睡眠の「再構成」に挑むことが可能になる。そこで私はオーストラリアドラゴンの脳を用いたin vitro睡眠実験系を提案する。なぜならドラゴンの脳は低酸素に強く、摘出した後も長時間保存できるからである。本動物を用いた実験系を確立することが、本研究の目的である。,特別研究員奨励費,小区分47040:薬理学関連,睡眠,前障,爬虫類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23075,東京大学,折田 健,人工知能によるてんかんモデル動物の行動パターン解析,てんかんは神経細胞の過剰な興奮によって引き起こされる脳疾患であり、治療薬開発やメカニズム解明のために動物モデルが用いられている。てんかん発作として現れる動物の行動異常を評価可能になるまで熟練が必要であるのに加え、評価の度に時間がかかるという問題があり、研究の律速段階となっている。近年、人工知能を用いることで動物を身体部位単位で自動追跡する技術が開発された。本研究ではこの技術を応用し、動物の行動の軌跡を人工知能に学習させることで、てんかんによって引き起こされる行動異常の自動分類に取り組む。更に、神経活動を同時記録することで、行動だけでは分類できない異常の分類も試みる。,特別研究員奨励費,小区分47040:薬理学関連,人工知能,てんかん,行動解析,機械学習,深層学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
