awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21544,同志社大学,大迫 優真,視覚的気づきに重要なトップダウン回路の機能解明,視覚刺激に対して「気づく」という内部状態を視覚的気づきという。視覚的気づきを生み出す神経回路メカニズムは未だ不明なままである。しかし、近年の研究から後部頭頂皮質から低次視覚皮質へのトップダウン入力が、視覚的気づきに重要であることが示唆されている。そこで本研究は、ラットの後部頭頂皮質から、低次な視覚皮質(第一次視覚野)へのトップダウン回路に着目し、電気生理学的手法・光遺伝学的手法を用いて、視覚的気づきに重要な神経回路メカニズムを解明することが目的である。,特別研究員奨励費,小区分51020:認知脳科学関連,視覚的気づき,後部頭頂皮質,第一次視覚野,ラット,電気生理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21332,北海道大学,澤頭 亮,霊長類モデルを用いた作業記憶を更新する神経メカニズムの解明,作業記憶の中央実行系の神経機構を神経活動と機能分子レベルで解明するため、以下の３つの研究を計画した。,特別研究員奨励費,小区分51020:認知脳科学関連,作業記憶,前頭連合野,非ヒト霊長類,眼球運動,視覚探索,中央実行系,ワーキングメモリ,神経科学,神経生理学,スレーブシステム,採餌行動,統合失調症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20331,富山大学,大村 佳之,長期記憶の形成過程における記憶痕跡細胞の生成・成熟過程とニューラルデコーディング,エピソード記憶形成の初期段階は海馬依存的であるが、時間経過とともに海馬非依存的になり、長期記憶として大脳新皮質に格納されるようになる。この過程は記憶の固定化と呼ばれ、海馬に蓄えられた記憶は海馬のリップル波を介して大脳新皮質に移行すると考えられており、さらに前頭前皮質のスピンドル波がリップル波の直後に発生すると、記憶の固定化が進むことが分かっている。しかし前頭前皮質がリップル波を受信・解釈・統合する仕組みは不明である。本研究は学習中のマウスの海馬と前頭前皮質から神経電気活動を同時に記録し、リップル波とスピンドル波の脳情報解読を行い、前頭前皮質の記憶痕跡細胞が生成・成熟する過程を明らかにする。,特別研究員奨励費,小区分51020:認知脳科学関連,エピソード記憶形成,脳情報解読,場所細胞,記憶痕跡細胞,多脳領域多細胞電気活動記録,神経電気生理学,多脳領域多細胞同時記録,記憶,脳情報信号処理,海馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01240,北海道大学,牧野 健一,未知課題における「意欲」変動メカニズムの解明,本研究では、「未知」の課題に対する意欲を観察することで、課題遂行時における意欲の「変動」を捉える。対象とする脳領域として、意欲に関与する前帯状皮質 (ACC) に着目した。さらに、ACCとドパミン神経系との相互作用にも焦点を当て、「ドパミンによる入力がACCの活動性を修飾することで、意欲の短期的変動をもたらす」という仮説の検証を行う。この検証のため、未知課題として、特定のルールを学習させる課題において、未学習段階における意欲を定量し、このときのACCの活動動態の観測、さらにはドパミン入力の操作による意欲変動の観測を行う。本研究により、意欲の変動を制御する神経基盤の解明に挑む。,特別研究員奨励費,小区分51020:認知脳科学関連,意欲,未知課題,学習,前帯状皮質,眼窩前頭皮質,失敗,成功,意欲喪失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00964,鳥取大学,永瀬 麻子,認知的負荷の回避行動とその神経機構：脳機能画像、薬理、磁気刺激、計算論による研究,意思決定のメカニズムの解明は、ヒトの行動を理解する上で重要な問題である。しかし、認知的負荷、身体的負荷が意思決定にどのような影響を及ぼすのか、またどのような神経メカニズムに基づいているのかはまだ十分に明らかになっていない。申請者は、これらの負荷に基づく意思決定・学習のメカニズムの解明を目指している。具体的には、【Ⅰ】認知的負荷はどのように適応的に回避されるか、【Ⅱ】将来実行される負荷は割り引いて予測されるのか、またどのような神経機構が働くか、【Ⅲ】認知的負荷の回避に神経修飾物質はどうかかわるか、【Ⅳ】認知的負荷の適応的回避の基盤となる脳部位はどこか、の問いを明らかにすることを目的としている。,特別研究員奨励費,小区分51020:認知脳科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01726,東京大学,松森 嘉織好,脳機能イメージングに基づく効用の個人間比較の実現とその所得再分配への応用,本研究では、1. 脳機能イメージングを用いて同定する効用の脳内表現に基づいて、客観的、科学的に効用の個人間比較をおこなう操作的な方法を構築することを目的とする。また、直観によって他者の効用を個人間比較することが正当化される条件下で、第三者の直観による効用の判断が効用の脳内表現に基づく指標による判断と一致するかどうかを調べることで、提案指標の妥当性を検証する。さらに、2. 社会経済的状況の異なるグループから実際に得られた効用の指標に基づき、グループ間で異なる適切な重み付けをして実験謝金を分配する“所得再分配”実験をおこなう。,特別研究員奨励費,小区分51020:認知脳科学関連,脳,効用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3082,沖縄科学技術大学院大学,Eltabbal Mohamed,頂皮質と視床の回路の多感覚葛藤下での計算機能,"In my research I want to understand the information encoded and computation performed in PPC- LP cortico-thalamic loop during multisensory processing. To do this, I am developing novel behavioral paradigms that depends on intact PPC-LP circuit. I then combine the behavior with intrinsic imaging, two-photon imaging and opto-genetics approaches to infer and analyze the function of the circuit during the behavior.",特別研究員奨励費,小区分51020:認知脳科学関連,corticothalmic,tongue,PPC,multisensory,intereception,Corticothalamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1760,京都大学,雨森 智子,霊長類線条体コンパートメント構造の神経機構と不安生成メカニズム,線条体ストリオソーム/マトリックス構造は1970年代に発見され、ハンチントン病やジストニアなどの神経変性疾患への関与が明らかになっているものの、その機能についてはほとんど分かっていません。本研究は、ストリオソーム/マトリックスの機能を、カルシウムイメージング・化学遺伝学などの最新技術を用い、霊長類において明らかにすることを目的としています。不安・葛藤状況下でのストリオソーム/マトリックス構造の機能を明らかにすることで、最終的に医学への貢献を目指します。,特別研究員奨励費,小区分51020:認知脳科学関連,神経生理学,マカクザル,大脳基底核,線条体,神経解剖学,ストリオソーム,霊長類,不安障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0401,国立研究開発法人理化学研究所,入來 篤史,霊長類直立姿勢の大脳皮質情報処理と運動制御における進化的意義,第二体性感覚皮質は、触覚に加え視・聴・平衡覚を統合して『環境世界の中の自己』を表象したとの想定のもと、座り・立つことで体軸が直立して空間情報処理が複雑化したのちに一次運動皮質を介した道具使用等による身体と環境との相互作用によって知性を創発させた霊長類脳の特性に注目し、ヒト高次脳機能の進化メカニズムの解明に以下の３つの観点から挑む：１）実験室内での神経生理学解析による仮説立案、２）大規模群飼育施設内での自由行動解析技術の開発、３）野生棲息環境を対象とした仮説検証。,特別研究員奨励費,小区分51020:認知脳科学関連,二次体性感覚皮質,一次運動皮質,コモンマーモセット,ニホンザル,自己-環境相互作用,行動自動分節化,姿勢(体軸)転換,把持運動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ0244,筑波大学,于 佳卉,恐怖記憶汎化における神経集団活動の機能的意義の解明,The neuron dynamics of emotional memory processing remains largely unknown. One study shows newborn neuron activity in REM sleep is necessary for consolidating fear memory. My study tackles an extended question whether newborn neuron activity in REM sleep is necessary for fear memory generalization.,特別研究員奨励費,小区分51020:認知脳科学関連,calcium imaging,adult-born neurons,population activity,activity similarity,silencing in REM sleep,fear generalization,surgery effect,isolation effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
