awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40091,国立研究開発法人理化学研究所,深津 和美,細胞モデルを利用した自閉症の病態生理解明,自閉症は社会性の異常を呈する精神疾患であり、その発症機序の解明が期待されている。自閉症は、精神疾患の中では遺伝的関与が高い疾患として知られている。近年ヒトの遺伝的多形として、 遺伝子コピー数多形（copy number variation: CNV）と呼ばれる新たな多形が発見された。我々はCNVを対象とした染色体の改変を行い、自閉症に関連するCNVについて網羅的ES細胞モデルを構築した。本研究では、その中で自閉症の発症機序に関与している可能性が高い株を選び表現型を解析する。次に、その染色体改変ES細胞から染色体改変マウスを作製、詳細な解析を行い、新しい自閉症発症機構の解明を試みる。,特別研究員奨励費,小区分51030:病態神経科学関連,自閉症,細胞モデル,カルシウムイメージング,神経分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22442,岡山大学,金城 那香,アルツハイマー病における小胞輸送障害機構の解明,近年，アルツハイマー病（AD）の初期病態として，アミロイドβ（Aβ）の前駆体であるAPPカルボキシル末端断片・βCTFの蓄積による小胞輸送障害が注目されている．しかしその分子機構は明らかでなく，有効な測定系もないため，治療薬の開発は困難であった．当研究室では，Aβ配列を介してβCTFと結合する事で小胞輸送障害に関与するTMEM30Aを見出している．そこで本課題では，①両者の結合による小胞輸送障害機構の解明，②小胞輸送の経時的観察と定量評価法の開発，③小胞輸送障害を改善できる候補化合物の探索，以上3点を目指して研究を行う．,特別研究員奨励費,小区分51030:病態神経科学関連,アルツハイマー病,APP-βCTF,小胞輸送障害,リピッドフリッパーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22270,名古屋大学,伊藤 洋人,オレキシン神経とその上流の神経回路がカタプレキシーを抑制するメカニズムの解明,申請者は、より詳細かつ正確な脳機能発現の理解が、iPS細胞による再生医療を含む新規治療による神経精神疾患の克服のために必要だと考えている。カタプレキシーという情動によって誘発される脱力発作や過眠などを症状とするナルコレプシー患者では、オレキシンペプチドを産生するオレキシン神経(Orx神経)の特異的な脱落がみられる。当研究室で作成した、オレキシンペプチドを産生しないOrx神経に対して薬理・光遺伝学的神経操作が可能なナルコレプシーモデルマウスを用いて、Orx神経およびオレキシンペプチドの生体における役割をより詳細かつ正確なレベルで解明し、新規治療の有効性のより適切な評価に結びつける。,特別研究員奨励費,小区分51030:病態神経科学関連,オレキシン,ナルコレプシー,カタプレキシー,レム睡眠関連症状,カルシウムイメージング,睡眠覚醒状態依存的な神経操作,薬理・光遺伝学的神経操作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21850,東京大学,西田 達,アルツハイマー病におけるタウ伝播機構の解明,アルツハイマー病で見られる病理学的特徴の一つに、異常凝集したタウタンパク質が記憶と関連の深い神経細胞内に蓄積し、このタウ病理の程度が認知機能低下と高い相関関係にあることが知られている。また、タウ病理の進展様式は神経回路に沿って進展することが明らかになっているが、そのメカニズムは未知である。,特別研究員奨励費,小区分51030:病態神経科学関連,タウ,マイクロダイアリシス,神経活動,プリオン様伝播,アルツハイマー病,細胞外腔,シード,αシヌクレイン,神経回路,リソソームエキソサイトーシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15512,名古屋市立大学,宮本 啓補,成体海馬ニューロン新生の低下に着目した神経障害性疼痛の発症機序解明,本研究は、神経障害性疼痛時に見られる海馬ニューロン新生の低下に着目し、疼痛制御における役割、およびそのメカニズムの解明を行う研究である。そのために、神経障害性疼痛時に活性化する2つの神経回路（体性感覚経路、情動経路）をDREADD法により調節した際の、海馬ニューロン新生、および痛覚閾値に与える影響について解析する。海馬ニューロン新生低下は、痛みによる負の記憶を保持させることで情動障害を引き起こし、疼痛を遷延化させる可能性がある。従って、そのメカニズム解明は神経障害性疼痛時の海馬ニューロン新生低下の生理学的意義の理解を深め、疼痛研究および神経生物学の分野で大きな意義を持つ。,特別研究員奨励費,小区分51030:病態神経科学関連,神経障害性疼痛,ニューロン新生,中枢神経,体性感覚,情動,疼痛慢性化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15414,京都薬科大学,黒田 絵莉子,末梢血造血幹細胞及びｉＰＳ細胞を用いたアルツハイマー病の新規細胞治療法の開発,アルツハイマー病(AD)は、進行性の神経変性疾患である。脳マクロファージであるミクログリアは、ADの原因物質であるアミロイドβタンパク質(Aβ)の除去機能を有しており、ミクログリアの脳内移植がADの根本的治療法へと繋がる可能性がある。しかし、この移植療法の臨床応用を考えると、ヒトミクログリアの調製・調達は困難であることから、ミクログリアの代替となる幹細胞ソースとして末梢血造血幹細胞(PBSC)および人工多能性幹(iPS)細胞に着目した。本研究では、PBSCおよびiPS細胞から分化誘導したミクログリア様細胞の機能評価を行い、さらにADモデルマウスへの移植により、AD細胞治療戦略を評価する。,特別研究員奨励費,小区分51030:病態神経科学関連,アルツハイマー病,ミクログリア,末梢血造血幹細胞,細胞移植,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14374,東京大学,渡邊 成晃,ＡＬＳ病因タンパク質ＦＵＳの細胞間伝播機構の解明,本研究ではFUSの細胞間伝播現象を実証し、細胞間伝播の分子メカニズムを明らかにすることにより、疾患の発症及び進行の本質に迫る。そのため、培養細胞、マウス、ショウジョウバエモデルを駆使し、特にFUS の細胞間伝播に関わる分子メカニズムの解明、FUS が細胞間伝播能を獲得する分子メカニズムの解明、FUS の細胞間伝播が封入体形成及び神経変性に与える影響の検証の3点に着目し、検討する 。FUSの細胞間伝播に関与する分子メカニズムが明らかになり、病因タンパク質の伝播現象が神経変性疾患の病変拡大、さらに病態進行に与える影響が解明されることが期待される。,特別研究員奨励費,小区分51030:病態神経科学関連,FUSオリゴマー,神経細胞間伝播,ALS（筋委縮性側索硬化症）,FTLD（前頭側頭葉変性症）,アルギニンメチル化,UMA-FUS,カチオン‐パイ相互作用,AAV9-FUS発現マウスモデル,ALS,FTLD,FUS,transmission,arginine hypomethylation,oligomerization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12600,東京大学,箱崎 眞結,アルツハイマー病においてＡβが凝集性・神経細胞毒性を獲得するメカニズムの解明,アルツハイマー病（Alzheimer’s disease; AD）では、異常に凝集したアミロイドβ(amyloid β; Aβ)が、タウ蛋白の病的変化を誘発して神経細胞死を起こし、認知症を発症すると考えられているが、その分子メカニズムは明らかでない。,特別研究員奨励費,小区分51030:病態神経科学関連,アルツハイマー病,アミロイドβ,タウ,伝播,モデルマウス,アミロイド斑,タウ蛋白質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12337,東北大学,久保 尚子,神経－グリア－代謝クロストークの光操作による精神疾患の病態解明への挑戦,脳は主に神経細胞、グリア細胞、血管の3つの要素から構成されている。グリア細胞の一種であるアストロサイトは、神経細胞と血管の間に介在し、グルコースを乳酸に変え、細胞のエネルギー源として神経細胞に供給している。ところが近年、乳酸が単なるエネルギー代謝産物としてだけでなく、一種の神経伝達物質として働き、気分や情動といった脳の高次機能を調整している可能性が明らかになってきた。本研究では、アストロサイトの代謝を光操作することで、グリア細胞の担う脳内代謝の異常が多くの精神疾患の背景にあるのではないかという仮説を検証する。神経-グリア-代謝クロストークを明らかにすることで、精神疾患の病態解明を目指す。,特別研究員奨励費,小区分51030:病態神経科学関連,ミトコンドリア,オプトジェネティクス,ロドプシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19776,国立研究開発法人理化学研究所,渡辺 恭良,若年血漿を用いたアルツハイマー病治療研究,"アルツハイマー病（AD）は認知機能の低下を示す進行性の神経変性疾患である。脳内にアミロイド斑と神経原線維変化の病理的特徴を持つが病因は未だに不明であり、また病状を改善する治療法は存在しない。本研究では、近年ADの治療法として期待されている若年血漿注入療法に着目し、その有効性を動物基礎研究にて検証する。ADモデルマウスに対し若年血漿による治療前後での脳の機能的または構造的変化について主に生体イメージング手法（PET, MRI）を用いて調べる。",特別研究員奨励費,小区分51030:病態神経科学関連,認知症,若年血漿,マウス,生体イメージング,PET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
