awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40304,順天堂大学,石井 翠,Ewing肉腫に対する iPS細胞由来 融合遺伝子特異的CTL療法の開発,Ewing肉腫は約90%に融合遺伝子と呼ばれる遺伝子変異を持つ骨軟部腫瘍である。その中でも転移のある患者さんは標準的な治療が定まっていない、治療困難な状況であり新規治療法開発が望まれる。融合遺伝子を標的にすると正常細胞への副作用の頻度も少なく細胞傷害性T細胞( CTL)が腫瘍細胞により強く反応する。 患者さん由来CTLは持続的に抗原に曝され疲弊しているが、2013年、このようなCTLからiPS細胞を樹立しCTLに再び分化誘導することでCTL を若返えらせる技術が開発された。この技術を応用しEwing肉腫に対する融合遺伝子を標的とするiPS細胞由来CTL療法という新規治療法 の開発を目指す。,特別研究員奨励費,小区分56020:整形外科学関連,細胞傷害性T細胞療法,iPS細胞,Ewing肉腫,免疫細胞療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21415,慶應義塾大学,関田 哲也,TNIK阻害による骨肉腫新規治療薬の探索，分化転換誘導の機序解明,我々の研究室では、Wntシグナルの調節因子としてTNIKを同定し、TNIKを標的とした阻害剤を発見した。,特別研究員奨励費,小区分56020:整形外科学関連,骨肉腫,滑膜肉腫,TNIK,Wntシグナル,MYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12002,九州大学,居石 卓也,変形性関節症の病態形成におけるＧＲＫ－５の役割の解明と治療応用,軟骨においてGRK-5 は、NFkB のactivity を調節することで炎症反応や基質分解の亢進に寄与し変性を促進させる因子であることが示唆された。また変形性関節症の病態形成を司る中心的な転写因子であるC/EBPb の発現調節にも関与している可能性も示唆された。軟骨変性過程におけるGRK-5 の関与について解明するとともに、GRK-5 の阻害剤の関節内投与による効果を検討することにより、臨床への応用の可能性を検証することを目的とする。,特別研究員奨励費,小区分56020:整形外科学関連,GRK5,Amlexanox,Osteoarthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23707,京都大学,孫 麗萍,患者由来iPS細胞を用いた進行性骨化性線維異形成症における異所性骨化形成の解析,進行性骨化性線維異形成症(FOP)は骨形成因子受容体ALK2の変異が原因で全身の軟部組織に骨組織が形成される（異所性骨化、HO）疾患で、有症率が200万人に1人程度と極めて希な遺伝性難病である。本研究の概要は、FOPに対する新規治療法を開発するため、HO形成の初期段階における細胞のエネルギー代謝の変化に注目し、FOP患者由来のiPS細胞(FOP-iPSC)を用いて、FOP細胞に特異的なエネルギー代謝機構を探索する研究である。,特別研究員奨励費,小区分56020:整形外科学関連,FOP,Heterotopic Ossification,Energy Metabolism,OXPHOS,FAPs,Heterotopic ossification,Energy metabolism,mTOR signaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14381,東京大学,藏田 玲美,関節リウマチの病態形成におけるRANKL逆シグナルの関与についての解析,関節リウマチ（RA）は関節滑膜における慢性炎症に伴って全身の関節破壊が進行する難治性自己免疫疾患である。RAの関節破壊を引き起こす主要な因子として知られる成熟破骨細胞誘導因子RANKLは双方性シグナル分子であることが知られているが、RA病態においてRANKL逆シグナルがどのように寄与しているのかは未解明である。加えて、RANKL逆シグナルの免疫制御への寄与も明らかとなっていない。本研究では、RAの炎症増悪過程に対してRANKL逆シグナルが与える影響と、そのシグナルを受容する細胞種と下流応答を解明することを目的とする。並行して、逆シグナルがRAに対する新規治療標的となる可能性を検証する。,特別研究員奨励費,小区分56020:整形外科学関連,骨免疫学,関節リウマチ,RANKL逆シグナル,ファージディスプレイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00711,東京大学,橋本 恭子,骨転移巣特異的な抗腫瘍免疫制御機構の解明,骨髄は、骨構成細胞や間質細胞と連携を取りながら免疫細胞が分化・成熟していく場であり、抗腫瘍免疫応答を制御する免疫細胞も骨髄から供給される。しかし、骨転移巣におけるがん細胞、骨構成細胞、免疫細胞の3者の相互作用を検討した報告は非常に少なく、未だ不明な点が多い。申請者は、骨転移巣と皮下腫瘍組織を比較したフローサイトメトリー解析により、骨転移巣で皮下腫瘍組織とは異なるタイプの腫瘍随伴マクロファージ（TAM）が誘導されていることを新たに見出した。本研究では、single cell RNA-seqを駆使して骨転移巣特異的TAMを中心とした抗腫瘍免疫制御機構の全容を解明し、新規治療法の開発を目指す。,特別研究員奨励費,小区分56020:整形外科学関連,骨転移,腫瘍微小環境,抗腫瘍免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12970,東京大学,谷 彰一郎,ヒト多能性幹細胞を用いた骨形成分子機序に基づく骨オルガノイド作製とその応用,ヒトの骨系統疾患の病態を解明したり新規治療法を開発するためには、ヒトの骨格形成過程を詳細に理解することが不可欠である。そこで、あらゆる細胞へ分化可能な多能性幹細胞を用いて、ヒトの骨形成過程や骨組織そのものを再現することを目指している。我々はヒト多能性幹細胞から骨格前駆細胞を誘導し、マウス体内へ移植することでヒトの骨発生が模倣されることを見出した。そこで、得られた組織を細胞一つ一つのレベルで詳細に解析し、ヒトの骨形成に関与する因子の探索を行っている。骨組織形成を培養皿上でも再現することを目標に、血管細胞など骨発生に重要である細胞との相互作用を追加することで骨組織を再現できないか検証予定である。,特別研究員奨励費,小区分56020:整形外科学関連,ヒト多能性幹細胞,骨発生,軟骨内骨化,シングルセル解析,遺伝子制御ネットワーク,ZEB2,内軟骨性骨化,１細胞解析,遺伝子発現制御機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2800,東京理科大学,荒崎 恭弘,RANKL刺激で出現する核内構造体におけるRNA制御を介した骨代謝制御機構の解明,選択的スプライシングやmRNAの安定性・翻訳制御を含む、転写後調節を介した破骨細胞分化制御機構はほとんど未解明である。申請者らは、CPE配列を含むmRNAに結合する、RNA結合タンパク質Cpeb4が、破骨細胞マスター転写因子である、Nfatc1のmRNA安定化や間接的な転写を促進することで、破骨細胞分化を促進することを明らかにした。しかしながら、Cpeb4の標的因子や骨代謝における機能は不明である。本研究では、Cpeb4によるNfatc1制御の詳細なメカニズム解明を行うとともに、遺伝子欠損マウスを解析することで、破骨細胞分化や骨代謝におけるCpeb4の機能を明らかにする。,特別研究員奨励費,小区分56020:整形外科学関連,破骨細胞,骨代謝,RNA結合タンパク質,転写後調節,スプライシング,mRNA安定性制御,液液相分離,ポリA鎖,mRNA安定性,核内構造体,選択的スプライシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22F22411,東京大学,高柳 広,骨粗鬆症と認知機能低下を結ぶ骨-免疫-脳連関の解明,,特別研究員奨励費,小区分56020:整形外科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2192,公益財団法人東京都医学総合研究所,辻 寛謙,脊髄損傷治療に対する侵襲型人工神経接続 ― 臨床応用への挑戦 ―,「脊髄損傷治療に対する侵襲型人工神経接続を可能にする事を目的に研究を行う」。人工神経接続とは随意制御が可能な生体信号(脳波、筋電図、心電図など)を記録しコンピューターを介して生体信号を解析、その解析結果に依存した電気信号パターンに変換した後に物理的に離れた神経構造へ電気信号を伝達する装置であり、脊髄損傷モデルサルの大脳皮質―脊髄間、脊髄―筋間、の人工神経接続において麻痺手の随意運動機能の再建に成功している。本研究では中枢神経損傷患者（脳卒中、不全脊髄損傷患者など）を対象とし侵襲型人工神経の臨床試験を行い、その有用性を検証する。,特別研究員奨励費,小区分56020:整形外科学関連,脊髄刺激,人工神経接続,脊髄損傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
