awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J13673,東京医科歯科大学,岡野 徳壽,低酸素環境におけるインフラマソーム活性化メカニズムの解明,歯周炎関連細菌Porphyromonas gingivalis（Pg）を低酸素環境下で（＜１％）でマクロファージに感染させたところ、低酸素条件へと酸素濃度が変化するにつれてカスパーゼ-1の活性化亢進と共に、mature IL-1β量が顕著に増加することを見出した。したがって、Pg感染によるインフラマソームの活性化は低酸素条件下で亢進することが示唆された。,特別研究員奨励費,小区分57020:病態系口腔科学関連,インフラマソーム,低酸素,TRIF,カスパーゼ-1,Inflammasome,歯周炎,病原細菌,IL-1β,Caspase-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00971,徳島大学,牛尾 綾,自然免疫を介した自己免疫疾患病態機序の解明～シェーグレン症候群の新たな病因論～,本研究は、自己免疫疾患の発症に関する自然免疫細胞の役割について検討することを目的としている。。特に、口腔乾燥症を主症状とするシェーグレン症候群の標的臓器のひとつである唾液腺のマクロファージに着目し、原発性SSモデルマウスを用いて未だ詳細な報告がなされていない臓器マクロファージのフェノタイプ、局在、機能等を解析することによって、新たな方向からのSS病態発症機序解明を目的とする。SS病態発症におけるマクロファージの役割を明らかにすることで、自然免疫系と獲得免疫系のクロストークを介した自己免疫疾患の新たな病因論を展開するとともに、新たな治療法の開発につながると期待できる。,特別研究員奨励費,小区分57020:病態系口腔科学関連,シェーグレン症候群,マクロファージ,ケモカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00106,大阪大学,齊藤 聡,齲蝕原性細菌感染に起因する脳出血・認知症の病態解明と革新的新規治療法の開発,"脳出血は, 高血圧と関わりが深い1型脳小血管病と, アルツハイマー病・脳アミロイド血管症に起因する2型脳小血管病に共通する病態である. 齲蝕と脳卒中, 認知症との関係は以前から報告されてきたが, その機序についてはこれまで不明な点が多かった. 近年, 一部の齲蝕原性細菌のみが発現する, コラーゲン結合能を有するCnm蛋白の存在が明らかとなり, Cnm陽性S. mutans保菌者では, 脳微小出血が高頻度に認められることが明らかになった. そこで本研究では, このCnm陽性S. mutansと脳出血発症との関連について, 特にその病態メカニズムの解析を中心に検討する.",特別研究員奨励費,小区分57020:病態系口腔科学関連,cnm,微小出血,脳卒中,齲蝕,認知症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21391,東北大学,沼崎 研人,歯周病原細菌による好中球細胞外トラップ誘導を基軸とした破骨細胞活性化機構の解明,歯周病における歯の喪失は、歯周病原細菌の感染により誘導される慢性炎症がもたらす歯槽骨の破壊が原因となる。本研究は、歯周病原細菌の感染により好中球が産生する好中球細胞外トラップ(NETs)およびNETsに発現する炎症性サイトカインが、破骨細胞の分化・活性化を促進することを検討する。歯周病原細菌の感染によるNETs産生誘導に関して、炎症性サイトカインの測定ならびに炎症性NETsの誘導を規程する歯周病原細菌由来TLRシグナルの解析、炎症性NETsによる破骨細胞の分化促進作用および活性化促進作用の解析を行う。,特別研究員奨励費,小区分57020:病態系口腔科学関連,好中球細胞外トラップ,破骨細胞,好中球,慢性歯周炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J22531,長崎大学,上野 智也,骨肉腫におけるTGFβ応答性Mycスーパーエンハンサーの意義,骨肉腫は骨関連間葉系細胞由来の悪性腫瘍で、代表的なヒト希少である。75％の骨肉腫患者が未成年で、四肢の切除手術などで若くして失うものの影響は大きい。しかし、「希少がん」ゆえに、骨肉腫の研究者人口は少なく、その発症機序の解析が遅れている。骨関連間葉系細胞の腫瘍化機構の解明は、歯科学の分野においても重要な課題である。,特別研究員奨励費,小区分57020:病態系口腔科学関連,骨肉腫,Runx3,Myc,スーパーエンハンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J14496,徳島大学,木曽田 暁,頭頚部扁平上皮癌の予後を予測する新規システムの構築,頭頚部扁平上皮癌は予後不良な癌であり、疾患の進行および治療に伴うQOL低下も著しい。本研究では特定の遺伝子の発現量から症例のリスクを算出することで、頭頚部扁平上皮癌の治療方針決定に寄与することを目指す。まずは公共データベースに登録された頭頚部扁平上皮癌症例から機械学習の手法で予後を予測する遺伝子群の同定および症例のリスクを判定するモデル式を作成する。その後、作成したモデルを応用して簡便なツールを作成し、臨床応用の可能性を検討するほか、培養細胞にて機械学習により絞り込まれた予後予測遺伝子の動態を確認する。,特別研究員奨励費,小区分57020:病態系口腔科学関連,頭頸部扁平上皮癌,公共データベース,機械学習,予後予測,レセプトデータ,コホート研究,頭頚部扁平上皮癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J14171,広島大学,石田 えり,歯周病原細菌歯性感染による早産および胎児脳神経障害発生機構の解明,in vivo において，P.g.歯性感染早産マウスモデルから産まれた仔マウスをP.g. 感染群とし，対照群と併せて生後45日目の認知機能および脳の解析を行う。また，通常切迫早産の治療に用いる抗生剤（セフメタゾン）投与あるいはGal-3抑制効果がある改良型シトラスペクチン飲用により母体の炎症を抑制することが早産や胎児脳神経細胞障害に与える影響を調べる。また，in vitro においてP.g. ，P.g.-LPSおよびGal-3のミクログリア活性機構およびBBBを構成する血管内皮およびアストロサイトに及ぼす影響を調べる。,特別研究員奨励費,小区分57020:病態系口腔科学関連,Porphytomonas gingivalis,脳組織障害,認知機能,Porphyromonas gingivalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13008,徳島大学,佐藤 真美,シェーグレン症候群での多臓器における自己免疫反応の分子機序の解明,自己免疫疾患とは、自己の組織が免疫異常により障害される疾患である。自己免疫疾患の一つであるシェーグレン症候群は、唾液腺や涙腺などの腺組織が標的となり、ドライマウスやドライアイが生じて患者のQOLは著しく低下する。シェーグレン症候群には腺組織の病変のみならず、全身臓器に症状が見られる腺外型が存在し、生命維持に重要な臓器である肺では間質性肺炎が生じるとされる。本研究では、疾患モデルマウスを用いて肺病変と腺病変に焦点を当て、分子生物学的・免疫学的研究手法により病態発症メカニズムを検討する。発症機序の解明により、シェーグレン症候群に限らず多くの自己免疫疾患や肺疾患の治療に応用が期待される。,特別研究員奨励費,小区分57020:病態系口腔科学関連,自己免疫疾患,シェーグレン症候群,B細胞,ケモカイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J12900,九州大学,木部 琴乃,新規モデルマウスを用いた自己免疫性難治性唾液腺疾患発症メカニズムの解明,近年、難病指定されているシェーグレン症候群や本邦から提唱された新たな疾患概念である IgG4 関連涙腺・唾液腺炎といった自己免疫性の難治性唾液腺疾患により歯科を受診する患者は年々増加傾向にある。しかしながら、その発症メカニズムにはいまだ不明な点も多く、治療は対症療法やステロイド療法に留まっている。,特別研究員奨励費,小区分57020:病態系口腔科学関連,唾液腺疾患,TLR7,唾液腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J00572,東京大学,岡野 徳壽,歯周炎関連細菌誘導性インフラマソーム活性化によるリウマチ関節炎増悪化機構の解明,歯周炎によって関節リウマチなどの自己免疫疾患が惹起されているのか、という疑問については長年議論されてきたが、未だにその関連を決定づける確固たるエビデンスは見つかっていない。,特別研究員奨励費,小区分57020:病態系口腔科学関連,リウマチ,インフラマソーム,関節炎,細胞死,歯周炎関連細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
