awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J11906,岡山大学,王 紫儀,歯根膜と歯槽骨のクロストークにおける概日リズムを介した骨細胞制御機構の解明,矯正歯科治療における歯の移動では、歯根膜および骨細胞がどのように相互作用し骨代謝が生じているのか、そのメカニズムは分かっていないことが多い。一方、細胞内カルシウム応答や概日リズムは骨代謝と密接な関わりをもつことが知られているが、歯の移動時の役割は解明されていない。本研究では矯正的歯の移動における歯根膜と骨細胞の相互作用において、細胞内カルシウム応答と概日リズムがどう関与するのか、その詳細を解明することが目的である。本研究の完遂によって、矯正的歯の移動の促進や矯正歯科治療期間の短縮への基盤的研究となることが期待出来、臨床的意義も非常に高い。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,Osteocytes,Melatonin,Sclerostin,Ciradian rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J11773,東北大学,星川 聖良,タンパク質の翻訳後修飾を応用した骨再生療法の開発,小児歯科領域において乳歯や智歯に存在する間葉系幹細胞が注目されていることから、本研究では骨再生医療で求められている、間葉系幹細胞からの均一で効率的な骨芽細胞分化誘導法の確立を目的とした。特に、骨芽細胞分化誘導因子Osterixに着目し、Osterixタンパク質安定性調節の分子メカニズムとその骨芽細胞分化における役割を明らかにすることで、Osterixタンパク質分解制御を応用した効率的な骨再生法の開発を目指す。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,骨芽細胞,骨芽細胞分化,タンパク質分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14571,東北大学,大堀 文俊,骨細胞のネクロプトーシスにより放出される核内因子IL-33の骨代謝への影響の解明,矯正学的歯の移動の際に発現するTNF-αは、破骨細胞形成に重要な役割を果たしている。近年、細胞死の研究の進展により、プログラムされたネクローシスとして新しい概念のTNF-αによるネクロプトーシスが脚光を浴びている。矯正学的歯の移動時の圧迫側では、歯槽骨内にある骨細胞は細胞死を起こしていくことが報告されている。本研究は、矯正学的歯の移動時のTNF-αによる骨細胞のネクロプトーシスと、その際に放出されるIL-33の破骨細胞形成への影響を調べる研究である。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,骨細胞,細胞死,ネクロプトーシス,破骨細胞,矯正学的歯の移動,IL-33,DAMPs,骨吸収,矯正歯科,歯の移動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J11690,九州大学,田 甜,ゼブラフィッシュを用いた上皮-間葉相互作用検出システムの構築とその応用,歯は上皮ー間葉相互作用により形成される器官として知られており、上皮ー間葉相互作用は発生期における形態形成において、毛、唾液腺、肺、腎などの様々な器官に共通の様式として重要な役割を果たしている。しかしながら、上皮ー間葉相互作用の最初期である上皮の間葉への陥入を制御する因子の同定はいまだなされていない。我々はこれまでの研究で、上皮ー間葉相互作用により形成される器官の発生初期サンプルを用いて、網羅的解析を行い、それぞれの器官に共通する遺伝子群の同定に成功した。本研究では、これら遺伝子の機能解析を魚類モデルを用いて解明する。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,歯,上皮－間葉相互作用,形態形成,ドラッグスクリーニングモデル,CAGE法,器官培養法,遺伝子スクリーニング,ドラッグスクリーニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10881,九州大学,村田 早羅,SHED分泌因子が軟骨細胞の増殖・分化に与える機序を解明する,これまでの研究から、軟骨細胞に乳歯幹細胞(SHED)由来培養上清から抽出した細胞外小胞 (SHED-EV)を添加すると、軟骨細胞の増殖能およびテロメラーゼ活性は上昇することがわかった。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,細胞外小胞,SHED,軟骨細胞,インテグリンβ1,細胞増殖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F21405,東北大学,溝口 到,骨細胞による糖代謝の骨代謝への影響の解析,近年、糖尿病、高血圧、肥満などの生活習慣病が増加している。この中で糖尿病では、破骨細胞の増加により骨密度が減少し骨折のリスクが高くなることが大きな問題となっている。近年、骨細胞が破骨細胞形成に重要な役割を果たしていることがわかった。そこで本研究では糖代謝不全骨細胞の破骨細胞誘導能への影響を解明するために、細胞内糖輸送に関連するグルコーストランスポーターであるGLUT1の遺伝子をloxPで挟んだマウスにDmp1-Creマウスを交配し骨細胞特異的にGLUT1遺伝子欠損することで骨細胞特異的糖代謝不全マウスを作成し、破骨細胞形成および骨吸収を解析し、骨細胞糖代謝の骨代謝へ関与を明らかにする。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,骨細胞,糖尿病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2464,九州大学,稲田 幸織,外エナメル上皮細胞の分化誘導法確立を目指した新規マーカー遺伝子の探索,本研究では、歯に発現するサイトケラチンファミリーの網羅的解析を行い、その中で同定された、サイトケラチン15や新規細胞マーカー遺伝子の機能解析を行い、外エナメル上皮細胞を含む歯原性上皮細胞の分化誘導法の確立を目指す。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,サイトケラチン,中間層細胞,星状網細胞,先天歯,新規マーカー遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2407,九州大学,宮崎 佳奈子,トポロジー変換が導く頂底極性決定と細胞分化メカニズムの解明,器官形成において、幹細胞は非対称に分裂し、核が局在し極性をもちながら機能に適した形態に変化しながら多層化し分化していく。しかしながら、その極性化と呼ばれる形態変化をもたらす細胞内外のメカニズムについてはあまりわかっていない。申請者は歯の歯原性上皮細胞をモデルとして極性および多層化に重要と思われる候補遺伝子の同定に成功し、同定した候補遺伝子が極性化および多層化を生じるメカニズムを解明することを目的として研究を開始している。これらのメカニズムの解明ができれば、細胞の「かたち」を作り、器官を形成するメカニズムの解明につながると考えられる。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,歯原性上皮細胞,多層,分化,極性化,epithelial extrusion,多層化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2229,大阪大学,杉原(大見) 真衣子,顎骨におけるメカニカルストレス応答性の骨代謝制御機構の解明,本研究は、下顎骨と四肢長管骨におけるBMPシグナル機構の違いに着目し、顎骨に特異的な骨代謝制御機構を明らかにすることを目的とする。先行研究により、骨芽細胞および骨細胞特異的にBMPシグナルを遮断したBmpr1a欠損マウスの下顎骨と四肢長管骨では全く逆の骨代謝反応を示すこと、さらには、咀嚼によるメカニカルストレスが顎骨に特異的な骨代謝機構を示す重要な因子であることが分かっている。 本研究では、メカニカルストレス応答とBMPシグナルの相互作用による顎骨に特異的な骨代謝制御機構の詳細なメカニズムを明らかにし、BMPの作用をより効率的に制御する歯科分野での新規治療法の開発を目指す。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,骨代謝,メカニカルストレス,下顎骨,BMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0194,東北大学,大竹 慎司,成熟期エナメル芽細胞の分化機構の解明とその制御によるエナメル質形成技術の開発,歯の表層に存在するエナメル質は生体内で最も固い構造物である。エナメル質を形成するエナメル芽細胞は歯原生上皮細胞から分化する。我々はエナメル芽細胞の分化において、エナメル芽細胞への分化に必要なSox21、石灰化に重要なGpr115、エナメル基質分泌に重要なAmbnを明らかにした。しかし、エナメル芽細胞の分化度の違いによる機能の変化、in vivoと同様の効率的なエナメル質形成技術は解明されていない。本研究ではSox21、Gpr115、Ambnが制御している分子を明らかにすることで、成熟期エナメル芽細胞の分化機構を明らかにし、効率的なエナメル質形成技術の確立を目標としている。,特別研究員奨励費,小区分57070:成長および発育系歯学関連,歯の発生,エナメル質,歯原性上皮細胞,エナメル芽細胞,分化機構,石灰化機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KF0265,岡山大学,大橋 俊孝,分子生物学と情報生物学の融合による口蓋発生メカニズムの解明,王博士は，公開されている大規模なゲノムワイド関連解析データを活用した口蓋裂の発生に関わる一塩基多型 (SNP)解析，および，マウス口蓋組織の器官培養実験を行い，メカニカルストレスとWntシグナル経路が口蓋の発生において重要な役割を担っている事実を掴んだ．しかし，未だその詳細なメカニズムは不明である．一方，当研究室では，1細胞遺伝子解析や空間的遺伝子解析など，最近の技術を取り入れながら，骨の発生や再生過程に関する研究を展開している. そこで，本申請研究では彼のこれまでの研究成果を基盤に，我々の有する最新の分子生物学的解析手法を加え，口唇・口蓋を含めた顎顔面の発生メカニズムを明らかにする.,特別研究員奨励費,小区分57070:成長および発育系歯学関連,口蓋発生,single cell RNA-seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
