awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J01734,上智大学,平野 雅人,熟練運動スキルを促進する運動学習原理の解明と新たなトレーニング法の開発,プロのアスリートや音楽家が保持する熟練運動スキルは練習してもあまり向上しない（天,特別研究員奨励費,小区分59030:体育および身体教育学関連,体性感覚,熟練運動スキル,感覚トレーニング,運動制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J22868,上智大学,木本 雄大,巧緻運動技能の機序解明と神経筋訓練法の開発,本研究は，ピアニストが有する優れた手指の巧緻性を生みだす要因を同定することで，ヒト手指の運動機能獲得・洗練メカニズムの同定を目的としている．特に，ピアニストの優れた指の独立運動機能に注目し，電気生理実験や手の外骨格ロボットを用いた行動実験を行うこで，中枢神経系や手指の構造が，指の独立運動機能に及ぼす影響を評価する．本研究の結果は，アスリートやパフォーミングアーティストなどの運動機能の獲得・洗練の効率化や，高齢者の運動機能の回復を目的としたリハビリテーション法の開発に役立つと予想される．,特別研究員奨励費,小区分59030:体育および身体教育学関連,エキスパート,天井効果,誤差学習,強化学習,外骨格,TMS,巧緻運動,熟練運動トレーニング,外骨格ロボット,継頭蓋磁気刺激法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13734,東京大学,小林 稔季,身体運動における動作ミスの予兆：その検知と脳状態操作による事前回避,熟達した運動スキルであっても時には失敗（ミス）してしまう。先行研究によれば、運動課題中、成功時と失敗時では、動作直前の脳状態が異なる。しかし、動作直前にミスすることがわかったとしても、もはやそのミスを回避できない。申請者はこれまでに、運動学習動態を調べるための実験系として従来用いられてきた腕到達運動課題を応用し、動作ミスには運動学的な予兆因子と脳活動の予兆因子が存在することを明らかにした。今後は、脳活動のゆらぎや行動学的なパフォーマンスを操作できる経頭蓋電流刺激法を適切に用いることで、その予兆を検知した際に動作ミスを事前回避する手法を模索する。,特別研究員奨励費,小区分59030:体育および身体教育学関連,冗長性,多自由度,誤差修正,運動制御,運動学習,両手運動,感覚予測誤差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01660,国立研究開発法人情報通信研究機構,梅原 潤,次世代筋骨格モデルを用いたモデルベーストリハビリテーションの実現,本研究では、患者の筋骨格特性を反映した次世代筋骨格モデルによる治療効果予測に基づいたリハビリテーション（モデルベーストリハビリテーション）の実現に向け取り組む。研究遂行上の重要な点は、治療効果の予測に使用する筋骨格モデルの精度である。そのため、筋の形態学的及び力学的側面、関節の運動力学的側面より筋骨格モデルの精度を検証する。,特別研究員奨励費,小区分59030:体育および身体教育学関連,筋骨格モデル,バイオメカニクス,シミュレーション,三次元超音波イメージング,MRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13630,東京大学,竹内 皓紀,活動リズムによる社会的ジェットラグの評価およびIoTによる概日リズム調整法の確立,睡眠覚醒リズムと概日リズムとの慢性的な乖離状態は社会的ジェットラグと呼ばれ，心身の健康問題の危険因子になりうることが指摘されている．本研究では第一に身体活動データに対する統計モデリング・数理解析を用いて日常生活下で評価可能な概日リズムおよび社会的ジェットラグ指標を作成し，その有用性について検証を行う．第二にIoTデバイスによって計測される日常生活下での同調因子 (光環境，睡眠リズム) を用いた概日リズムの実時間制御・調整技術を確立し，社会的ジェットラグおよびそれに伴う日中の気分・身体症状に対する改善効果の検証を行う．,特別研究員奨励費,小区分59030:体育および身体教育学関連,IoT,mobile health,micro-randomized trial,睡眠安定性,mobile Health,sleep feedback,wearable device,smartphone application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2972,新潟医療福祉大学,五十嵐 小雪,月経周期による運動学習能の変動を予測する指標の開発,月経周期による運動学習能の変動を予測する指標を作成するため、①運動学習に深く関与する行動抑制機能の月経周期による変動を解明する。その後、MRIや経頭蓋磁気刺激（TMS）、脳波（EEG）を用いて、運動学習や行動抑制機能に関与する②皮質－基底核ループの時間的変動を評価できる新たな手法を確立する。,特別研究員奨励費,小区分59030:体育および身体教育学関連,月経周期,微細運動技能,反応抑制機能,反応遅延,反応保留,感覚モダリティ,proactive inhibition,reactive inhibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1787,京都大学,宮本 健史,巧みな予測性眼球運動を実現する意思決定の神経機構解明,本研究では，感覚入力に先行する予測的眼球運動を制御する意思決定機構の解明に取り組む。具体的には，非ヒト科霊長類であるマカクサルに心理物理学手法，電気生理学手法，計算論的手法，および光遺伝学手法を適用し，過去の感覚的証拠の蓄積による予測の生成，報酬関連情報との統合，および運動指令への変換に関わる神経機構の解明を目指す。,特別研究員奨励費,小区分59030:体育および身体教育学関連,経済的意思決定,報酬,リスク,リターン,光遺伝学,神経デコーダ,マカクサル,デコーディング,皮質脳波,次元削減,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0992,東京大学,牧野 勇登,誤差に基づいて運動指令を洗練化するメカニズムと脳神経基盤の解明,本研究の目的は、誤差を受けた経験を基に、適切な運動指令を獲得するメカニズムの解明である。現在支持されている仮説では、誤差に対する試行内の修正であるフィードバック修正指令を教師信号として運動学習が遂行されるとされている。感覚情報を通じて獲得する誤差情報や、意識的なフィードバック修正指令、無意識的なフィードバック修正指令をもとに運動学習を実行するメカニズムについて検討する。,特別研究員奨励費,小区分59030:体育および身体教育学関連,運動学習,感覚誤差情報,腕到達運動,フィードバック応答,意識的,感覚誤差,フィードバック制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0979,東京大学,東 香寿美,ライフスパンにわたる体肢間協調性の定量化及びトレーニング方法の確立,本研究では、ヒトの体力要素の中で生活の質に貢献すると考えられる身体(体肢間)の協調性に着目する。身体の協調性は、ライフスパンにおける適応の結果として変化すると考えられ、力学系アプローチを用いることにより協調性を定量化し、各年代を通して一貫した捉え方をすることを目指す。さらに、定量化した協調性を基準に異なる動作速度によるトレーニングを実施し、効率的な協調性向上を図るための具体的な方策を提示する。これにより、筋力や持久力等の体力要素に加えて、身体を機能的に働かせるための協調性向上という新たな身体能力の維持・向上のための方略へとつながることが期待される研究である。,特別研究員奨励費,小区分59030:体育および身体教育学関連,両手協調,パフォーマンス,運動学習,動作速度,逆位相,学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0343,筑波大学,田 暁潔,社会化プロセスとしての子どもの身体発達：学際的なフィールド調査に基づいて,本研究は、東アフリカの牧畜社会の子どもに着目して、異なる年齢に属す子どもの身体活動の特徴を、生物学的・文化的特徴を踏まえて、多側面から理解するものである。具体的には、子どもの社会化のプロセスに身体がどのような役割を担っているのかを、身体活動量や、活動の内容、活動を取り巻く環境、社会的・文化的文脈を考慮して、定量的・定性的データの収集と分析から、考察を進めていく。,特別研究員奨励費,小区分59030:体育および身体教育学関連,牧畜民マサイ,子ども,身体活動,日常実践,食慣習,東アフリカ,子どもと青年,身体文化,文化的発達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
