awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21094,東京大学,包 含,限られた教師情報に基づく機械学習手法の開発,本研究は、現実世界におけるプライバシーやデータ取得のコストなどの制約により不完全な教師データしか得られない状況下における統計的分類、いわゆる弱教師付き分類の適用可能範囲を広げるものである。従来は半教師付き分類やPU分類（正例とラベルなし例のみが手に入る分類問題）において研究が進められてきたが、これを教師なし分類やストリームデータの分類へと拡張する。,特別研究員奨励費,小区分60030:統計科学関連,機械学習,教師付き学習,統計的学習理論,半教師付き学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13175,京都大学,藤田 和樹,事象発生ゆらぎの要因推定,伝染病の感染・犯罪・地震・神経発火など、現実世界の多くの現象において、個々の事象(イベント)が発生した時刻は一様ランダムになっておらず、イベント発生の疎な部分と密な部分の非定常的なゆらぎが存在することが多い。この原因として、伝染病の感染を例にとると、気候条件などによって感染率が時間変化するような外因的な要因のほか、ある個人の感染が他の個人の感染を誘発するような、系の内部でおきる内因的な要因があり、二つの要因が合わさることでこのようなゆらぎが生じると考えることができる。 本研究では、イベント時系列からこの二つの要因それぞれの寄与を分離して推定する。,特別研究員奨励費,小区分60030:統計科学関連,点過程,ソーシャルデータ,複雑ネットワーク,ベイズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23367,京都大学,山崎 遼也,モードを活用する統計手法の解析及び開発,連続確率変数に対するモードは，確率密度関数が極大値をとる確率変数の値で，そのイベントの典型例を教えてくれる．モードは，多峰的な分布に対してもその優れた解釈性を失わず，外れ値や裾の重い分布・非対称な分布に対して頑健で，多次元または非ユークリッド空間上でも定義できるという利点を持つ．これらの優れた性質を生かすモード統計手法は，他の統計手法では扱いにくいデータを扱うことのできる有望な統計手法である．本研究では，モード統計手法の基盤技術の構築を目的に，(1)標準的な推定アルゴリズムの収束性解析と効率化，(2)推定精度改善のための手法構築，(3)方向統計においてモードを活用する統計手法の開発を行う．,特別研究員奨励費,小区分60030:統計科学関連,最適カーネル,平均値シフト,順序回帰,閾値法,モード推定,モード線形回帰,モードクラスタリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J13723,東京大学,CUI ZHENGHANG,相対比較情報を用いた機械学習アルゴリズムの開発,本研究は、大規模データに対して機械学習の分類器の効率的な訓練が可能になったことに対し、簡単に集められる大規模データに対応するカテゴリ情報の取得そのものが困難であるという現状の矛盾点に着目する。一つのデータに対して正解情報をアノテーションするという絶対的な評価を与えるより、複数のデータに対し相対的な比較を評価することに人間が長けていることを考慮し、相対比較の情報を用いた機械学習アルゴリズムの開発という課題に着目する。,特別研究員奨励費,小区分60030:統計科学関連,相対比較,HCI,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1726,京都大学,上村 京也,帯観測モデルを用いた質量分析の性能向上と包括的タンパク質同定システムの開発,質量分析では一般的に，狭い測定窓を用いた測定範囲の走査によって測定感度を犠牲にして高解像度マススペクトルを得る．本研究では測定窓を広げて行う帯観測という観測手法を設計し，これとスパース推定手法を組み合わせることで測定感度と測定精度の両立を図る．また，こうした方法で得られる質の高いマススペクトルデータセットをもとに包括的なタンパク質同定システムを構築することを目的とする．,特別研究員奨励費,小区分60030:統計科学関連,スパースモデリング,帯観測,マススペクトル,質量分析,圧縮センシング,バイオインフォマティクス,低分解能観測,QMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1680,京都大学,土屋 平,線形バンディット問題における実用的アルゴリズムの構築,本年度の研究では昨年度に引き続き，背後の環境に対して頑健に動作するバンディットアルゴリズムの研究を行う．バンディット問題においては確率的設定と敵対的設定という大きく理論的に異なる枠組みがあるが，実問題がどちらの問題クラスに属するか判断は難しい．そこで，単一のアルゴリズムで両方の設定において最適性を達成することが望ましく，そのような性質は両環境最適性と呼ばれる．既存の両環境最適なアルゴリズムは比較的単純な問題に対してのみ適用可能であり，また，問題の難しさへの適応力が十分できないという問題があった．今年度は後者の問題を解決する両環境最適アルゴリズムの構築を行う．,特別研究員奨励費,小区分60030:統計科学関連,機械学習,学習理論,バンディット問題,逐次的意思決定問題,オンライン凸最適化,両環境最適アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ1410,横浜国立大学,田口 千恵,干渉・拡散効果を評価するためのパーコレーションと統計的因果推論の融合技術の開発,本研究は，統計的因果推論の研究である．本研究では，特に従来の統計的因果推論の分野では因果構造が複雑であるため解析が困難であるとされている個体同士が干渉しあうデータを解析対象する．統計的因果推論と浸透に関する理論であるパーコレーション理論，そして個体間の関係性に関する理論であるネットワーク理論を融合させた理論を構築することで，応用の示唆に富んだ干渉・拡散効果の推測法を開発することを目的とする研究である．,特別研究員奨励費,小区分60030:統計科学関連,統計的因果推論,パーコレーション理論,個体間干渉データ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0903,東京大学,秋山 俊太,最適化と汎化を統合した深層学習理論の構築,深層学習の理論解析は近年盛んに研究されている一方，十分に現実の深層学習の有効性を示すものとは言えない．深層学習の理論解析における2つの重要な側面として，勾配法が適切に収束するかという「最適化理論」と，将来の未知のデータに対しても正しく予測できるかという「汎化誤差理論」が挙げられる．本研究は現状独立に発達している部分が多いこの2 つを統合し，より現実的な状況下で深層学習の有効性を示す理論を展開することで，この問題解決に取り組むものである．,特別研究員奨励費,小区分60030:統計科学関連,深層学習理論の深化,特徴量学習,良性過学習,隠的正則化,深層学習の優位性,高次元統計の汎化理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2000,明治大学,石曽根 毅,力学系的性質と整合する微分方程式の推論,本研究は，観測データから得られる力学系的性質と整合する微分方程式を推論する手法を確立することを目的とする.さらに，推論された微分方程式を用いた補間や予測・制御が汎用的に実行可能なパッケージを開発する.,特別研究員奨励費,小区分60030:統計科学関連,微分方程式,データ同化,状態空間モデル,力学系,変分自己符号化器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1766,熊本大学,山崎 大雅,磁気特性評価のためのX線磁気円二色性スペクトルのベイズ統合解析,電気自動車のモーター等に用いられる永久磁石の磁気特性の解明は、その性能向上に重要である。そのため、磁性材料の内部磁区構造をX線磁気円二色性(XMCD)に基づき3次元的に可視化する計測が行われている。一方、その計測データの解析にはS/N(Signal to Noise)比の制限や、従来の最小二乗法を用いた解析における主観性等、解決すべき課題がある。本研究は、ベイズ推定の枠組みをスペクトル分解に適用し、左右円偏光X線吸収スペクトル及びそれらの差分であるXMCDスペクトルの3つを統合的に解析するベイズ統合を用いて、諸課題を解決するスペクトル分解法を開発し、磁石材料の研究を発展させるものである。,特別研究員奨励費,小区分60030:統計科学関連,X線磁気円二色性,磁気モーメント,ベイズ推定,ベイズ分光法,設計事前確率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1458,大阪大学,新村 亮介,機械学習における最適化問題の効率的解法,本研究では，スパース推定などの凸最適化問題を効率的に解くための新しい手法を提案する．提案手法は変数選択を同時に行うことができ，問題の次元が小さくなるため，効率的に解を求められるようになる．また，提案手法によって解が得られることを証明し，理論的な保証を行う．さらに，グループlassoなどの実際のスパース推定問題に適用し，効率的に解が得られることを示す．,特別研究員奨励費,小区分60030:統計科学関連,スパース推定,近接勾配法,最適化,項目反応理論,クラスタリング,凸関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ0419,東京大学,結城 凌,シミュレーションとデータサイエンスを融合した変化予兆検知による未知リスク検知,近年機械学習・AI分野で変化予兆検知というキーワードが注目されている．なぜならば，時系列データの変化はその背後にリスクが結びつくため，それらの予測によりリスクを未然に防ぎたいというモチベーションがあるからである．例えば経済データには経済危機，セキュリティログには不正アクセス，そして感染症流行データには感染爆発というような重大なリスクが結びつく．本研究はデータが十分に存在しないという意味での未知リスクの検知を目的とする．そして，データサイエンスとシミュレーションを融合した変化予兆検知という方法により未知リスク検知を実現する．,特別研究員奨励費,小区分60030:統計科学関連,情報論的学習理論,統計的モデル選択,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1606,大阪大学,中野 裕一郎,初期の量子計算機を用いた新たなマルコフ連鎖モンテカルロ法の開発,近年、量子コンピュータの応用に関する研究が盛んに行われ、誤り訂正機能を持たないノイズを含んだ小規模なデバイス(NISQデバイス)に対するアルゴリズムが研究されている。しかし、その多くは出力の推定に非常に多くのサンプリングコストを要するなど、実利用には大きな障壁がある。最近、サンプリングコストの少ないNISQデバイスでマルコフ連鎖モンテカルロ法を実行するアルゴリズム(量子拡張MCMC)が登場し、新しい量子アルゴリズムの方向性が示されている。本研究では、この量子拡張MCMCを発展させることで、現在実現可能なNISQデバイスにおいて利用可能な量子アルゴリズムの実現とその応用を目指す。,特別研究員奨励費,小区分60030:統計科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ1317,横浜国立大学,吉田 悠夏,潜在反応タイプによる因果効果の評価を目的としたノンパラメトリック感度分析法の開発,本研究では，,特別研究員奨励費,小区分60030:統計科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25KJ1105,東京大学,吉田 直生,多層構造理解に向けた学習ダイナミクス解析による深層学習の汎化性能理論の構築,現代のAIの基盤技術となっている深層学習は，なぜ高い性能を発揮するのか理論的にわかっていない部分が多い．本研究では確率解析や代数幾何などの数学的なツールを駆使することでその謎を解き明かすことに挑戦する．また，そのような理論的理解を通じて，現在使われているAIのモデルよりも性能が良い・コストの低いモデルを提案することに繋げる．,特別研究員奨励費,小区分60030:統計科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
