awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22324,東京大学,佐藤 雄大,流体の動きの誇張を代表する編集操作をインタラクティブに支援するアルゴリズムの開発,物理シミュレーションに基づく流体アニメーションでは、流速、液面の位置、煙の密度などの初期値を設定すれば、それらに基づいた物理的に正しい結果が得られる。そのため、映画やゲームなどの映像表現において非常に重要である。その反面、望むアニメーションを得るには頻繁な初期値の調整が必要で、その都度、長い時間がかかる物理シミュレーションを行わなければならない。そこで、長時間の試行錯誤をすること無く、目的とする流体アニメーションを得られるようにするために、シミュレーション結果をすぐに提示できるような新しい計算手法、ユーザーが直感的に望むような形に流体を操作できるインターフェースを設計することを目指す。,特別研究員奨励費,小区分60090:高性能計算関連,流体シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14231,東京大学,遠藤 亘,タスク並列を活用した分散共有メモリによる高生産スパコンプログラミング環境,スーパーコンピュータと呼ばれる巨大な計算機は，一般的な計算機と異なって，「分散メモリ」と呼ばれる特殊なメモリ形態と，「SPMD並列」という柔軟でない実行方式でソフトウェアを開発する必要があり，ソフトウェア開発者の負担が大きい問題がある．,特別研究員奨励費,小区分60090:高性能計算関連,分散共有メモリ,コヒーレンスプロトコル,タスク並列,ユーザレベルスレッド,通信オフローディング,RDMA,ホームマイグレーション,タイムスタンプベースコヒーレンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J12838,名古屋大学,桝井 晃基,超大規模電磁場解析を実用化するエクストリームスケールコンピューティング,電子機器・電子デバイス等の開発設計を効率化するためには電磁場解析の高精度化・高速化が必要不可欠である．しかし，電磁場解析で得られる複素対称線形方程式は反復法ソルバーの収束性が悪く，数値実験コストが高いことが知られている．そこで，電磁場解析の効率化を目的として，複素対称線形方程式向けの高性能かつ高速な反復法ソルバーに関する研究を行う．特に，多倍長精度演算を用いた新たな前処理や反復法の開発や，数十億自由度規模の超大規模解析における有効性評価を行う．,特別研究員奨励費,小区分60090:高性能計算関連,反復法,電磁場解析,大規模数値計算,前処理,高精度複素数演算,複素対称疎行列,複素数高精度演算,大規模電磁場解析,高速化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19759,東京大学,梅谷 信行,写実的な画像合成のための高速なレイトレーシング,コンピュータグラフィックスを用いた写実的な画像の生成は、光の経路をコンピュータ上で追跡することで行われる。光は物体に当たるまでは直線状を進むと仮定すると、この計算では、光源を出た光や他の物体から反射した光が、どの物体のどの位置に当たるかを求める必要がある。この計算はレイトレーシングと呼ばれ、写実的な画像の生成の基本となる計算である。この計算の高速化は写実的な画像の生成の高速化につながり、映画やデザイン産業において有用である。本研究では、レイトレーシングの計算を高速化するための、acceleration data structureという技術について、既存の手法を超えた高速化を目指す。,特別研究員奨励費,小区分60090:高性能計算関連,モンテカルロ積分,光輸送シミュレーション,Computer Graphics,Collision Detection,Ray Tracing,レイトレーシング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13227,東京大学,永澤 謙太郎,再現と計測の融合による複雑流体の解析,本研究では複雑流体と呼ばれる，固体と流体の性質併せ持つような水とは異なる性質を持つ流体を対象とした，「再現と計測の融合による複雑流体の解析」を行う．,特別研究員奨励費,小区分60090:高性能計算関連,レオロジー,流体力学,最適化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10202,千葉大学,山本 洋太,ホログラフィ専用プロセッサの開発による次世代VRシステム,電子ホログラフィは光の波面を記録・再生可能な技術であり，現在3次元提示手法として主流な両眼視差方式が抱える眠気や吐き気といった3D酔いの問題がない理想的な3次元映像提示技術として注目を集めている．しかし，表示デバイスの解像度・サイズ不足と必要とされる計算性能の高さにより実現には至っていない．本研究では，世界最大規模の高精細液晶ディスプレイと専用計算機システムを開発し，電子ホログラフィを利用したHead Mounted Displayの実証を行う．観察者に負担をかけない3次元映像技術として次世代のVirtual Realityシステム創出を狙う．,特別研究員奨励費,小区分60090:高性能計算関連,ホログラフィ,ハイパフォーマンスコンピューティング,専用計算機,FPGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J14694,東京工業大学,大友 広幸,低精度・混合精度演算を用いた大規模量子計算機シミュレータの研究,素因数分解や離散対数問題など，古典アルゴリズムでは効率的に解くことが困難とされている問題を量子アルゴリズムを用いることで効率的に解くことが可能である．現在いくつかの企業・組織により量子計算機の開発が進められているが，ここれはNISQと呼ばれ，量子ビットの保持やゲート操作により量子状態に誤差が生じるため，現状実用に耐えうるものではない．このため量子アルゴリズムの開発を加速させるためには古典計算機を用いた量子計算機のシミュレーションが必要となる．古典計算機による量子計算機のシミュレーションには量子ビット数に対して指数オーダーのメモリが必要となるため，本研究ではこのメモリ量の削減を目指す．,特別研究員奨励費,小区分60090:高性能計算関連,量子回路シミュレーション,混合精度,Tensorコア,PEZY,量子計算機シミュレーション,混合精度計算,テンソルネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3026,立命館大学,PAN JIAO,マルチデータソースの統合に基づく大規模文化遺跡・ボロブドゥール寺院の高精細可視化,本研究の概要は、ボロブドゥール寺院の外部構造・内部構造・埋められているレリーフの３つのパーツの保存状況に基づく、残存するデータソースから、それぞれ精密かつ効率な３次元デジタル化と可視化を行う研究である。,特別研究員奨励費,小区分60090:高性能計算関連,３次元復元,半透明可視化,大規模文化遺跡,深層学習,単眼深度推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2741,芝浦工業大学,内野 佑基,疑似多倍長演算による現代アーキテクチャに適した高速な数値計算アルゴリズムの創生,近年のアーキテクチャ，特にコンシューマ向けGPUでは低精度浮動小数点演算のパフォーマンス向上が目覚ましく，今後も同方針による計算機の発展が予想される．本研究では数値線形代数の諸問題に対して，このようなアーキテクチャの特性を活用した高速な高精度計算アルゴリズムの開発を行う．特に科学技術計算において汎用性の高い行列積・固有値問題・特異値分解などに焦点を絞る．,特別研究員奨励費,小区分60090:高性能計算関連,反復改良法,混合精度数値計算,実対称固有値分解,特異値問題,高精度計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2675,慶應義塾大学,石飛 晶啓,変形を伴う塗膜における経年劣化のビジュアルシミュレーション,経年劣化を表現する手法であるウェザリングは，写実的なCGの描画に必要不可欠である．現実世界に遍在している金属を対象とした手法は多く,特別研究員奨励費,小区分60090:高性能計算関連,ウェザリング,シミュレーション,塗膜,モデリング,ビジュアルシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
