awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23247,奈良先端科学技術大学院大学,井上 剛,アラビア語の治安情報を日本語で即時的に提供するシステムの研究開発,"テロ組織「イスラーム国（IS）」の跋扈や混迷するシリア情勢など，中東地域の情勢は不安定な状況が続いている。一方で，中東諸国に在留する邦人数は2008年から2017年の間で13.3%（9,754人→11,055人）増加しており，在留邦人やその関係者，進出企業に向けて治安情報を迅速に提供する需要は高まりつつある。この状況を鑑み，本研究では，アラビア語圏で発信される治安情報を即時的に日本語で提供するシステムの構築ならびにそれを実現するための言語解析技術の研究開発に取り組む。",特別研究員奨励費,小区分61030:知能情報学関連,機械翻訳,対訳文対応付け,アラビア語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21913,東北大学,赤間 怜奈,対話における発話スタイルの計算モデル,発話のコンテンツ（何を伝えるか）だけでなくスタイル（どう表現するか）を考慮することは．言語活動における円滑な意思疎通のための重要な要素である．本研究の目的は，人間の発話スタイルの認識を計算によって実現することにあり，スタイルを表す計算モデルの構築を目指す．まず，スタイルの概念を数理的に解き明かすことから研究を始める．大量の発話データを統計的に分析し，この結果が人間のスタイルの認識とどのように関連するかを調査する．次に，調査結果を活用してスタイルの計算の枠組みを設計し，モデルを構築する．具体的には，数理的に説明可能となったスタイルの概念を，高次元連続空間上の表現としてモデル化することを考える．,特別研究員奨励費,小区分61030:知能情報学関連,自然言語処理,計算言語学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21031,京都大学,上乃 聖,End-to-End音声合成とEnd-to-End音声認識の統合システム,近年、従来のモデルより簡潔な構造で音声認識を実現するEnd-to-End音声認識の研究が進められている。しかし、End-to-End音声認識は学習に音声とその書き起こしの対データを大量に必要とし、その準備は困難である。そこで本研究では、End-to-End音声合成を用いた対データ生成をベースに、End-to-End音声合成とEnd-to-End音声認識を統合することで、対訳が必要ない統合システムについて研究を行う。,特別研究員奨励費,小区分61030:知能情報学関連,音声認識,音声合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20660,慶應義塾大学,引地 志織,逆問題解決型特異的因子・属性分類特徴量計量システムの実現,近年、生体物質から数値的情報を抽出できる機器の発達により、公開済み測定データが増え、ビックデータを対象とした網羅的な解析技術が求められている。特に、個人化医療の実現には、1)医療データのデータベースの構築、2)被験者など調査対象の個体差を踏まえた分析手法の確立が必要である。,特別研究員奨励費,小区分61030:知能情報学関連,セマンティック・コンピューティング,逆問題,複雑性,データマイニング,データベース,機械学習,乳がん,腸内細菌,Semantic Computing,Data Mining,Inverse Analysis,Complexity,Personalized Medicine,Bioinformatics,Breast Cancer,Metastasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15634,公立はこだて未来大学,澤田 隼,音楽情報信号を対象とした階層的順序構造の獲得,音楽情報処理の分野では楽譜などを対象とした記号処理と，音響信号を対象とした信号処理の分野がそれぞれ独立して発展している．信号処理において，拍毎に特徴量を抽出する方法は信号の分節により特徴量が左右するが，その分節に戻って修正する枠組みがない．信号の領域と記号の領域の相互作用によって適切な記号接地が行われるという仮説のもと，信号の領域の処理に記号の領域からフィードバックする枠組みを構築する．まず生成モデルを用いてスペクトログラムからパターンを獲得するモデルを構築し，大域的な構造に基づく評価関数を設計することで記号と信号の相互作用フレームワークの構築を目指し，その有用性を検証する．,特別研究員奨励費,小区分61030:知能情報学関連,音楽情報科学,相互最適化,記号創発,記号接地,旋律分割,ドラムパターン,相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15255,京都大学,錦見 亮,深層ベイズ学習に基づく歌声の認識と生成の統一理論,本研究では，人間が自身の個性を反映しながら「音楽を生成する過程」と「音楽を認識する過程」を統一的に記述するモデルを構成することで，表裏一体の関係にある音楽情報処理の認識タスク（個性を反映した歌声や楽曲の自動生成やスタイル変換）と生成タスク（音源分離や自動採譜，個性や歌唱表現の解析）とを双方の依存関係を考慮しながら同時に解決できる方法論を確立する．,特別研究員奨励費,小区分61030:知能情報学関連,音楽情報処理,自動採譜,歌声採譜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14522,東京大学,佐藤 翔悦,語句の意味推定モデルとのマルチタスク学習に基づく世界知識を考慮した対話システム,近年の対話応答システムにおける多くの研究において，大規模な会話データから学習を行う data-drivenと呼ばれる手法が効果を上げている一方で，特定ドメインにおける大規模な会話データを獲得することは容易ではない．本研究ではソーシャルメディアなどをはじめとする広範なドメインを含む大規模な会話データと，目的ドメインにおける知識ベースや少数の会話例を併用することで，目的ドメインにおける現実的に構築可能な規模のデータから専門用語をはじめとしたドメインに特化した知識を獲得する対話システムの構築を目指す。,特別研究員奨励費,小区分61030:知能情報学関連,自然言語処理,機械学習,テキスト生成,転移学習,対話応答,機械翻訳,ドメイン適応,ニューラルネットワーク,定義文生成,未知語,個人適応,分散表現,知識ベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13828,電気通信大学,高野 諒,複数解の変化を内在する動的環境における群知能アルゴリズム,本研究では、実環境へ展開可能な「複合型動的環境における群知能アルゴリズム」の実現のために、時間経過によって変化する最適解に追従する群知能アルゴリズムを構築する。このための問題として、空間軸と時間軸上において様々に変化する単峰性動的関数と、それらを組み合わせた多峰性動的関数の最小化問題を設計し、変化する最小解への追従性の可能性と限界を明確にする。その後、時間経過により輸送先や混雑状況が変化する災害時の物資輸送問題などに適用して物資の平均配送時間を明確にすることで実応用可能性を明らかにする。,特別研究員奨励費,小区分61030:知能情報学関連,進化計算,群知能,動的最適化問題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13477,東京工業大学,大沢 和樹,ベイズ的大規模深層学習のための自然勾配近似法,本研究では、深層ニューラルネットワーク（DNN）の未知のデータに対する識別精度（汎化性能）を向上させるベイズ的深層学習のための高速な学習手法の提案と、これを膨大なパラメータを持つDNNに応用したベイズ的大規模深層学習の実用化を目的とする。このために、ベイズ的深層学習で用いられる自然勾配法について、学習の高速化と汎化性能の向上に貢献する本質的な役割と計算の近似可能性を明らかにし、実用的で汎化の理論に基づいた学習手法の提案を行う。大規模計算機を活用した分散並列学習と組み合わせることにより、学習時間が大幅に削減されたベイズ的大規模深層学習を実現する。,特別研究員奨励費,小区分61030:知能情報学関連,深層学習,近似ベイズ推論,自然勾配法,二次最適化,分散深層学習,ベイズ深層学習,高性能計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13256,大阪大学,内田 貴久,無限関係モデルによる主観的意見の獲得と自律対話ロボットへの応用,本研究の目的は，人間の対話意欲を喚起するために，意見をやり取りする自律対話ロボットを開発することである．本研究では，外見が人間に酷似したアンドロイドを用いて，自己や対話相手の意見を計算機で表現するモデル及び互いに共感できる意見を探索するための発話生成ルールを明らかにする．具体的には，主観的な意見として選好を対象とし，無限関係モデル（IRM）を用いて自己・相手モデルを表現し，共感できる意見を探索する発話生成手法を明らかにする，また，アンドロイドと他のコミュニケーションロボットを比較することにより，本研究で提案する手法の他の対話ロボットに対する適用可能性について検証する．,特別研究員奨励費,小区分61030:知能情報学関連,対話ロボット,選好モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
