awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40249,東京工業大学,水谷 紗弥佳,個人多様性を考慮した腸内環境状態遷移モデルの構築による大腸がんリスク要因の解明,ヒトの腸管には約40兆個もの腸内細菌が生息している。近年、様々な疾患との関連が分かってきた。腸内細菌は個人差が大きく、多様性に富んでいることが知られている一方で、大腸がんに代表される疾患関連因子の探索において、その多様性が考慮されている例は少ない。これまでの研究で、国立がん研究センターで大腸内視鏡を受けた患者から糞便を収集し、メタゲノム解析を行った結果、大腸がんに関連のある菌種や代謝遺伝子などの多くの知見を得た。本研究では、発がんに至る腸内環境全体の変動がもともとの腸内環境に依存しているという仮説を立て、大腸がんに至る腸内環境の状態遷移モデルを腸内環境のタイプ別に構築することを目的とする。,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,腸内細菌,メタゲノム,メタボローム,大腸がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22452,東京大学,立山 尚樹,頭脳労働者の推定ストレス量の意図的な改変・提示による主体的な休憩取得促進の研究,近年働き方改革が推進され，生産性の向上が一層求められている．適切な休憩取得は生産性の向上・ストレスの軽減につながるため重要である．目的のある適切な休憩を自ら考えること（=“休憩設計”）が個人に求められるが，誰もが休憩設計能力を持っているわけではないので休憩設計を支援・促進する手法が必要である．本研究の目的はユーザに休憩設計を自発的に行わせ，適切な休憩行動を取らせるためのシステムを開発することである．行動センシング，ストレスなどの心理センシングといった工学的知見と，認知モデル，行動誘導などの認知科学的知見を統合し，生活応用可能な技術の開発を目指す．,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,personal informatics,ライフログ,well-being,stress,mental health prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20990,東北大学,安部 桂太,DNA反応拡散系による階層的なパターンの形成と制御および形態形成への発展,パターン形成とは自律的に規則的な模様が現れる現象である．生物の発生過程では複雑なパターン階層的に形成され，生物の体を形作る過程(形態形成)に重要な役割を果たしていることが知られている．本研究ではハイドロゲル中に反応拡散系を構築し，人工的に階層的なパターン形成を行う手法を開発するとともにそのパターンを基とする形態形成の実現を目指す．材料として，反応のプログラムが可能な合成DNAを使用し，DNAによる多段階的な分子計算や拡散の速さが違うDNAとの相互作用をプログラムすることで階層的なパターン形成を実現する．さらに，ハイドロゲルの架橋とDNAの反応を関連付けることで形態形成を実現する．,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,DNAナノエンジニアリング,分子ロボティクス,DNAコンピューティング,パターン形成,ハイドロゲル,分子サイバネティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20411,九州工業大学,渡邊 朝子,脳波を用いた表情機能の同定,近年、社会問題ともなっている認知症やうつ病において、表情は欠如する傾向にあるとされ、笑顔による治療効果が報告されていることもあり、表情に関する脳機能を解明することは、病気の原因や予防、治療につながる可能性も考えられる。そこで本研究では、病気の原因や治療方法などを探る足掛かりとして、表情に関する脳機能を解明することを目標とする。,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,脳波,表情,ネットワーク解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J20117,早稲田大学,細田 至温,確率モデルを用いたヒト腸内細菌叢構造の解明と応用,次世代シーケンサーによってメタゲノムと呼ばれるゲノム情報が得られるようになった．このゲノム情報は環境中の微生物のゲノムを網羅的に含んでおり，ヒトの糞便に対して得ることでヒト腸内に存在していた微生物の代謝機能の存在量が得られる．これまでこの解析手法によってヒト腸内環境に関する多くの知見が得られた．しかしながら，共起する代謝機能のグループである代謝機能群を推定する手法は確立されていない．本研究ではヒト腸内における代謝機能群の推定手法の提案及び代謝機能群による解析を行う．,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,統計モデル,細菌叢,系統樹,ベイズ推定,確率モデル,機械学習,ヒト腸内細菌叢,メタゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14816,京都大学,岡田 大瑚,情報幾何を用いた、細胞集団プロファイルの異同とその生物学的背景の統合解析,本研究では、情報幾何学の知見をシングルセル発現解析に応用することで細胞集団プロファイルを座標空間にマッピングするための新規の数理統計的手法を開発する。さらに、フローサイトメトリーデータなどの実データセットに対して提案手法を適用し、その結果をゲノム・オミックスデータや公共データベースの情報と組み合わせることで、細胞集団プロファイルの異同とその生物学的背景の統合解析を行う。,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,サイトメトリー,single cell RNA-seq,情報幾何,データ解析,DEEF,シングルセル解析,確率分布,ノンパラメトリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14714,京都大学,NGUYEN DaiーHai,質量分析のための機械学習手法構築,"Mass spectrometry is a common technique in analytical chemistry for metabolite identification. The aim of our reseach is to develop advanced machine learning models to identify metabolites from their mass spectra with the following main criteria: 1) High accuracy: given a query spectrum, the proposed models are expected to produce a highly accurate list of candidate with most similar spectra; 2) Computational efficiency: in order to process large-scale datasets of metabolites in reality such as PubChem, it is desirable for the proposed models to produce candidates with fast prediction.",特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,machine learning,metabolite,sparse learning,representation learning,mass spectrometry,fingerprint prediction,sparse learning models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13189,慶應義塾大学,徳岡 雄大,不妊治療に資する深層学習を用いた初期胚定量評価手法の開発,近年、不妊に悩む夫婦は増加傾向にあり、先進国では5.5組に1組の夫婦が不妊問題に悩んでいると言われている。不妊治療として有効な手段に体外受精が挙げられ、その成功率を左右する胚の質を評価する分類指標が提案されている。しかしその分類指標は、「卵の大きさ」や「細胞断片の割合」を恣意的な指標として、定性的な基準で数段階の胚の質に分類するという問題点があり、現状の体外受精の成功率が約20%と低い原因の一つとなっている。そこで本研究では、深層学習を用いた画像解析により、定量的に胚の質を評価し得る新たな分類指標を獲得し、初期発生胚の質を評価する手法を新たに確立することを目的とする。,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,深層学習,画像解析,発生生物学,初期胚,セグメンテーション,多変量時系列データ,分類,特徴量解析,転移学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00950,東北大学,中村 司,構造情報に基づく蛋白質の複合体形成部位の大規模分類手法の開発と予測構造への展開,実験的な手法によって明らかになった蛋白質の複合体構造の数は，近年増加傾向にあるものの，蛋白質間の相互作用があると考えられている蛋白質セット（立体構造未知な推定上の複合体）の数と比較すると，ごくわずかなのが現状である．,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,蛋白質,蛋白質間相互作用,蛋白質相互作用部位,蛋白質立体構造予測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00878,東京大学,柳澤 渓甫,標的結合部位の網羅的探索と結合化合物の選別を可能にする共溶媒計算手法の開発,今日、計算機を用いた創薬が広く行われている。一方、比較的容易な標的タンパク質への創薬が尽くされた結果、新薬開発の難易度が高まっており、手法の高度化が待たれている。本研究は、既知薬剤の部分構造を共溶媒とした共溶媒分子動力学（cMD）法を大規模に実施・評価し、薬剤結合部位が自明でない標的タンパク質に対する新たな薬剤候補化合物の選別手法を開発する。,特別研究員奨励費,小区分62010:生命、健康および医療情報学関連,共溶媒分子動力学法,薬剤設計支援,共溶媒,スーパーコンピュータ,集合被覆問題,大規模計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
